"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"11",0.2518298676,70.105,0.0900793674,0.029535,170.625045896,0.0146091292,21.4795225923,-75.3428726196,14.264317809,63.07,-50.3125038147,59.695,25.7500019073,150,59.065,-43.3125,719.33,-55.7812538147,2.8422846469,76.062505722,"Rbp4-Cre_KL100"
"21",1,1000,0.0054491508,0.00999,192.053586245,0.0073593408,23.1352112096,-66.3029708862,1,22.855,-52.2187538147,20.985,29.0000019073,140,20.515,-39.6875038147,23.05,-52.5000038147,2.4746264682,81.218755722,"Ntsr1-Cre_GN220"
"24",0.0154623127,71.5476923077,0.1412744527,0.05996,123.906247318,0.069372654,20.8559733957,-77.8588638306,13.9766911796,219.48,-48.5312538147,216.38,32,100,215.94,-38.21875,254.96,-59.2500038147,3.8240729838,80.5312538147,"Scnn1a-Tg3-Cre"
"56",0.0182063106,52.8905555556,0.1994126394,0.03879,342.343896627,0.0631874278,29.6373642885,-71.8004760742,18.9069672174,90.7,-47.0000038147,88.67,24.25,50,88.095,-37.40625,113.555,-51.1562538147,2.6471854084,71.2500038147,"Rorb-IRES2-Cre"
"60",0.0265356304,97.82,0.1157142857,0.073615,116.718634963,0.1015481055,23.4320063155,-73.244430542,10.2228583112,130.01,-44.75,126.05,24.84375,130,125.605,-34.9687538147,165.08,-54.0312538147,3.116701594,69.59375,"Scnn1a-Tg2-Cre"
"62",0.1188551549,67.3333333333,0.1449567893,0.034855,158.593788743,0.0306478515,17.8633370572,-81.6837158203,14.8514851485,139.87,-53.6562538147,137.765,40.0625038147,110,137.325,-40.7812538147,160.555,-58.2812538147,3.3289569855,93.7187576294,"Cux2-CreERT2"
"72",0.0527321787,78.8357142857,0.1568181875,0.05146,153.437390924,0.0158438869,20.0088757787,-78.2422027588,12.6846063242,82.505,-47.9062538147,80.78,41.78125,130,80.455,-36.4062538147,909.355,-50.7500038147,3.6315394591,89.6875038147,"Cux2-CreERT2"
"75",0.0970336485,106.3575,0.0353070147,0.058835,189.374998212,0.1132833511,21.2956678418,-72.2372360229,9.40225183932,89.405,-49.0312538147,85.395,46.2812538147,130,84.985,-36.03125,110.87,-53.6250038147,4.957589516,95.3125076294,"Rorb-IRES2-Cre"
"84",0.0490471432,78.3515,0.2499999873,0.04684,122.812502086,0.0203067642,17.4061718583,-80.4940795898,12.7629975176,113.4,-49.3125038147,108.615,25.15625,230,107.945,-38.28125,126.23,-52.8125,3.7172731639,74.4687538147,"Scnn1a-Tg2-Cre"
"106",0.015226471,85.318,0.1594293135,0.06217,91.2500023842,0.0420052446,14.5823818029,-78.7921066284,11.7208560913,191.19,-43.1250038147,187.475,35.6875038147,209.999984741,187.025,-39.71875,232.915,-52.5312538147,3.9278155439,78.8125076294,"Rbp4-Cre_KL100"
"107",0.0202565352,53.3344444444,0.2278089888,0.0383,215.000107884,0.0680718347,19.4838621165,-72.8924713135,18.7496093832,261.44,-49.6562538147,258.22,38.3125038147,40,257.78,-40.53125,296.86,-57.9375038147,4.5901261618,87.9687576294,"Ctgf-T2A-dgCre"
"108",0.0506358445,94.6985,0.1945093458,0.03979,183.750033379,0.0408375636,19.4523683516,-78.2534942627,10.5598293532,98.24,-46.46875,95.335,35.4375038147,70,94.88,-36.7187538147,127.44,-56.8125038147,3.7967368985,81.9062538147,"Nr5a1-Cre"
"114",0.0246543952,73.405,0.1733333453,0.07042,150.468826294,0.0630087703,18.7585611336,-74.7002639771,13.6230502009,409.86,-50.71875,405.74,35.34375,110,405.24,-43.9062538147,447.78,-58.4062538147,4.7614168323,86.0625,"Ctgf-T2A-dgCre"
"132",0.0229875044,43.2695454545,0.27609375,0.03684,180.625006557,0.042949032,17.6546386112,-78.7545089722,23.1109430315,229.415,-48.8750038147,227.485,20.2812519073,50,227.01,-35.65625,329.965,-58.0937538147,2.2973004065,69.156255722,"Nr5a1-Cre"
"138",0.2092551622,54.24,0.0526760563,0.035925,148.43736589,0.0466642976,16.4843420319,-76.7660217285,18.4365781711,65.835,-46.03125,63.655,37.0625,150,63.22,-35.03125,79.86,-50.09375,3.6308231029,83.09375,"Nr5a1-Cre"
"139",1,83.18,0.1568855135,0.031845,145.624890924,0.0955294892,15.7585495358,-69.3971939087,12.0221207021,69.545,-47.2500038147,67.715,45.875,110,67.25,-35.1875,93.325,-53.7187538147,2.4844170064,93.1250038147,"Ntsr1-Cre_GN220"
"158",1,41.485,0.0551470574,0.02446,124.375075102,0.0180059671,12.6634987684,-81.8460159302,24.1050982283,41.3,-48.03125,39.355,37.65625,230,38.895,-41.6562538147,707.01,-51.59375,3.500343564,85.6875,"Nr5a1-Cre"
"159",0.048978994,74.37875,0.2426356589,0.047025,190.937504172,0.0479762889,26.8500880675,-71.7251586914,13.4447002672,152.19,-51.6562538147,150.17,46.5,50,149.72,-43.40625,193.115,-56.0625,3.8909790034,98.1562538147,"Rorb-IRES2-Cre"
"175",0.0148346836,66.7942857143,0.1880999158,0.04922,188.90632689,0.0176209826,30.6946340788,-75.0912857056,14.9713405766,134.76,-51.5000038147,132.44,44.7812538147,70,132.04,-39.09375,151.28,-58.0937538147,3.8918089684,96.2812576294,"Rorb-IRES2-Cre"
"181",0.2610853812,199.75,0.1329749232,0.059995,156.875044107,0.0385764726,19.0657315164,-80.403678894,5.00625782228,212.035,-52.09375,209.02,45,110,208.58,-44.1875,873.33,-61.5,4.586706002,97.09375,"Cux2-CreERT2"
"189",1,1000,0.044884492,0.043565,335.937708616,0.0485723428,23.5713573041,-65.9088363647,1,66.56,-46.7812538147,64.235,29.1875,110,63.645,-34.15625,103.645,-50.8125,2.3932422179,75.9687538147,"Rbp4-Cre_KL100"
"193",0.0398470684,100.118125,0.1503517059,0.074265,151.093795896,0.0657483265,20.2351468197,-73.7776107788,9.98820143705,125.525,-41.46875,123.455,36.625,70,123.14,-32.5937538147,172.25,-53.0625038147,3.3430857333,78.09375,"Scnn1a-Tg3-Cre"
"194",0.0320279014,45.110952381,0.2093023361,0.017515,151.56288445,0.1120072529,12.5977240256,-78.5200042725,22.1675656846,43.195,-47.5625038147,40.79,20.3125019073,180,40.16,-37.7812538147,43.195,-47.5625038147,2.5249961541,67.875005722,"Ntsr1-Cre_GN220"
"198",0.0147999528,92.074,0.1776712329,0.04876,164.062529802,0.2195701003,18.35345851,-69.3629837036,10.8608293329,161.16,-45.8437538147,158.5,45.5625038147,70,158.08,-38.0937538147,217.08,-57.2812538147,4.0599946004,91.4062576294,"Rorb-IRES2-Cre"
"203",0.07898608,93.744,0.190340908,0.04332,136.250004172,0.0072414633,22.3620219481,-69.0978317261,10.667349377,93.8,-43,91.06,38.21875,190,90.64,-31.0625,106.52,-47.9375,4.6862875937,81.21875,"Scnn1a-Tg2-Cre"
"250",0.0101593609,61.953,0.2355010661,0.0387,254.062503576,0.2895115018,21.8799708324,-77.1006546021,16.1412683809,98.045,-53.8125,95.835,29.375,70,95.37,-42.4687538147,114.76,-58.9375,2.921404395,83.1875,"Rbp4-Cre_KL100"
"263",0.0235217355,65.4935714286,0.2198780488,0.05602,196.874961257,0.0152577311,27.682354871,-73.4410629272,15.2686741338,186.67,-49.9375,184.295,42.5,50,183.895,-37.5937538147,210.51,-56.5000038147,4.1352029801,92.4375,"Rorb-IRES2-Cre"
"295",0.0688026187,67.251,0.1028761047,0.040295,167.96875,0.094158262,19.1808253576,-77.261932373,14.8696673655,66.995,-45.8437538147,63.635,31.6250019073,190,63.13,-32.28125,78.44,-48.7500038147,2.8758943752,77.468755722,"Rbp4-Cre_KL100"
"303",0.0362956774,74.8225,0.2178977273,0.05097,210.937380791,0.0616592243,20.7400340693,-77.8417892456,13.3649637475,118.28,-45.625,116.06,32.21875,90,115.575,-33.09375,142.095,-50.5,2.6507909929,77.84375,"Nr5a1-Cre"
"311",0.016471084,70.415,0.2135153091,0.055965,226.874992251,0.0378647484,29.9144457378,-72.0163574219,14.2015195626,301.15,-48.375,298.5,33.3125,50,298.005,-36.78125,333.655,-57.5312538147,3.038636214,81.6875,"Nr5a1-Cre"
"316",1,268.975,0.2268947465,0.0914,145.892828703,0.2085304558,13.2366997581,-75.6057662964,3.71781764104,179.855,-49.3437538147,178.525,45.1250038147,90,178.19,-39.0312538147,217.945,-57.0000038147,3.7189740068,94.4687576294,"Cux2-CreERT2"
"329",0.01582228,93.5061111111,0.1284237726,0.07467,131.093755364,0.0597853959,24.7628804764,-77.7642974854,10.6944881796,229.365,-52.6562538147,225.28,39.3437538147,90,224.83,-38.78125,271.675,-62.34375,4.4080738425,92.0000076294,"Rbp4-Cre_KL100"
"336",0.0088135924,76.3745454545,0.1902654834,0.0713,200.156211853,0.0591901094,28.8503721705,-72.7270736694,13.0933676142,493.56,-47.4062538147,490.04,35.4687538147,50,489.54,-37,531.74,-58.4062538147,3.2895535054,82.8750076294,"Rorb-IRES2-Cre"
"344",0.0979197865,67.1592857143,0.0200000078,0.01965,151.56249702,0.0824915841,17.3521689109,-71.3918457031,14.8899737298,38.58,-48.25,35.9,35.40625,190,35.44,-38.78125,47.87,-50.5937538147,3.6613683215,83.65625,"Rorb-IRES2-Cre"
"346",0.1039141876,153.395,0.0683593822,0.081125,125.937506556,0.057324186,20.8820934116,-78.1010055542,6.51911731152,150.49,-45,146.895,36.0000038147,150,146.425,-35.8437538147,191.19,-54.6875038147,3.9522051522,81.0000038147,"Rbp4-Cre_KL100"
"354",0.0295945765,73.8929166667,0.1988903278,0.029175,97.187384963,0.1956605017,12.3553537849,-70.7032394409,13.5330968801,68.555,-46,66.54,34,140,66.055,-39.7500038147,107.3,-56,3.1639686278,80,"Rbp4-Cre_KL100"
"358",0.0120808067,56.1767647059,0.3151515243,0.04458,215.468749404,0.0110207871,28.0103153747,-69.870262146,17.8009539217,334.1,-53.90625,332.535,47.9062538147,50,332.175,-44.34375,365.405,-56.4062538147,3.5514756365,101.812503815,"Rorb-IRES2-Cre"
"360",0.205976049,69.66,0.0678571429,0.03454,151.562511921,0.0181719251,17.204584451,-76.6518173218,14.355440712,113.495,-48.09375,111.38,42.2187538147,130,110.96,-37.5,141.81,-52.6250038147,3.6213228306,90.3125038147,"Nr5a1-Cre"
"371",1,1000,0.0968750042,0.073995,176.562339068,0.0305048507,20.5022012605,-83.2080993652,1,85.54,-51.5625038147,83.02,36.59375,130,82.565,-37.7500038147,103.375,-56.78125,4.2162788065,88.1562538147,"Nr5a1-Cre"
"372",0.0168667895,61.2356666667,0.1547618982,0.04051,93.75,0.1759252697,16.2139673128,-76.0012969971,16.3303521368,72.845,-47.3437538147,71.085,40.0000038147,170,70.685,-42.0000038147,106.075,-54,3.2465301047,87.3437576294,"Rbp4-Cre_KL100"
"376",0.0607535815,86.076,0.2370575265,0.061395,163.671776652,0.0431517996,25.1373961283,-64.7870788574,11.6176402249,231.505,-41.78125,230.055,43,50,229.71,-30.0625019073,272.135,-51.6250038147,2.6390771885,84.78125,"Scnn1a-Tg3-Cre"
"390",0.0537100688,135.660714286,0.1914772549,0.03096,119.374968111,0.1256251335,12.5231358808,-79.4126281738,7.37133078847,66.48,-51.4375,63.76,34.5625038147,230,63.255,-38.03125,79.085,-54.5000038147,2.9497624737,86.0000038147,"Ntsr1-Cre_GN220"
"398",1,1000,0.1412894381,0.10578,161.250039935,0.0817527473,20.8553685813,-73.9249649048,1,140.895,-45.0312538147,136.605,28.0625019073,150,136.135,-31.90625,174.385,-51.6562538147,3.7086496962,73.093755722,"Cux2-CreERT2"
"400",0.0388683455,65.3307142857,0.1943371445,0.0392,186.562463641,0.0307361148,17.5930274535,-77.5233535767,15.3067360572,90.74,-48.96875,88.965,43.625,90,88.56,-39.8437538147,106.63,-52.40625,3.7819179127,92.59375,"Cux2-CreERT2"
"415",0.0305429515,79.7181818182,0.1680803592,0.0668,126.71867013,0.043594446,13.9309004979,-76.2541275024,12.5441897594,684.36,-46.96875,678.88,45.53125,170,678.38,-37,700.12,-52.25,5.371530788,92.5,"Ctgf-T2A-dgCre"
"426",0.0416870725,92.3094444444,0.1082571511,0.070805,173.593640327,0.0580313243,29.6352980592,-71.9915924072,10.8331277045,296.86,-45.5625038147,292.99,49.6562538147,60.0000038147,292.53,-35.3750038147,355.33,-56.625,4.2266204351,95.2187576294,"Scnn1a-Tg3-Cre"
"427",0.0436978475,72.6995833333,0.2081578947,0.043385,223.43750298,0.0120425289,31.5016101569,-72.1348800659,13.7552370199,95.275,-47.65625,92.065,27,90,91.555,-33.46875,104.83,-51.59375,2.8617082227,74.65625,"Rorb-IRES2-Cre"
"448",0.2315746133,42.5025,0.0759016427,0.02055,106.250196695,0.1357292682,10.813287087,-71.9202270508,23.5280277631,48.42,-43.0937538147,47.075,32.1875038147,350,46.56,-28.5312519073,48.5,-43.2812538147,2.0136173422,75.2812576294,"Ntsr1-Cre_GN220"
"467",0.1172673005,67.9033333333,0.2026515146,0.033955,136.250078678,0.0068409266,21.2313732994,-70.2135238647,14.7268175347,68.835,-48.78125,66.475,32.1875,210,66.03,-33.9375,78.495,-51.21875,3.2667529774,80.96875,"Scnn1a-Tg3-Cre"
"503",1,1000,0.1140822799,0.07998,124.687425792,0.0178513993,17.4071186295,-76.0608215332,1,161.9,-47.0000038147,159.195,39.5312538147,150,158.765,-34.0312538147,192.6,-54.71875,3.2145150956,86.5312576294,"Scnn1a-Tg3-Cre"
"504",0.0219615695,61.05,0.1930487805,0.03964,225.000008941,0.1173092648,35.6840241891,-69.0845108032,16.38001638,111.76,-47.5625038147,109.945,33.3125038147,50,109.42,-41.0625,143.305,-53.7812538147,2.9597040117,80.8750076294,"Rorb-IRES2-Cre"
"517",0.0157644677,53.7608823529,0.2291005291,0.03667,233.750000596,0.1304496378,22.1629151974,-67.0954437256,18.6008851833,166.39,-49.0000038147,164.695,34.6875,50,164.19,-35.5312538147,202.395,-53.1562538147,2.4433285124,83.6875038147,"Nr5a1-Cre"
"524",0.0828730521,113.543571429,0.1732612056,0.05755,196.406245232,0.008573316,24.1878296564,-80.7700653076,8.80719170111,136.355,-48.34375,134.675,43.40625,70,134.215,-40.21875,183.015,-56.5937538147,3.842614265,91.75,"Cux2-CreERT2"
"525",0.0192024244,112.095,0.1212053575,0.09148,87.187461555,0.047224056,19.2962646777,-79.1463012695,8.92100450511,308,-46.34375,305.24,33.5625,190,304.72,-38.9687538147,341.54,-56.1250038147,3.669870142,79.90625,"Cux2-CreERT2"
"558",0.04322366,101.972222222,0.1708860882,0.0454,180.625081062,0.0832769647,23.2873195327,-70.3280029297,9.80659220921,85.335,-45.9062538147,83.2,32.6562538147,90,82.785,-34.71875,118.025,-53.75,3.000143663,78.5625076294,"Rbp4-Cre_KL100"
"563",0.0284172257,61.0526666667,0.2271505474,0.037945,179.687470198,0.0325120091,26.7562918847,-80.1294937134,16.3793009314,119.55,-54.0937538147,117.48,35.1875,100,117.09,-42.28125,136.085,-60.6562538147,3.2783341195,89.2812538147,"Scnn1a-Tg3-Cre"
"585",0.0249703832,65.9067857143,0.2181329109,0.03656,159.531101584,0.043673683,18.7328027823,-75.1710586548,15.1729444724,67.045,-44.65625,64.125,23.5937519073,190,63.39,-32.9062538147,79.135,-48.8437538147,2.5794692031,68.2500019073,"Rbp4-Cre_KL100"
"586",1,67.97,0.1212747787,0.03793,79.9999982119,0.1072227731,10.9458939848,-82.5060348511,14.7123731058,85.905,-46.75,84.14,32.28125,350,83.66,-35,102.095,-52.7812538147,2.5794769354,79.03125,"Ntsr1-Cre_GN220"
"589",0.050893189,64.0175,0.0833333391,0.03237,203.571513295,0.026670441,17.2304328794,-66.6489105225,15.620728707,90.85,-42.5625038147,87.99,38.8750038147,70,87.42,-33.8750038147,102.555,-46.96875,3.3909861513,81.4375076294,"Scnn1a-Tg3-Cre"
"591",0.0224147992,63.3373333333,0.2718451447,0.04018,243.749886751,0.0361787789,27.1968830394,-75.3940582275,15.7884765173,120.8,-46.8750038147,118.14,38.375,110,117.7,-33.1875,133.26,-51.21875,3.6318208398,85.2500038147,"Cux2-CreERT2"
"597",0.0304625429,57.28625,0.2151219512,0.05378,145.312458277,0.0214718916,20.1815595579,-79.2950744629,17.4561958585,147.77,-48.375,145.26,34.78125,70,144.85,-38.125,178.195,-54.1875038147,3.8778059393,83.15625,"Scnn1a-Tg2-Cre"
"608",0.0394389224,71.8569230769,0.1642857143,0.04536,188.90632689,0.0201559868,17.969293862,-81.2816925049,13.9165435588,101.73,-52.28125,99.96,26,90,99.435,-40.96875,118.24,-53.2187538147,2.3315205682,78.28125,"Rorb-IRES2-Cre"
"616",0.1587516235,81.548,0.1102124291,0.04437,157.500043511,0.0933771506,21.9469476709,-74.5154037476,12.2627164369,93.82,-48.4687538147,90.735,38.8750038147,110,90.265,-37.5,113.875,-52.2187538147,4.0153479092,87.3437576294,"Rorb-IRES2-Cre"
"619",0.109352402,132.263333333,0.1119047675,0.071775,164.375007153,0.0463079326,24.9328388156,-76.0636901855,7.56067441216,172.225,-43.78125,168.56,33.40625,90,168.01,-32.15625,216.95,-52.6875038147,3.3632520096,77.1875,"Cux2-CreERT2"
