"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"11",4.6397016667,-50.8229179382,4.6352066667,26.8020846049,115.875,4.6345166667,-38.6875025431,4.6603766667,-56.8125025431,2.5382313044,77.6250025431,"Rbp4-Cre_KL100"
"21",5.6534733333,-45.2187525431,5.65166,28.447918574,141.291666667,5.65096,-31.1666679382,5.6719333333,-50.0208358765,1.7580552119,73.6666711171,"Ntsr1-Cre_GN220"
"24",4.7213533333,-46.1770833333,4.7188533333,38.9791666667,117.708328247,4.7184266667,-35.6354166667,4.7622066667,-55.6458333333,3.9976222416,85.15625,"Scnn1a-Tg3-Cre"
"56",1.2953866667,-48.3645858765,1.293565,39.5,32.3333333333,1.29306,-37.6250025431,1.3356316667,-54.5416692098,2.8922414862,87.8645858765,"Rorb-IRES2-Cre"
"60",4.989055,-44.2916679382,4.9863066667,32.8229166667,124.625,4.9858883333,-34.9270833333,5.0276933333,-56.0208333333,3.0476494712,77.1145846049,"Scnn1a-Tg2-Cre"
"62",4.088525,-52.2812538147,4.0866725,43.9062519073,102.1875,4.0862325,-38.890625,4.1140425,-56.90625,3.4958255136,96.187505722,"Cux2-CreERT2"
"72",4.258715,-49.1354204814,4.2569216667,44.8854192098,106.416666667,4.256585,-35.7916679382,4.2769616667,-53.8229204814,3.398342305,94.0208396912,"Cux2-CreERT2"
"75",2.48182,-50.0833333333,2.4783566667,47.3750038147,61.9166666667,2.477945,-36.4375012716,2.5179783333,-57.239587148,4.6850489606,97.458337148,"Rorb-IRES2-Cre"
"84",3.6798416667,-51.6562512716,3.6755466667,38.78125,91.9166666667,3.6750566667,-41.0625,3.715435,-59.1666666667,4.556972773,90.4375012716,"Scnn1a-Tg2-Cre"
"106",7.653895,-43.6770858765,7.6497116667,41.4166704814,191.25,7.64929,-38.7604192098,7.697475,-52.4687538147,4.1849655377,85.0937563579,"Rbp4-Cre_KL100"
"107",1.8032866667,-51.302087148,1.80024,40.3645858765,45,1.7998,-41.864587148,1.8394133333,-58.4270846049,4.4179228874,91.6666730245,"Ctgf-T2A-dgCre"
"108",2.7140683333,-47.5625025431,2.7103883333,37.5208346049,67.7916666667,2.7099066667,-36.1979192098,2.7415533333,-56.4687512716,3.6373400179,85.083337148,"Nr5a1-Cre"
"114",3.9001133333,-49.2291692098,3.8962866667,43.5937538147,97.375,3.8958266667,-42.6250012716,3.9397866667,-56.6250025431,5.4273570258,92.8229230245,"Ctgf-T2A-dgCre"
"132",3.0008616667,-50.3437512716,2.9992866667,29.3645846049,74.9583333333,2.9988383333,-37.9166679382,3.0357083333,-54.2916666667,2.5753178393,79.7083358765,"Nr5a1-Cre"
"138",6.486305,-46.5104166667,6.4838016667,44.4583346049,162.125,6.4833633333,-32.1145846049,6.4991866667,-51.7708346049,3.6906813408,90.9687512716,"Nr5a1-Cre"
"139",5.647935,-44.1354192098,5.6460833333,46.4166666667,141.166666667,5.6455666667,-32.3854192098,5.6691283333,-50.8958346049,2.4563515956,90.5520858765,"Ntsr1-Cre_GN220"
"158",5.7782083333,-50.0833333333,5.77599,37.6562512716,144.416666667,5.7755116667,-32.6770852407,5.7914683333,-55.2708346049,2.6464303537,87.7395846049,"Nr5a1-Cre"
"159",1.89856,-49.1875,1.896345,48.927087148,47.4166666667,1.8958933333,-42.3020858765,1.944955,-54.5416704814,4.2694360822,98.114587148,"Rorb-IRES2-Cre"
"175",2.21129,-52.0625038147,2.20909,46.6562538147,55.1875,2.20869,-37.8593769073,2.2331,-59.4375038147,4.1014939556,98.7187576294,"Rorb-IRES2-Cre"
"181",3.24101,-49.9687512716,3.2384716667,47.2291692098,80.9583307902,3.2380233333,-41.6250012716,3.293415,-58.7812525431,4.6265673789,97.1979204814,"Cux2-CreERT2"
"189",4.287645,-49.0312519073,4.2851375,28.7031269073,107.124996185,4.284475,-33.015625,4.3014325,-52.0312519073,2.0680353757,77.7343788146,"Rbp4-Cre_KL100"
"193",2.80100125,-41.828127861,2.79947875,35.8671898842,70,2.79913375,-31.8125019073,2.85448625,-56.0078144073,3.0973018281,77.6953177452,"Scnn1a-Tg3-Cre"
"194",5.664665,-48.6250038147,5.6624,30.3750019073,141.5,5.66176,-35,5.6893,-51.1875038147,2.2920066512,79.000005722,"Ntsr1-Cre_GN220"
"198",2.3479266667,-47.1458358765,2.3457133333,48.5520833333,58.625,2.3453,-38.6979179382,2.4106066667,-56.4062525431,4.1217453789,95.6979192098,"Rorb-IRES2-Cre"
"203",4.4291933333,-44.8333346049,4.4256,37.5520846049,110.625,4.4251266667,-30.9791679382,4.4462933333,-50.1875012716,4.0724268855,82.3854192098,"Scnn1a-Tg2-Cre"
"250",2.76902,-52.5729192098,2.76628,30.5104173024,69.125,2.7657983333,-40.5833346049,2.79499,-59.5833346049,2.9089609212,83.0833365122,"Rbp4-Cre_KL100"
"263",1.643435,-50.96875,1.6409266667,44.3645858765,41,1.6405233333,-36.9479166667,1.6647866667,-56.28125,4.3998514134,95.3333358765,"Rorb-IRES2-Cre"
"295",5.4242583333,-40.1041679382,5.422145,21.270834287,135.541666667,5.42145,-27.0000019073,5.455265,-51.0937512716,1.8599263338,61.3750022252,"Rbp4-Cre_KL100"
"303",2.927355,-45.5416666667,2.9254733333,33.6875012716,73.125,2.924985,-31.40625,2.9605166667,-53.6979179382,2.456152251,79.2291679383,"Nr5a1-Cre"
"311",2.0260166667,-48.5520833333,2.0238066667,37.6875012716,50.625,2.0233366667,-36.6145846049,2.0543016667,-56.0416666667,3.0871268393,86.2395846049,"Nr5a1-Cre"
"316",3.4261066667,-47.7291704814,3.42466,38.9166679382,85.5833307902,3.4242766667,-37.5000025431,3.46025,-54.3125038147,3.3118086996,86.6458384196,"Cux2-CreERT2"
"329",3.7184316667,-51.0833358765,3.714645,45.7083346049,92.875,3.7142316667,-37.0625012716,3.7497183333,-59.2395846049,4.6153230049,96.7916704814,"Rbp4-Cre_KL100"
"336",2.29284,-47.895837148,2.2903666667,39.4791692098,57.25,2.2898733333,-37.7916679382,2.32372,-56.7395846049,3.3013148435,87.3750063578,"Rorb-IRES2-Cre"
"344",2.2849483333,-49.0625012716,2.282935,49.6770846049,57.0416679382,2.282535,-37.6041679382,2.3256116667,-57.3020846049,4.1600972904,98.7395858765,"Rorb-IRES2-Cre"
"346",4.6608616667,-45.5729204814,4.6580633333,42.0416679382,116.41666921,4.6576133333,-36.5208346049,4.710415,-56.8854204814,3.7866526799,87.6145884196,"Rbp4-Cre_KL100"
"354",3.6000283333,-47.6250038147,3.5978566667,32.9583358765,89.9166666667,3.5973783333,-37.5416692098,3.6402483333,-57.3541692098,3.0046934143,80.5833396912,"Rbp4-Cre_KL100"
"358",1.9036175,-52.8593788147,1.9020125,51.2343769073,47.5624980927,1.90166,-41.859375,1.9322175,-54.8281288147,3.9688018999,104.093755722,"Rorb-IRES2-Cre"
"360",2.981575,-51,2.9795616667,46.0416704814,74.4583333333,2.979165,-39.4895833333,3.0169083333,-57.7708358765,3.5836967373,97.0416704814,"Nr5a1-Cre"
"371",2.5468716667,-51.6979166667,2.5441316667,42.2812525431,63.625,2.5437083333,-35.5416666667,2.5793,-59.15625,4.3271225808,93.9791692098,"Nr5a1-Cre"
"372",5.4766066667,-48.7916692098,5.4748,42.6458358765,136.833325704,5.4743833333,-42.1458346049,5.5369933333,-54.9583358765,3.126240307,91.4375050863,"Rbp4-Cre_KL100"
"376",2.0308533333,-43.9895858765,2.02944,43.6770846049,50.7083320618,2.0291033333,-31.541668574,2.0601083333,-51.0208346049,2.7297023183,87.6666704814,"Scnn1a-Tg3-Cre"
"390",6.45864,-51.6979179382,6.4562233333,36.2604192098,161.416666667,6.4557133333,-36.8437525431,6.480465,-57.7812525431,2.532543006,87.958337148,"Ntsr1-Cre_GN220"
"398",3.1171225,-46.4218788147,3.1133125,29.5312519073,77.8124961853,3.1128575,-32.7343769073,3.155995,-56.6562519073,3.7445866109,75.953130722,"Cux2-CreERT2"
"400",2.91675,-51.1145858765,2.914915,45.4583358765,72.875,2.914515,-41.84375,2.952325,-55.5625025431,4.1835454269,96.572921753,"Cux2-CreERT2"
"415",6.4055533333,-48.9791666667,6.4001733333,47.6770846049,159.958333333,6.3997133333,-36.4895846049,6.41904,-54.4791679382,5.8759849356,96.6562512716,"Ctgf-T2A-dgCre"
"426",2.7154783333,-47.3541692098,2.7127316667,52.4583358765,67.7916653951,2.7122716667,-36.6354166667,2.76376,-57.1562512716,4.3598391843,99.8125050863,"Scnn1a-Tg3-Cre"
"427",3.0916083333,-48.1979166667,3.0876566667,29.1875006358,77.1666666667,3.0871033333,-32.1770839691,3.111915,-54.2812525431,2.7763631157,77.3854173025,"Rorb-IRES2-Cre"
"448",8.5996333333,-46.0104179382,8.598375,36,214.958323161,8.597825,-29.822918574,8.6148816667,-48.5625038147,1.750199006,82.0104179382,"Ntsr1-Cre_GN220"
"467",5.5138266667,-50.0000012716,5.5112083333,32.135418574,137.791664123,5.5107283333,-34.3020833333,5.530865,-55.0312512716,2.8226685975,82.1354198456,"Scnn1a-Tg3-Cre"
"503",3.6610133333,-47.6979192098,3.6585833333,39.7916679382,91.4583333333,3.65815,-31.4166679382,3.69725,-57.208337148,2.7897903747,87.489587148,"Scnn1a-Tg3-Cre"
"504",2.1528133333,-46.4791692098,2.1504733333,37.25,53.7499987284,2.1499483333,-37.9583346049,2.191165,-53.4375038147,3.0485135953,83.7291692098,"Rorb-IRES2-Cre"
"517",1.8589016667,-49.0104179382,1.8572016667,37.8020846049,46.375,1.8567066667,-35.3125,1.8997233333,-52.3541679382,2.6335965239,86.8125025431,"Nr5a1-Cre"
"524",3.5385075,-45.7031288147,3.53687,36.8281269073,88.375,3.5363075,-35.3281269073,3.5777025,-54.2656269073,2.825120853,82.531255722,"Cux2-CreERT2"
"525",7.6676533333,-45.927087148,7.6651066667,36.8645846049,191.625,7.6646,-37.8541679382,7.7020266667,-54.0104192098,3.523345978,82.7916717529,"Cux2-CreERT2"
"558",2.9207516667,-49.3020846049,2.919005,34.5000025431,72.9583333333,2.91857,-36.9270833333,2.948415,-56.739587148,2.7028651688,83.802087148,"Rbp4-Cre_KL100"
"563",3.4219716667,-52.614587148,3.4201716667,35.53125,85.5416666667,3.4197833333,-39.2395858765,3.4443216667,-58.9791704814,3.0492820913,88.145837148,"Scnn1a-Tg3-Cre"
"585",5.4564866667,-41.0833358765,5.4533983333,19.8854173024,136.291666667,5.4526116667,-29.7395846049,5.4840433333,-49.9583358765,2.2246677053,60.9687531789,"Rbp4-Cre_KL100"
"586",12.5896,-48.9218769073,12.587935,38.296875,314.6875,12.5874575,-35.8125,12.6067825,-54.4218769073,2.4302311012,87.2187519073,"Ntsr1-Cre_GN220"
"589",1.940345,-41.8750025431,1.9371466667,41.5520846049,48.4583346049,1.936595,-30.2395852407,1.9631383333,-48.7916692098,3.292593919,83.427087148,"Scnn1a-Tg3-Cre"
"591",2.6589333333,-46.833337148,2.6564133333,37.0416666667,66.3749987284,2.6559333333,-31.9791679382,2.6776333333,-53.1979192098,3.340731052,83.8750038147,"Cux2-CreERT2"
"597",3.1135283333,-47.7500038147,3.11109,38.2708333333,77.7916666667,3.11069,-37.5000012716,3.167365,-55.4687512716,3.9932875612,86.020837148,"Scnn1a-Tg2-Cre"
"608",2.4566366667,-52.5104179382,2.4549783333,34.7291666667,61.3750012716,2.4544766667,-40.1562512716,2.4819,-55.0416679382,2.5458480682,87.2395846049,"Rorb-IRES2-Cre"
"616",2.645815,-48.6250012716,2.64297,38.9687525431,66.0416679382,2.642455,-36.1770858765,2.6913716667,-54.208337148,3.7358244283,87.5937538147,"Rorb-IRES2-Cre"
"619",3.3740383333,-44.7083346049,3.3714366667,37.2395833333,84.2916666667,3.37092,-31.8958352407,3.4178433333,-54.5937512716,3.0451285609,81.9479179382,"Cux2-CreERT2"
"629",5.4788333333,-51.927087148,5.477,37.7500025431,136.958333333,5.4765466667,-38.7708346049,5.49602,-57.1041704814,3.2919264931,89.6770896911,"Rorb-IRES2-Cre"
"643",2.4150383333,-48.2083333333,2.4126983333,48.5208358765,60.2916615804,2.4123383333,-34.9687512716,2.4409016667,-54.0625025431,4.0672399779,96.7291692098,"Rorb-IRES2-Cre"
"646",6.5447666667,-45.3958358765,6.5429016667,42.9895833333,163.583333333,6.54251,-41.2083358765,6.5975316667,-54.1875012716,3.424211127,88.3854192098,"Rbp4-Cre_KL100"
"653",2.306985,-50.7916692098,2.304785,45.0520846049,57.625,2.3042766667,-36.6041679382,2.3211383333,-53.7708358765,3.5005414111,95.8437538147,"Nr5a1-Cre"
"659",1.760485,-51.2083358765,1.758125,41.7291679382,43.9583333333,1.7576966667,-38.0625,1.7834633333,-55.4687512716,3.6234760907,92.9375038147,"Rorb-IRES2-Cre"
"679",4.785325,-45.1979192098,4.7831533333,38.6979179382,119.583323161,4.7827916667,-35.8958346049,4.81725,-55.6562538147,3.171764043,83.895837148,"Scnn1a-Tg3-Cre"
"698",6.22186,-44.5208358765,6.21828,49.3750012716,155.416666667,6.2177466667,-41.4583346049,6.2471533333,-51.9687538147,4.0243836904,93.8958371481,"Cux2-CreERT2"
"699",13.1538366667,-47.8333333333,13.1507316667,16.552084287,328.75,13.1499366667,-31.0208358765,13.1603166667,-50.6979204814,1.5382593579,64.3854176203,"Nr5a1-Cre"
"725",4.57252,-49.6666679382,4.5705966667,47.8020833333,114.208328247,4.570075,-37.2604204814,4.5977033333,-54.5729204814,2.8104870663,97.4687512715,"Ntsr1-Cre_GN220"
"736",2.37264,-49.4270846049,2.3706066667,39.1458346049,59.2083333333,2.3701333333,-33.4583346049,2.3987466667,-55.6562512716,3.3559592614,88.5729192098,"Cux2-CreERT2"
"737",2.9948533333,-43.3541679382,2.9918666667,43.7916692098,74.7916666667,2.99128,-41.2083358765,3.03814,-49.2083358765,4.2028488449,87.145837148,"Ctgf-T2A-dgCre"
"756",5.70468,-51.1562525431,5.70239,33.4375012716,142.583335877,5.7020216667,-34.0104166667,5.717875,-55.3229192098,3.3084248901,84.5937538147,"Rorb-IRES2-Cre"
"759",2.8683933333,-49.1562538147,2.8669066667,50.1041692098,71.6666641235,2.8665083333,-36.4166692098,2.9110433333,-54.6666692098,3.2801638172,99.2604230245,"Nr5a1-Cre"
"767",2.671295,-46.9062538147,2.6667583333,34.7708358765,66.6666666667,2.66619,-33.2708333333,2.713515,-54.2916692098,3.6654467281,81.6770896912,"Cux2-CreERT2"
"784",3.73336,-48.6041666667,3.7314716667,41.4687525431,93.2916666667,3.731035,-35.125,3.7542966667,-53.8125012716,3.0654555121,90.0729192098,"Scnn1a-Tg2-Cre"
"787",6.7043933333,-50.8854204814,6.7021433333,39.7812525431,167.541666667,6.7016316667,-37.4479204814,6.7205816667,-53.927087148,2.8442425616,90.6666730245,"Ntsr1-Cre_GN220"
"795",1.4711766667,-49.2187512716,1.469345,35.4791679382,36.7083333333,1.4688716667,-35.4583346049,1.4864583333,-54.2604179382,2.7454538084,84.6979192098,"Rorb-IRES2-Cre"
"820",6.626095,-53.0416704814,6.6241833333,41.4791679382,165.625,6.6236216667,-34.7604179382,6.6452816667,-53.9687525431,2.5112535061,94.5208384196,"Scnn1a-Tg3-Cre"
"824",3.5977833333,-45.2500012716,3.5925566667,42.1458333333,89.8333333333,3.591985,-37.0208346049,3.6384833333,-51.9687538147,4.0614743227,87.3958346049,"Rbp4-Cre_KL100"
"832",2.6424133333,-48.2500025431,2.6404866667,40.7500025431,65.9999987284,2.6400666667,-35.1770846049,2.6599133333,-54.3854179382,3.339686864,89.0000050862,"Nr5a1-Cre"
"846",1.9692933333,-53.5104192098,1.9651733333,43.9166692098,49.125,1.9646733333,-44.2187538147,2.0204066667,-61.6666704814,4.6062812295,97.4270884196,"Ctgf-T2A-dgCre"
"855",4.4515583333,-45.6041679382,4.449215,37.2395858765,111.20833079,4.4487816667,-31.8229198456,4.504495,-52.3125038147,3.7048887154,82.8437538147,"Scnn1a-Tg2-Cre"
"863",10.1284166667,-53.3229192098,10.1263166667,36.9791679382,253.166656494,10.125765,-36.6041679382,10.1438633333,-55.6041692098,2.8240649366,90.302087148,"Rorb-IRES2-Cre"
"866",3.1885333333,-52.520837148,3.1836733333,40.5104192098,79.5833333333,3.18314,-37.5312512716,3.2051533333,-57.9375025431,4.356255561,93.0312563578,"Rorb-IRES2-Cre"
"887",6.5634116667,-43.0208346049,6.56233,22.1458352407,164.041666667,6.5617883333,-27.53125,6.5803366667,-47.8854204814,1.5886530659,65.1666698456,"Ntsr1-Cre_GN220"
"906",5.4341433333,-42.3333358765,5.432355,31.0416666667,135.833333333,5.4319116667,-33.2604166667,5.4562716667,-52.1979179382,2.0590229177,73.3750025432,"Rorb-IRES2-Cre"
"908",4.6259216667,-44.0208346049,4.6235966667,35.1979166667,115.54166158,4.6230833333,-39.2812525431,4.7073133333,-52.4375012716,3.2434821625,79.2187512716,"Rbp4-Cre_KL100"
"915",1.474345,-51.90625,1.471635,42.84375,36.75,1.471115,-39.0312538147,1.504225,-57.8437538147,3.4684866018,94.75,"Scnn1a-Tg3-Cre"
"926",3.7545866667,-49.0833333333,3.75297,53.0000025431,93.7916641235,3.7526033333,-39.6666692098,3.7880283333,-54.5520858765,4.3402025489,102.083335876,"Rorb-IRES2-Cre"
"931",3.0629433333,-43.8020858765,3.0603666667,43.2604166667,76.5,3.059835,-36.2604166667,3.10704,-51.1666666667,3.8178296593,87.0625025432,"Scnn1a-Tg2-Cre"
"932",1.5047533333,-52.114587148,1.5028733333,42.3645846049,37.5833333333,1.5024333333,-37.6875038147,1.5209866667,-56.7187538147,3.262995793,94.4791717529,"Cux2-CreERT2"
"940",3.6533183333,-48.6041679382,3.6515466667,42.5937525431,91.2916666667,3.6511366667,-35.6770846049,3.675095,-54.552087148,3.2110325622,91.1979204813,"Rorb-IRES2-Cre"
"942",2.154485,-48.5416666667,2.152455,33.9375012716,53.7916679382,2.1519766667,-37.0520858765,2.1782266667,-54.1770858765,3.1323542432,82.4791679383,"Rorb-IRES2-Cre"
"966",4.63526,-50.1666692098,4.6329466667,42.4375025431,115.791666667,4.6324466667,-34.6458346049,4.6609133333,-57.5000012716,3.4159835495,92.6041717529,"Scnn1a-Tg3-Cre"
