"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"11",5.854,-54.6375030518,3.478,26.3000015259,780,2.943,-49.9000030518,557.57,-75.2062545776,2.9199902984,80.9375045777,"Rbp4-Cre_KL100"
"21",5.011,-55.7875030518,3.336,35.7625007629,450,2.946,-48.1375022888,592.528,-67.3937530518,2.9362278808,91.5500038147,"Ntsr1-Cre_GN220"
"24",5.428,-51.8750022888,3.46,36.8625022888,1080,3.104,-45.3062515259,585.676,-78.3750045776,3.8306504713,88.7375045776,"Scnn1a-Tg3-Cre"
"56",5.009,-52.5312522888,3.27,33.1625003815,419.999969482,2.845,-43.4062522888,578.273,-71.6875045776,2.8999130758,85.6937526703,"Rorb-IRES2-Cre"
"60",5.23375,-47.5546875,3.51375,28.6484379768,0,3.1525,-41.6796884537,493.15625,-74.078125,2.9989667068,76.2031254768,"Scnn1a-Tg2-Cre"
"62",4.8575,-57.5781269073,3.105,38.3437519073,720,2.7175,-54.1406269073,638.8925,-82.1406288147,3.8665216991,95.9218788146,"Cux2-CreERT2"
"72",4.327,-51.2937530518,3.163,42.5937522888,939.999938965,2.875,-47.3062515259,517.228,-78.9375030518,3.6922526397,93.8875053406,"Cux2-CreERT2"
"75",5.81,-51.1562519073,3.365,49.296877861,700,3.01,-46.445315361,300.48875,-72.2734451294,4.53861343,100.453129768,"Rorb-IRES2-Cre"
"84",6.725,-56.21875,3.5875,38.4531259537,959.999938965,3.11375,-54.6250009537,727.1675,-80.3515625,4.678072735,94.6718759537,"Scnn1a-Tg2-Cre"
"106",5.255,-45.0937519073,3.3925,38.2578144073,1330,3.0275,-47.0000019073,533.97875,-78.8359413147,3.8818498907,83.3515663146,"Rbp4-Cre_KL100"
"107",6.236,-54.3562522888,3.512,40.1562515259,479.999969482,3.132,-45.3687522888,500.652,-73.3500045776,4.3090883,94.5125038147,"Ctgf-T2A-dgCre"
"108",5.36125,-47.515625,3.5225,31.1328129768,860,3.09875,-42.5234375,563.89,-79.5234394073,3.4866314143,78.6484379768,"Nr5a1-Cre"
"114",6.52,-53.6562538147,3.48,30.6562519073,830,3.06,-41.71875,516.12,-75.2500076294,3.9064435586,84.312505722,"Ctgf-T2A-dgCre"
"132",5.061,-51.2125015259,3.392,20.9875007629,670,2.978,-44.8187507629,332.554,-78.8250061035,2.5704095827,72.2000022888,"Nr5a1-Cre"
"138",5.0025,-48.5703144073,3.3175,41.5078144073,900,2.955,-43.828125,520.85,-77.4843769073,4.1758505252,90.0781288146,"Nr5a1-Cre"
"139",5.055,-51.0312530518,3.398,49.5187522888,680,3.013,-45.5750030518,532.211,-70.0812530518,3.3719861112,100.550005341,"Ntsr1-Cre_GN220"
"158",5.25125,-50.195315361,3.47625,43.8828125,910,3.09625,-51.4531259537,580.63,-82.3359394073,3.839150346,94.078127861,"Nr5a1-Cre"
"159",5.6541667,-55.0677108765,3.565,47.854168574,520,3.155,-48.5677096049,497.5833333,-72.6093788147,4.2082291424,102.921879451,"Rorb-IRES2-Cre"
"175",5.08,-54.0625038147,3.4333333,45.989587148,760,3.08,-47.1666704814,397.6666667,-76.1875050863,4.1138618197,100.052090963,"Rorb-IRES2-Cre"
"181",5.73125,-53.945315361,3.45875,45.945315361,870,3.055,-48.6953163147,662.41875,-80.8281269073,4.8540207025,99.890630722,"Cux2-CreERT2"
"189",5.16125,-52.148440361,3.415,29.7734384537,550,2.9175,-45.023440361,431.805,-66.7500019073,2.5471432083,81.9218788147,"Rbp4-Cre_KL100"
"193",4.48,-46.8312515259,3.342,37.8125015259,1030,3.05,-45.3937522888,216.623,-75.2937545776,3.3067701909,84.6437530518,"Scnn1a-Tg3-Cre"
"194",6.102,-54.7187522888,3.705,16.7187507629,720,3.187,-41.4875030518,101.797,-79.4312530518,2.3297884026,71.4375030517,"Ntsr1-Cre_GN220"
"198",5.052,-51.7000022888,3.368,45.9250015259,720,3.028,-45.3062515259,85.444,-70.5375015259,4.0172443246,97.6250038147,"Rorb-IRES2-Cre"
"203",5.61,-48.648440361,3.44,40.882815361,999.999938965,3.03,-44.2578134537,874.03,-68.695318222,4.2912475657,89.531255722,"Scnn1a-Tg2-Cre"
"250",5.9325,-59.0156269073,3.5225,24.8046884537,760,3.13,-38.8593759537,224.17375,-77.5078125,2.3843709168,83.820315361,"Rbp4-Cre_KL100"
"263",5.3033333,-53.1822929382,3.4616667,44.7656262716,650,3.1108333,-46.1458333333,432.7333333,-73.8958346049,4.4205262197,97.9479192098,"Rorb-IRES2-Cre"
"295",5.27875,-51.4375019073,3.41125,42.6562519073,960.000061035,3.04625,-46.15625,317.08375,-77.8359375,3.3559129446,94.0937538146,"Rbp4-Cre_KL100"
"303",5.1175,-50,3.525,35.7968769073,0,3.13,-42.0156288147,707.3975,-78.453125,3.0631381728,85.7968769073,"Nr5a1-Cre"
"311",5.54,-50.9062519073,3.7,33.34375,660,3.285,-41.9375,747.6375,-73.28125,3.1182982086,84.2500019073,"Nr5a1-Cre"
"316",4.19625,-53.093752861,3.09875,39.1640644073,680,2.7925,-47.1015644073,524.5525,-75.40625,3.4565230896,92.2578172683,"Cux2-CreERT2"
"329",6.7383333,-55.2291679382,3.4266667,42.9791679382,1300,3.0166667,-46.8333333333,382.735,-78.40625,4.4658753786,98.2083358764,"Rbp4-Cre_KL100"
"336",5.268,-53.3625022888,3.424,35.6687507629,640,3.016,-45.7875007629,696.044,-73.5250015259,3.3705647739,89.0312530517,"Rorb-IRES2-Cre"
"344",5.1433333,-52.7500012716,3.5216667,47.5,0,3.1716667,-44.5208333333,489.0283333,-73.2708333333,4.0018445537,100.250001272,"Rorb-IRES2-Cre"
"346",6.055,-49.539065361,3.51125,41.0625038147,1320,3.0975,-48.085940361,549.38,-78.8906269073,4.0183786943,90.6015691757,"Rbp4-Cre_KL100"
"354",5.077,-51.7937522888,3.43,34.3375015259,870,3.042,-48.0312530518,71.027,-71.4875061035,3.394701058,86.1312538147,"Rbp4-Cre_KL100"
"358",4.8316667,-55.4375012716,3.4516667,48.25,0,3.1416667,-48.625,752.7033333,-70.46875,3.8166125966,103.687501272,"Rorb-IRES2-Cre"
"360",5.276,-50.5625007629,3.423,45.3250022888,180,3.051,-48.9062522888,662.619,-77.7750015259,3.8926625282,95.8875030517,"Nr5a1-Cre"
"371",5.457,-53.8125007629,3.375,42.3687522888,979.999938965,3.003,-47.51875,806.025,-84.0875,4.9190023956,96.1812530517,"Nr5a1-Cre"
"372",4.926,-51.2125030518,3.463,38.3062515259,240,3.088,-50.7187522888,200.258,-76.9750030518,3.1197225059,89.5187545777,"Rbp4-Cre_KL100"
"376",4.10625,-48.5546894073,3.00125,44.3203144073,580,2.725,-43.101565361,547.78625,-65.6562538147,3.381707107,92.8750038146,"Scnn1a-Tg3-Cre"
"390",5.665,-59.1197942098,3.4883333,36.6145852407,790,3.0575,-51.9583352407,76.0833333,-80.1927108765,2.6904092583,95.7343794505,"Ntsr1-Cre_GN220"
"398",5.817,-53.3250015259,3.332,33.5375026703,939.999938965,2.963,-46.5312530518,308.661,-75.1312545776,4.0605120572,86.8625041962,"Cux2-CreERT2"
"400",5.042,-53.2437530518,3.263,42.6875030518,509.999969482,2.914,-46.8125,660.027,-78.4312530518,4.0544127095,95.9312561036,"Cux2-CreERT2"
"415",6.66,-49.21875,3.52,44.1562538147,890,3.14,-44.34375,964.14,-75.53125,4.8742435702,93.3750038147,"Ctgf-T2A-dgCre"
"426",5.6625,-48.578125,3.415,53.5312519073,999.999938965,3.0025,-44.9687519073,988.5225,-72.4843826294,4.2380197995,102.109376907,"Scnn1a-Tg3-Cre"
"427",5.122,-52.7375022888,3.377,27.0562503815,730,2.995,-43.4937507629,657.795,-72.8250015259,3.0435890761,79.7937526703,"Rorb-IRES2-Cre"
"448",5.08,-48.8437538147,3.51,41.71875,0,3.045,-45,98.99,-72.125,2.4197028962,90.5625038147,"Ntsr1-Cre_GN220"
"467",5.06875,-53.46875,3.3675,39.25,400,3.025,-48.9921884537,750.7175,-70.4140644073,3.7961493991,92.71875,"Scnn1a-Tg3-Cre"
"503",5.358,-51.0125015259,3.402,46.7500022888,1160,3.045,-46.5875022888,404.983,-76.1562561035,3.783612446,97.7625038147,"Scnn1a-Tg3-Cre"
"504",5.3633333,-50.7187538147,3.5716667,30.7604173024,0,3.1366667,-45.2916679382,694.5933333,-70.2916717529,2.987735584,81.4791711171,"Rorb-IRES2-Cre"
"517",4.651,-53.8812515259,3.147,33.3062534332,352,2.756,-43.1062515259,373.486,-67.7812530518,2.7954586564,87.1875049591,"Nr5a1-Cre"
"524",5.144,-51.7062530518,3.316,43.8687507629,760,2.922,-48.7625007629,726.3,-80.7687530518,4.4339271843,95.5750038147,"Cux2-CreERT2"
"525",5.776,-50.6312515259,3.576,36.2562507629,1730,3.132,-47.1562530518,670.548,-79.3812530518,3.8162059802,86.8875022888,"Cux2-CreERT2"
"558",4.7075,-52.5703134537,3.36,34.1562519073,167.5,3.02,-46.2109375,513.66875,-71.2500019073,2.9390097983,86.726565361,"Rbp4-Cre_KL100"
"563",5.102,-53.9375030518,3.376,37.1125015259,900,3.034,-50.2500022888,475.018,-80.8625015259,3.7127526104,91.0500045777,"Scnn1a-Tg3-Cre"
"585",5.2966667,-53.552087148,3.5025,35.4427108765,690,3.11,-48.2187525431,563.2758333,-75.0260480245,3.568559831,88.9947980245,"Rbp4-Cre_KL100"
"586",5.198,-54.7000022888,3.432,39.9187507629,1200,3.058,-53.2250015259,245.342,-83.0062561035,3.2272513315,94.6187530517,"Ntsr1-Cre_GN220"
"589",5.91125,-47.1328144073,3.47125,40.765627861,265,3.02,-39.5781259537,604.41125,-68.3906269073,3.7213897281,87.8984422683,"Scnn1a-Tg3-Cre"
"591",4.988,-50.8000007629,3.272,38.5125022888,800,2.908,-41.8375022888,723.228,-75.6437545776,3.5704142458,89.3125030517,"Cux2-CreERT2"
"597",5.184,-49.6000022888,3.366,39.2000007629,890,3.006,-51.1687507629,750.21,-79.74375,4.427119874,88.8000030517,"Scnn1a-Tg2-Cre"
"608",5.153,-55.2812507629,3.592,25.8875011444,640,3.154,-43.83125,617.852,-81.8437545776,2.4131231177,81.1687519073,"Rorb-IRES2-Cre"
"616",5.967,-52.1500022888,3.415,45.6750015259,760,3.017,-51.1125038147,431.345,-75.2312561035,4.9646449054,97.8250038147,"Rorb-IRES2-Cre"
"619",5.61,-47.2656259537,3.52125,39.1093759537,0,3.09375,-42.6875009537,598.3225,-76.7890663147,3.5281314023,86.3750019074,"Cux2-CreERT2"
"629",5.42,-54.15625,3.84,32.3437538147,810,3.4,-53.2187538147,681.94,-81.7500076294,3.4530383473,86.5000038147,"Rorb-IRES2-Cre"
"643",4.865,-50.6875,3.28625,47.671877861,790,2.97875,-43.500002861,450.8175,-78.1796894073,4.4171658857,98.359377861,"Rorb-IRES2-Cre"
"646",5.16,-50.7937515259,3.451,41.1187522888,0,3.089,-49.3437522888,66.403,-71.7375045776,3.1691812909,91.9125038147,"Rbp4-Cre_KL100"
"653",5.215,-51.3177083333,3.39,45.2343762716,630,2.9633333,-44.5729173024,362.5608333,-75.4062512716,4.0443060928,96.5520846049,"Nr5a1-Cre"
"659",5.3408333,-53.9114596049,3.3733333,42.1875006358,489.999969482,3.0125,-48.4062519073,375.6741667,-76.1197929382,3.8169240581,96.0989602407,"Rorb-IRES2-Cre"
"679",5.066,-46.5875022888,3.31,43.7000030518,424,3.007,-48.5562515259,396.055,-75.0625,3.8570286445,90.2875053406,"Scnn1a-Tg3-Cre"
