"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"3",0.0422146009,81.3945454545,0.1627293749,69.75,1.3164266667,7.302,-48.90625,-51.0833346049,-55.8000022888,0.027555,66.395,1.3132283333,3.475,33.28125,38.8229179382,29.0875011444,266.406327486,0.0415404625,110,32.8333333333,469.999969482,65.825,1.312735,3.001,-38.1562538147,-40.1666692098,-46.1250007629,79.575,1.3417783333,671.744,-52.09375,-57.6145858765,-73.3375,4.2084853999,4.2741508224,4.0963716292,-72.1746749878,"Cux2-CreERT2",21.9450109341,12.2858355485,84.8875034332,82.1875,89.9062525431
"5",0.5423579673,307.1,0.1553466075,65.16,7.5167066667,5.4266667,-47,-46.9270858765,-55.0937525431,0.03378,62.98,7.5144333333,3.56,40.7812538147,42.7291692098,42.3229179382,136.562421918,0.1326381862,210,187.833333333,860,62.44,7.5138466667,3.12,-33.96875,-33.7604179382,-46.9375025431,66.12,7.5339666667,110.5,-47.8750038147,-49.7291679382,-81.2500050863,2.7189014122,2.5281373528,3.0607072471,-80.0506210327,"Ntsr1-Cre_GN220",14.1818948651,3.25626831651,97.4166704813,87.7812538147,89.6562550863
"9",0.0259499525,79.6,0.1640540541,163.34,3.2930333333,4.87,-47.4375038147,-49.3854192098,-50.7812519073,0.04384,161.42,3.2912933333,3.39,43,44.5104166667,44.21875,153.749927878,0.1038112193,70,82.25,0,161,3.29088,3.01,-33.1250038147,-33.5104192098,-48.2812519073,200.7,3.3191666667,489.35,-56.5625038147,-55.9791692098,-68.9218788147,3.3893320895,3.2384560859,3.6690064788,-68.5057373047,"Scnn1a-Tg3-Cre",20.4216258325,12.5628140704,95.0000019073,90.4375038147,93.8958358765
"10",0.0092892927,60.1843333333,0.2173949196,448.86,5.2211966667,5.506,-49.53125,-49.2604192098,-56.5875038147,0.06071,446.59,5.2195133333,3.57,25.5312519073,42.0104192098,26.5125011444,151.562616229,0.149849534,120.000007629,130.458333333,0,446.065,5.2190483333,3.142,-39.5312538147,-40.4895833333,-46.8125022888,474.74,5.2519316667,231.151,-55.0937538147,-54.4479192098,-77.4000030518,2.4319977954,2.5716143936,2.3827811392,-76.2948379517,"Ntsr1-Cre_GN220",14.6088103604,16.6156197903,83.1000049591,75.0625019073,91.2708384196
"16",0.0476945778,62.894,0.1594697074,98.395,3.15376,5.411,-45.6875,-46.9583358765,-47.7625022888,0.04292,96.36,3.1517083333,3.462,37.71875,40.0833339691,40.4937507629,210.468634963,0.0526439473,70,78.7916666667,780,95.85,3.1512016667,2.979,-37.7812538147,-35.3750025431,-44.6812515259,119.235,3.1898583333,391.247,-48.25,-53.0833358765,-77.4375061035,3.2371678674,3.0344421751,3.6075116359,-75.3036117554,"Nr5a1-Cre",24.6336885047,15.8997678634,88.2562530517,83.40625,87.0416698456
"20",1,61.145,0.0877221248,69.335,7.95773,5.553,-48.5312538147,-48.1458358765,-53.7437522888,0.028495,66.18,7.9539216667,3.58,23.5000019073,20.3645846049,25.9437511444,121.63464725,0.0059941025,200,198.833328247,830,65.565,7.9531833333,3.103,-36.59375,-32.3750012716,-47.6625015259,82.57,7.97274,426.244,-52.5312538147,-52.5625025431,-68.3312515259,2.4462161428,1.9241111542,2.8722062142,-68.0202865601,"Rbp4-Cre_KL100",25.790011613,16.3545670128,79.6875034332,72.031255722,68.5104204814
"25",1,225.13,0.1203583075,150.07,3.269245,7.009,-46.0625,-46.7604166667,-51.2312515259,0.12062,145.69,3.2650866667,3.657,20.5625,24.96875,25.4312507629,198.593750596,0.0686916411,70,81.625,0,144.965,3.2643783333,3.137,-35.8125,-35.875,-27.8875003815,188.565,3.312895,505.379,-51.9375,-53.7812512716,-74.7875015259,3.302888924,3.3261024368,2.8671467598,-74.0220184326,"Scnn1a-Tg2-Cre",28.2190427436,4.44187802603,76.6625022888,66.625,71.7291666667
"26",0.0238049459,64.0257142857,0.192937237,136.94,3.23414,4.895,-47.84375,-49.3437525431,-50.8593769073,0.05254,135.28,3.2324266667,3.525,45.3437538147,44.7812512716,45.3359394073,133.437380195,0.048348248,110,80.7916666667,0,134.86,3.2319733333,3.155,-37.40625,-36.4270846049,-47.9765644073,161.86,3.27098,518.51,-52.4375038147,-53.7812525431,-81.1953125,3.569341884,3.4268663155,4.0180260213,-80.5925750732,"Nr5a1-Cre",17.5430625077,15.6187246196,96.1953163146,93.1875038147,94.1250038147
"27",1,1000,0.2039999989,57.23,3.326615,4.625,-52.5312538147,-51.5312519073,-52.6250038147,0.052085,55.745,3.324885,3.32,40.8125038147,42.0000019073,43.4375038147,148.437306285,0.0371574648,170,83.125,810.000061035,55.355,3.3244825,2.97,-44.5312538147,-40.671875,-51.8750038147,950.905,3.36288,835.71,-53.90625,-59.0781269073,-81.8437576294,3.6852628408,3.5499880524,4.0290870033,-80.2609176636,"Nr5a1-Cre",15.557695003,1,96.0625076294,93.3437576294,93.5312538146
"29",0.0260136954,84.2527272727,0.1746212138,180,7.5237933333,5.74,-46.90625,-46.9166679382,-53.8250015259,0.04248,177.5,7.5213133333,3.672,33.3750038147,37.34375,35.9000022888,160.156279802,0.1646226496,170,188,0,176.84,7.5206333333,3.168,-33.65625,-32.0625006358,-46.5312515259,202.54,7.5522266667,97.364,-48.03125,-49.7083346049,-76.8000045776,2.4592183831,2.3792733951,2.8872585327,-76.3359832764,"Ntsr1-Cre_GN220",14.9630881567,11.8690519865,89.7250038147,80.2812538147,84.2604179382
