"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"3",0.0422146009,81.3945454545,0.1627293749,0.027555,266.406327486,0.0415404625,21.9450109341,-72.1746749878,12.2858355485,69.75,-48.90625,66.395,33.28125,110,65.825,-38.1562538147,79.575,-52.09375,4.2084853999,82.1875,"Cux2-CreERT2"
"5",0.5423579673,307.1,0.1553466075,0.03378,136.562421918,0.1326381862,14.1818948651,-80.0506210327,3.25626831651,65.16,-47,62.98,40.7812538147,210,62.44,-33.96875,66.12,-47.8750038147,2.7189014122,87.7812538147,"Ntsr1-Cre_GN220"
"9",0.0259499525,79.6,0.1640540541,0.04384,153.749927878,0.1038112193,20.4216258325,-68.5057373047,12.5628140704,163.34,-47.4375038147,161.42,43,70,161,-33.1250038147,200.7,-56.5625038147,3.3893320895,90.4375038147,"Scnn1a-Tg3-Cre"
"10",0.0092892927,60.1843333333,0.2173949196,0.06071,151.562616229,0.149849534,14.6088103604,-76.2948379517,16.6156197903,448.86,-49.53125,446.59,25.5312519073,120.000007629,446.065,-39.5312538147,474.74,-55.0937538147,2.4319977954,75.0625019073,"Ntsr1-Cre_GN220"
"16",0.0476945778,62.894,0.1594697074,0.04292,210.468634963,0.0526439473,24.6336885047,-75.3036117554,15.8997678634,98.395,-45.6875,96.36,37.71875,70,95.85,-37.7812538147,119.235,-48.25,3.2371678674,83.40625,"Nr5a1-Cre"
"20",1,61.145,0.0877221248,0.028495,121.63464725,0.0059941025,25.790011613,-68.0202865601,16.3545670128,69.335,-48.5312538147,66.18,23.5000019073,200,65.565,-36.59375,82.57,-52.5312538147,2.4462161428,72.031255722,"Rbp4-Cre_KL100"
"25",1,225.13,0.1203583075,0.12062,198.593750596,0.0686916411,28.2190427436,-74.0220184326,4.44187802603,150.07,-46.0625,145.69,20.5625,70,144.965,-35.8125,188.565,-51.9375,3.302888924,66.625,"Scnn1a-Tg2-Cre"
"26",0.0238049459,64.0257142857,0.192937237,0.05254,133.437380195,0.048348248,17.5430625077,-80.5925750732,15.6187246196,136.94,-47.84375,135.28,45.3437538147,110,134.86,-37.40625,161.86,-52.4375038147,3.569341884,93.1875038147,"Nr5a1-Cre"
"27",1,1000,0.2039999989,0.052085,148.437306285,0.0371574648,15.557695003,-80.2609176636,1,57.23,-52.5312538147,55.745,40.8125038147,170,55.355,-44.5312538147,950.905,-53.90625,3.6852628408,93.3437576294,"Nr5a1-Cre"
"29",0.0260136954,84.2527272727,0.1746212138,0.04248,160.156279802,0.1646226496,14.9630881567,-76.3359832764,11.8690519865,180,-46.90625,177.5,33.3750038147,170,176.84,-33.65625,202.54,-48.03125,2.4592183831,80.2812538147,"Ntsr1-Cre_GN220"
"31",0.0423226332,83.7481818182,0.1900442562,0.054805,187.343835831,0.0894831419,20.6980678321,-78.4394836426,11.9405577326,186.21,-44.28125,182.2,18.78125,90,181.635,-36.46875,231.33,-55.7812538147,2.6789959347,63.0625,"Rbp4-Cre_KL100"
"32",0.0311050608,62.4966666667,0.2859043901,0.041805,339.620679617,0.026388593,35.1773729723,-72.08177948,16.0008533788,249.505,-52.09375,247.385,39.6875038147,30.0000019073,246.9,-42.8125038147,285.3,-57.5,3.701594925,91.7812538147,"Slc17a6-IRES-Cre"
"33",1,315.8,0.2418936446,0.139925,214.999929071,0.1055687144,28.2906596791,-68.580871582,3.16656111463,214.845,-49.8125038147,212.6,45.5937538147,40,212.13,-41.0312538147,273.445,-57.7812538147,3.8059332009,95.4062576294,"Cux2-CreERT2"
"39",0.0091525921,55.5352941176,0.2783333333,0.02666,150.156363845,0.0869927704,10.1986055903,-66.0966186523,18.006567101,199.02,-51.5000038147,195.4,42.5625038147,50,194.86,-46.0000038147,221.9,-55.84375,4.0431381903,94.0625076294,"Ctgf-T2A-dgCre"
"42",0.0399574818,103.737777778,0.1358940397,0.05102,184.843823314,0.1374426186,22.9521681877,-76.536239624,9.6396898162,159.24,-52.4687538147,156.66,37.875,70,156.22,-41.46875,201.68,-63.3125,4.0391183387,90.3437538147,"Rorb-IRES2-Cre"
"43",0.174034525,124.386666667,0.1119047657,0.044125,169.999882579,0.0129319085,21.0301888631,-78.5291442871,8.03944688605,92.2,-50.3125,89.215,38.53125,130,88.82,-36.21875,104.02,-54.53125,4.1473791549,88.84375,"Rorb-IRES2-Cre"
"48",0.1505945359,121.0825,0.1151419558,0.028715,197.187453508,0.0051550046,29.7304313784,-57.1328697205,8.25883178824,65.42,-44.5,60.925,36.6875,90,60.455,-32.375,79.12,-49.59375,3.7091375648,81.1875,"Rorb-IRES2-Cre"
