"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"3",1.3164266667,-51.0833346049,1.3132283333,38.8229179382,32.8333333333,1.312735,-40.1666692098,1.3417783333,-57.6145858765,4.2741508224,89.9062525431,"Cux2-CreERT2"
"5",7.5167066667,-46.9270858765,7.5144333333,42.7291692098,187.833333333,7.5138466667,-33.7604179382,7.5339666667,-49.7291679382,2.5281373528,89.6562550863,"Ntsr1-Cre_GN220"
"9",3.2930333333,-49.3854192098,3.2912933333,44.5104166667,82.25,3.29088,-33.5104192098,3.3191666667,-55.9791692098,3.2384560859,93.8958358765,"Scnn1a-Tg3-Cre"
"10",5.2211966667,-49.2604192098,5.2195133333,42.0104192098,130.458333333,5.2190483333,-40.4895833333,5.2519316667,-54.4479192098,2.5716143936,91.2708384196,"Ntsr1-Cre_GN220"
"16",3.15376,-46.9583358765,3.1517083333,40.0833339691,78.7916666667,3.1512016667,-35.3750025431,3.1898583333,-53.0833358765,3.0344421751,87.0416698456,"Nr5a1-Cre"
"20",7.95773,-48.1458358765,7.9539216667,20.3645846049,198.833328247,7.9531833333,-32.3750012716,7.97274,-52.5625025431,1.9241111542,68.5104204814,"Rbp4-Cre_KL100"
"25",3.269245,-46.7604166667,3.2650866667,24.96875,81.625,3.2643783333,-35.875,3.312895,-53.7812512716,3.3261024368,71.7291666667,"Scnn1a-Tg2-Cre"
"26",3.23414,-49.3437525431,3.2324266667,44.7812512716,80.7916666667,3.2319733333,-36.4270846049,3.27098,-53.7812525431,3.4268663155,94.1250038147,"Nr5a1-Cre"
"27",3.326615,-51.5312519073,3.324885,42.0000019073,83.125,3.3244825,-40.671875,3.36288,-59.0781269073,3.5499880524,93.5312538146,"Nr5a1-Cre"
"29",7.5237933333,-46.9166679382,7.5213133333,37.34375,188,7.5206333333,-32.0625006358,7.5522266667,-49.7083346049,2.3792733951,84.2604179382,"Ntsr1-Cre_GN220"
"31",4.4107816667,-42.7500038147,4.4089666667,32.5104179382,110.208333333,4.4084683333,-34.0520833333,4.4494116667,-53.239587148,2.7594340109,75.2604217529,"Rbp4-Cre_KL100"
"32",1.3980525,-51.4375038147,1.395935,42.390625,34.8749990463,1.3954475,-42.1718769073,1.42975,-55.9687519073,3.8797589127,93.8281288147,"Slc17a6-IRES-Cre"
"33",2.1229016667,-45.364587148,2.120345,40.9687512716,52.9999987284,2.1198266667,-36.4583358765,2.175075,-54.0104204814,3.5857822672,86.3333384196,"Cux2-CreERT2"
"39",2.0175333333,-50.3750012716,2.0143,46.4583346049,50.3333333333,2.0137533333,-45.4687525431,2.0552466667,-54.2916692098,4.3652231808,96.8333358765,"Ctgf-T2A-dgCre"
"42",3.1791333333,-52.1666704814,3.1764,34.5833333333,79.375,3.1758666667,-40.1250025431,3.2171933333,-60.1666704814,3.5062108851,86.7500038147,"Rorb-IRES2-Cre"
"43",3.0196533333,-49.7083333333,3.0174233333,42.8333333333,75.4166666667,3.017025,-36.6354179382,3.0419166667,-57.0833346049,3.8816394559,92.5416666666,"Rorb-IRES2-Cre"
"48",1.6474416667,-43.2500025431,1.6451466667,37.8333358765,41.125,1.64464,-32.5937512716,1.6755633333,-52.9479166667,3.195395876,81.0833384196,"Rorb-IRES2-Cre"
"49",4.0738466667,-47.9166692098,4.0718333333,38.2916692098,101.791666667,4.0713666667,-36.6041666667,4.1005133333,-55.3125012716,3.6035451629,86.2083384196,"Cux2-CreERT2"
"51",2.3869383333,-45.6770846049,2.3851166667,33.3437506358,59.5833333333,2.384635,-42.1562512716,2.42091,-48.7604192098,3.0438174153,79.0208352407,"Rbp4-Cre_KL100"
"52",4.5817,-43.9479166667,4.5798866667,30.8854173024,114.458333333,4.5792733333,-29.4687519073,4.6096,-52.7083346049,2.1631889429,74.8333339691,"Rbp4-Cre_KL100"
"55",3.3087283333,-51.1562525431,3.3070366667,42.020837148,82.6666666667,3.3066166667,-35.5729166667,3.330725,-55.6562512716,2.9832091976,93.1770896911,"Nr5a1-Cre"
"57",2.6729616667,-45.8437525431,2.67031,37.8958358765,66.75,2.669865,-32.3958339691,2.7108966667,-57.1666679382,3.38663802,83.7395884196,"Rbp4-Cre_KL100"
"58",4.2866366667,-45.4062525431,4.2844083333,34.5833333333,107.083333333,4.2839033333,-36.3541666667,4.3361516667,-52.5729179382,3.3662233421,79.9895858764,"Rorb-IRES2-Cre"
"59",3.47471,-45.4895858765,3.4721383333,43.7916666667,86.7916666667,3.471695,-33.4583346049,3.5027983333,-50.677087148,3.6455874465,89.2812525432,"Rorb-IRES2-Cre"
"61",4.0128466667,-48.5208358765,4.01032,40.3333358765,100.25,4.0098566667,-43.4687512716,4.073455,-56.5312538147,4.175687352,88.854171753,"Rbp4-Cre_KL100"
"63",5.7699666667,-42.2812525431,5.76766,42.1666679382,144.208333333,5.7671466667,-32.5208333333,5.80152,-49.9479179382,3.5977578755,84.4479204813,"Rorb-IRES2-Cre"
"67",3.80059,-42.1354192098,3.7969733333,33.0000031789,94.9166692098,3.7965166667,-26.7291673024,3.8261833333,-50.6979192098,3.1022655796,75.1354223887,"Scnn1a-Tg3-Cre"
"69",2.24562,-49.6250025431,2.2427866667,36.1458358765,56.0833320618,2.24232,-37.9791679382,2.2811266667,-56.1041679382,3.7212710578,85.7708384196,"Ctgf-T2A-dgCre"
"70",5.0158266667,-54.4583346049,5.01404,47.8333358765,125.33333079,5.0135666667,-36.4270858765,5.02588,-55.9270846049,2.7116600364,102.291670481,"Ntsr1-Cre_GN220"
"76",3.57284,-44.7395833333,3.5700866667,38.7291666667,89.25,3.5695866667,-32.4479198456,3.6033,-54.4166704814,3.7955504783,83.46875,"Cux2-CreERT2"
"77",3.6402683333,-47.9583346049,3.63592,33.8541692098,90.875,3.6353916667,-35.7916679382,3.6757766667,-55.020837148,3.998154499,81.8125038147,"Cux2-CreERT2"
"85",7.9977666667,-40.6041679382,7.9959466667,32.8125,199.916666667,7.99526,-28.6666679382,8.01752,-45.8750012716,2.0307934004,73.4166679382,"Ntsr1-Cre_GN220"
"87",2.34348,-47.0208346049,2.3399666667,40.3958346049,58.5,2.3394283333,-37.4166679382,2.3837166667,-55.458337148,3.9828134155,87.4166692098,"Cux2-CreERT2"
"88",2.44798,-48.65625,2.44545,37.53125,61.125,2.44498,-33.6875038147,2.47128,-55,3.0306799947,86.1875,"Nr5a1-Cre"
"89",4.2767183333,-49.9062525431,4.2748983333,44.1666692098,106.916671753,4.27447,-37.1145833333,4.3158516667,-56.6354192098,3.3374489963,94.0729217529,"Cux2-CreERT2"
"91",7.741275,-46.2916679382,7.7392533333,26.9687519073,193.41666158,7.7385966667,-34.2604179382,7.755585,-47.895837148,1.99134582,73.2604198455,"Rorb-IRES2-Cre"
"93",2.2078466667,-47.2291692098,2.2055733333,47.7812525431,55.125,2.2050966667,-37.7916679382,2.2528216667,-56.145837148,3.513540135,95.0104217529,"Rorb-IRES2-Cre"
"94",4.8708866667,-44.8541666667,4.8692533333,31.0416673024,121.66666158,4.8686533333,-32.1770846049,4.89192,-53.958337148,1.8692291679,75.8958339691,"Scnn1a-Tg3-Cre"
"95",4.78178,-47.2916704814,4.7801866667,50.1562538147,119.499992371,4.7798,-39.2916679382,4.8251033333,-54.1250025431,3.8413954768,97.4479242961,"Rbp4-Cre_KL100"
"96",3.37875,-51.3593769073,3.3770425,41.875,84.375,3.376665,-42.7187519073,3.415555,-58.3906288147,3.2268222561,93.2343769073,"Rbp4-Cre_KL100"
"97",3.33376,-51.8437525431,3.3306933333,35.3750012716,83.25,3.3301133333,-40.2083333333,3.3786666667,-56.9479192098,3.6073560039,87.2187538147,"Rorb-IRES2-Cre"
"98",3.5237666667,-45.78125,3.5213916667,37.8854192098,88.0416666667,3.520735,-36.5520846049,3.5520966667,-50.5104192098,2.6133343996,83.6666692098,"Rorb-IRES2-Cre"
"99",1.96699,-49.0937512716,1.9649716667,45.3229179382,49.125,1.9645383333,-36.3854179382,2.0046166667,-52.4062512716,3.7882966343,94.4166692098,"Scnn1a-Tg3-Cre"
"101",2.7646833333,-43.5729192098,2.76313,41.9270858765,69.0833333333,2.76272,-41.0000025431,2.7647566667,-43.7083346049,3.3462739757,85.5000050863,"Rbp4-Cre_KL100"
"111",1.4559375,-47.203125,1.4535425,34.03125,36.3125,1.453055,-34.921875,1.488675,-54.5625,2.8669443365,81.234375,"Scnn1a-Tg3-Cre"
"113",6.7423466667,-51.1250025431,6.7388866667,49.6666679382,168.458333333,6.7384066667,-40.5104179382,6.76842,-56.427087148,4.6145018645,100.791670481,"Ctgf-T2A-dgCre"
"115",2.560725,-47.8125038147,2.55477,42.40625,63.8750038147,2.55418,-34.59375,2.573095,-51.1562538147,5.3864399823,90.2187538147,"Scnn1a-Tg2-Cre"
"116",2.3242283333,-47.8854179382,2.3222283333,30.322918574,58.0416666667,2.3217566667,-36.53125,2.355925,-53.4479166667,2.7680449577,78.2083365122,"Scnn1a-Tg3-Cre"
"118",2.2418583333,-50.0520846049,2.2390783333,38.2604166667,55.9583320618,2.238485,-38.2083346049,2.2802933333,-53.625,3.2845733018,88.3125012716,"Rorb-IRES2-Cre"
"119",1.5205,-50.2500025431,1.5178333333,45.2916692098,37.9583333333,1.5173866667,-35.8437525431,1.5420666667,-58.1562512716,3.9641114836,95.5416717529,"Cux2-CreERT2"
"123",2.138835,-47.90625,2.1367025,36.125,53.3749980927,2.1363,-36.3125019073,2.1606825,-54.4687538147,3.0956400061,84.03125,"Cux2-CreERT2"
"124",4.4890416667,-47.4166679382,4.487565,44.8541692098,112.16666921,4.4871716667,-35.9166692098,4.5064833333,-53.8750012716,2.7856893914,92.270837148,"Rorb-IRES2-Cre"
