"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"3",7.302,-55.8000022888,3.475,29.0875011444,469.999969482,3.001,-46.1250007629,671.744,-73.3375,4.0963716292,84.8875034332,"Cux2-CreERT2"
"5",5.4266667,-55.0937525431,3.56,42.3229179382,860,3.12,-46.9375025431,110.5,-81.2500050863,3.0607072471,97.4166704813,"Ntsr1-Cre_GN220"
"9",4.87,-50.7812519073,3.39,44.21875,0,3.01,-48.2812519073,489.35,-68.9218788147,3.6690064788,95.0000019073,"Scnn1a-Tg3-Cre"
"10",5.506,-56.5875038147,3.57,26.5125011444,0,3.142,-46.8125022888,231.151,-77.4000030518,2.3827811392,83.1000049591,"Ntsr1-Cre_GN220"
"16",5.411,-47.7625022888,3.462,40.4937507629,780,2.979,-44.6812515259,391.247,-77.4375061035,3.6075116359,88.2562530517,"Nr5a1-Cre"
"20",5.553,-53.7437522888,3.58,25.9437511444,830,3.103,-47.6625015259,426.244,-68.3312515259,2.8722062142,79.6875034332,"Rbp4-Cre_KL100"
"25",7.009,-51.2312515259,3.657,25.4312507629,0,3.137,-27.8875003815,505.379,-74.7875015259,2.8671467598,76.6625022888,"Scnn1a-Tg2-Cre"
"26",4.895,-50.8593769073,3.525,45.3359394073,0,3.155,-47.9765644073,518.51,-81.1953125,4.0180260213,96.1953163146,"Nr5a1-Cre"
"27",4.625,-52.6250038147,3.32,43.4375038147,810.000061035,2.97,-51.8750038147,835.71,-81.8437576294,4.0290870033,96.0625076294,"Nr5a1-Cre"
"29",5.74,-53.8250015259,3.672,35.9000022888,0,3.168,-46.5312515259,97.364,-76.8000045776,2.8872585327,89.7250038147,"Ntsr1-Cre_GN220"
"31",5.1316667,-50.9895846049,3.3966667,21.3697926203,758.333384196,2.9425,-41.8593775431,513.8708333,-79.255212148,2.6773210472,72.3593772252,"Rbp4-Cre_KL100"
"32",5.11,-54.0437530518,3.375,38.1875022888,450,2.96,-48.4062507629,699.038,-74.9750045776,3.6777654423,92.2312553406,"Slc17a6-IRES-Cre"
"33",5.4583333,-49.3958358765,3.555,46.8333358765,550,3.125,-43.8958346049,199.73,-69.0833358765,4.0439766439,96.229171753,"Cux2-CreERT2"
"39",6.32,-51.7395858765,3.5933333,41.1458346049,300,3.1333333,-47.0208346049,820.5666667,-66.3125025431,4.1387199243,92.8854204814,"Ctgf-T2A-dgCre"
"42",5.356,-55.8750015259,3.528,35.4687515259,780,3.136,-47.4312507629,240.108,-77.0750015259,3.5400513279,91.3437530518,"Rorb-IRES2-Cre"
"43",5.13875,-52.671875,3.4075,42.3359375,880,3.05125,-48.0390644073,616.30625,-79.0546894073,4.296803327,95.0078125,"Rorb-IRES2-Cre"
"48",5.33,-50.2812538147,3.385,38.4062519073,225,2.98,-41.5781288147,59.095,-58.6718769073,3.2697515634,88.687505722,"Rorb-IRES2-Cre"
"49",5.132,-49.3375022888,3.408,32.9500007629,1100,2.976,-42.5187515259,693.212,-75.9625061035,3.4926943242,82.2875030517,"Cux2-CreERT2"
"51",5.401,-48.7375015259,3.547,23.7625015259,630,3.114,-47.4000022888,662.607,-68.5937545776,3.0140318107,72.5000030518,"Rbp4-Cre_KL100"
"52",5.244,-51.9875015259,3.54,38.0375022888,939.999938965,3.084,-48.2312530518,507.872,-76.8500015259,2.9663139099,90.0250038147,"Rbp4-Cre_KL100"
"55",4.913,-50.4437538147,3.43,41.8062530518,142,3.076,-46.8437538147,575.207,-76.0312515259,3.5467651713,92.2500068665,"Nr5a1-Cre"
"57",5.69125,-51.7734384537,3.49375,36.0937519073,820,3.105,-42.8437519073,606.94375,-79.8984394073,3.6195365115,87.867190361,"Rbp4-Cre_KL100"
"58",5.46375,-46.843752861,3.5475,25.0078129768,920,3.11625,-34.1250014305,609.0325,-82.2890644073,2.8606385869,71.8515658378,"Rorb-IRES2-Cre"
"59",5.396,-50.0187522888,3.474,45.5500030518,930,3.092,-45.6375015259,791.77,-81.8125061035,4.0161468932,95.5687553406,"Rorb-IRES2-Cre"
"61",5.515,-52.1375038147,3.38,38.2437522888,780,2.979,-49.8625022888,90.434,-69.3875061035,3.9722071505,90.3812561035,"Rbp4-Cre_KL100"
"63",4.8,-48.8562522888,2.992,44.0312515259,900,2.572,-46.9562515259,627.676,-74.3375061035,4.5985135023,92.8875038147,"Rorb-IRES2-Cre"
"67",5.8183333,-48.2656281789,3.2808333,39.7760423024,960.000061035,2.9816667,-41.7864602407,472.5041667,-71.8333384196,3.9133132655,88.0416704813,"Scnn1a-Tg3-Cre"
"69",5.776,-53.2812538147,3.288,38.3437522888,550,2.912,-44.3062515259,387.764,-68.8625045776,3.946979417,91.6250061035,"Ctgf-T2A-dgCre"
"70",5.3333333,-57.9166704814,3.5466667,43.645837148,580,3.1533333,-44.3333346049,63.3333333,-73.5625025431,2.661199136,101.562507629,"Ntsr1-Cre_GN220"
"76",5.6,-54.0625038147,3.25,40.5156288147,800,2.87,-47.0156288147,502.88,-78.0781288147,4.1365961772,94.5781326294,"Cux2-CreERT2"
"77",9.433,-59.5562530518,3.451,38.1750022888,344.000024414,3.016,-49.2875015259,329.609,-80.4687530518,4.7665922507,97.7312553406,"Cux2-CreERT2"
"85",5.31,-54.125,3.47,32.2656269073,690,3.01,-46.5312538147,605.2,-78.0937576294,3.0121027887,86.3906269073,"Ntsr1-Cre_GN220"
"87",6.4566667,-52.9791679382,3.52,39.7187525431,770,3.0416667,-46.5520858765,293.3183333,-74.9270858765,3.9572650136,92.6979204813,"Cux2-CreERT2"
"88",5.33125,-50.6171894073,3.50375,37.296875,830,3.09125,-43.09375,802.48375,-74.8984394073,3.4011178458,87.9140644073,"Nr5a1-Cre"
"89",4.6983333,-52.9375012716,3.2066667,44.1979179382,610,2.8616667,-48.1666679382,368.025,-70.28125,3.804037551,97.1354192098,"Cux2-CreERT2"
"91",5.5125,-52.932293574,3.4708333,34.2708339691,260,3.0283333,-46.4427102407,29.555,-59.4322948456,3.0003606778,87.2031275431,"Rorb-IRES2-Cre"
"93",5.206,-49.1562522888,3.385,45.0875022888,800,2.991,-44.7500022888,548.509,-74.4437561035,3.9519837346,94.2437545776,"Rorb-IRES2-Cre"
"94",4.8533333,-50.9062519073,3.3566667,37.8906262716,650,2.9566667,-47.8541692098,492.96,-76.1354230245,3.2438825818,88.7968781789,"Scnn1a-Tg3-Cre"
"95",5.108,-50.5125015259,3.416,50.2125015259,979.999938965,3.054,-46.2500022888,93.651,-72.2250030518,3.5774376865,100.725003052,"Rbp4-Cre_KL100"
"96",4.8233333,-53.7187531789,3.2933333,39.5468762716,920,2.9666667,-48.9583346049,189.0991667,-70.9062525431,3.6303314586,93.2656294505,"Rbp4-Cre_KL100"
"97",6.1266667,-55.1979192098,3.5933333,34.5937512716,0,3.1066667,-42.8750012716,504.4666667,-79.1875050863,3.7050475115,89.7916704814,"Rorb-IRES2-Cre"
"98",5.698,-52.0937522888,3.52,39.1000015259,530,3.013,-48.7562522888,556.521,-72.9187561035,3.1924265565,91.1937538147,"Rorb-IRES2-Cre"
"99",5.2766667,-54.4010416667,3.4383333,39.8593756358,105,3.0325,-42.651043574,452.04,-80.1718762716,3.4824437894,94.2604173025,"Scnn1a-Tg3-Cre"
"101",4.762,-47.3062530518,3.28,40.0437530518,568,2.93,-43.2062507629,170.634,-67.4312515259,3.4425334928,87.3500061036,"Rbp4-Cre_KL100"
"111",5.3316667,-53.5000012716,3.495,30.0729173024,410,3.0866667,-46.9270846049,250.2566667,-73.71875,2.8628917349,83.572918574,"Scnn1a-Tg3-Cre"
"113",6.0533333,-48.3541704814,3.6133333,41.2500012716,1190,3.1533333,-42.0416692098,621.1466667,-75.7083384196,4.034912342,89.604171753,"Ctgf-T2A-dgCre"
"115",10.045,-54.5625,3.51,43.21875,0,3.04,-42.5,65.43,-64.53125,5.9495754457,97.78125,"Scnn1a-Tg2-Cre"
"116",5.06,-51.9437515259,3.37,33.9937507629,608,2.989,-41.4125007629,488.234,-78.3937530518,2.9673172673,85.9375022888,"Scnn1a-Tg3-Cre"
"118",5.906,-55.9562507629,3.721,35.8375,660,3.236,-44.7125,124.104,-69.18125,2.9863353572,91.7937507629,"Rorb-IRES2-Cre"
"119",4.584,-55.5375030518,2.812,43.5625030518,600,2.44,-44.6812515259,538.484,-69.5125045776,4.1729680404,99.1000061036,"Cux2-CreERT2"
"123",4.9066667,-50.6875038147,3.3616667,33.9791692098,690,3.0083333,-44.1979179382,770.3016667,-75.9791692098,3.2360009211,84.6666730245,"Cux2-CreERT2"
"124",4.631,-53.7062530518,3.265,40.5125015259,378,2.924,-46.3312522888,784.775,-75.0187515259,2.8539876664,94.2187545777,"Rorb-IRES2-Cre"
"125",4.991,-51.2812515259,3.265,51.8750022888,530,2.887,-41.4687515259,156.302,-66.8750015259,3.0481075254,103.156253815,"Scnn1a-Tg3-Cre"
"126",7.921,-53.3000030518,3.456,29.1500015259,852,3.021,-40.8875030518,735.804,-77.8250030518,3.7094576554,82.4500045777,"Cux2-CreERT2"
"129",4.2125,-61.1875009537,3.12625,17.6562514305,397.5,2.81875,-42.3515625,534.08875,-72.3828163147,1.6480689355,78.8437523842,"Nr5a1-Cre"
"131",5.062,-52.8125038147,3.392,46.9062522888,540,3.055,-45.2312522888,61.81,-61.9750015259,3.5661698237,99.7187561035,"Rorb-IRES2-Cre"
"134",5.46,-54.6062530518,3.52,36.8812515259,0,3.072,-48.0687522888,472.328,-77.2250015259,2.4666138598,91.4875045777,"Ntsr1-Cre_GN220"
"136",5.126,-56.0312515259,3.595,43.2750030518,509.999969482,3.175,-51.4937538147,103.507,-75.1000045776,2.7511430812,99.3062545777,"Ntsr1-Cre_GN220"
"137",5.22375,-52.9687519073,3.49125,35.9218759537,840,3.0625,-46.2031259537,705.51,-84.7109375,3.549037004,88.890627861,"Nr5a1-Cre"
"140",4.84,-51.4166666667,3.465,44.46875,900,3.1016667,-47.1770833333,511.2883333,-79.2604192098,3.2485834109,95.8854166667,"Nr5a1-Cre"
"143",4.957,-52.2437522888,3.349,30.1375015259,889.999938965,2.934,-42.2312522888,600.229,-77.6437515259,2.4388730822,82.3812538147,"Rbp4-Cre_KL100"
"146",6.192,-56.6062522888,3.54,26.0875011444,800,3.036,-45.5375030518,292.492,-76.1250061035,3.4921580779,82.6937534332,"Rorb-IRES2-Cre"
"147",4.93125,-52.468752861,3.46375,45.2812538147,610,3.10875,-45.609377861,80.9775,-70.6718769073,3.4714127284,97.7500066757,"Rbp4-Cre_KL100"
"151",4.9825,-51.8177115122,3.3625,36.9166692098,850,2.9491667,-49.6197954814,415.9641667,-77.4166717529,2.7292945654,88.734380722,"Ntsr1-Cre_GN220"
"152",4.6133333,-50.9010454814,3.2708333,42.2187519073,575,2.955,-45.2031275431,426.1258333,-73.4531300863,3.4502545596,93.1197973887,"Cux2-CreERT2"
