"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"8",0.0347760085,30.73375,0.6312207153,514.44,16.0185683333,4.103,-57.6875038147,-56.6250012716,-59.8312522888,0.126335,513.62,16.0174733333,3.311,13.5,14.5833339691,25.0187511444,64.5312517881,0.0449956208,350,400.416676839,900,513.3,16.0171366667,3.032,-34.9062538147,-31.4375025431,-44.8625015259,514.63,16.0196683333,436.287,-57.8437538147,-57.5208358765,-77.8812530518,1.2045470956,1.267778265,1.3775258626,-76.9548568726,"Pvalb-IRES-Cre",4.99634536181,32.5375198276,84.8500034332,71.1875038147,71.2083352407
"23",0.03617383,39.7744736842,0.2721446733,69.75,0.67307,4.4716667,-56.0625,-54.8593769073,-57.6145858765,0.023255,68.39,0.671635,3.2566667,24.1875019073,26.203125,24.1354179382,476.562440395,0.0150903426,30.0000019073,16.7500004768,380,67.92,0.6711675,2.8566667,-44.7187538147,-43.5625019073,-45.6354192098,69.815,0.6819875,810.2316667,-56.2500038147,-55.0468769073,-70.1250050863,2.0876312447,2.2053316648,2.036319901,-66.9524688721,"Sst-IRES-Cre",38.7466495977,25.1417531742,81.7500038147,80.2500019073,81.0625019073
"35",1,1000,0.0459984166,27.94,9.9144666667,4.36,-53.4687538147,-45.1458346049,-55.2187522888,0.01672,27,9.9128533333,3.432,23.0000019073,15.583334287,29.9750011444,141.093716025,0.103318736,140,247.91666158,509.999969482,26.68,9.9124266667,3.144,-39.65625,-34.9375,-45.1625022888,27.96,9.9183066667,584.424,-53.53125,-46.0312538147,-73.8562515259,2.0757909451,2.3803840063,2.1651751688,-73.7110214233,"Htr3a-Cre_NO152",10.1983166376,1,85.1937534332,76.468755722,60.7291688919
"37",0.1635187579,39.7716666667,0.065997437,72.85,5.858055,4.2358333,-55.5,-53.90625,-59.9270839691,0.02923,72.02,5.85723,3.4216667,18.75,22.0104179382,25.6927086512,143.74999702,0.0830477774,90,146.416666667,550,71.61,5.8567616667,2.9966667,-43.6562538147,-37.4583333333,-47.6406256358,72.93,5.8580916667,379.3441667,-55.65625,-54.0312512716,-71.5052083333,1.3965250593,1.2020338978,1.3385040586,-70.9986572266,"Sst-IRES-Cre",17.6747848717,25.1435276369,85.6197926203,74.25,75.9166679382
"41",0.0549845832,26.0741666667,0.0354910738,70.215,2.3711766667,4.2708333,-45.9062538147,-42.8750025431,-52.7500019073,0.01764,69.095,2.3698633333,3.2466667,36.625,32.7291692098,40.791668574,263.750106096,0.0334620662,70,59.25,350,68.76,2.3694583333,2.97,-34.9062538147,-32.4479179382,-41.6979192098,77.415,2.386125,596.6958333,-46.59375,-46.0000025431,-67.2447954814,2.3473805659,2.0692994029,2.3896023447,-66.1558990479,"Htr3a-Cre_NO152",19.04898813,38.3521365336,93.5416704813,82.5312538147,75.6041717529
"81",0.0333492133,50.6811111111,-0.0202702671,234.62,1.17852,5.3,-51.28125,-52.1145858765,-54.9062538147,0.03194,233.08,1.1770733333,4.12,14.2812509537,18.3958346049,14.1875009537,338.593661785,0.0336970799,29.9999980927,29.4166673024,340,232.64,1.1766333333,3.72,-42.1562538147,-43.1666679382,-49.4375,265.9,1.2101933333,890.14,-54.25,-54.5000025431,-66.28125,2.5968482548,2.5993054027,2.1583793473,-65.1880950928,"Htr3a-Cre_NO152",36.3642601831,19.7312169776,69.0937547684,65.5625009537,70.5104204814
"86",0.0143715438,52.5841666667,0.4410714286,114.075,2.592355,4.772,-53.4062538147,-56.6250025431,-58.9000015259,0.04234,112.825,2.591305,3.582,17,30.7916679382,23.0000015259,244.37507987,0.1483722031,70,64.7500025431,0,112.38,2.59083,3.139,-35.5,-35.03125,-41.1750022888,114.235,2.592415,451.306,-53.59375,-56.7291679382,-73.0875045776,1.5819948547,1.4284298994,1.5383414444,-72.7958526611,"Sst-IRES-Cre",22.7164448129,19.0171312657,81.9000030518,70.4062538147,87.4166704813
"92",0.0043030781,76.96625,0.1209645684,105.92,6.132035,9.002,-58.0937538147,-58.5104179382,-64.3312515259,0.031065,100.345,6.12704,3.125,17,25.2187512716,21.8187503815,106.25000298,0.0707838535,160,153.166666667,740,99.98,6.1266833333,2.826,-34.875,-36.28125,-42.6312522888,110.915,6.13906,455.093,-60.5937538147,-62.1562525431,-74.7562545776,3.3410425561,3.5167722427,2.7387084612,-73.8230819702,"Htr3a-Cre_NO152",5.70490916622,12.9927078427,86.1500019074,75.0937538147,83.7291692098
"105",0.1333969544,101.475,0.1331168831,99.84,3.2865866667,5.47,-45.53125,-41.6041692098,-50.4843759537,0.03402,97.16,3.28418,3.61,33.5,32.90625,36.3515634537,312.187582254,0.0285992902,50,82.0416666667,479.999969482,96.58,3.2834466667,3.115,-34.53125,-30.2291679382,-43.359375,122.44,3.3125466667,332.735,-53.1562538147,-49.7916679382,-62.882815361,2.4494800266,2.2666372838,2.747995101,-61.9263076782,"Chrna2-Cre_OE25",42.0455727007,9.85464400099,86.8359394074,79.03125,74.5104192098
"109",0.0306957107,71.0076923077,0.3006976744,127.94,3.7144833333,4.3808333,-50.71875,-51.0416679382,-52.2656256358,0.036845,126.86,3.7134166667,3.4,36.59375,38.0729179382,38.9583346049,211.874991655,0.2592666149,90,92.8333333333,720,126.51,3.7130583333,3.0758333,-42.4687538147,-41.2083346049,-45.421875,155.04,3.7329616667,343.4375,-54.15625,-54.4062525431,-71.3437512716,2.2056403643,2.1480032724,2.1526203703,-70.3972854614,"Sst-IRES-Cre",23.5101665142,14.0829812588,91.2239602407,87.3125,89.1145858764
