"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"8",16.0185683333,-56.6250012716,16.0174733333,14.5833339691,400.416676839,16.0171366667,-31.4375025431,16.0196683333,-57.5208358765,1.267778265,71.2083352407,"Pvalb-IRES-Cre"
"23",0.67307,-54.8593769073,0.671635,26.203125,16.7500004768,0.6711675,-43.5625019073,0.6819875,-55.0468769073,2.2053316648,81.0625019073,"Sst-IRES-Cre"
"35",9.9144666667,-45.1458346049,9.9128533333,15.583334287,247.91666158,9.9124266667,-34.9375,9.9183066667,-46.0312538147,2.3803840063,60.7291688919,"Htr3a-Cre_NO152"
"37",5.858055,-53.90625,5.85723,22.0104179382,146.416666667,5.8567616667,-37.4583333333,5.8580916667,-54.0312512716,1.2020338978,75.9166679382,"Sst-IRES-Cre"
"41",2.3711766667,-42.8750025431,2.3698633333,32.7291692098,59.25,2.3694583333,-32.4479179382,2.386125,-46.0000025431,2.0692994029,75.6041717529,"Htr3a-Cre_NO152"
"81",1.17852,-52.1145858765,1.1770733333,18.3958346049,29.4166673024,1.1766333333,-43.1666679382,1.2101933333,-54.5000025431,2.5993054027,70.5104204814,"Htr3a-Cre_NO152"
"86",2.592355,-56.6250025431,2.591305,30.7916679382,64.7500025431,2.59083,-35.03125,2.592415,-56.7291679382,1.4284298994,87.4166704813,"Sst-IRES-Cre"
"92",6.132035,-58.5104179382,6.12704,25.2187512716,153.166666667,6.1266833333,-36.28125,6.13906,-62.1562525431,3.5167722427,83.7291692098,"Htr3a-Cre_NO152"
"105",3.2865866667,-41.6041692098,3.28418,32.90625,82.0416666667,3.2834466667,-30.2291679382,3.3125466667,-49.7916679382,2.2666372838,74.5104192098,"Chrna2-Cre_OE25"
"109",3.7144833333,-51.0416679382,3.7134166667,38.0729179382,92.8333333333,3.7130583333,-41.2083346049,3.7329616667,-54.4062525431,2.1480032724,89.1145858764,"Sst-IRES-Cre"
"117",5.2843266667,-58.5104179382,5.2826116667,4.1250001589,132.083333333,5.2821983333,-34.9375,5.288035,-59.0625025431,1.5940708221,62.6354180971,"Sst-IRES-Cre"
"128",10.04312,-55.3333358765,10.0419866667,23.9375012716,251,10.04156,-33.5729192098,10.0432,-55.4062525431,1.6759465027,79.2708371481,"Sst-IRES-Cre"
"133",12.5953533333,-58.0937525431,12.5943733333,17.5416673024,314.833333333,12.59399,-32.5104173024,12.5954233333,-58.1770846049,1.3567130539,75.6354198455,"Pvalb-IRES-Cre"
"157",3.61536,-44.9270846049,3.613,44.6666666667,90.2916641235,3.6125333333,-37.5312538147,3.6539,-55.708337148,3.9930017827,89.5937512716,"Chrna2-Cre_OE25"
"160",9.125285,-48.46875,9.12418,7.0625004768,228.125,9.12368,-25.0625019073,9.12537,-48.625,0.9618972522,55.5312504768,"Gad2-IRES-Cre"
"163",9.7087266667,-54.3229204814,9.707695,20.9687519073,242.666666667,9.7072883333,-28.4270839691,9.7088433333,-54.4375012716,1.3680700865,75.2916723887,"Sst-IRES-Cre"
"169",8.7775533333,-50.458337148,8.7739733333,32.9687512716,219.375,8.7735133333,-41.1250012716,8.78338,-53.5104204814,4.5496120244,83.4270884196,"Vip-IRES-Cre"
"186",2.2961,-55.8437538147,2.29482,25.7916673024,57.3333320618,2.2942333333,-40.2708346049,2.29622,-55.9791704814,1.5888202516,81.6354211171,"Chrna2-Cre_OE25"
"196",8.71396,-54.4843769073,8.71326,12.5937509537,217.8125,8.71294,-35.015625,8.71403,-54.5625038147,1.2931437726,67.078127861,"Pvalb-IRES-Cre"
"222",3.251255,-53.2187538147,3.247035,31.5,81.125,3.24659,-38.28125,3.26027,-59.4375038147,2.9690248501,84.7187538147,"Htr3a-Cre_NO152"
"241",3.3246066667,-56.0208358765,3.3233266667,9.7604169846,83.0416666667,3.32292,-34.7291692098,3.32502,-56.2812525431,1.4383912282,65.7812528611,"Nkx2-1-CreERT2"
"246",4.3152816667,-60.6666704814,4.3143033333,26.3437512716,107.83333079,4.3139483333,-44.9791692098,4.315415,-60.8437512716,1.7892661009,87.010421753,"Sst-IRES-Cre"
"248",11.2412966667,-62.7187525431,11.24076,25.4895846049,281,11.240485,-33.8229179382,11.2413366667,-62.833337148,1.1284611973,88.208337148,"Gad2-IRES-Cre"
"259",7.1394866667,-51.9895858765,7.13638,28.8229179382,178.333333333,7.1359533333,-36.6562512716,7.1458933333,-54.7500012716,4.1372714002,80.8125038147,"Ndnf-IRES2-dgCre"
"296",1.76916,-49.9843769073,1.76721,23.7343759537,44.1875,1.76669,-38.890625,1.77076,-50.4375019073,2.6256495889,73.718752861,"Htr3a-Cre_NO152"
"349",3.5523133333,-46.9166692098,3.5506266667,26.8020846049,88.75,3.55012,-36.8854166667,3.56758,-48.2187525431,2.6271524345,73.7187538147,"Vip-IRES-Cre"
"352",4.68866,-49.5520846049,4.68508,45.0833358765,117.125002543,4.68462,-40.0000012716,4.7273333333,-56.8437538147,4.8255071228,94.6354204814,"Chrna2-Cre_OE25"
"356",7.46237,-48.5625,7.45848,32.109375,186.4375,7.45799,-38.5468769073,7.4694575,-51.7812519073,3.2456711885,80.671875,"Htr3a-Cre_NO152"
"357",5.7654,-52.40625,5.7641,10.9375009537,144.125,5.7636,-27.5625,5.76554,-52.5937538147,1.053326711,63.3437509537,"Ndnf-IRES2-dgCre"
"361",2.9292,-56.052087148,2.9275666667,35.0937525431,73.2083333333,2.9271266667,-42.9895833333,2.9368333333,-56.3229192098,2.9003067668,91.1458396911,"Htr3a-Cre_NO152"
"363",3.54934,-61.8229204814,3.5477533333,43.6354204814,88.7083333333,3.5472533333,-41.1979179382,3.5495466667,-62.0104192098,2.4377206869,105.458340963,"Chrna2-Cre_OE25"
"403",9.1381075,-57.1250019073,9.1371925,17.7187509537,228.437515259,9.1368575,-32.7187519073,9.13871,-57.5781269073,1.2377131195,74.843752861,"Pvalb-IRES-Cre"
"428",8.42514,-60.0729204814,8.4242,8.2708336512,210.625,8.4237866667,-40.7187512716,8.4251866667,-60.1666704814,1.2995334901,68.3437541326,"Pvalb-IRES-Cre"
"443",5.663205,-62.5937525431,5.66235,24.9166673024,141.541666667,5.6619533333,-35.2187512716,5.6632466667,-62.7083358765,1.2044291094,87.5104198455,"Pvalb-IRES-Cre"
"466",5.8959133333,-51.8958358765,5.89498,27.4270846049,147.375,5.8946133333,-36.7395833333,5.89594,-51.9270858765,2.1571196224,79.3229204814,"Htr3a-Cre_NO152"
"469",3.3487016667,-54.2187525431,3.34782,33.9583333333,83.7083333333,3.3474116667,-34.2187512716,3.348755,-54.3541692098,1.5274199398,88.1770858764,"Sst-IRES-Cre"
"471",5.09786,-43.6041679382,5.0959666667,23.2500012716,127.375,5.0953066667,-32.6354204814,5.0981666667,-43.7812512716,2.3500359513,66.8541692098,"Chat-IRES-Cre-neo"
"478",3.47406,-51.2812512716,3.4705866667,30.78125,86.75,3.47006,-36.0625025431,3.48182,-55.8541704814,3.7565153033,82.0625012716,"Nkx2-1-CreERT2"
"486",2.6649,-56.0937538147,2.66387,13,66.625,2.66341,-32.53125,2.66499,-56.2187538147,1.0273465643,69.0937538147,"Sst-IRES-Cre"
"492",11.33958,-55.020837148,11.33868,16.0416669846,283.458333333,11.3382933333,-31.947918574,11.3396666667,-55.114587148,1.2916697843,71.0625041326,"Nkx2-1-CreERT2"
"493",1.67528,-43.4166692098,1.67332,33.3229179382,41.7916666667,1.6727333333,-34.0000012716,1.7034066667,-50.958337148,2.7131035335,76.739587148,"Chrna2-Cre_OE25"
"498",6.3065683333,-55.6145846049,6.3054683333,32.0833352407,157.625,6.3050066667,-33.9791679382,6.306645,-55.7708358765,1.6040711532,87.6979198456,"Sst-IRES-Cre"
"511",10.9373316667,-55.5625038147,10.9360283333,8.7500004768,273.375,10.9354983333,-32.104168574,10.9374533333,-55.6666704814,1.1458653359,64.3125042915,"Sst-IRES-Cre"
"518",4.4231133333,-46.6458358765,4.4213666667,32.5937512716,110.499997457,4.4207933333,-35.2395846049,4.42644,-46.895837148,2.5261865435,79.2395871481,"Vip-IRES-Cre"
"542",7.6439466667,-57.3020846049,7.6429,34.0937538147,191.083333333,7.6425133333,-41.1979192098,7.64408,-57.395837148,2.0038754016,91.3958384196,"Sst-IRES-Cre"
"552",21.12693,-57.015625,21.1258675,0.5625,528.125,21.125445,-30.7187509537,21.127105,-57.140625,0.9488118709,57.578125,"Pvalb-IRES-Cre"
"560",12.7787333333,-48.7395833333,12.7753866667,18.916668574,319.375,12.7749133333,-38.5937525431,12.7834333333,-51.3750025431,3.5704344126,67.6562519073,"Chat-IRES-Cre-neo"
"573",2.6975533333,-62.9791704814,2.6962866667,31.5208333333,67.4166666667,2.6959,-46.7187512716,2.6977266667,-63.1458358765,2.3333250348,94.5000038147,"Sst-IRES-Cre"
"610",7.5178483333,-62.4375038147,7.5171633333,19.0625012716,187.875,7.5168433333,-41.1666679382,7.5178883333,-62.520837148,1.1771167678,81.5000050863,"Pvalb-IRES-Cre"
"623",3.463705,-52.0000019073,3.45898,20.328125,86.4375,3.4584725,-35.0312519073,3.47038,-55.1562519073,3.0107525915,72.3281269073,"Htr3a-Cre_NO152"
"631",9.2220933333,-50.5625025431,9.2174066667,24.7708339691,230.416656494,9.2168333333,-46.2395858765,9.2324133333,-56.552087148,3.6233740305,75.3333365122,"Vip-IRES-Cre"
"642",6.8922016667,-63.708337148,6.891465,32.2708346049,172.291666667,6.8911316667,-34.8437512716,6.8922166667,-63.7708346049,1.4005887992,95.9791717529,"Sst-IRES-Cre"
"644",3.8701466667,-61.5833358765,3.86876,37.9479192098,96.7083333333,3.86836,-41.708337148,3.8703966667,-61.8854204814,2.4402651721,99.5312550863,"Sst-IRES-Cre"
"654",10.96376,-57.3229166667,10.963005,10.0000003179,274.083333333,10.9626983333,-32.1666673024,10.9638516667,-57.4583346049,1.169867457,67.3229169846,"Pvalb-IRES-Cre"
"673",10.6831883333,-57.3541704814,10.68227,6.0104168455,267.04166158,10.6818883333,-30.8645846049,10.68326,-57.4791692098,0.9813387005,63.3645873269,"Pvalb-IRES-Cre"
"676",4.58689,-53.427087148,4.5858633333,19.7604166667,114.666666667,4.58548,-36.8541679382,4.5869666667,-53.552087148,1.6076182326,73.1875038147,"Htr3a-Cre_NO152"
"685",23.56707,-60.5104204814,23.5664716667,18.8958339691,589.166666667,23.5661966667,-35.0833333333,23.5671116667,-60.6354204814,1.1486667339,79.4062544505,"Pvalb-IRES-Cre"
"692",15.079075,-52.3229204814,15.0779333333,5.0520833333,376.958323161,15.07748,-27.7708339691,15.0793183333,-52.5416692098,1.0586477038,57.3750038147,"Pvalb-IRES-Cre"
"697",11.30363,-52.1145846049,11.2992583333,15.8020839691,282.458333333,11.2987633333,-33.2916679382,11.3078483333,-54.5833346049,2.9191102074,67.916668574,"Htr3a-Cre_NO152"
"716",3.44286,-58.0000038147,3.4418,30.5625019073,86,3.44134,-32.0312538147,3.44292,-58.0937538147,1.4236228102,88.562505722,"Sst-IRES-Cre"
"730",12.0121166667,-55.8229179382,12.0067716667,26.7291666667,300.166666667,12.0063983333,-35.0416679382,12.016455,-57.9583346049,3.6567426483,82.5520846049,"Htr3a-Cre_NO152"
"733",7.55248,-53.8125038147,7.55153,-0.9375000596,188.75,7.55103,-32.21875,7.552535,-53.9375038147,0.7245818994,52.8750037551,"Pvalb-IRES-Cre"
"744",1.9405366667,-55.427087148,1.9397366667,27.4062506358,48.5,1.9394066667,-40.7395858765,1.9636683333,-57.1250012716,1.6175792574,82.8333377838,"Htr3a-Cre_NO152"
"754",14.18138,-50.3541704814,14.1804733333,17.9375006358,354.5,14.1800733333,-26.1770846049,14.1814533333,-50.4479179382,1.1832455035,68.2916711172,"Pvalb-IRES-Cre"
"765",3.3748266667,-49.0000038147,3.3729266667,28.7083346049,84.2916666667,3.3723333333,-36.6145846049,3.37496,-49.083337148,2.3768578307,77.7083384196,"Chat-IRES-Cre-neo"
"771",20.2179833333,-56.3437538147,20.2171683333,4.8645837307,505.416656494,20.2167916667,-30.2187506358,20.2180383333,-56.4583358765,0.8538060921,61.2083375454,"Sst-IRES-Cre"
"785",1.79735,-45.4270858765,1.7957016667,23.4791666667,44.8750012716,1.7951633333,-34.8750038147,1.7973983333,-45.5312525431,2.350335595,68.9062525432,"Htr3a-Cre_NO152"
"788",13.13609,-65.875,13.13544,12.671875,328.375,13.13509,-36.0156269073,13.1361175,-65.953125,0.9622928751,78.546875,"Pvalb-IRES-Cre"
"791",6.654715,-52.9895858765,6.6533583333,6.2187504768,166.291666667,6.6529166667,-26.0520852407,6.6556216667,-53.4895858765,1.1066169869,59.2083363533,"Pvalb-IRES-Cre"
"797",11.5541366667,-57.3229204814,11.55346,8.4895839691,288.833333333,11.5531116667,-34.8437512716,11.554195,-57.4166679382,1.0366633378,65.8125044505,"Pvalb-IRES-Cre"
"810",9.5567016667,-61.2812512716,9.5559133333,15.3645839691,238.875,9.5555983333,-32.3333346049,9.5567533333,-61.3958333333,1.1896774851,76.6458352407,"Pvalb-IRES-Cre"
"818",7.20947,-58.4166704814,7.2086916667,41.9895846049,180.208328247,7.2083533333,-42.1875012716,7.2094966667,-58.4791704814,1.6845731865,100.406255086,"Sst-IRES-Cre"
"829",24.53703,-55.2708346049,24.5362866667,19.4062512716,613.416666667,24.5359516667,-32.2812525431,24.53709,-55.4270846049,1.2205514086,74.6770858765,"Pvalb-IRES-Cre"
"840",10.07721,-52.1770846049,10.0764583333,13.458334287,251.91666158,10.0761183333,-29.7187519073,10.0772316667,-52.3020858765,1.0818019591,65.6354188919,"Pvalb-IRES-Cre"
"851",4.6887066667,-59.0208358765,4.687885,25.5937512716,117.208333333,4.6875383333,-31.135418574,4.6887766667,-59.1250012716,1.2956576997,84.6145871481,"Sst-IRES-Cre"
"871",4.543755,-51.4375,4.54171,20.1562519073,113.5,4.5412,-36.46875,4.54502,-51.7812538147,2.3309182977,71.5937519073,"Htr3a-Cre_NO152"
