"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"1",0.0643841749,76.2833333333,0.1952468018,82.66,2.9852466667,4.8733333,-48.71875,-49.8750012716,-51.5000038147,0.03188,80.88,2.98354,3.3,56.5000038147,56.1770858765,53.5312538147,109.776884317,0.2447049916,110,74.5833333333,670,80.46,2.98312,2.9133333,-44.2187538147,-45.833337148,-47.8645833333,82.8,2.9854533333,324.9133333,-48.8437538147,-50.0937525431,-67.4166692098,4.231335161,4.2995347574,3.9390825509,-66.085067749,"Chrna2-Cre_OE25",12.1499615827,13.1090233778,105.031257629,105.218753815,106.052087148
"2",0.0487088251,118.397142857,0.3075892912,49.77,6.183945,4.593,-45.9687538147,-49.0937538147,-53.8000022888,0.02369,48.27,6.1828866667,3.48,13.21875,30.0937512716,27.4875007629,147.65624702,0.1171039641,170,154.583333333,730,47.88,6.1824916667,3.159,-32.0937538147,-33.0416679382,-33.9437515259,49.995,6.184045,213.473,-46.1562538147,-49.2187525431,-66.3187530518,2.0260001477,1.8275715128,1.818157779,-65.5030441284,"Sst-IRES-Cre",13.7579577113,8.4461497623,81.2875030517,59.1875038147,79.1875050863
"4",0.0025599038,18.2821698113,0.6564732336,30.44,6.500155,4.6658333,-59.5,-58.1250038147,-61.6093775431,0.01267,29.235,6.4988583333,3.5083333,20.9375,18.4687506358,27.052084287,149.062544107,0.0552238002,150,162.5,460,28.82,6.4983966667,3.13,-35.6875038147,-33.645837148,-44.8906275431,30.46,6.5003116667,475.5716667,-59.5937538147,-58.2604192098,-73.239587148,1.6085892896,1.48797843,1.8227807894,-73.0082244873,"Pvalb-IRES-Cre",8.35511306192,54.6981025951,88.6614618301,80.4375,76.5937544505
"6",0.0552294484,65.1996428571,0.2904244319,174.985,1.593015,5.615,-47.21875,-48.5937525431,-52.8750022888,0.031455,173.02,1.5913466667,3.597,6.8750004768,16.4166679382,7.5125004768,392.499923706,0.1238510758,30.0000019073,39.75,340,172.355,1.5906266667,2.979,-38.21875,-36.802087148,-37.825,212.745,1.5931366667,453.574,-47.9062538147,-48.7083358765,-64.5187522888,1.5606648549,1.4279694749,1.4298383286,-63.3182563782,"Htr3a-Cre_NO152",29.7855539635,15.3375073264,60.3875027656,54.0937504768,65.0104204813
"7",0.0114506457,51.8227777778,0.1644670138,17.9,2.0704333333,4.461,-60.5000038147,-58.7916692098,-62.4625022888,0.005875,16.98,2.0694533333,3.541,32.7500038147,32.0312512716,37.5062515259,257.656246424,0.0991026983,90,51.7083333333,0,16.595,2.0690316667,3.197,-41.5625,-42.3125012716,-47.5000022888,17.995,2.0705083333,527.561,-60.6562538147,-58.9166692098,-66.625,1.934570444,1.8411034553,2.0405820868,-66.219039917,"Htr3a-Cre_NO152",14.5592839187,19.2965341281,99.9687538147,93.2500076294,90.8229204814
"13",0.0479778872,50.6313888889,0.2912946534,58.045,3.0996133333,4.1958333,-62.3437538147,-59.4375012716,-63.0104198456,0.02136,57.37,3.0989066667,3.5083333,27.9375019073,28.6458346049,28.0208349228,188.749924302,0.0210860185,90,77.5,71.6666717529,56.99,3.0985283333,3.15,-49.78125,-48.5416692098,-50.6250019073,58.07,3.0996816667,377.6216667,-62.4375038147,-59.5625025431,-77.2135467529,1.5145105049,1.6129978916,1.5088935227,-76.1265106201,"Sst-IRES-Cre",16.7264549613,19.7505938894,91.0312547684,90.281255722,88.0833358765
"14",0.0080075192,42.8673913043,0.3255244725,81.295,0.7556966667,5.8825,-67.40625,-66.5937525431,-67.8020846049,0.01323,79.06,0.7536033333,3.8416667,39.375,49.8333346049,50.8385423024,358.353376389,0.1233621985,20,18.7916663488,200,78.38,0.752935,3.2666667,-48.09375,-44.5416692098,-46.0885423024,81.59,0.7559016667,34.1241667,-67.65625,-66.7916692098,-68.546875,2.3500174063,2.1421211064,2.2625250108,-66.2410736084,"Sst-IRES-Cre",23.5896544304,23.3277549572,118.640626907,106.78125,116.427087148
"15",0.000606499,6.2868670886,2.5092513928,12.065,8.0228883333,3.625,-65.84375,-55.895837148,-66.2000030518,0.00598,11.545,8.0221466667,3.14,6.6875004768,2.3854169846,19.3875011444,114.843562245,0.0471121594,230,200.54166158,352,11.285,8.021805,2.917,-37.71875,-28.479168574,-51.6312522888,12.08,8.0229616667,673.986,-65.9375076294,-56.0312512716,-77.7812530518,0.9866171007,0.8148035265,1.1934464482,-77.1630325317,"Pvalb-IRES-Cre",6.78485877938,159.061737095,85.5875041962,72.5312504768,58.2812541326
"17",0.0239068846,29.8609375,0.5583579903,169.42,1.225815,4.42,-61.3750038147,-60.2187525431,-61.859377861,0.021375,168.42,1.2248133333,3.4275,23.6250019073,29.0312506358,25.3750014305,337.94644475,0.1777706742,20,30.625,350,168.02,1.2243833333,3.04375,-45.1250038147,-44.3020846049,-46.7500009537,169.505,1.2258616667,291.54125,-61.4687538147,-60.3229204814,-69.7109394073,1.6485235306,1.6406354083,1.6799470649,-69.2231445313,"Sst-IRES-Cre",25.7562151138,33.488566794,87.2343792915,85.000005722,89.2500031789
"18",0.0528032087,92.848,0.1847740668,148.54,1.2304666667,4.8466667,-46.8125,-46.5937512716,-48.8541679382,0.03838,145.62,1.2279266667,3.16,43.6875038147,45.9687512716,44.1354192098,402.764409781,0.1547615081,50,30.7083326976,660,145.12,1.22742,2.7466667,-35.3125,-35.2812512716,-43.1041692098,189.82,1.2751333333,811.8266667,-55.6875038147,-55.958337148,-74.6458384196,3.4306170271,3.3540754974,3.3828298725,-73.0341339111,"Chrna2-Cre_OE25",33.0468695413,10.7702912287,92.989587148,90.5000038147,92.5625025432
"19",0.0140817883,51.6847222222,0.3299107143,169.23,1.9863983333,4.18,-63.0625038147,-62.1562525431,-64.6718788147,0.02328,168.445,1.9856083333,3.31875,36.5000038147,37.9583346049,38.164065361,264.687508345,0.0848891288,50,49.625,210,168.12,1.98526,3.0025,-42.0625038147,-43.2604192098,-44.9375019073,169.26,1.9864333333,230.33375,-63.1562538147,-62.2708346049,-66.8203125,1.7492095804,1.6927780623,1.8348471312,-65.863571167,"Sst-IRES-Cre",25.4514594377,19.3480772848,102.835944176,99.5625076294,100.114587148
"22",0.0872583041,67.7532142857,0.2162946429,56.39,2.097295,4.358,-57.6875038147,-55.1458358765,-58.0375022888,0.01694,55.405,2.096345,3.432,24.9375019073,24.6041679382,24.8812511444,238.28125,0.013189774,50,52.4166666667,0,55.07,2.0960033333,3.123,-46.8437538147,-44.4791692098,-47.6687538147,56.42,2.09739,395.886,-57.75,-55.2916704814,-67.5812530518,2.0673130842,1.9615790797,2.0347158005,-66.556060791,"Sst-IRES-Cre",23.9373695145,14.7594473641,82.9187534332,82.625005722,79.7500038147
"30",0.134182159,28.2175,0.0338008415,129.425,1.75798,4.485,-59.3750038147,-56.8125,-60.5750015259,0.024615,128.31,1.756795,3.344,27.3750019073,28.6875012716,27.8812507629,343.125075102,0.0152803427,40,43.9166666667,410,127.91,1.756385,2.985,-46.2187538147,-43.3229166667,-47.9,129.51,1.7580433333,720.821,-59.5312538147,-56.9270858765,-70.7875045776,2.0104735175,2.0623776388,2.0368430599,-70.1568450928,"Sst-IRES-Cre",36.1506600727,35.4390006202,88.4562522888,86.750005722,85.5000012716
"34",0.4103743748,24.8866666667,0.053163074,179.04,10.0009266667,4.4333333,-54.5937538147,-50.6354179382,-56.7500038147,0.02222,178.12,9.9996266667,3.48,32.84375,18.9791676203,35.3541692098,287.343800068,0.1550024748,40,250,300,177.72,9.9990333333,3.1,-40.0000038147,-38.71875,-47.4583333333,723.74,10.0010866667,910.8266667,-57.1875,-50.7916679382,-70.1562550863,1.7839550343,1.5811534012,1.8611079257,-69.8161087036,"Vip-IRES-Cre",20.2264349204,40.1821591213,92.1041730245,87.4375038147,69.6145855585
"36",1,1000,0,20.8,5.37712,5.204,-51.28125,-42.5,-55.5000038147,0.0092,19.16,5.37482,3.48,32.15625,18.5,37.3500015259,247.500106692,0.038181331,90,134.375,270,18.74,5.3737,3.096,-43,-30.5312519073,-47.3250038147,20.94,5.3781,677.7,-51.3437538147,-42.7812538147,-69.5375015259,3.1808620782,1.4977561897,3.3363243934,-68.6338882446,"Chat-IRES-Cre-neo",22.0690161542,1,92.8500053406,83.4375,61
"38",0.0141153754,34.3007142857,0.4464864865,69.295,2.8176133333,4.60125,-53.75,-53.1458346049,-58.773440361,0.02504,68.2,2.8164416667,3.28875,12.8125,14.8333336512,10.8984382153,249.330356717,0.1250998527,70,70.375,440,67.8,2.8160233333,2.935,-39.625,-35.9375,-42.0859375,69.365,2.8176666667,316.69875,-53.84375,-53.2291666667,-65.5078144073,1.6605080463,1.5579662122,1.6310524952,-65.5227432251,"Sst-IRES-Cre",22.9317307203,29.1539118303,69.6718785763,66.5625,67.9791682561
