specimen_id,adaptation,avg_isi,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vrest,transgenic_line,binary_neuron,tau,layer_full,acronym,height_short,height_long,height_ramp
569653118,0.0643841749,76.2833333333,0.1952468018,82.66,2.9852466667,4.8733333,-48.71875,-49.8750012716,-51.5000038147,0.03188,80.88,2.98354,3.3,56.5000038147,56.1770858765,53.5312538147,109.776884317,0.2447049916,110.0,74.5833333333,670.0,80.46,2.98312,2.9133333,-44.2187538147,-45.833337148,-47.8645833333,82.8,2.9854533333,324.9133333,-48.8437538147,-50.0937525431,-67.4166692098,4.231335161,4.2995347574,3.9390825509,-66.085067749,Chrna2-Cre_OE25,Inhibitory,12.1499615827,Lateral visual area layer 5,VISl5,105.031257629,105.218753815,106.052087148
485466109,0.0487088251,118.397142857,0.3075892912,49.77,6.183945,4.593,-45.9687538147,-49.0937538147,-53.8000022888,0.02369,48.27,6.1828866667,3.48,13.21875,30.0937512716,27.4875007629,147.65624702,0.1171039641,170.0,154.583333333,730.0,47.88,6.1824916667,3.159,-32.0937538147,-33.0416679382,-33.9437515259,49.995,6.184045,213.473,-46.1562538147,-49.2187525431,-66.3187530518,2.0260001477,1.8275715128,1.818157779,-65.5030441284,Sst-IRES-Cre,Inhibitory,13.7579577113,Primary visual area layer 2/3,VISp2/3,81.2875030517,59.1875038147,79.1875050863
483057325,0.0422146009,81.3945454545,0.1627293749,69.75,1.3164266667,7.302,-48.90625,-51.0833346049,-55.8000022888,0.027555,66.395,1.3132283333,3.475,33.28125,38.8229179382,29.0875011444,266.406327486,0.0415404625,110.0,32.8333333333,469.999969482,65.825,1.312735,3.001,-38.1562538147,-40.1666692098,-46.1250007629,79.575,1.3417783333,671.744,-52.09375,-57.6145858765,-73.3375,4.2084853999,4.2741508224,4.0963716292,-72.1746749878,Cux2-CreERT2,Excitatory,21.9450109341,Primary visual area layer 4,VISp4,84.8875034332,82.1875,89.9062525431
488440436,0.0025599038,18.2821698113,0.6564732336,30.44,6.500155,4.6658333,-59.5,-58.1250038147,-61.6093775431,0.01267,29.235,6.4988583333,3.5083333,20.9375,18.4687506358,27.052084287,149.062544107,0.0552238002,150.0,162.5,460.0,28.82,6.4983966667,3.13,-35.6875038147,-33.645837148,-44.8906275431,30.46,6.5003116667,475.5716667,-59.5937538147,-58.2604192098,-73.239587148,1.6085892896,1.48797843,1.8227807894,-73.0082244873,Pvalb-IRES-Cre,Inhibitory,8.35511306192,Primary visual area layer 5,VISp5,88.6614618301,80.4375,76.5937544505
501566512,0.5423579673,307.1,0.1553466075,65.16,7.5167066667,5.4266667,-47.0,-46.9270858765,-55.0937525431,0.03378,62.98,7.5144333333,3.56,40.7812538147,42.7291692098,42.3229179382,136.562421918,0.1326381862,210.0,187.833333333,860.0,62.44,7.5138466667,3.12,-33.96875,-33.7604179382,-46.9375025431,66.12,7.5339666667,110.5,-47.8750038147,-49.7291679382,-81.2500050863,2.7189014122,2.5281373528,3.0607072471,-80.0506210327,Ntsr1-Cre_GN220,Excitatory,14.1818948651,Primary visual area layer 6a,VISp6a,97.4166704813,87.7812538147,89.6562550863
479219923,0.0552294484,65.1996428571,0.2904244319,174.985,1.593015,5.615,-47.21875,-48.5937525431,-52.8750022888,0.031455,173.02,1.5913466667,3.597,6.8750004768,16.4166679382,7.5125004768,392.499923706,0.1238510758,30.0000019073,39.75,340.0,172.355,1.5906266667,2.979,-38.21875,-36.802087148,-37.825,212.745,1.5931366667,453.574,-47.9062538147,-48.7083358765,-64.5187522888,1.5606648549,1.4279694749,1.4298383286,-63.3182563782,Htr3a-Cre_NO152,Inhibitory,29.7855539635,Primary visual area layer 5,VISp5,60.3875027656,54.0937504768,65.0104204813
486875162,0.0114506457,51.8227777778,0.1644670138,17.9,2.0704333333,4.461,-60.5000038147,-58.7916692098,-62.4625022888,0.005875,16.98,2.0694533333,3.541,32.7500038147,32.0312512716,37.5062515259,257.656246424,0.0991026983,90.0,51.7083333333,0.0,16.595,2.0690316667,3.197,-41.5625,-42.3125012716,-47.5000022888,17.995,2.0705083333,527.561,-60.6562538147,-58.9166692098,-66.625,1.934570444,1.8411034553,2.0405820868,-66.219039917,Htr3a-Cre_NO152,Inhibitory,14.5592839187,Primary visual area layer 2/3,VISp2/3,99.9687538147,93.2500076294,90.8229204814
482444444,0.0347760085,30.73375,0.6312207153,514.44,16.0185683333,4.103,-57.6875038147,-56.6250012716,-59.8312522888,0.126335,513.62,16.0174733333,3.311,13.5,14.5833339691,25.0187511444,64.5312517881,0.0449956208,350.0,400.416676839,900.0,513.3,16.0171366667,3.032,-34.9062538147,-31.4375025431,-44.8625015259,514.63,16.0196683333,436.287,-57.8437538147,-57.5208358765,-77.8812530518,1.2045470956,1.267778265,1.3775258626,-76.9548568726,Pvalb-IRES-Cre,Inhibitory,4.99634536181,Primary visual area layer 2/3,VISp2/3,84.8500034332,71.1875038147,71.2083352407
500961697,0.0259499525,79.6,0.1640540541,163.34,3.2930333333,4.87,-47.4375038147,-49.3854192098,-50.7812519073,0.04384,161.42,3.2912933333,3.39,43.0,44.5104166667,44.21875,153.749927878,0.1038112193,70.0,82.25,0.0,161.0,3.29088,3.01,-33.1250038147,-33.5104192098,-48.2812519073,200.7,3.3191666667,489.35,-56.5625038147,-55.9791692098,-68.9218788147,3.3893320895,3.2384560859,3.6690064788,-68.5057373047,Scnn1a-Tg3-Cre,Excitatory,20.4216258325,Primary visual area layer 4,VISp4,95.0000019073,90.4375038147,93.8958358765
471410185,0.0092892927,60.1843333333,0.2173949196,448.86,5.2211966667,5.506,-49.53125,-49.2604192098,-56.5875038147,0.06071,446.59,5.2195133333,3.57,25.5312519073,42.0104192098,26.5125011444,151.562616229,0.149849534,120.000007629,130.458333333,0.0,446.065,5.2190483333,3.142,-39.5312538147,-40.4895833333,-46.8125022888,474.74,5.2519316667,231.151,-55.0937538147,-54.4479192098,-77.4000030518,2.4319977954,2.5716143936,2.3827811392,-76.2948379517,Ntsr1-Cre_GN220,Excitatory,14.6088103604,Primary visual area layer 6a,VISp6a,83.1000049591,75.0625019073,91.2708384196
