"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","height","binary_neuron","firing_rate"
"3",0.0422146009409484,81.3945454545455,0.162729374902656,1.08975,2.33642666666667,1.027302,-48.90625,-51.0833346048991,-55.8000022888184,289.12208,0.027555,1.086395,2.33322833333333,1.023475,33.28125,38.8229179382324,29.0875011444092,266.406327486038,0.0415404625236988,1.691744,-73.3375,110,32.8333333333333,469.999969482422,1.085825,2.332735,1.023001,-38.1562538146973,-40.1666692097982,-46.1250007629395,1.099575,2.36177833333333,1.691744,-52.09375,-57.6145858764648,-73.3375,4.20848539986433,4.27415082236767,4.09637162919967,-99.0937576293945,-72.174674987793,84.8875034332276,"Excitatory",12.2858355485067
"5",0.542357967302534,307.1,0.155346607523105,1.08516,8.53670666666667,1.02542666666667,-47,-46.9270858764648,-55.0937525431315,209.971936,0.0337800000000001,1.08298,8.53443333333333,1.02356,40.7812538146973,42.7291692097982,42.3229179382324,136.562421917915,0.132638186216354,1.1305,-81.250005086263,210,187.833333333333,860,1.08244,8.53384666666667,1.02312,-33.96875,-33.7604179382324,-46.9375025431315,1.08612,8.55396666666667,1.1305,-47.8750038146973,-49.7291679382324,-81.250005086263,2.71890141223514,2.52813735284161,3.06070724707307,-95.5000076293945,-80.0506210327148,97.4166704813639,"Excitatory",3.25626831650928
"8",0.0347760085193906,30.73375,0.631220715270749,1.53444,17.0385683333333,1.024103,-57.6875038146973,-56.6250012715658,-59.8312522888184,105.196152,0.126335,1.53362,17.0374733333333,1.023311,13.5,14.5833339691162,25.0187511444092,64.5312517881393,0.0449956208467484,1.456287,-77.8812530517578,350,400.416676839193,900,1.5333,17.0371366666667,1.023032,-34.9062538146973,-31.4375025431315,-44.8625015258789,1.53463,17.0396683333333,1.456287,-57.8437538146973,-57.5208358764648,-77.8812530517578,1.20454709560304,1.26777826495465,1.37752586261736,-92.5,-76.9548568725586,84.8500034332276,"Inhibitory",32.5375198275511
"9",0.0259499525080395,79.6,0.164054054054054,1.18334,4.31303333333333,1.02487,-47.4375038146973,-49.3854192097982,-50.7812519073486,148.06432,0.0438400000000001,1.18142,4.31129333333333,1.02339,43,44.5104166666667,44.21875,153.74992787838,0.103811219334602,1.50935,-68.9218788146973,70,82.25,0,1.181,4.31088,1.02301,-33.1250038146973,-33.5104192097982,-48.2812519073486,1.2207,4.33916666666667,1.50935,-56.5625038146973,-55.9791692097982,-68.9218788146973,3.38933208949961,3.23845608594034,3.66900647880166,-85.2187576293945,-68.5057373046875,95.0000019073486,"Excitatory",12.5628140703518
"10",0.00928929266442473,60.1843333333333,0.217394919622208,1.46886,6.24119666666667,1.025506,-49.53125,-49.2604192097982,-56.5875038146973,126.870208,0.06071,1.46659,6.23951333333333,1.02357,25.5312519073486,42.0104192097982,26.5125011444092,151.562616229057,0.149849534034729,1.251151,-77.4000030517578,120.000007629395,130.458333333333,0,1.466065,6.23904833333333,1.023142,-39.5312538146973,-40.4895833333333,-46.8125022888184,1.49474,6.27193166666667,1.251151,-55.0937538146973,-54.4479192097982,-77.4000030517578,2.43199779540174,2.5716143936217,2.38278113917378,-93.6562576293945,-76.2948379516602,83.1000049591065,"Excitatory",16.6156197903109
"13",0.0479778872438261,50.6313888888889,0.291294653444569,1.078045,4.11961333333333,1.02419583333333,-62.3437538146973,-59.4375012715658,-63.0104198455811,254.30064,0.02136,1.07737,4.11890666666667,1.02350833333333,27.9375019073486,28.6458346048991,28.0208349227905,188.749924302101,0.0210860185325146,1.39762166666667,-77.2135454813639,90,77.5,71.6666717529297,1.07699,4.11852833333333,1.02315,-49.78125,-48.5416692097982,-50.6250019073486,1.07807,4.11968166666667,1.39762166666667,-62.4375038146973,-59.5625025431315,-77.2135467529297,1.51451050493651,1.61299789157978,1.50889352274576,-97.53125,-76.1265106201172,91.0312547683716,"Inhibitory",19.7505938893857
"29",0.026013695360957,84.2527272727273,0.174621213842028,1.2,8.54379333333334,1.02574,-46.90625,-46.9166679382324,-53.8250015258789,162.225472,0.0424800000000001,1.1975,8.54131333333333,1.023672,33.3750038146973,37.34375,35.9000022888184,160.156279802322,0.164622649550438,1.117364,-76.8000045776367,170,188,0,1.19684,8.54063333333333,1.023168,-33.65625,-32.0625006357829,-46.5312515258789,1.22254,8.57222666666667,1.117364,-48.03125,-49.7083346048991,-76.8000045776367,2.45921838308283,2.37927339507517,2.88725853272408,-93.9687576293945,-76.3359832763672,89.7250038146973,"Excitatory",11.8690519864477
"50",0.00680395272305974,16.5130508474576,0.834196332837647,1.056225,8.50692166666667,1.02425,-56.71875,-51.5416704813639,-58.8697954813639,238.507488,0.012335,1.055135,8.50547833333333,1.02334666666667,16.9687519073486,7.46875055631002,25.0260429382324,136.406257748604,0.0212017614394426,1.57356083333333,-79.7708358764648,140,187.125,520,1.05476,8.50501166666667,1.02303833333333,-36.5000038146973,-27.1458346048991,-45.817710240682,1.056485,8.50796333333333,1.57356083333333,-56.9375038146973,-52.2395871480306,-79.7708358764648,1.51400652653294,1.12385979067463,1.65729675534852,-94.3750076293945,-79.3803024291992,83.8958384195963,"Inhibitory",60.5581614952735
"57",0.0200593683442852,61.381,0.199621220808492,1.11842,3.69296166666667,1.02569125,-48.34375,-45.8437525431315,-51.7734384536743,244.460368,0.0443550000000001,1.11556,3.69031,1.02349375,33.8125,37.8958358764648,36.0937519073486,178.281173110008,0.0534816235303879,1.62694375,-79.8984394073486,90,66.75,820,1.1151,3.689865,1.023105,-34.9687538146973,-32.3958339691162,-42.8437519073486,1.13946,3.73089666666667,1.62694375,-54.40625,-57.1666679382324,-79.8984394073486,3.33455174256993,3.38663802001272,3.61953651154426,-96.09375,-79.4305877685547,87.8671903610229,"Excitatory",16.2916863524543
"58",0.100490290119311,80.4504545454545,0.222144679258464,1.126865,5.30663666666667,1.02546375,-43.6562538146973,-45.4062525431315,-46.8437528610229,132.65108,0.0490000000000002,1.124815,5.30440833333333,1.0235475,26.1875019073486,34.5833333333333,25.0078129768372,197.812542319298,0.024099737405777,1.6290325,-82.2890644073486,90,107.083333333333,920,1.124285,5.30390333333333,1.02311625,-39.1875038146973,-36.3541666666667,-34.1250014305115,1.137835,5.35615166666667,1.6290325,-44.28125,-52.5729179382324,-82.2890644073486,3.2999292533846,3.36622334208887,2.86063858686084,-100.468757629395,-81.92041015625,71.8515658378601,"Excitatory",12.430010565509
"62",0.118855154862113,67.3333333333333,0.144956789297024,1.15987,5.108525,1.0248575,-53.6562538146973,-52.2812538146973,-57.5781269073486,154.351296,0.0348550000000001,1.157765,5.1066725,1.023105,40.0625038146973,43.9062519073486,38.3437519073486,158.593788743019,0.0306478515267372,1.6588925,-82.1406288146973,110,102.1875,720,1.157325,5.1062325,1.0227175,-40.7812538146973,-38.890625,-54.1406269073486,1.180555,5.1340425,1.6588925,-58.2812538146973,-56.90625,-82.1406288146973,3.32895698549413,3.49582551361315,3.8665216990509,-96.71875,-81.6837158203125,95.9218788146972,"Excitatory",14.8514851485149
"66",0.0313114024926393,43.6734090909091,0.442857142857143,1.131345,2.02568833333333,1.026495,-39.875,-49.7604204813639,-50.4687519073486,252.332384,0.02949,1.128695,2.02199833333333,1.0236825,14.375,9.03125063578288,2.84375,274.062603712082,0.00390733359381557,1.606105,-64.3125,50,25.0416666666667,0,1.12805,2.021205,1.0231175,-37.09375,-46.2187525431315,-39.5625,1.179765,2.055805,1.606105,-46.5,-52.3854179382324,-64.3125,2.75354843311988,3.28433034732306,2.84107387810398,-94.53125,-64.5871353149414,53.3125019073486,"Inhibitory",22.8972278742526
"77",0.129197871310126,50.5925,0.12352940356703,1.081785,4.66026833333333,1.029433,-49.6562538146973,-47.9583346048991,-59.5562530517578,182.50048,0.0300800000000001,1.077925,4.65592,1.023451,29.59375,33.8541692097982,38.1750022888184,124.062463641167,0.0150359999388456,1.349609,-80.4687530517578,190,90.875,344.000024414063,1.07737,4.65539166666667,1.023016,-37.5,-35.7916679382324,-49.2875015258789,1.09428,4.69577666666667,1.349609,-54.1875038146973,-55.0208371480306,-80.4687530517578,3.88957261019803,3.99815449895296,4.76659225074045,-94.7187576293945,-80.3704452514648,97.7312553405762,"Excitatory",19.7657755596185
"81",0.0333492132819316,50.6811111111111,-0.0202702670574538,1.25462,2.19852,1.0253,-51.28125,-52.1145858764648,-54.9062538146973,455.143616,0.0319400000000001,1.25308,2.19707333333333,1.02412,14.2812509536743,18.3958346048991,14.1875009536743,338.593661785126,0.0336970798671246,1.91014,-66.28125,29.9999980926514,29.4166673024495,340,1.25264,2.19663333333333,1.02372,-42.1562538146973,-43.1666679382324,-49.4375,1.2859,2.23019333333333,1.91014,-54.25,-54.5000025431315,-66.28125,2.59684825476686,2.59930540266775,2.15837934727449,-96.78125,-65.1880950927734,69.0937547683716,"Inhibitory",19.731216977616
"88",0.11050577897634,90.435,0.12183908045977,1.19673,3.46798,1.02533125,-47.9375,-48.65625,-50.6171894073486,160.389952,0.0553700000000001,1.19386,3.46545,1.02350375,35.90625,37.53125,37.296875,186.875000596046,0.0202918145805597,1.82248375,-74.8984394073486,90,61.125,830,1.19338,3.46498,1.02309125,-33.5625,-33.6875038146973,-43.09375,1.22511,3.49128,1.82248375,-54.40625,-55,-74.8984394073486,3.1423566242206,3.03067999474725,3.4011178458165,-95.6875,-75.2422332763672,87.9140644073486,"Excitatory",11.0576657267651
"93",0.0752613537360421,109.455,0.159665089188205,1.202305,3.22784666666667,1.025206,-46.0625038146973,-47.2291692097982,-49.1562522888184,182.719216,0.0643450000000001,1.199685,3.22557333333333,1.023385,46.03125,47.7812525431315,45.0875022888184,233.281329274178,0.118305526673794,1.568509,-74.4437561035156,50,55.125,800,1.199225,3.22509666666667,1.022991,-37.40625,-37.7916679382324,-44.7500022888184,1.275735,3.27282166666667,1.568509,-55.6875038146973,-56.1458371480306,-74.4437561035156,3.62362487329577,3.51354013501952,3.95198373464481,-94.2812576293945,-73.0314865112305,94.2437545776368,"Excitatory",9.13617468365995
"96",0.00837115840464048,138.005,0.167996124448892,1.107815,4.39875,1.02482333333333,-50.34375,-51.3593769073486,-53.7187531789144,137.701248,0.0531900000000001,1.10579,4.3970425,1.02329333333333,37.7812538146973,41.875,39.5468762715658,85.9374776482582,0.108218982815742,1.20909916666667,-70.9062525431315,130,84.375,920,1.10539,4.396665,1.02296666666667,-42.03125,-42.7187519073486,-48.9583346048991,1.139105,4.435555,1.20909916666667,-58.21875,-58.3906288146973,-70.9062525431315,3.5580965198161,3.22682225612339,3.63033145863779,-78.21875,-70.4233016967773,93.2656294504802,"Excitatory",7.24611427122206
"100",0.00843448985920636,36.0992592592593,0.480000012676526,1.04764,7.64292666666667,1.027312,-47.4375038146973,-46.3958358764648,-56.9812530517578,191.749056,0.0142800000000001,1.04602,7.6399,1.02294,25,23.3125006357829,27.5625011444092,134.843826293945,0.0294129494577646,1.340548,-73.2375,190,165.5,700,1.04564,7.63940666666667,1.022612,-31.5937519073486,-33.03125,-35.4812522888184,1.04916,7.64702666666667,1.340548,-48.0625038146973,-48.1041679382324,-73.2375,2.78068767410302,3.08943045861507,2.60104616618189,-88.5312576293945,-72.8857345581055,84.543754196167,"Excitatory",27.7013994336602
"108",0.0506358445444906,94.6985,0.194509345794393,1.11824,3.73406833333333,1.02536125,-46.46875,-47.5625025431315,-47.515625,197.70776,0.03979,1.115335,3.73038833333333,1.0235225,35.4375038146973,37.5208346048991,31.1328129768372,183.750033378601,0.0408375635743141,1.58389,-79.5234394073486,70,67.7916666666667,860,1.11488,3.72990666666667,1.02309875,-36.7187538146973,-36.1979192097982,-42.5234375,1.14744,3.76155333333333,1.58389,-56.8125038146973,-56.4687512715658,-79.5234394073486,3.7967368984653,3.63734001792571,3.48663141428794,-98.96875,-78.2534942626953,78.6484379768372,"Excitatory",10.5598293531577
"109",0.0306957107006016,71.0076923076923,0.300697674418605,1.14794,4.73448333333333,1.02438083333333,-50.71875,-51.0416679382324,-52.2656256357829,211.051296,0.036845,1.14686,4.73341666666667,1.0234,36.59375,38.0729179382324,38.9583346048991,211.87499165535,0.25926661491394,1.3634375,-71.3437512715658,90,92.8333333333333,720,1.14651,4.73305833333333,1.02307583333333,-42.4687538146973,-41.2083346048991,-45.421875,1.17504,4.75296166666667,1.3634375,-54.15625,-54.4062525431315,-71.3437512715658,2.20564036427941,2.14800327235213,2.15262037030336,-94.9062576293945,-70.3972854614258,91.223960240682,"Inhibitory",14.0829812588019
"119",0.0135167677268518,56.1635294117647,0.223913043478261,1.25394,2.5405,1.024584,-48.5625,-50.2500025431315,-55.5375030517578,321.108416,0.0402200000000001,1.25092,2.53783333333333,1.022812,44.125,45.2916692097982,43.5625030517578,217.187687754631,0.0523097552359104,1.558484,-69.5125045776367,50,37.9583333333333,600,1.25048,2.53738666666667,1.02244,-33.6875038146973,-35.8437525431315,-44.6812515258789,1.27852,2.56206666666667,1.558484,-56.46875,-58.1562512715658,-69.5125045776367,3.80478953174667,3.96411148360654,4.17296804038893,-90.4687576293945,-70.7851715087891,99.1000061035156,"Excitatory",17.805148830097
"126",0.0795338248995217,110.256,0.11249998978206,1.123885,4.83492666666667,1.027921,-46.4375,-48.6666692097982,-53.3000030517578,147.576528,0.0583050000000001,1.119275,4.83095833333333,1.023456,24.53125,33.3020846048991,29.1500015258789,160.000115633011,0.0200274847447872,1.755804,-77.8250030517578,209.999984741211,95.2499974568685,852,1.118755,4.830475,1.023021,-33.6250038146973,-36.1979179382324,-40.8875030517578,1.140605,4.86961,1.755804,-51.7812538146973,-57.2916692097982,-77.8250030517578,4.15566216659159,4.01972245422219,3.70945765542083,-91.96875,-77.0050354003906,82.4500045776367,"Excitatory",9.06980118995792
"131",0.0233020464716072,56.7364705882353,0.186829278533363,1.15678,3.62646166666667,1.025062,-47.2812538146973,-47.8541692097982,-52.8125038146973,141.152544,0.0297050000000001,1.154755,3.624465,1.023392,46.03125,46.6875025431315,46.9062522888184,136.718794703484,0.0877228975296021,1.08181,-61.9750015258789,70,65.1250012715658,540,1.15435,3.62405333333333,1.023055,-37.3750038146973,-37.5104204813639,-45.2312522888184,1.18777,3.660065,1.08181,-53.7812538146973,-52.9166679382324,-61.9750015258789,3.53909845229126,3.59375301748887,3.56616982370624,-75.9687576293945,-61.491153717041,99.7187561035157,"Excitatory",17.6253473230208
"133",0.00591471569951447,15.7613541666667,0.985833333333333,1.034245,13.6153533333333,1.024267,-60.59375,-58.0937525431315,-63.3500030517578,155.591856,0.00924500000000017,1.033355,13.6143733333333,1.023362,13.25,17.5416673024495,23.3937503814697,92.3437848687172,0.0547689869999886,1.657443,-74.9000015258789,270,314.833333333333,114,1.03303,13.61399,1.023061,-37.5937538146973,-32.5104173024495,-45.0437515258789,1.03427,13.6154233333333,1.657443,-60.75,-58.1770846048991,-74.9000015258789,1.44779023654326,1.35671305388324,1.56444239219254,-84.78125,-74.04443359375,86.7437534332275,"Inhibitory",63.44632506989
"135",0.0472376080557392,11.16875,1.44336501231961,1.02968,16.60688,1.024076,-65.3125076293945,-61.2812538146973,-66.6125030517578,148.943296,0.00610500000000003,1.02903,16.60613,1.023409,16.5,14.75,23.3875007629395,81.2499970197678,0.00915148854255676,1.224035,-75.7250015258789,290,389.625,530,1.02875,16.605785,1.023139,-46.90625,-32.9687538146973,-50.11875,1.02969,16.606875,1.224035,-65.375,-61.2812538146973,-75.7250015258789,1.40570901300871,1.14400571400627,1.39723656145842,-85.03125,-74.6396560668945,90.0000038146973,"Inhibitory",89.5355344152211
"138",0.209255162241887,54.2400000000001,0.0526760563380282,1.085835,7.506305,1.0250025,-46.03125,-46.5104166666667,-48.5703144073486,200.678192,0.035925,1.083655,7.50380166666667,1.0233175,37.0625,44.4583346048991,41.5078144073486,148.437365889549,0.046664297580719,1.54085,-77.4843769073486,150,162.125,900,1.08322,7.50336333333333,1.022955,-35.03125,-32.1145846048991,-43.828125,1.09986,7.51918666666667,1.54085,-50.09375,-51.7708346048991,-77.4843769073486,3.63082310287827,3.69068134078344,4.17585052515827,-96.375,-76.7660217285156,90.0781288146972,"Excitatory",18.4365781710914
"147",0.017156113629541,53.4020588235294,0.244488197869513,1.774925,3.98277666666667,1.02493125,-49.0312538146973,-49.1458346048991,-52.4687528610229,190.287488,0.0352250000000001,1.77302,3.98097333333333,1.02346375,44.6250038146973,48.1250038146973,45.2812538146973,144.062504172325,0.268266767263412,1.1009775,-70.6718769073486,80,74.0416641235352,610,1.77259,3.98056333333333,1.02310875,-40.28125,-38.9895846048991,-45.6093778610229,1.827815,4.03179,1.1009775,-56.0625,-52.8333371480306,-70.6718769073486,3.48796293873898,3.66351348037154,3.47141272835902,-84.96875,-68.8367080688477,97.7500066757202,"Excitatory",18.7258697891137
