"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"3",289.12208,266.406327486,0.0415404625237,-99.0937576294,-72.1746749878,84.8875034332,"Excitatory",0.0422146009409,81.3945454545,0.162729374903,0.027555,12.2858355485,1.08975,-48.90625,1.086395,33.28125,110,1.085825,-38.1562538147,1.099575,-52.09375,4.20848539986
"5",209.971936,136.562421918,0.132638186216,-95.5000076294,-80.0506210327,97.4166704814,"Excitatory",0.542357967303,307.1,0.155346607523,0.03378,3.25626831651,1.08516,-47,1.08298,40.7812538147,210,1.08244,-33.96875,1.08612,-47.8750038147,2.71890141224
"11",190.866704,170.625045896,0.0146091291681,-94.0000076294,-75.3428726196,80.9375045776,"Excitatory",0.251829867569,70.105,0.0900793674157,0.029535,14.264317809,1.08307,-50.3125038147,1.079695,25.7500019073,150,1.079065,-43.3125,1.73933,-55.7812538147,2.84228464688
"17",360.87904,337.94644475,0.177770674229,-100.031257629,-69.2231445312,87.2343792915,"Inhibitory",0.0239068846174,29.8609375,0.558357990282,0.021375,33.488566794,1.18942,-61.3750038147,1.18842,23.6250019073,20,1.18802,-45.1250038147,1.189505,-61.4687538147,1.64852353062
"22",277.678944,238.28125,0.0131897740066,-92.0000076294,-66.556060791,82.9187534332,"Inhibitory",0.0872583040789,67.7532142857,0.216294642857,0.01694,14.7594473641,1.07639,-57.6875038147,1.075405,24.9375019073,50,1.07507,-46.8437538147,1.07642,-57.75,2.0673130842
"23",594.601088,476.562440395,0.0150903426111,-101.343757629,-66.9524688721,81.7500038147,"Inhibitory",0.0361738299882,39.7744736842,0.272144673314,0.023255,25.1417531741,1.08975,-56.0625,1.08839,24.1875019073,30.0000019073,1.08792,-44.7187538147,1.089815,-56.2500038147,2.08763124465
"24",169.609664,123.906247318,0.0693726539612,-92.0625,-77.8588638306,88.7375045776,"Excitatory",0.0154623126733,71.5476923077,0.141274452748,0.05996,13.9766911796,1.23948,-48.5312538147,1.23638,32,100,1.23594,-38.21875,1.27496,-59.2500038147,3.82407298378
"30",278.821728,343.125075102,0.0152803426608,-101.093757629,-70.1568450928,88.4562522888,"Inhibitory",0.13418215901,28.2175,0.0338008415147,0.024615,35.4390006202,1.149425,-59.3750038147,1.14831,27.3750019073,40,1.14791,-46.2187538147,1.14951,-59.5312538147,2.0104735175
"44",438.913472,454.53119278,0.00303306360729,-97.125,-64.803352356,85.4531288147,"Inhibitory",0.109690434427,75.0622727273,0.113037975546,0.007175,13.3222718107,1.09375,-61,1.09248,13.5625,20,1.091985,-51.2500038147,1.09393,-61.2187538147,1.80789499245
"51",149.066784,118.080377579,0.0944587662816,-80.6250076294,-68.4131774902,72.5000030518,"Excitatory",0.0868781786667,101.536111111,0.136552220174,0.05453,9.84871282795,1.275455,-44.96875,1.273605,30.8125019073,50,1.27313,-40.8125038147,1.443175,-56.3437538147,2.9693590104
"60",89.69156,116.718634963,0.101548105478,-86.96875,-73.244430542,76.2031254768,"Excitatory",0.0265356304415,97.82,0.115714285714,0.073615,10.2228583112,1.15001,-44.75,1.14605,24.84375,130,1.145605,-34.9687538147,1.18508,-54.0312538147,3.11670159398
"66",252.332384,274.062603712,0.00390733359382,-94.53125,-64.5871353149,53.3125019073,"Inhibitory",0.0313114024926,43.6734090909,0.442857142857,0.02949,22.8972278743,1.131345,-39.875,1.128695,14.375,50,1.12805,-37.09375,1.179765,-46.5,2.75354843312
"88",160.389952,186.875000596,0.0202918145806,-95.6875,-75.2422332764,87.9140644073,"Excitatory",0.110505778976,90.435,0.12183908046,0.05537,11.0576657268,1.19673,-47.9375,1.19386,35.90625,90,1.19338,-33.5625,1.22511,-54.40625,3.14235662422
"90",81.808176,82.5000405312,0.0312513895333,-86.0625076294,-69.6435470581,74.0104211171,"Inhibitory",0.00309000052684,14.2991304348,0.385887210436,0.008155,69.9343225493,1.03317,-54.46875,1.032375,16.6875019073,390,1.03208,-34.6875,1.033275,-54.6875038147,1.40031676764
"99",272.356064,195.937529206,0.0292322263122,-100.8125,-78.8551330566,94.2604173024,"Excitatory",0.0187310267332,49.4557894737,0.245974814527,0.03755,20.2200796033,1.419255,-54.3125,1.417325,39.625,50,1.41683,-41.5000038147,1.460715,-61.1875038147,3.34823501509
"105",227.981824,312.187582254,0.0285992901772,-94.5937576294,-61.9263076782,86.8359394073,"Inhibitory",0.133396954436,101.475,0.133116883117,0.03402,9.85464400099,1.11984,-45.53125,1.11716,33.5,50,1.11658,-34.53125,1.14244,-53.1562538147,2.4494800266
"111",285.755872,267.96874404,0.162377104163,-103.59375,-73.1547622681,83.572918574,"Excitatory",0.0297156416156,49.5855263158,0.205737704918,0.021885,20.1671752687,1.07379,-50.7500038147,1.071875,26.84375,50,1.07138,-41.6562538147,1.080365,-51.6875,2.6286820771
"113",110.029904,99.06257689,0.0279425401241,-86.1562576294,-75.1433410645,89.6041717529,"Excitatory",0.0278465493189,151.652,0.10744520285,0.08578,6.59404425923,1.2812,-49.4062538147,1.27704,40.03125,130,1.27648,-39.7500038147,1.327,-57.59375,4.06153700281
"123",202.347344,212.031289935,0.0468316674232,-97.84375,-73.9191589355,84.6666730245,"Excitatory",0.0180185395816,46.556,0.264264976307,0.035175,21.4795085488,1.23072,-47.5937538147,1.2286,38.4687538147,70,1.2282,-36.0937538147,1.25381,-55.4687538147,3.09871297335
