"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"3",289.12208,266.406327486,0.0415404625237,-99.0937576294,-72.1746749878,84.8875034332,"Excitatory",2.33642666667,-51.0833346049,2.33322833333,38.8229179382,32.8333333333,2.332735,-40.1666692098,2.36177833333,-57.6145858765,4.27415082237
"5",209.971936,136.562421918,0.132638186216,-95.5000076294,-80.0506210327,97.4166704814,"Excitatory",8.53670666667,-46.9270858765,8.53443333333,42.7291692098,187.833333333,8.53384666667,-33.7604179382,8.55396666667,-49.7291679382,2.52813735284
"11",190.866704,170.625045896,0.0146091291681,-94.0000076294,-75.3428726196,80.9375045776,"Excitatory",5.65970166667,-50.8229179382,5.65520666667,26.8020846049,115.875,5.65451666667,-38.6875025431,5.68037666667,-56.8125025431,2.53823130443
"17",360.87904,337.94644475,0.177770674229,-100.031257629,-69.2231445312,87.2343792915,"Inhibitory",2.245815,-60.2187525431,2.24481333333,29.0312506358,30.625,2.24438333333,-44.3020846049,2.24586166667,-60.3229204814,1.64063540826
"22",277.678944,238.28125,0.0131897740066,-92.0000076294,-66.556060791,82.9187534332,"Inhibitory",3.117295,-55.1458358765,3.116345,24.6041679382,52.4166666667,3.11600333333,-44.4791692098,3.11739,-55.2916704814,1.96157907973
"23",594.601088,476.562440395,0.0150903426111,-101.343757629,-66.9524688721,81.7500038147,"Inhibitory",1.69307,-54.8593769073,1.691635,26.203125,16.7500004768,1.6911675,-43.5625019073,1.7019875,-55.0468769073,2.20533166478
"24",169.609664,123.906247318,0.0693726539612,-92.0625,-77.8588638306,88.7375045776,"Excitatory",5.74135333333,-46.1770833333,5.73885333333,38.9791666667,117.708328247,5.73842666667,-35.6354166667,5.78220666667,-55.6458333333,3.99762224157
"30",278.821728,343.125075102,0.0152803426608,-101.093757629,-70.1568450928,88.4562522888,"Inhibitory",2.77798,-56.8125,2.776795,28.6875012716,43.9166666667,2.776385,-43.3229166667,2.77804333333,-56.9270858765,2.0623776388
"44",438.913472,454.53119278,0.00303306360729,-97.125,-64.803352356,85.4531288147,"Inhibitory",1.86675,-59.2291679382,1.86562,25.4479179382,21.125,1.86521166667,-48.0312512716,1.86682166667,-59.3541692098,1.9957399011
"51",149.066784,118.080377579,0.0944587662816,-80.6250076294,-68.4131774902,72.5000030518,"Excitatory",3.40693833333,-45.6770846049,3.40511666667,33.3437506358,59.5833333333,3.404635,-42.1562512716,3.44091,-48.7604192098,3.04381741532
"60",89.69156,116.718634963,0.101548105478,-86.96875,-73.244430542,76.2031254768,"Excitatory",6.009055,-44.2916679382,6.00630666667,32.8229166667,124.625,6.00588833333,-34.9270833333,6.04769333333,-56.0208333333,3.04764947117
"66",252.332384,274.062603712,0.00390733359382,-94.53125,-64.5871353149,53.3125019073,"Inhibitory",2.02568833333,-49.7604204814,2.02199833333,9.03125063578,25.0416666667,2.021205,-46.2187525431,2.055805,-52.3854179382,3.28433034732
