"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square"
"3",289.12208,266.406327486,0.0415404625237,-99.0937576294,-72.1746749878,84.8875034332,"Excitatory",1.027302,-55.8000022888,1.023475,29.0875011444,1.691744,-73.3375,469.999969482,1.023001,-46.1250007629,1.691744,-73.3375,4.0963716292
"5",209.971936,136.562421918,0.132638186216,-95.5000076294,-80.0506210327,97.4166704814,"Excitatory",1.02542666667,-55.0937525431,1.02356,42.3229179382,1.1305,-81.2500050863,860,1.02312,-46.9375025431,1.1305,-81.2500050863,3.06070724707
"11",190.866704,170.625045896,0.0146091291681,-94.0000076294,-75.3428726196,80.9375045776,"Excitatory",1.025854,-54.6375030518,1.023478,26.3000015259,1.57757,-75.2062545776,780,1.022943,-49.9000030518,1.57757,-75.2062545776,2.91999029842
"17",360.87904,337.94644475,0.177770674229,-100.031257629,-69.2231445312,87.2343792915,"Inhibitory",1.02442,-61.859377861,1.0234275,25.3750014305,1.31154125,-69.7109394073,350,1.02304375,-46.7500009537,1.31154125,-69.7109394073,1.67994706493
"22",277.678944,238.28125,0.0131897740066,-92.0000076294,-66.556060791,82.9187534332,"Inhibitory",1.024358,-58.0375022888,1.023432,24.8812511444,1.415886,-67.5812530518,0,1.023123,-47.6687538147,1.415886,-67.5812530518,2.03471580048
"23",594.601088,476.562440395,0.0150903426111,-101.343757629,-66.9524688721,81.7500038147,"Inhibitory",1.02447166667,-57.6145858765,1.02325666667,24.1354179382,1.83023166667,-70.1250050863,380,1.02285666667,-45.6354192098,1.83023166667,-70.1250050863,2.036319901
"24",169.609664,123.906247318,0.0693726539612,-92.0625,-77.8588638306,88.7375045776,"Excitatory",1.025428,-51.8750022888,1.02346,36.8625022888,1.605676,-78.3750045776,1080,1.023104,-45.3062515259,1.605676,-78.3750045776,3.83065047134
"30",278.821728,343.125075102,0.0152803426608,-101.093757629,-70.1568450928,88.4562522888,"Inhibitory",1.024485,-60.5750015259,1.023344,27.8812507629,1.740821,-70.7875045776,410,1.022985,-47.9,1.740821,-70.7875045776,2.0368430599
"44",438.913472,454.53119278,0.00303306360729,-97.125,-64.803352356,85.4531288147,"Inhibitory",1.02415625,-62.500002861,1.02304625,22.9531259537,1.78035875,-65.8281269073,160,1.022685,-49.3671894073,1.78035875,-65.8281269073,1.95410241905
"51",149.066784,118.080377579,0.0944587662816,-80.6250076294,-68.4131774902,72.5000030518,"Excitatory",1.025401,-48.7375015259,1.023547,23.7625015259,1.682607,-68.5937530518,630,1.023114,-47.4000022888,1.682607,-68.5937545776,3.01403181074
