"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","height","binary_neuron","firing_rate"
"1",0.0643841749362958,76.2833333333333,0.195246801797226,1.10266,4.00524666666667,1.02487333333333,-48.71875,-49.8750012715658,-51.5000038146973,134.67648,0.0318800000000001,1.10088,4.00354,1.0233,56.5000038146973,56.1770858764648,53.5312538146973,109.776884317398,0.244704991579056,1.34491333333333,-67.4166692097982,110,74.5833333333333,670,1.10046,4.00312,1.02291333333333,-44.2187538146973,-45.8333371480306,-47.8645833333333,1.1028,4.00545333333333,1.34491333333333,-48.8437538146973,-50.0937525431315,-67.4166692097982,4.23133516098478,4.29953475742399,3.93908255087266,-78.59375,-66.0850677490234,105.031257629395,"Inhibitory",13.1090233777584
"2",0.048708825111257,118.397142857143,0.307589291200342,1.06977,7.203945,1.024593,-45.9687538146973,-49.0937538146973,-53.8000022888184,164.745728,0.02369,1.06827,7.20288666666667,1.02348,13.21875,30.0937512715658,27.4875007629395,147.656247019768,0.117103964090347,1.233473,-66.3187530517578,170,154.583333333333,730,1.06788,7.20249166666667,1.023159,-32.0937538146973,-33.0416679382324,-33.9437515258789,1.069995,7.204045,1.233473,-46.1562538146973,-49.2187525431315,-66.3187530517578,2.02600014772885,1.82757151279853,1.81815777902793,-82.40625,-65.503044128418,81.2875030517579,"Inhibitory",8.44614976230121
"4",0.00255990377692692,18.2821698113208,0.656473233629847,1.05044,7.520155,1.02466583333333,-59.5,-58.1250038146973,-61.6093775431315,197.864144,0.01267,1.049235,7.51885833333333,1.02350833333333,20.9375,18.4687506357829,27.0520842870076,149.062544107437,0.0552238002419472,1.49557166666667,-73.2395871480306,150,162.5,460,1.04882,7.51839666666667,1.02313,-35.6875038146973,-33.6458371480306,-44.8906275431315,1.05046,7.52031166666667,1.49557166666667,-59.5937538146973,-58.2604192097982,-73.2395871480306,1.60858928958779,1.48797842999395,1.82278078938727,-89.4375076293945,-73.0082244873047,88.6614618301391,"Inhibitory",54.6981025950636
"6",0.055229448362509,65.1996428571429,0.290424431927115,1.194985,2.613015,1.025615,-47.21875,-48.5937525431315,-52.8750022888184,317.859968,0.031455,1.19302,2.61134666666667,1.023597,6.87500047683716,16.4166679382324,7.51250047683716,392.499923706055,0.123851075768471,1.473574,-64.5187522888184,30.0000019073486,39.75,340,1.192355,2.61062666666667,1.022979,-38.21875,-36.8020871480306,-37.825,1.232745,2.61313666666667,1.473574,-47.9062538146973,-48.7083358764648,-64.5187522888184,1.56066485487134,1.42796947493655,1.42983832856955,-98.75,-63.3182563781738,60.3875027656556,"Inhibitory",15.3375073263986
"7",0.0114506456739024,51.8227777777778,0.164467013793456,1.0379,3.09043333333333,1.024461,-60.5000038146973,-58.7916692097982,-62.4625022888184,312.810656,0.00587500000000007,1.03698,3.08945333333333,1.023541,32.7500038146973,32.0312512715658,37.5062515258789,257.656246423721,0.0991026982665062,1.547561,-66.625,90,51.7083333333333,0,1.036595,3.08903166666667,1.023197,-41.5625,-42.3125012715658,-47.5000022888184,1.037995,3.09050833333333,1.547561,-60.6562538146973,-58.9166692097982,-66.625,1.93457044398579,1.84110345530758,2.04058208683675,-93.8750076293945,-66.2190399169922,99.9687538146973,"Inhibitory",19.2965341280647
"11",0.251829867569301,70.105,0.0900793674156938,1.08307,5.65970166666667,1.025854,-50.3125038146973,-50.8229179382324,-54.6375030517578,190.866704,0.0295350000000001,1.079695,5.65520666666667,1.023478,25.7500019073486,26.8020846048991,26.3000015258789,170.625045895576,0.0146091291680932,1.57757,-75.2062545776367,150,115.875,780,1.079065,5.65451666666667,1.022943,-43.3125,-38.6875025431315,-49.9000030517578,1.73933,5.68037666666667,1.57757,-55.7812538146973,-56.8125025431315,-75.2062545776367,2.84228464688227,2.53823130442767,2.91999029842376,-94.0000076293945,-75.3428726196289,80.9375045776367,"Excitatory",14.2643178090008
"14",0.00800751915747272,42.8673913043478,0.325524472485627,1.101295,1.77569666666667,1.0258825,-67.40625,-66.5937525431315,-67.8020846048991,318.735008,0.0132300000000001,1.09906,1.77360333333333,1.02384166666667,39.375,49.8333346048991,50.8385423024495,358.35337638855,0.123362198472023,1.05412416666667,-68.546875,20,18.7916663487752,200,1.09838,1.772935,1.02326666666667,-48.09375,-44.5416692097982,-46.0885423024495,1.10159,1.77590166666667,1.05412416666667,-67.65625,-66.7916692097982,-68.546875,2.35001740631423,2.14212110641046,2.26252501083553,-100.1875,-66.2410736083984,118.640626907349,"Inhibitory",23.3277549571479
"15",0.000606499008422971,6.2868670886076,2.50925139275277,1.032065,9.04288833333334,1.023625,-65.84375,-55.8958371480306,-66.2000030517578,175.237632,0.0059800000000001,1.031545,9.04214666666667,1.02314,6.68750047683716,2.38541698455811,19.3875011444092,114.843562245369,0.0471121594309807,1.693986,-77.7812530517578,230,200.541661580404,352,1.031285,9.041805,1.022917,-37.71875,-28.4791685740153,-51.6312522888184,1.03208,9.04296166666667,1.693986,-65.9375076293945,-56.0312512715658,-77.7812530517578,0.986617100731772,0.814803526503812,1.19344644818485,-101.250007629395,-77.1630325317383,85.587504196167,"Inhibitory",159.06173709511
"16",0.0476945778402227,62.894,0.159469707443475,1.118395,4.17376,1.025411,-45.6875,-46.9583358764648,-47.7625022888184,173.447264,0.0429200000000001,1.11636,4.17170833333333,1.023462,37.71875,40.0833339691162,40.4937507629395,210.468634963036,0.0526439473032951,1.411247,-77.4375045776367,70,78.7916666666667,780,1.11585,4.17120166666667,1.022979,-37.7812538146973,-35.3750025431315,-44.6812515258789,1.139235,4.20985833333333,1.411247,-48.25,-53.0833358764648,-77.4375061035156,3.23716786737683,3.03444217506621,3.60751163592337,-97.21875,-75.3036117553711,88.2562530517579,"Excitatory",15.8997678633892
"17",0.0239068846173895,29.8609375,0.558357990282009,1.18942,2.245815,1.02442,-61.3750038146973,-60.2187525431315,-61.8593778610229,360.87904,0.0213750000000001,1.18842,2.24481333333333,1.0234275,23.6250019073486,29.0312506357829,25.3750014305115,337.946444749832,0.177770674228668,1.31154125,-69.7109394073486,20,30.625,350,1.18802,2.24438333333333,1.02304375,-45.1250038146973,-44.3020846048991,-46.7500009536743,1.189505,2.24586166666667,1.31154125,-61.4687538146973,-60.3229204813639,-69.7109394073486,1.64852353062486,1.64063540825812,1.67994706492572,-100.031257629395,-69.22314453125,87.2343792915344,"Inhibitory",33.488566793993
