"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"2",164.745728,147.65624702,0.11710396409,-82.40625,-65.5030441284,81.2875030518,"Inhibitory",0.0487088251113,118.397142857,0.3075892912,0.02369,8.4461497623,1.06977,-45.9687538147,1.06827,13.21875,170,1.06788,-32.0937538147,1.069995,-46.1562538147,2.02600014773
"3",289.12208,266.406327486,0.0415404625237,-99.0937576294,-72.1746749878,84.8875034332,"Excitatory",0.0422146009409,81.3945454545,0.162729374903,0.027555,12.2858355485,1.08975,-48.90625,1.086395,33.28125,110,1.085825,-38.1562538147,1.099575,-52.09375,4.20848539986
"4",197.864144,149.062544107,0.0552238002419,-89.4375076294,-73.0082244873,88.6614618301,"Inhibitory",0.00255990377693,18.2821698113,0.65647323363,0.01267,54.6981025951,1.05044,-59.5,1.049235,20.9375,150,1.04882,-35.6875038147,1.05046,-59.5937538147,1.60858928959
"5",209.971936,136.562421918,0.132638186216,-95.5000076294,-80.0506210327,97.4166704814,"Excitatory",0.542357967303,307.1,0.155346607523,0.03378,3.25626831651,1.08516,-47,1.08298,40.7812538147,210,1.08244,-33.96875,1.08612,-47.8750038147,2.71890141224
"6",317.859968,392.499923706,0.123851075768,-98.75,-63.3182563782,60.3875027657,"Inhibitory",0.0552294483625,65.1996428571,0.290424431927,0.031455,15.3375073264,1.194985,-47.21875,1.19302,6.87500047684,30.0000019073,1.192355,-38.21875,1.232745,-47.9062538147,1.56066485487
"7",312.810656,257.656246424,0.0991026982665,-93.8750076294,-66.219039917,99.9687538147,"Inhibitory",0.0114506456739,51.8227777778,0.164467013793,0.005875,19.2965341281,1.0379,-60.5000038147,1.03698,32.7500038147,90,1.036595,-41.5625,1.037995,-60.6562538147,1.93457044399
"8",105.196152,64.5312517881,0.0449956208467,-92.5,-76.9548568726,84.8500034332,"Inhibitory",0.0347760085194,30.73375,0.631220715271,0.126335,32.5375198276,1.53444,-57.6875038147,1.53362,13.5,350,1.5333,-34.9062538147,1.53463,-57.8437538147,1.2045470956
"9",148.06432,153.749927878,0.103811219335,-85.2187576294,-68.5057373047,95.0000019073,"Excitatory",0.025949952508,79.6,0.164054054054,0.04384,12.5628140704,1.18334,-47.4375038147,1.18142,43,70,1.181,-33.1250038147,1.2207,-56.5625038147,3.3893320895
"10",126.870208,151.562616229,0.149849534035,-93.6562576294,-76.2948379517,83.1000049591,"Excitatory",0.00928929266442,60.1843333333,0.217394919622,0.06071,16.6156197903,1.46886,-49.53125,1.46659,25.5312519073,120.000007629,1.466065,-39.5312538147,1.49474,-55.0937538147,2.4319977954
"11",190.866704,170.625045896,0.0146091291681,-94.0000076294,-75.3428726196,80.9375045776,"Excitatory",0.251829867569,70.105,0.0900793674157,0.029535,14.264317809,1.08307,-50.3125038147,1.079695,25.7500019073,150,1.079065,-43.3125,1.73933,-55.7812538147,2.84228464688
