"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"2",164.745728,147.65624702,0.11710396409,-82.40625,-65.5030441284,81.2875030518,"Inhibitory",7.203945,-49.0937538147,7.20288666667,30.0937512716,154.583333333,7.20249166667,-33.0416679382,7.204045,-49.2187525431,1.8275715128
"3",289.12208,266.406327486,0.0415404625237,-99.0937576294,-72.1746749878,84.8875034332,"Excitatory",2.33642666667,-51.0833346049,2.33322833333,38.8229179382,32.8333333333,2.332735,-40.1666692098,2.36177833333,-57.6145858765,4.27415082237
"4",197.864144,149.062544107,0.0552238002419,-89.4375076294,-73.0082244873,88.6614618301,"Inhibitory",7.520155,-58.1250038147,7.51885833333,18.4687506358,162.5,7.51839666667,-33.645837148,7.52031166667,-58.2604192098,1.48797842999
"5",209.971936,136.562421918,0.132638186216,-95.5000076294,-80.0506210327,97.4166704814,"Excitatory",8.53670666667,-46.9270858765,8.53443333333,42.7291692098,187.833333333,8.53384666667,-33.7604179382,8.55396666667,-49.7291679382,2.52813735284
"6",317.859968,392.499923706,0.123851075768,-98.75,-63.3182563782,60.3875027657,"Inhibitory",2.613015,-48.5937525431,2.61134666667,16.4166679382,39.75,2.61062666667,-36.802087148,2.61313666667,-48.7083358765,1.42796947494
"7",312.810656,257.656246424,0.0991026982665,-93.8750076294,-66.219039917,99.9687538147,"Inhibitory",3.09043333333,-58.7916692098,3.08945333333,32.0312512716,51.7083333333,3.08903166667,-42.3125012716,3.09050833333,-58.9166692098,1.84110345531
"8",105.196152,64.5312517881,0.0449956208467,-92.5,-76.9548568726,84.8500034332,"Inhibitory",17.0385683333,-56.6250012716,17.0374733333,14.5833339691,400.416676839,17.0371366667,-31.4375025431,17.0396683333,-57.5208358765,1.26777826495
"9",148.06432,153.749927878,0.103811219335,-85.2187576294,-68.5057373047,95.0000019073,"Excitatory",4.31303333333,-49.3854192098,4.31129333333,44.5104166667,82.25,4.31088,-33.5104192098,4.33916666667,-55.9791692098,3.23845608594
"10",126.870208,151.562616229,0.149849534035,-93.6562576294,-76.2948379517,83.1000049591,"Excitatory",6.24119666667,-49.2604192098,6.23951333333,42.0104192098,130.458333333,6.23904833333,-40.4895833333,6.27193166667,-54.4479192098,2.57161439362
"11",190.866704,170.625045896,0.0146091291681,-94.0000076294,-75.3428726196,80.9375045776,"Excitatory",5.65970166667,-50.8229179382,5.65520666667,26.8020846049,115.875,5.65451666667,-38.6875025431,5.68037666667,-56.8125025431,2.53823130443
"13",254.30064,188.749924302,0.0210860185325,-97.53125,-76.1265106201,91.0312547684,"Inhibitory",4.11961333333,-59.4375012716,4.11890666667,28.6458346049,77.5,4.11852833333,-48.5416692098,4.11968166667,-59.5625025431,1.61299789158
"14",318.735008,358.353376389,0.123362198472,-100.1875,-66.2410736084,118.640626907,"Inhibitory",1.77569666667,-66.5937525431,1.77360333333,49.8333346049,18.7916663488,1.772935,-44.5416692098,1.77590166667,-66.7916692098,2.14212110641
"16",173.447264,210.468634963,0.0526439473033,-97.21875,-75.3036117554,88.2562530518,"Excitatory",4.17376,-46.9583358765,4.17170833333,40.0833339691,78.7916666667,4.17120166667,-35.3750025431,4.20985833333,-53.0833358765,3.03444217507
"18",504.248832,402.764409781,0.154761508107,-104.968757629,-73.0341339111,92.989587148,"Inhibitory",2.25046666667,-46.5937512716,2.24792666667,45.9687512716,30.7083326976,2.24742,-35.2812512716,2.29513333333,-55.958337148,3.35407549738
"22",277.678944,238.28125,0.0131897740066,-92.0000076294,-66.556060791,82.9187534332,"Inhibitory",3.117295,-55.1458358765,3.116345,24.6041679382,52.4166666667,3.11600333333,-44.4791692098,3.11739,-55.2916704814,1.96157907973
"23",594.601088,476.562440395,0.0150903426111,-101.343757629,-66.9524688721,81.7500038147,"Inhibitory",1.69307,-54.8593769073,1.691635,26.203125,16.7500004768,1.6911675,-43.5625019073,1.7019875,-55.0468769073,2.20533166478
"24",169.609664,123.906247318,0.0693726539612,-92.0625,-77.8588638306,88.7375045776,"Excitatory",5.74135333333,-46.1770833333,5.73885333333,38.9791666667,117.708328247,5.73842666667,-35.6354166667,5.78220666667,-55.6458333333,3.99762224157
"26",250.077936,133.437380195,0.0483482480049,-96.5,-80.5925750732,96.1953163147,"Excitatory",4.25414,-49.3437525431,4.25242666667,44.7812512716,80.7916666667,4.25197333333,-36.4270846049,4.29098,-53.7812525431,3.42686631551
"29",162.225472,160.156279802,0.16462264955,-93.9687576294,-76.3359832764,89.7250038147,"Excitatory",8.54379333333,-46.9166679382,8.54131333333,37.34375,188,8.54063333333,-32.0625006358,8.57222666667,-49.7083346049,2.37927339508
