"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","height","binary_neuron","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square"
"1",134.67648,109.776884317398,0.244704991579056,-78.59375,-66.0850677490234,105.031257629395,"Inhibitory",1.02487333333333,-51.5000038146973,1.0233,53.5312538146973,1.34491333333333,-67.4166692097982,670,1.02291333333333,-47.8645833333333,1.34491333333333,-67.4166692097982,3.93908255087266
"2",164.745728,147.656247019768,0.117103964090347,-82.40625,-65.503044128418,81.2875030517579,"Inhibitory",1.024593,-53.8000022888184,1.02348,27.4875007629395,1.233473,-66.3187530517578,730,1.023159,-33.9437515258789,1.233473,-66.3187530517578,1.81815777902793
"4",197.864144,149.062544107437,0.0552238002419472,-89.4375076293945,-73.0082244873047,88.6614618301391,"Inhibitory",1.02466583333333,-61.6093775431315,1.02350833333333,27.0520842870076,1.49557166666667,-73.2395871480306,460,1.02313,-44.8906275431315,1.49557166666667,-73.2395871480306,1.82278078938727
"6",317.859968,392.499923706055,0.123851075768471,-98.75,-63.3182563781738,60.3875027656556,"Inhibitory",1.025615,-52.8750022888184,1.023597,7.51250047683716,1.473574,-64.5187522888184,340,1.022979,-37.825,1.473574,-64.5187522888184,1.42983832856955
"7",312.810656,257.656246423721,0.0991026982665062,-93.8750076293945,-66.2190399169922,99.9687538146973,"Inhibitory",1.024461,-62.4625022888184,1.023541,37.5062515258789,1.547561,-66.625,0,1.023197,-47.5000022888184,1.547561,-66.625,2.04058208683675
"11",190.866704,170.625045895576,0.0146091291680932,-94.0000076293945,-75.3428726196289,80.9375045776367,"Excitatory",1.025854,-54.6375030517578,1.023478,26.3000015258789,1.57757,-75.2062545776367,780,1.022943,-49.9000030517578,1.57757,-75.2062545776367,2.91999029842376
"14",318.735008,358.35337638855,0.123362198472023,-100.1875,-66.2410736083984,118.640626907349,"Inhibitory",1.0258825,-67.8020846048991,1.02384166666667,50.8385423024495,1.05412416666667,-68.546875,200,1.02326666666667,-46.0885423024495,1.05412416666667,-68.546875,2.26252501083553
"15",175.237632,114.843562245369,0.0471121594309807,-101.250007629395,-77.1630325317383,85.587504196167,"Inhibitory",1.023625,-66.2000030517578,1.02314,19.3875011444092,1.693986,-77.7812530517578,352,1.022917,-51.6312522888184,1.693986,-77.7812530517578,1.19344644818485
"16",173.447264,210.468634963036,0.0526439473032951,-97.21875,-75.3036117553711,88.2562530517579,"Excitatory",1.025411,-47.7625022888184,1.023462,40.4937507629395,1.411247,-77.4375045776367,780,1.022979,-44.6812515258789,1.411247,-77.4375061035156,3.60751163592337
"17",360.87904,337.946444749832,0.177770674228668,-100.031257629395,-69.22314453125,87.2343792915344,"Inhibitory",1.02442,-61.8593778610229,1.0234275,25.3750014305115,1.31154125,-69.7109394073486,350,1.02304375,-46.7500009536743,1.31154125,-69.7109394073486,1.67994706492572
"18",504.248832,402.764409780502,0.154761508107185,-104.968757629395,-73.0341339111328,92.9895871480306,"Inhibitory",1.02484666666667,-48.8541679382324,1.02316,44.1354192097982,1.83182666666667,-74.6458384195964,660,1.02274666666667,-43.1041692097982,1.83182666666667,-74.6458384195964,3.38282987251483
"19",203.879312,264.68750834465,0.0848891288042068,-94.8750076293945,-65.8635711669922,102.83594417572,"Inhibitory",1.02418,-64.6718788146973,1.02331875,38.1640653610229,1.25033375,-66.8203125,210,1.0230025,-44.9375019073486,1.25033375,-66.8203125,1.83484713115001
"22",277.678944,238.28125,0.0131897740066051,-92.0000076293945,-66.5560607910156,82.9187534332276,"Inhibitory",1.024358,-58.0375022888184,1.023432,24.8812511444092,1.415886,-67.5812530517578,0,1.023123,-47.6687538146973,1.415886,-67.5812530517578,2.03471580048334
"23",594.601088,476.562440395355,0.0150903426110744,-101.343757629395,-66.9524688720703,81.7500038146972,"Inhibitory",1.02447166666667,-57.6145858764648,1.02325666666667,24.1354179382324,1.83023166666667,-70.125005086263,380,1.02285666666667,-45.6354192097982,1.83023166666667,-70.125005086263,2.03631990100366
"24",169.609664,123.906247317791,0.0693726539611816,-92.0625,-77.8588638305664,88.7375045776368,"Excitatory",1.025428,-51.8750022888184,1.02346,36.8625022888184,1.605676,-78.3750045776367,1080,1.023104,-45.3062515258789,1.605676,-78.3750045776367,3.83065047133696
"26",250.077936,133.437380194664,0.0483482480049133,-96.5,-80.5925750732422,96.1953163146972,"Excitatory",1.024895,-50.8593769073486,1.023525,45.3359394073486,1.53851,-81.1953125,0,1.023155,-47.9765644073486,1.53851,-81.1953125,4.01802602132239
"30",278.821728,343.125075101852,0.0152803426608443,-101.093757629395,-70.1568450927734,88.4562522888184,"Inhibitory",1.024485,-60.5750015258789,1.023344,27.8812507629395,1.740821,-70.7875045776367,410,1.022985,-47.9,1.740821,-70.7875045776367,2.03684305990347
"31",243.125056,187.343835830688,0.0894831418991089,-96.5312576293945,-78.4394836425781,72.3593772252401,"Excitatory",1.02513166666667,-50.9895846048991,1.02339666666667,21.369792620341,1.53387083333333,-79.2552121480306,758.333384195964,1.0229425,-41.8593775431315,1.53387083333333,-79.2552121480306,2.67732104720954
"32",338.62912,339.620679616928,0.026388593018055,-101.906257629395,-72.0817794799805,92.2312553405762,"Excitatory",1.02511,-54.0437530517578,1.023375,38.1875022888184,1.719038,-74.9750045776367,450,1.02296,-48.4062507629395,1.719038,-74.9750045776367,3.67776544233017
"34",302.033856,287.343800067902,0.155002474784851,-100.375007629395,-69.8161087036133,92.1041730244955,"Inhibitory",1.02443333333333,-56.7500038146973,1.02348,35.3541692097982,1.93082666666667,-70.156255086263,300,1.0231,-47.4583333333333,1.93082666666667,-70.156255086263,1.86110792567326
"37",190.409872,143.749997019768,0.0830477774143219,-91.375,-70.9986572265625,85.619792620341,"Inhibitory",1.02423583333333,-59.9270839691162,1.02342166666667,25.6927086512248,1.39934416666667,-71.5052083333333,550,1.02299666666667,-47.6406256357829,1.39934416666667,-71.5052083333333,1.33850405862797
"38",246.92152,249.33035671711,0.12509985268116,-94.46875,-65.5227432250977,69.6718785762786,"Inhibitory",1.02460125,-58.7734403610229,1.02328875,10.8984382152557,1.33669875,-65.5078144073486,440,1.022935,-42.0859375,1.33669875,-65.5078144073486,1.63105249517239
"39",190.132208,150.156363844872,0.0869927704334259,-83.9375,-66.0966186523438,92.8854204813639,"Excitatory",1.02632,-51.7395858764648,1.02359333333333,41.1458346048991,1.84056666666667,-66.3125025431315,300,1.02313333333333,-47.0208346048991,1.84056666666667,-66.3125025431315,4.13871992427133
"41",271.40336,263.750106096268,0.0334620662033558,-94.21875,-66.1558990478516,93.5416704813639,"Inhibitory",1.02427083333333,-52.7500019073486,1.02324666666667,40.7916685740153,1.61669583333333,-67.2447954813639,350,1.02297,-41.6979192097982,1.61669583333333,-67.2447954813639,2.38960234474327
"42",184.994368,184.843823313713,0.137442618608475,-94.5000076293945,-76.5362396240234,91.3437530517578,"Excitatory",1.025356,-55.8750015258789,1.023528,35.4687515258789,1.260108,-77.075,780,1.023136,-47.4312507629395,1.260108,-77.0750015258789,3.54005132790527
"43",364.885504,169.99988257885,0.012931908480823,-96.6562576293945,-78.5291442871094,95.0078125,"Excitatory",1.02513875,-52.671875,1.0234075,42.3359375,1.63630625,-79.0546894073486,880,1.02305125,-48.0390644073486,1.63630625,-79.0546894073486,4.29680332700648
"44",438.913472,454.531192779541,0.00303306360729039,-97.125,-64.803352355957,85.4531288146972,"Inhibitory",1.02415625,-62.5000028610229,1.02304625,22.9531259536743,1.78035875,-65.8281269073486,160,1.022685,-49.3671894073486,1.78035875,-65.8281269073486,1.95410241904692
"47",146.467936,65.781369805336,0.0459909923374653,-94.1562576293945,-77.5109786987305,90.7500026702881,"Inhibitory",1.024238,-58.4875007629395,1.023351,32.2625019073486,1.542911,-77.6187530517578,0,1.023046,-41.0125007629395,1.542911,-77.6187530517578,1.68827146941465
"48",222.037824,197.187453508377,0.00515500456094742,-81.84375,-57.132869720459,88.6875057220459,"Excitatory",1.02533,-50.2812538146973,1.023385,38.4062519073486,1.079095,-58.6718769073486,225,1.02298,-41.5781288146973,1.079095,-58.6718769073486,3.26975156341166
