"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","height","firing_rate"
"3",0.0422146009409,81.3945454545,0.162729374903,1.08975,2.33642666667,1.027302,-48.90625,-51.0833346049,-55.8000022888,289.12208,0.027555,1.086395,2.33322833333,1.023475,33.28125,38.8229179382,29.0875011444,266.406327486,0.0415404625237,1.691744,-73.3375,110,32.8333333333,469.999969482,1.085825,2.332735,1.023001,-38.1562538147,-40.1666692098,-46.1250007629,1.099575,2.36177833333,1.691744,-52.09375,-57.6145858765,-73.3375,4.20848539986,4.27415082237,4.0963716292,-99.0937576294,-72.1746749878,"Cux2-CreERT2",84.8875034332,12.2858355485
"5",0.542357967303,307.1,0.155346607523,1.08516,8.53670666667,1.02542666667,-47,-46.9270858765,-55.0937525431,209.971936,0.03378,1.08298,8.53443333333,1.02356,40.7812538147,42.7291692098,42.3229179382,136.562421918,0.132638186216,1.1305,-81.2500050863,210,187.833333333,860,1.08244,8.53384666667,1.02312,-33.96875,-33.7604179382,-46.9375025431,1.08612,8.55396666667,1.1305,-47.8750038147,-49.7291679382,-81.2500050863,2.71890141224,2.52813735284,3.06070724707,-95.5000076294,-80.0506210327,"Ntsr1-Cre_GN220",97.4166704814,3.25626831651
"29",0.026013695361,84.2527272727,0.174621213842,1.2,8.54379333333,1.02574,-46.90625,-46.9166679382,-53.8250015259,162.225472,0.04248,1.1975,8.54131333333,1.023672,33.3750038147,37.34375,35.9000022888,160.156279802,0.16462264955,1.117364,-76.8000045776,170,188,0,1.19684,8.54063333333,1.023168,-33.65625,-32.0625006358,-46.5312515259,1.22254,8.57222666667,1.117364,-48.03125,-49.7083346049,-76.8000045776,2.45921838308,2.37927339508,2.88725853272,-93.9687576294,-76.3359832764,"Ntsr1-Cre_GN220",89.7250038147,11.8690519864
"39",0.00915259214489,55.5352941176,0.278333333333,1.21902,3.03753333333,1.02632,-51.5000038147,-50.3750012716,-51.7395858765,190.132208,0.02666,1.2154,3.0343,1.02359333333,42.5625038147,46.4583346049,41.1458346049,150.156363845,0.0869927704334,1.84056666667,-66.3125025431,50,50.3333333333,300,1.21486,3.03375333333,1.02313333333,-46.0000038147,-45.4687525431,-47.0208346049,1.2419,3.07524666667,1.84056666667,-55.84375,-54.2916692098,-66.3125025431,4.04313819034,4.36522318077,4.13871992427,-83.9375,-66.0966186523,"Ctgf-T2A-dgCre",92.8854204814,18.0065671009
"43",0.174034524966,124.386666667,0.111904765711,1.1122,4.03965333333,1.02513875,-50.3125,-49.7083333333,-52.671875,364.885504,0.044125,1.109215,4.03742333333,1.0234075,38.53125,42.8333333333,42.3359375,169.999882579,0.0129319084808,1.63630625,-79.0546894073,130,75.4166666667,880,1.10882,4.037025,1.02305125,-36.21875,-36.6354179382,-48.0390644073,1.12402,4.06191666667,1.63630625,-54.53125,-57.0833346049,-79.0546894073,4.14737915491,3.88163945586,4.29680332701,-96.6562576294,-78.5291442871,"Rorb-IRES2-Cre",95.0078125,8.03944688605
"51",0.0868781786667,101.536111111,0.136552220174,1.275455,3.40693833333,1.025401,-44.96875,-45.6770846049,-48.7375015259,149.066784,0.05453,1.273605,3.40511666667,1.023547,30.8125019073,33.3437506358,23.7625015259,118.080377579,0.0944587662816,1.682607,-68.5937530518,50,59.5833333333,630,1.27313,3.404635,1.023114,-40.8125038147,-42.1562512716,-47.4000022888,1.443175,3.44091,1.682607,-56.3437538147,-48.7604192098,-68.5937545776,2.9693590104,3.04381741532,3.01403181074,-80.6250076294,-68.4131774902,"Rbp4-Cre_KL100",72.5000030518,9.84871282795
"57",0.0200593683443,61.381,0.199621220808,1.11842,3.69296166667,1.02569125,-48.34375,-45.8437525431,-51.7734384537,244.460368,0.044355,1.11556,3.69031,1.02349375,33.8125,37.8958358765,36.0937519073,178.28117311,0.0534816235304,1.62694375,-79.8984394073,90,66.75,820,1.1151,3.689865,1.023105,-34.9687538147,-32.3958339691,-42.8437519073,1.13946,3.73089666667,1.62694375,-54.40625,-57.1666679382,-79.8984394073,3.33455174257,3.38663802001,3.61953651154,-96.09375,-79.4305877686,"Rbp4-Cre_KL100",87.867190361,16.2916863525
"58",0.100490290119,80.4504545455,0.222144679258,1.126865,5.30663666667,1.02546375,-43.6562538147,-45.4062525431,-46.843752861,132.65108,0.049,1.124815,5.30440833333,1.0235475,26.1875019073,34.5833333333,25.0078129768,197.812542319,0.0240997374058,1.6290325,-82.2890644073,90,107.083333333,920,1.124285,5.30390333333,1.02311625,-39.1875038147,-36.3541666667,-34.1250014305,1.137835,5.35615166667,1.6290325,-44.28125,-52.5729179382,-82.2890644073,3.29992925338,3.36622334209,2.86063858686,-100.468757629,-81.9204101562,"Rorb-IRES2-Cre",71.8515658379,12.4300105655
"75",0.0970336484555,106.3575,0.0353070146908,1.109405,3.50182,1.02581,-49.0312538147,-50.0833333333,-51.1562519073,210.982144,0.058835,1.105395,3.49835666667,1.023365,46.2812538147,47.3750038147,49.296877861,189.374998212,0.113283351064,1.32048875,-72.2734451294,130,61.9166666667,700,1.104985,3.497945,1.02301,-36.03125,-36.4375012716,-46.445315361,1.13087,3.53797833333,1.32048875,-53.6250038147,-57.239587148,-72.2734451294,4.95758951595,4.68504896062,4.53861343004,-92.78125,-72.2372360229,"Rorb-IRES2-Cre",100.453129768,9.40225183932
"118",0.0145937568566,63.3460714286,0.182361658375,1.502145,3.26185833333,1.025906,-48.96875,-50.0520846049,-55.9562507629,199.901376,0.06211,1.49903,3.25907833333,1.023721,36.0625,38.2604166667,35.8375,210.624992847,0.283523201942,1.144104,-69.18125,59.9999961853,55.9583320618,660,1.4984,3.258485,1.023236,-38.5625038147,-38.2083346049,-44.7125,1.549615,3.30029333333,1.144104,-54.71875,-53.625,-69.18125,3.32915240764,3.28457330183,2.98633535723,-91.1875,-68.5026245117,"Rorb-IRES2-Cre",91.7937507629,15.7862986204
