"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"11",190.866704,170.625045895576,0.0146091291680932,-94.0000076293945,-75.3428726196289,"Rbp4-Cre_KL100",80.9375045776367,0.251829867569301,70.105,0.0900793674156938,0.0295350000000001,14.2643178090008,1.08307,-50.3125038146973,1.079695,25.7500019073486,150,1.079065,-43.3125,1.73933,-55.7812538146973,2.84228464688227
"26",250.077936,133.437380194664,0.0483482480049133,-96.5,-80.5925750732422,"Nr5a1-Cre",96.1953163146972,0.0238049459206248,64.0257142857143,0.192937236984491,0.05254,15.6187246195725,1.15694,-47.84375,1.15528,45.3437538146973,110,1.15486,-37.40625,1.18186,-52.4375038146973,3.56934188396268
"29",162.225472,160.156279802322,0.164622649550438,-93.9687576293945,-76.3359832763672,"Ntsr1-Cre_GN220",89.7250038146973,0.026013695360957,84.2527272727273,0.174621213842028,0.0424800000000001,11.8690519864477,1.2,-46.90625,1.1975,33.3750038146973,170,1.19684,-33.65625,1.22254,-48.03125,2.45921838308283
"43",364.885504,169.99988257885,0.012931908480823,-96.6562576293945,-78.5291442871094,"Rorb-IRES2-Cre",95.0078125,0.174034524965625,124.386666666667,0.111904765710808,0.044125,8.03944688605422,1.1122,-50.3125,1.109215,38.53125,130,1.10882,-36.21875,1.12402,-54.53125,4.14737915490964
"63",121.629184,114.375077188015,0.00830821041017771,-87.96875,-74.8086242675781,"Rorb-IRES2-Cre",92.8875038146973,0.0411127831952767,126.037142857143,0.186434122690407,0.0826200000000001,7.93416906580826,1.16198,-43.375,1.15966,38.5625038146973,110,1.15912,-35.34375,1.1891,-48.4375038146973,3.41610739182863
"70",264.798528,149.151861667633,0.128024011850357,-89.5312576293945,-73.010856628418,"Ntsr1-Cre_GN220",101.562507629395,0.0455503957120307,94.072,0.208333338679688,0.0587200000000001,10.6301556254784,1.27352,-52.5000038146973,1.27162,46.5,150,1.27118,-34.0312538146973,1.27972,-53.03125,2.8329930535419
"77",182.50048,124.062463641167,0.0150359999388456,-94.7187576293945,-80.3704452514648,"Cux2-CreERT2",97.7312553405762,0.129197871310126,50.5925,0.12352940356703,0.0300800000000001,19.7657755596185,1.081785,-49.6562538146973,1.077925,29.59375,190,1.07737,-37.5,1.09428,-54.1875038146973,3.88957261019803
"88",160.389952,186.875000596046,0.0202918145805597,-95.6875,-75.2422332763672,"Nr5a1-Cre",87.9140644073486,0.11050577897634,90.435,0.12183908045977,0.0553700000000001,11.0576657267651,1.19673,-47.9375,1.19386,35.90625,90,1.19338,-33.5625,1.22511,-54.40625,3.1423566242206
"114",117.547536,150.468826293945,0.0630087703466415,-90.3125,-74.7002639770508,"Ctgf-T2A-dgCre",84.3125057220459,0.0246543952304564,73.405,0.173333345316877,0.0704200000000001,13.62305020094,1.42986,-50.71875,1.42574,35.34375,110,1.42524,-43.9062538146973,1.46778,-58.4062538146973,4.76141683234494
"115",112.069712,58.2812875509262,0.0498790591955185,-70.90625,-63.5755844116211,"Scnn1a-Tg2-Cre",97.78125,0.288858288977703,147.79,0.162138728323699,0.01549,6.76635766966642,1.051765,-49.1875,1.046835,33,190,1.046235,-40.34375,1.057575,-50.875,5.2611661772553
"118",199.901376,210.624992847443,0.283523201942444,-91.1875,-68.5026245117188,"Rorb-IRES2-Cre",91.7937507629395,0.0145937568566344,63.3460714285714,0.182361658374822,0.0621100000000001,15.7862986203903,1.502145,-48.96875,1.49903,36.0625,59.9999961853027,1.4984,-38.5625038146973,1.549615,-54.71875,3.32915240764092
"132",159.014672,180.625006556511,0.0429490320384502,-100.968757629395,-78.754508972168,"Nr5a1-Cre",72.2000022888184,0.0229875044412331,43.2695454545455,0.27609375,0.03684,23.1109430315254,1.249415,-48.8750038146973,1.247485,20.2812519073486,50,1.24701,-35.65625,1.349965,-58.0937538146973,2.29730040648858
"153",130.769056,139.375120401382,0.0630606859922409,-96,-79.931037902832,"Rorb-IRES2-Cre",93.546875,0.0348483049965491,81.592,0.213146996229506,0.06443,12.2561035395627,1.16381,-46.75,1.16144,35.6875038146973,210,1.16098,-32.0625,1.17558,-49.7187538146973,3.13197601881943
