"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"3",289.12208,266.406327486,0.0415404625237,-99.0937576294,-72.1746749878,"Cux2-CreERT2",12.2858355485,2.33642666667,-51.0833346049,2.33322833333,38.8229179382,32.8333333333,2.332735,-40.1666692098,2.36177833333,-57.6145858765,4.27415082237
"5",209.971936,136.562421918,0.132638186216,-95.5000076294,-80.0506210327,"Ntsr1-Cre_GN220",3.25626831651,8.53670666667,-46.9270858765,8.53443333333,42.7291692098,187.833333333,8.53384666667,-33.7604179382,8.55396666667,-49.7291679382,2.52813735284
"29",162.225472,160.156279802,0.16462264955,-93.9687576294,-76.3359832764,"Ntsr1-Cre_GN220",11.8690519864,8.54379333333,-46.9166679382,8.54131333333,37.34375,188,8.54063333333,-32.0625006358,8.57222666667,-49.7083346049,2.37927339508
"39",190.132208,150.156363845,0.0869927704334,-83.9375,-66.0966186523,"Ctgf-T2A-dgCre",18.0065671009,3.03753333333,-50.3750012716,3.0343,46.4583346049,50.3333333333,3.03375333333,-45.4687525431,3.07524666667,-54.2916692098,4.36522318077
"43",364.885504,169.999882579,0.0129319084808,-96.6562576294,-78.5291442871,"Rorb-IRES2-Cre",8.03944688605,4.03965333333,-49.7083333333,4.03742333333,42.8333333333,75.4166666667,4.037025,-36.6354179382,4.06191666667,-57.0833346049,3.88163945586
"51",149.066784,118.080377579,0.0944587662816,-80.6250076294,-68.4131774902,"Rbp4-Cre_KL100",9.84871282795,3.40693833333,-45.6770846049,3.40511666667,33.3437506358,59.5833333333,3.404635,-42.1562512716,3.44091,-48.7604192098,3.04381741532
"57",244.460368,178.28117311,0.0534816235304,-96.09375,-79.4305877686,"Rbp4-Cre_KL100",16.2916863525,3.69296166667,-45.8437525431,3.69031,37.8958358765,66.75,3.689865,-32.3958339691,3.73089666667,-57.1666679382,3.38663802001
"58",132.65108,197.812542319,0.0240997374058,-100.468757629,-81.9204101562,"Rorb-IRES2-Cre",12.4300105655,5.30663666667,-45.4062525431,5.30440833333,34.5833333333,107.083333333,5.30390333333,-36.3541666667,5.35615166667,-52.5729179382,3.36622334209
"75",210.982144,189.374998212,0.113283351064,-92.78125,-72.2372360229,"Rorb-IRES2-Cre",9.40225183932,3.50182,-50.0833333333,3.49835666667,47.3750038147,61.9166666667,3.497945,-36.4375012716,3.53797833333,-57.239587148,4.68504896062
"118",199.901376,210.624992847,0.283523201942,-91.1875,-68.5026245117,"Rorb-IRES2-Cre",15.7862986204,3.26185833333,-50.0520846049,3.25907833333,38.2604166667,55.9583320618,3.258485,-38.2083346049,3.30029333333,-53.625,3.28457330183
"123",202.347344,212.031289935,0.0468316674232,-97.84375,-73.9191589355,"Cux2-CreERT2",21.4795085488,3.158835,-47.90625,3.1567025,36.125,53.3749980927,3.1563,-36.3125019073,3.1806825,-54.4687538147,3.09564000605
"124",104.156048,162.812381983,0.116804018617,-94.5937576294,-73.9795761108,"Rorb-IRES2-Cre",16.0848421809,5.50904166667,-47.4166679382,5.507565,44.8541692098,112.16666921,5.50717166667,-35.9166692098,5.52648333333,-53.8750012716,2.78568939138
"129",146.92272,103.90625149,0.0919351428747,-84.6875,-72.3729629517,"Nr5a1-Cre",79.5289439474,11.07332,-52.2916666667,11.0720533333,7.89583412806,251.291656494,11.0716,-31.0833333333,11.0734933333,-52.4791679382,1.37480924155
"131",141.152544,136.718794703,0.0877228975296,-75.9687576294,-61.491153717,"Rorb-IRES2-Cre",17.625347323,3.62646166667,-47.8541692098,3.624465,46.6875025431,65.1250012716,3.62405333333,-37.5104204814,3.660065,-52.9166679382,3.59375301749
"136",100.70636,147.499918938,0.137995809317,-90.9062576294,-74.173248291,"Ntsr1-Cre_GN220",19.5723442775,5.10423333333,-53.3854192098,5.10269,47.6458346049,102.041664124,5.10220333333,-45.4375025431,5.139565,-56.4791704814,2.69949189775
"147",190.287488,144.062504172,0.268266767263,-84.96875,-68.8367080688,"Rbp4-Cre_KL100",18.7258697891,3.98277666667,-49.1458346049,3.98097333333,48.1250038147,74.0416641235,3.98056333333,-38.9895846049,4.03179,-52.833337148,3.66351348037
"152",227.508608,197.343707085,0.0717815309763,-91.03125,-72.4250030518,"Cux2-CreERT2",10.7931334085,3.770245,-43.4687538147,3.76856,42.7656269073,68.7500019073,3.7681725,-35.0312519073,3.808815,-52.6718769073,3.11076475757
"182",227.302992,202.812537551,0.0736343935132,-89.4687576294,-66.8419036865,"Scnn1a-Tg2-Cre",16.2277071873,3.6376,-39.2708346049,3.63566,41.9791666667,65.375,3.63520333333,-27.1250006358,3.664705,-46.5104166667,2.93370515755
"184",201.381808,171.093553305,0.10041770339,-97.09375,-77.6002655029,"Rbp4-Cre_KL100",11.540196603,4.89379166667,-57.3854192098,4.89116833333,40.1979192098,96.7499974569,4.890665,-41.8020846049,4.93345,-62.1979192098,3.59954959512
"198",214.522896,164.062529802,0.219570100307,-87.0937576294,-69.3629837036,"Rorb-IRES2-Cre",10.8608293329,3.36792666667,-47.1458358765,3.36571333333,48.5520833333,58.625,3.3653,-38.6979179382,3.43060666667,-56.4062525431,4.12174537889
"209",86.395136,138.258814812,0.118607446551,-88.1250076294,-72.4948730469,"Ntsr1-Cre_GN220",13.5212138187,8.51848,-45.6979192098,8.51657833333,42.5000012716,187.374994914,8.51601166667,-29.0000019073,8.541385,-47.5312525431,2.10374211712
"231",158.781888,175.000041723,0.036180742085,-95.4062576294,-78.5516433716,"Rorb-IRES2-Cre",7.07284440332,4.6414,-50.4166679382,4.63951833333,49.4375038147,90.5,4.63916666667,-39.2395846049,4.67083333333,-57.8854166667,4.37635019764
"236",334.118944,278.794765472,0.0985685810447,-102.5,-74.1093292236,"Ntsr1-Cre_GN220",16.7532249958,3.30201833333,-51.6041704814,3.29834,46.4062525431,56.9166666667,3.29779666667,-34.4895846049,3.32578833333,-58.0520858765,3.88030804595
"240",215.525728,180.46875298,0.165725931525,-98.1875076294,-77.5682601929,"Rbp4-Cre_KL100",8.08283287126,5.02867,-47.1250012716,5.026265,42.5729166667,100.125,5.02579666667,-37.2604192098,5.06657,-57.520837148,3.18176261433
"244",94.737656,160.312458873,0.0773743540049,-91.0000076294,-74.1493377686,"Rorb-IRES2-Cre",9.29281665273,4.87002,-47.4062525431,4.86752666667,45.5416692098,96.1666666667,4.86709333333,-36.3541679382,4.91137333333,-54.4270858765,4.493890238
"247",105.3152,155.781254172,0.0507714226842,-99.0625,-81.7539978027,"Nr5a1-Cre",15.6261335923,5.47531,-49.0729192098,5.47343833333,33.9791666667,111.333333333,5.473,-36.7083333333,5.49510666667,-53.9583346049,2.77346932765
"257",217.039808,134.687542915,0.0297235641629,-96.59375,-81.1610488892,"Cux2-CreERT2",13.446282103,5.12645333333,-49.4166692098,5.12449333333,44.3854179382,102.5,5.12409333333,-35.1145858765,5.14694666667,-54.5937512716,3.51441913295
"264",370.4088,201.87497139,0.0250958018005,-100.625007629,-77.4324569702,"Rorb-IRES2-Cre",10.1710430405,2.98922666667,-49.4687512716,2.98661,47.3541692098,49.1666666667,2.986245,-37.625,3.01825333333,-56.3541704814,5.11827208903
"284",116.738032,182.968750596,0.0105836531147,-95.0312576294,-76.0704803467,"Nr5a1-Cre",12.8828248521,4.52297333333,-44.5104166667,4.52128333333,42.5520846049,87.5416666667,4.52090333333,-34.4375025431,4.556065,-52.2708358765,3.56738393853
"315",437.222848,144.687533379,0.0101551264524,-78.96875,-61.4261207581,"Scnn1a-Tg3-Cre",16.1242643304,4.21157833333,-47.03125,4.20865166667,36.1458333333,79.7083333333,4.20814333333,-33.625,4.22866,-52.5937512716,3.06799985461
"317",296.119104,240.624904633,0.0472334884107,-99.9062576294,-81.4488296509,"Nr5a1-Cre",20.9593563149,3.28959833333,-48.8750012716,3.28803,42.770837148,56.7083307902,3.28767,-33.2083358765,3.31223333333,-54.9895858765,2.92815819548
"358",144.356976,215.468749404,0.0110207870603,-93.4375076294,-69.870262146,"Rorb-IRES2-Cre",17.8009539217,2.9236175,-52.8593788147,2.9220125,51.2343769073,47.5624980927,2.92166,-41.859375,2.9522175,-54.8281288147,3.96880189995
"364",164.929792,139.687538147,0.0298760719597,-79.625,-63.8380661011,"Scnn1a-Tg3-Cre",11.7613095684,6.09721916667,-49.1979173024,6.09243833333,32.1562519073,126.791666667,6.09185416667,-37.6614589691,6.12212416667,-55.4114583333,3.94225672557
