"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square"
"10",126.870208,151.562616229,0.149849534035,-93.6562576294,-76.2948379517,"Ntsr1-Cre_GN220",16.6156197903,1.025506,-56.5875038147,1.02357,26.5125011444,1.251151,-77.4000030518,0,1.023142,-46.8125022888,1.251151,-77.4000030518,2.38278113917
"16",173.447264,210.468634963,0.0526439473033,-97.21875,-75.3036117554,"Nr5a1-Cre",15.8997678634,1.025411,-47.7625022888,1.023462,40.4937507629,1.411247,-77.4375045776,780,1.022979,-44.6812515259,1.411247,-77.4375061035,3.60751163592
"56",245.483136,342.343896627,0.0631874278188,-97.7812576294,-71.8004760742,"Rorb-IRES2-Cre",18.9069672174,1.025009,-52.5312522888,1.02327,33.1625003815,1.598273,-71.6875045776,419.999969482,1.022845,-43.4062522888,1.598273,-71.6875045776,2.89991307577
"60",89.69156,116.718634963,0.101548105478,-86.96875,-73.244430542,"Scnn1a-Tg2-Cre",10.2228583112,1.02523375,-47.5546875,1.02351375,28.6484379768,1.51315625,-74.078125,0,1.0231525,-41.6796884537,1.51315625,-74.078125,2.99896670683
"62",154.351296,158.593788743,0.0306478515267,-96.71875,-81.6837158203,"Cux2-CreERT2",14.8514851485,1.0248575,-57.5781269073,1.023105,38.3437519073,1.6588925,-82.1406288147,720,1.0227175,-54.1406269073,1.6588925,-82.1406288147,3.86652169905
"70",264.798528,149.151861668,0.12802401185,-89.5312576294,-73.0108566284,"Ntsr1-Cre_GN220",10.6301556255,1.02533333333,-57.9166704814,1.02354666667,43.645837148,1.08333333333,-73.5625,580,1.02315333333,-44.3333346049,1.08333333333,-73.5625025431,2.66119913601
"72",99.352144,153.437390924,0.0158438868821,-94.4375,-78.2422027588,"Cux2-CreERT2",12.6846063242,1.024327,-51.2937530518,1.023163,42.5937522888,1.537228,-78.9375030518,939.999938965,1.022875,-47.3062515259,1.537228,-78.9375030518,3.69225263971
"89",116.282496,109.218865633,0.0487773641944,-82.3437576294,-69.3731918335,"Cux2-CreERT2",13.8007176373,1.02469833333,-52.9375012716,1.02320666667,44.1979179382,1.388025,-70.28125,610,1.02286166667,-48.1666679382,1.388025,-70.28125,3.80403755102
"95",124.2884,121.562540531,0.192191585898,-84.34375,-70.8589324951,"Rbp4-Cre_KL100",12.9066953482,1.025108,-50.5125015259,1.023416,50.2125015259,1.113651,-72.2250030518,979.999938965,1.023054,-46.2500022888,1.113651,-72.2250030518,3.57743768653
"97",197.458272,148.437619209,0.0588746517897,-95.5000076294,-78.7241210938,"Rorb-IRES2-Cre",15.2025192746,1.02612666667,-55.1979192098,1.02359333333,34.5937512716,1.52446666667,-79.1875050863,0,1.02310666667,-42.8750012716,1.52446666667,-79.1875050863,3.70504751145
"98",188.39744,248.125046492,0.178474470973,-99.8437576294,-72.4742507935,"Rorb-IRES2-Cre",3.40170765724,1.025698,-52.0937522888,1.02352,39.1000015259,1.576521,-72.9187515259,530,1.023013,-48.7562522888,1.576521,-72.9187561035,3.19242655648
"100",191.749056,134.843826294,0.0294129494578,-88.5312576294,-72.8857345581,"Ndnf-IRES2-dgCre",27.7013994337,1.027312,-56.9812530518,1.02294,27.5625011444,1.340548,-73.2375,700,1.022612,-35.4812522888,1.340548,-73.2375,2.60104616618
"106",107.266272,91.2500023842,0.0420052446425,-88.5,-78.7921066284,"Rbp4-Cre_KL100",11.7208560913,1.025255,-45.0937519073,1.0233925,38.2578144073,1.55397875,-78.8359413147,1330,1.0230275,-47.0000019073,1.55397875,-78.8359413147,3.88184989072
"111",285.755872,267.96874404,0.162377104163,-103.59375,-73.1547622681,"Scnn1a-Tg3-Cre",20.1671752687,1.02533166667,-53.5000012716,1.023495,30.0729173024,1.27025666667,-73.71875,410,1.02308666667,-46.9270846049,1.27025666667,-73.71875,2.86289173495
"114",117.547536,150.468826294,0.0630087703466,-90.3125,-74.7002639771,"Ctgf-T2A-dgCre",13.6230502009,1.02652,-53.6562538147,1.02348,30.6562519073,1.53612,-75.2500076294,830,1.02306,-41.71875,1.53612,-75.2500076294,3.90644355858
"115",112.069712,58.2812875509,0.0498790591955,-70.90625,-63.5755844116,"Scnn1a-Tg2-Cre",6.76635766967,1.030045,-54.5625,1.02351,43.21875,1.08543,-64.53125,0,1.02304,-42.5,1.08543,-64.53125,5.94957544574
"116",184.10248,189.107134938,0.0259323790669,-96,-77.3416595459,"Scnn1a-Tg3-Cre",21.6614318206,1.02506,-51.9437515259,1.02337,33.9937507629,1.508234,-78.3937530518,608,1.022989,-41.4125007629,1.508234,-78.3937530518,2.96731726727
"118",199.901376,210.624992847,0.283523201942,-91.1875,-68.5026245117,"Rorb-IRES2-Cre",15.7862986204,1.025906,-55.9562507629,1.023721,35.8375,1.144104,-69.18125,660,1.023236,-44.7125,1.144104,-69.18125,2.98633535723
"140",293.105056,170.31249404,0.0473887436092,-97.21875,-78.7213439941,"Nr5a1-Cre",10.0096760202,1.02484,-51.4166666667,1.023465,44.46875,1.53128833333,-79.2604192098,900,1.02310166667,-47.1770833333,1.53128833333,-79.2604192098,3.24858341086
"168",173.020224,158.125042915,0.0363949500024,-89.28125,-72.2956085205,"Scnn1a-Tg2-Cre",13.9428130162,1.0257775,-49.4140644073,1.023425,49.2343769073,1.32515375,-73.210943222,760,1.02303,-41.9609384537,1.32515375,-73.210943222,4.00422926708
"170",248.194624,214.531287551,0.0620325468481,-97.5937576294,-74.4105987549,"Rorb-IRES2-Cre",13.0785201654,1.024816,-55.6437515259,1.023297,38.7062522888,1.482336,-75.7062576294,610,1.022929,-45.6750007629,1.482336,-75.7062576294,2.94612531131
"178",114.021752,127.812504768,0.106968931854,-88.3437576294,-74.2105255127,"Cux2-CreERT2",6.95619913279,1.025369,-51.5937538147,1.023435,43.1187515259,1.279397,-75.2312561035,1040,1.023089,-47.6250015259,1.279397,-75.2312561035,3.78157170302
"198",214.522896,164.062529802,0.219570100307,-87.0937576294,-69.3629837036,"Rorb-IRES2-Cre",10.8608293329,1.025052,-51.7000022888,1.023368,45.9250015259,1.105444,-70.5375015259,720,1.023028,-45.3062515259,1.105444,-70.5375015259,4.01724432461
"236",334.118944,278.794765472,0.0985685810447,-102.5,-74.1093292236,"Ntsr1-Cre_GN220",16.7532249958,1.02589,-59.24375,1.023405,44.2687522888,1.804796,-76.9250030518,730,1.022982,-45.8937507629,1.804796,-76.9250030518,4.04489022204
"245",205.579328,214.84375,0.0380297340453,-94.625,-62.6768341064,"Scnn1a-Tg3-Cre",11.592858799,1.02605,-52.7062522888,1.023487,33.1375007629,1.092234,-65.66875,208,1.023063,-38.7000007629,1.092234,-65.66875,3.38687662479
"247",105.3152,155.781254172,0.0507714226842,-99.0625,-81.7539978027,"Nr5a1-Cre",15.6261335923,1.024975,-51.7708358765,1.02346833333,31.7708326976,1.67486833333,-81.4479166667,343.333333333,1.02308166667,-44.5416692098,1.67486833333,-81.4479166667,2.96563140841
"250",215.196992,254.062503576,0.289511501789,-95.28125,-77.1006546021,"Rbp4-Cre_KL100",16.1412683809,1.0259325,-59.0156269073,1.0235225,24.8046884537,1.24417375,-77.5078125,760,1.02313,-38.8593759537,1.24417375,-77.5078125,2.38437091677
"266",300.17504,216.562509537,0.0540811754763,-91.875,-71.4015350342,"Cux2-CreERT2",16.2601626016,1.0259,-55.1718769073,1.023505,43.4765644073,1.573485,-72.101568222,680,1.02309,-46.1562519073,1.573485,-72.101568222,4.13123493516
"272",176.646384,231.562495232,0.0547779798508,-99,-74.4558258057,"Rorb-IRES2-Cre",12.2174031354,1.025631,-51.1312507629,1.023497,33.4750007629,1.749405,-74.9062561035,790,1.023054,-38.7062507629,1.749405,-74.9062561035,3.19283078389
"276",181.728032,210.937574506,0.0956082567573,-86.9687576294,-61.8505935669,"Ntsr1-Cre_GN220",12.2680228408,1.025028,-56.0875038147,1.023276,45.6437515259,1.08214,-63.9625030518,370,1.02286,-46.3875007629,1.08214,-63.9625030518,3.09541556475
"319",106.392456,69.2187920213,0.173849254847,-88.1875,-80.2801742554,"Rbp4-Cre_KL100",8.60626859088,1.025436,-53.0812515259,1.023546,37.6250030518,1.092129,-81.1375015259,1410,1.023088,-57.1187522888,1.092129,-81.1375015259,3.43313203143
"323",126.105232,108.593635261,0.155113935471,-86.4687576294,-75.1248931885,"Ctgf-T2A-dgCre",13.9511922904,1.02503,-52.7500019073,1.023515,38.3203144073,1.12065,-76.210943222,1240,1.023135,-51.9062538147,1.12065,-76.210943222,3.50827954268
"329",138.22736,131.093755364,0.0597853958607,-92.1875,-77.7642974854,"Rbp4-Cre_KL100",10.6944881796,1.02673833333,-55.2291679382,1.02342666667,42.9791679382,1.402735,-78.40625,1300,1.02301666667,-46.8333333333,1.402735,-78.40625,4.46587537856
"333",120.818576,197.142958641,0.0730278193951,-96.3125076294,-76.7895889282,"Nr5a1-Cre",20.2851757626,1.024691,-48.2250030518,1.023379,39.0437522888,1.621794,-78.2437561035,670,1.023029,-45.3250030518,1.621794,-78.2437561035,3.40807402512
"336",216.366,200.156211853,0.0591901093721,-95.15625,-72.7270736694,"Rorb-IRES2-Cre",13.0933676142,1.025268,-53.3625022888,1.023424,35.6687507629,1.716044,-73.5250015259,640,1.023016,-45.7875007629,1.716044,-73.5250015259,3.37056477386
"338",114.36252,132.142856717,0.082345187664,-87.75,-72.100112915,"Rbp4-Cre_KL100",6.38320960545,1.024965,-50.7375022888,1.023174,47.2187522888,1.41996,-73.1125030518,880,1.022849,-46.3250030518,1.41996,-73.1125045776,4.48038417446
"344",210.964864,151.56249702,0.0824915841222,-88.8125,-71.3918457031,"Rorb-IRES2-Cre",14.8899737298,1.02514333333,-52.7500012716,1.02352166667,47.5,1.50902833333,-73.2708333333,0,1.02317166667,-44.5208333333,1.50902833333,-73.2708333333,4.00184455371
"346",102.552104,125.937506557,0.0573241859674,-92.0625,-78.1010055542,"Rbp4-Cre_KL100",6.51911731152,1.026055,-49.539065361,1.02351125,41.0625038147,1.56938,-78.8906269073,1320,1.0230975,-48.085940361,1.56938,-78.8906269073,4.01837869434
"364",164.929792,139.687538147,0.0298760719597,-79.625,-63.8380661011,"Scnn1a-Tg3-Cre",11.7613095684,1.026762,-53.6250015259,1.023393,33.1312507629,1.08744,-65.3187530518,568,1.022911,-45.4500007629,1.08744,-65.3187530518,4.05564164294
"376",88.841184,163.671776652,0.0431517995894,-83.65625,-64.7870788574,"Scnn1a-Tg3-Cre",11.6176402249,1.02410625,-48.5546894073,1.02300125,44.3203144073,1.56778625,-65.6562538147,580,1.022725,-43.101565361,1.56778625,-65.6562538147,3.38170710705
"384",263.157632,267.96874404,0.105482265353,-103.343757629,-80.1675643921,"Rbp4-Cre_KL100",12.0621441667,1.025305,-51.304690361,1.023535,34.3359384537,1.6838,-80.3046894073,830,1.023085,-43.6171894073,1.6838,-80.3046894073,2.88708006786
"393",175.722784,141.562610865,0.0726919919252,-92.6562576294,-76.4054412842,"Rorb-IRES2-Cre",11.396011396,1.025181,-50.1812522888,1.023365,40.8437515259,1.274756,-77.1437515259,969.999938965,1.023009,-46.7375007629,1.274756,-77.1437530518,3.53317438864
"399",189.376096,232.81249404,0.100696012378,-91.2812576294,-64.3289031982,"Cux2-CreERT2",13.1743626902,1.024683,-52.7375030518,1.023213,48.8750030518,1.5582,-65.2875030518,251.999981689,1.022883,-44.1812515259,1.5582,-65.2875030518,3.53498059523
"415",169.58944,126.71867013,0.0435944460332,-89.9687576294,-76.2541275024,"Ctgf-T2A-dgCre",12.5441897594,1.02666,-49.21875,1.02352,44.1562538147,1.98414,-75.53125,890,1.02314,-44.34375,1.98414,-75.53125,4.87424357017
"417",123.484768,72.6563259959,0.0517423599958,-92.875,-84.1187515259,"Cux2-CreERT2",10.3514906146,1.025755,-49.937502861,1.023525,40.8593769073,1.60895,-84.7968769073,1410,1.02305,-45.789065361,1.60895,-84.7968769073,3.76071234276
"426",154.913792,173.593640327,0.0580313242972,-90.53125,-71.9915924072,"Scnn1a-Tg3-Cre",10.8331277045,1.0256625,-48.578125,1.023415,53.5312519073,2.0085225,-72.4843788147,999.999938965,1.0230025,-44.9687519073,2.0085225,-72.4843826294,4.23801979951
"438",213.1416,242.031246424,0.0318112708628,-101,-73.0221557617,"Nr5a1-Cre",13.6562272396,1.02489,-50.234377861,1.023515,40.7343769073,1.58474,-73.7031288147,580,1.023135,-46.1484394073,1.58474,-73.7031288147,3.77117568568
"455",159.772032,99.06257689,0.0131795164198,-77.3437576294,-65.9213867188,"Scnn1a-Tg3-Cre",10.5224391014,1.026895,-54.484375,1.0234475,41.0859394073,1.08385,-66.7968769073,0,1.02306125,-47.679690361,1.08385,-66.7968769073,4.35438279527
"467",153.395168,136.250078678,0.00684092659503,-84.6875,-70.2135238647,"Scnn1a-Tg3-Cre",14.7268175347,1.02506875,-53.46875,1.0233675,39.25,1.7707175,-70.4140644073,400,1.023025,-48.9921884537,1.7707175,-70.4140644073,3.79614939913
"475",201.752208,193.437546492,0.0190457105637,-98.8125076294,-80.5246505737,"Cux2-CreERT2",18.5937645264,1.025349,-58.3000038147,1.023402,42.0375007629,1.683118,-81.2125045776,590,1.023031,-47.0875022888,1.683118,-81.2125045776,3.59592997088
"491",119.350064,170.781180263,0.0273176431656,-91.375,-72.5783004761,"Cux2-CreERT2",10.220478432,1.0255625,-47.3541692098,1.02349416667,34.4270852407,1.66185916667,-73.7187525431,256.666666667,1.0230575,-42.9270839691,1.66185916667,-73.7187525431,4.11104915712
"502",201.297152,244.375005364,0.0143414670601,-96.40625,-70.5972824097,"Scnn1a-Tg3-Cre",10.0569221795,1.025289,-53.075,1.023092,47.5125038147,1.574607,-72.0875045776,590,1.02274,-46.3125038147,1.574607,-72.0875045776,3.95179656809
"504",120.129272,225.000008941,0.117309264839,-93.5937576294,-69.0845108032,"Rorb-IRES2-Cre",16.38001638,1.02536333333,-50.7187538147,1.02357166667,30.7604173024,1.71459333333,-70.2916717529,0,1.02313666667,-45.2916679382,1.71459333333,-70.2916717529,2.987735584
"538",215.524288,135.468870401,0.0208985544741,-95.5312576294,-80.2579421997,"Rorb-IRES2-Cre",18.3241426305,1.0249375,-51.8489608765,1.02337583333,44.1145852407,1.612145,-80.7656288147,790,1.02303333333,-48.3177108765,1.612145,-80.7656288147,3.89717400469
"544",151.11048,228.515625,0.0570130385458,-98.25,-75.684387207,"Nr5a1-Cre",17.4547676061,1.025012,-50.2875007629,1.023476,41.5375015259,1.418688,-76.4437515259,0,1.023107,-42.525,1.418688,-76.4437515259,3.6836727207
"554",225.165888,162.656202912,0.00851554609835,-93.5,-75.2355270386,"Rorb-IRES2-Cre",17.0394036209,1.025256,-52.7375030518,1.023472,46.4875,1.688276,-76.0625015259,610,1.02312,-48.5062522888,1.688276,-76.0625030518,4.29897125121
"556",295.526688,171.2500453,0.0251490939409,-97.40625,-78.4160385132,"Cux2-CreERT2",13.2611338269,1.02557166667,-52.4947942098,1.02345,40.0104192098,1.57120666667,-79.3854192098,889.999938965,1.0230375,-47.0677102407,1.57120666667,-79.3854192098,3.78850096677
"569",257.497024,244.687616825,0.14827914536,-95.1875076294,-67.9803619385,"Ctgf-T2A-dgCre",12.8893159289,1.02644,-56.0416692098,1.02343666667,34.2760429382,1.26089333333,-69.4687525431,105,1.02304333333,-43.6458352407,1.26089333333,-69.4687538147,3.96514908466
"572",216.749616,213.750079274,0.0653698220849,-94.3125076294,-70.960609436,"Scnn1a-Tg2-Cre",12.9860930749,1.025995,-53.406252861,1.02353,35.5937519073,1.62769,-72.1718769073,640,1.0231,-44.4140634537,1.62769,-72.1718769073,4.03760145048
"585",145.408496,159.531101584,0.0436736829579,-92.5312576294,-75.1710586548,"Rbp4-Cre_KL100",15.1729444724,1.02529666667,-53.552087148,1.0235025,35.4427108765,1.58327583333,-75.0260480245,690,1.02311,-48.2187525431,1.58327583333,-75.0260480245,3.568559831
"592",245.20992,211.250036955,0.05200971663,-99.09375,-82.4907913208,"Nr5a1-Cre",13.9717341072,1.024495,-50.4312515259,1.023332,40.8875007629,1.401477,-82.7875030518,890,1.02304,-45.9625015259,1.401477,-82.7875030518,3.59107631967
"620",207.647488,185.468822718,0.0676468536258,-98.84375,-79.0932922363,"Rorb-IRES2-Cre",12.5704468794,1.02517333333,-51.5729198456,1.02344,44.9687531789,1.56444,-79.3177096049,770,1.02303333333,-48.8906275431,1.56444,-79.3177096049,4.22723724009
"626",139.463376,172.343745828,0.166858181357,-92.4375076294,-72.852104187,"Ntsr1-Cre_GN220",10.7033148166,1.02543375,-56.390627861,1.02351125,33.4140634537,1.10760875,-73.6250038147,650,1.02307125,-46.9296884537,1.10760875,-73.6250038147,2.54269881563
"666",462.096832,413.437455893,0.0900622904301,-103.000007629,-68.5833206177,"Ctgf-T2A-dgCre",38.4383635646,1.025376,-56.9375022888,1.023252,42.6187507629,1.875384,-69.9375030518,239.999984741,1.022832,-45.6687530518,1.875384,-69.9375030518,3.47214017823
