"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"3",289.12208,266.406327486038,0.0415404625236988,-99.0937576293945,-72.174674987793,"Cux2-CreERT2",84.8875034332276,0.0422146009409484,81.3945454545455,0.162729374902656,0.027555,12.2858355485067,1.08975,-48.90625,1.086395,33.28125,110,1.085825,-38.1562538146973,1.099575,-52.09375,4.20848539986433
"5",209.971936,136.562421917915,0.132638186216354,-95.5000076293945,-80.0506210327148,"Ntsr1-Cre_GN220",97.4166704813639,0.542357967302534,307.1,0.155346607523105,0.0337800000000001,3.25626831650928,1.08516,-47,1.08298,40.7812538146973,210,1.08244,-33.96875,1.08612,-47.8750038146973,2.71890141223514
"9",148.06432,153.74992787838,0.103811219334602,-85.2187576293945,-68.5057373046875,"Scnn1a-Tg3-Cre",95.0000019073486,0.0259499525080395,79.6,0.164054054054054,0.0438400000000001,12.5628140703518,1.18334,-47.4375038146973,1.18142,43,70,1.181,-33.1250038146973,1.2207,-56.5625038146973,3.38933208949961
"10",126.870208,151.562616229057,0.149849534034729,-93.6562576293945,-76.2948379516602,"Ntsr1-Cre_GN220",83.1000049591065,0.00928929266442473,60.1843333333333,0.217394919622208,0.06071,16.6156197903109,1.46886,-49.53125,1.46659,25.5312519073486,120.000007629395,1.466065,-39.5312538146973,1.49474,-55.0937538146973,2.43199779540174
"16",173.447264,210.468634963036,0.0526439473032951,-97.21875,-75.3036117553711,"Nr5a1-Cre",88.2562530517579,0.0476945778402227,62.894,0.159469707443475,0.0429200000000001,15.8997678633892,1.118395,-45.6875,1.11636,37.71875,70,1.11585,-37.7812538146973,1.139235,-48.25,3.23716786737683
"24",169.609664,123.906247317791,0.0693726539611816,-92.0625,-77.8588638305664,"Scnn1a-Tg3-Cre",88.7375045776368,0.0154623126732958,71.5476923076923,0.141274452748486,0.05996,13.9766911796327,1.23948,-48.5312538146973,1.23638,32,100,1.23594,-38.21875,1.27496,-59.2500038146973,3.82407298377769
"31",243.125056,187.343835830688,0.0894831418991089,-96.5312576293945,-78.4394836425781,"Rbp4-Cre_KL100",72.3593772252401,0.0423226332033429,83.7481818181818,0.190044256197082,0.054805,11.9405577325966,1.20621,-44.28125,1.2022,18.78125,90,1.201635,-36.46875,1.25133,-55.7812538146973,2.67899593469152
"32",338.62912,339.620679616928,0.026388593018055,-101.906257629395,-72.0817794799805,"Slc17a6-IRES-Cre",92.2312553405762,0.0311050607804699,62.4966666666667,0.285904390113368,0.0418050000000001,16.0008533788469,1.269505,-52.09375,1.267385,39.6875038146973,30.0000019073486,1.2669,-42.8125038146973,1.3053,-57.5,3.70159492503179
"39",190.132208,150.156363844872,0.0869927704334259,-83.9375,-66.0966186523438,"Ctgf-T2A-dgCre",92.8854204813639,0.00915259214489316,55.5352941176471,0.278333333333333,0.0266600000000001,18.0065671009427,1.21902,-51.5000038146973,1.2154,42.5625038146973,50,1.21486,-46.0000038146973,1.2419,-55.84375,4.0431381903396
"42",184.994368,184.843823313713,0.137442618608475,-94.5000076293945,-76.5362396240234,"Rorb-IRES2-Cre",91.3437530517578,0.0399574817659216,103.737777777778,0.135894039735099,0.0510200000000001,9.63968981620323,1.17924,-52.4687538146973,1.17666,37.875,70,1.17622,-41.46875,1.22168,-63.3125,4.03911833869449
"48",222.037824,197.187453508377,0.00515500456094742,-81.84375,-57.132869720459,"Rorb-IRES2-Cre",88.6875057220459,0.150594535912282,121.0825,0.115141955835962,0.028715,8.25883178824355,1.08542,-44.5,1.080925,36.6875,90,1.080455,-32.375,1.09912,-49.59375,3.70913756480565
"51",149.066784,118.080377578735,0.0944587662816048,-80.6250076293945,-68.4131774902344,"Rbp4-Cre_KL100",72.5000030517578,0.0868781786666974,101.536111111111,0.136552220174497,0.05453,9.84871282794847,1.275455,-44.96875,1.273605,30.8125019073486,50,1.27313,-40.8125038146973,1.443175,-56.3437538146973,2.96935901039677
"56",245.483136,342.343896627426,0.0631874278187752,-97.7812576293945,-71.8004760742188,"Rorb-IRES2-Cre",85.6937526702881,0.0182063105843093,52.8905555555556,0.199412639410084,0.0387900000000001,18.9069672174196,1.1107,-47.0000038146973,1.10867,24.25,50,1.108095,-37.40625,1.133555,-51.1562538146973,2.6471854083994
"57",244.460368,178.281173110008,0.0534816235303879,-96.09375,-79.4305877685547,"Rbp4-Cre_KL100",87.8671903610229,0.0200593683442852,61.381,0.199621220808492,0.0443550000000001,16.2916863524543,1.11842,-48.34375,1.11556,33.8125,90,1.1151,-34.9687538146973,1.13946,-54.40625,3.33455174256993
"58",132.65108,197.812542319298,0.024099737405777,-100.468757629395,-81.92041015625,"Rorb-IRES2-Cre",71.8515658378601,0.100490290119311,80.4504545454545,0.222144679258464,0.0490000000000002,12.430010565509,1.126865,-43.6562538146973,1.124815,26.1875019073486,90,1.124285,-39.1875038146973,1.137835,-44.28125,3.2999292533846
"60",89.69156,116.718634963036,0.101548105478287,-86.96875,-73.2444305419922,"Scnn1a-Tg2-Cre",76.2031254768372,0.026535630441472,97.82,0.115714285714286,0.073615,10.2228583111838,1.15001,-44.75,1.14605,24.84375,130,1.145605,-34.9687538146973,1.18508,-54.0312538146973,3.11670159397797
"61",141.49072,136.875048279762,0.204059511423111,-82.21875,-68.0052108764648,"Rbp4-Cre_KL100",90.3812561035157,0.0763599330868623,116.445,0.154166675288267,0.047445,8.58774528747477,1.13998,-46.6250038146973,1.13732,38.1562538146973,70,1.136845,-43.7500038146973,1.21286,-56.78125,3.88627159220644
"62",154.351296,158.593788743019,0.0306478515267372,-96.71875,-81.6837158203125,"Cux2-CreERT2",95.9218788146972,0.118855154862113,67.3333333333333,0.144956789297024,0.0348550000000001,14.8514851485149,1.15987,-53.6562538146973,1.157765,40.0625038146973,110,1.157325,-40.7812538146973,1.180555,-58.2812538146973,3.32895698549413
"69",190.300928,200.468793511391,0.0824973285198212,-88.1875,-67.3841094970703,"Ctgf-T2A-dgCre",91.6250061035157,0.0584582705371078,74.53,0.210757946210269,0.05854,13.4174158057158,1.44828,-46.8437538146973,1.44532,35.40625,70,1.44484,-38.03125,1.47166,-54.2812538146973,3.69751323563969
"71",222.887792,179.531320929527,0.0298339929431677,-86.7812576293945,-67.046272277832,"Ndnf-IRES2-dgCre",86.1062526702881,-0.0168356848017601,51.3175,0.253218889093397,0.14006,19.4865299361816,1.53066,-53.6562538146973,1.5277,26.5000019073486,110,1.52722,-37.09375,1.53254,-54.5000038146973,3.2776970750199
"72",99.352144,153.4373909235,0.0158438868820667,-94.4375,-78.2422027587891,"Cux2-CreERT2",93.8875053405762,0.0527321787203363,78.8357142857143,0.156818187519208,0.0514600000000001,12.6846063241823,1.102505,-47.9062538146973,1.10078,41.78125,130,1.100455,-36.4062538146973,1.929355,-50.7500038146973,3.63153945910008
"75",210.982144,189.374998211861,0.113283351063728,-92.78125,-72.2372360229492,"Rorb-IRES2-Cre",100.453129768371,0.0970336484555497,106.3575,0.035307014690761,0.058835,9.40225183931552,1.109405,-49.0312538146973,1.105395,46.2812538146973,130,1.104985,-36.03125,1.13087,-53.6250038146973,4.9575895159544
"76",259.181008,202.812537550926,0.062282633036375,-98.4687576293945,-77.2326736450195,"Cux2-CreERT2",94.5781326293946,0.0503965891606029,76.6381818181818,0.121361509015927,0.0543400000000001,13.0483262556049,1.12204,-46.59375,1.11818,36.375,130,1.11772,-32.21875,1.13768,-51.375,4.2642714543582
"84",109.64168,122.812502086163,0.0203067641705275,-93.90625,-80.4940795898438,"Scnn1a-Tg2-Cre",94.6718759536743,0.0490471431928336,78.3515,0.249999987284294,0.04684,12.762997517597,1.1334,-49.3125038146973,1.128615,25.15625,230,1.127945,-38.28125,1.14623,-52.8125,3.71727316392043
"87",201.156832,208.906248211861,0.0733392834663391,-94.96875,-72.9885177612305,"Cux2-CreERT2",92.6979204813639,0.0640748558793869,98.0666666666667,0.179113935955135,0.0613350000000001,10.1971447994561,1.180315,-47.5937538146973,1.175715,35.6250038146973,70,1.17515,-37.40625,1.22455,-53.6562538146973,4.19675057620792
"89",116.282496,109.218865633011,0.0487773641943932,-82.3437576293945,-69.3731918334961,"Cux2-CreERT2",97.1354192097982,0.227778150962937,72.46,0.0696428441264075,0.0247650000000001,13.8007176373171,1.10916,-50.2812538146973,1.107395,41.1250038146973,170,1.10697,-39.1250038146973,1.129015,-53.84375,3.23906603320433
"93",182.719216,233.281329274178,0.118305526673794,-94.2812576293945,-73.0314865112305,"Rorb-IRES2-Cre",94.2437545776368,0.0752613537360421,109.455,0.159665089188205,0.0643450000000001,9.13617468365995,1.202305,-46.0625038146973,1.199685,46.03125,50,1.199225,-37.40625,1.275735,-55.6875038146973,3.62362487329577
"95",124.2884,121.562540531158,0.192191585898399,-84.34375,-70.8589324951172,"Rbp4-Cre_KL100",100.725003051758,0.0543448401758024,77.4791666666667,0.173876419927026,0.0482450000000001,12.9066953482119,1.17568,-46.5625038146973,1.17384,44.1875,120.000007629395,1.173435,-43,1.226765,-57.0000038146973,3.71689614680415
