"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"3",289.12208,266.406327486038,0.0415404625236988,-99.0937576293945,-72.174674987793,"Cux2-CreERT2",84.8875034332276,2.33642666666667,-51.0833346048991,2.33322833333333,38.8229179382324,32.8333333333333,2.332735,-40.1666692097982,2.36177833333333,-57.6145858764648,4.27415082236767
"5",209.971936,136.562421917915,0.132638186216354,-95.5000076293945,-80.0506210327148,"Ntsr1-Cre_GN220",97.4166704813639,8.53670666666667,-46.9270858764648,8.53443333333333,42.7291692097982,187.833333333333,8.53384666666667,-33.7604179382324,8.55396666666667,-49.7291679382324,2.52813735284161
"9",148.06432,153.74992787838,0.103811219334602,-85.2187576293945,-68.5057373046875,"Scnn1a-Tg3-Cre",95.0000019073486,4.31303333333333,-49.3854192097982,4.31129333333333,44.5104166666667,82.25,4.31088,-33.5104192097982,4.33916666666667,-55.9791692097982,3.23845608594034
"10",126.870208,151.562616229057,0.149849534034729,-93.6562576293945,-76.2948379516602,"Ntsr1-Cre_GN220",83.1000049591065,6.24119666666667,-49.2604192097982,6.23951333333333,42.0104192097982,130.458333333333,6.23904833333333,-40.4895833333333,6.27193166666667,-54.4479192097982,2.5716143936217
"16",173.447264,210.468634963036,0.0526439473032951,-97.21875,-75.3036117553711,"Nr5a1-Cre",88.2562530517579,4.17376,-46.9583358764648,4.17170833333333,40.0833339691162,78.7916666666667,4.17120166666667,-35.3750025431315,4.20985833333333,-53.0833358764648,3.03444217506621
"24",169.609664,123.906247317791,0.0693726539611816,-92.0625,-77.8588638305664,"Scnn1a-Tg3-Cre",88.7375045776368,5.74135333333333,-46.1770833333333,5.73885333333333,38.9791666666667,117.70832824707,5.73842666666667,-35.6354166666667,5.78220666666667,-55.6458333333333,3.99762224157484
"31",243.125056,187.343835830688,0.0894831418991089,-96.5312576293945,-78.4394836425781,"Rbp4-Cre_KL100",72.3593772252401,5.43078166666667,-42.7500038146973,5.42896666666667,32.5104179382324,110.208333333333,5.42846833333333,-34.0520833333333,5.46941166666667,-53.2395871480306,2.75943401092876
"32",338.62912,339.620679616928,0.026388593018055,-101.906257629395,-72.0817794799805,"Slc17a6-IRES-Cre",92.2312553405762,2.4180525,-51.4375038146973,2.415935,42.390625,34.8749990463257,2.4154475,-42.1718769073486,2.44975,-55.9687519073486,3.87975891274582
"39",190.132208,150.156363844872,0.0869927704334259,-83.9375,-66.0966186523438,"Ctgf-T2A-dgCre",92.8854204813639,3.03753333333333,-50.3750012715658,3.0343,46.4583346048991,50.3333333333333,3.03375333333333,-45.4687525431315,3.07524666666667,-54.2916692097982,4.36522318077169
"42",184.994368,184.843823313713,0.137442618608475,-94.5000076293945,-76.5362396240234,"Rorb-IRES2-Cre",91.3437530517578,4.19913333333333,-52.1666704813639,4.1964,34.5833333333333,79.375,4.19586666666667,-40.1250025431315,4.23719333333333,-60.1666704813639,3.50621088509653
"48",222.037824,197.187453508377,0.00515500456094742,-81.84375,-57.132869720459,"Rorb-IRES2-Cre",88.6875057220459,2.66744166666667,-43.2500025431315,2.66514666666667,37.8333358764648,41.125,2.66464,-32.5937512715658,2.69556333333333,-52.9479166666667,3.19539587600498
"51",149.066784,118.080377578735,0.0944587662816048,-80.6250076293945,-68.4131774902344,"Rbp4-Cre_KL100",72.5000030517578,3.40693833333333,-45.6770846048991,3.40511666666667,33.3437506357829,59.5833333333333,3.404635,-42.1562512715658,3.44091,-48.7604192097982,3.04381741532256
"56",245.483136,342.343896627426,0.0631874278187752,-97.7812576293945,-71.8004760742188,"Rorb-IRES2-Cre",85.6937526702881,2.31538666666667,-48.3645858764648,2.313565,39.5,32.3333333333333,2.31306,-37.6250025431315,2.35563166666667,-54.5416692097982,2.89224148623829
"57",244.460368,178.281173110008,0.0534816235303879,-96.09375,-79.4305877685547,"Rbp4-Cre_KL100",87.8671903610229,3.69296166666667,-45.8437525431315,3.69031,37.8958358764648,66.75,3.689865,-32.3958339691162,3.73089666666667,-57.1666679382324,3.38663802001272
"58",132.65108,197.812542319298,0.024099737405777,-100.468757629395,-81.92041015625,"Rorb-IRES2-Cre",71.8515658378601,5.30663666666667,-45.4062525431315,5.30440833333333,34.5833333333333,107.083333333333,5.30390333333333,-36.3541666666667,5.35615166666667,-52.5729179382324,3.36622334208887
"60",89.69156,116.718634963036,0.101548105478287,-86.96875,-73.2444305419922,"Scnn1a-Tg2-Cre",76.2031254768372,6.009055,-44.2916679382324,6.00630666666667,32.8229166666667,124.625,6.00588833333333,-34.9270833333333,6.04769333333333,-56.0208333333333,3.04764947116836
"61",141.49072,136.875048279762,0.204059511423111,-82.21875,-68.0052108764648,"Rbp4-Cre_KL100",90.3812561035157,5.03284666666667,-48.5208358764648,5.03032,40.3333358764648,100.25,5.02985666666667,-43.4687512715658,5.093455,-56.5312538146973,4.17568735203426
"62",154.351296,158.593788743019,0.0306478515267372,-96.71875,-81.6837158203125,"Cux2-CreERT2",95.9218788146972,5.108525,-52.2812538146973,5.1066725,43.9062519073486,102.1875,5.1062325,-38.890625,5.1340425,-56.90625,3.49582551361315
"69",190.300928,200.468793511391,0.0824973285198212,-88.1875,-67.3841094970703,"Ctgf-T2A-dgCre",91.6250061035157,3.26562,-49.6250025431315,3.26278666666667,36.1458358764648,56.0833320617676,3.26232,-37.9791679382324,3.30112666666667,-56.1041679382324,3.7212710578407
"71",222.887792,179.531320929527,0.0298339929431677,-86.7812576293945,-67.046272277832,"Ndnf-IRES2-dgCre",86.1062526702881,4.35640666666667,-53.1145871480306,4.35354666666667,26.4479173024495,83.3333333333333,4.35306666666667,-35.2708346048991,4.36135333333333,-55.1562538146973,3.29313199563371
"72",99.352144,153.4373909235,0.0158438868820667,-94.4375,-78.2422027587891,"Cux2-CreERT2",93.8875053405762,5.278715,-49.1354204813639,5.27692166666667,44.8854192097982,106.416666666667,5.276585,-35.7916679382324,5.29696166666667,-53.8229204813639,3.39834230496692
"75",210.982144,189.374998211861,0.113283351063728,-92.78125,-72.2372360229492,"Rorb-IRES2-Cre",100.453129768371,3.50182,-50.0833333333333,3.49835666666667,47.3750038146973,61.9166666666667,3.497945,-36.4375012715658,3.53797833333333,-57.2395871480306,4.68504896062241
"76",259.181008,202.812537550926,0.062282633036375,-98.4687576293945,-77.2326736450195,"Cux2-CreERT2",94.5781326293946,4.59284,-44.7395833333333,4.59008666666667,38.7291666666667,89.25,4.58958666666667,-32.4479198455811,4.6233,-54.4166704813639,3.79555047831933
"84",109.64168,122.812502086163,0.0203067641705275,-93.90625,-80.4940795898438,"Scnn1a-Tg2-Cre",94.6718759536743,4.69984166666667,-51.6562512715658,4.69554666666667,38.78125,91.9166666666667,4.69505666666667,-41.0625,4.735435,-59.1666666666667,4.55697277296925
