"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","height","firing_rate"
"2",0.048708825111257,118.397142857143,0.307589291200342,1.06977,7.203945,1.024593,-45.9687538146973,-49.0937538146973,-53.8000022888184,164.745728,0.02369,1.06827,7.20288666666667,1.02348,13.21875,30.0937512715658,27.4875007629395,147.656247019768,0.117103964090347,1.233473,-66.3187530517578,170,154.583333333333,730,1.06788,7.20249166666667,1.023159,-32.0937538146973,-33.0416679382324,-33.9437515258789,1.069995,7.204045,1.233473,-46.1562538146973,-49.2187525431315,-66.3187530517578,2.02600014772885,1.82757151279853,1.81815777902793,-82.40625,-65.503044128418,"Sst-IRES-Cre",81.2875030517579,8.44614976230121
"4",0.00255990377692692,18.2821698113208,0.656473233629847,1.05044,7.520155,1.02466583333333,-59.5,-58.1250038146973,-61.6093775431315,197.864144,0.01267,1.049235,7.51885833333333,1.02350833333333,20.9375,18.4687506357829,27.0520842870076,149.062544107437,0.0552238002419472,1.49557166666667,-73.2395871480306,150,162.5,460,1.04882,7.51839666666667,1.02313,-35.6875038146973,-33.6458371480306,-44.8906275431315,1.05046,7.52031166666667,1.49557166666667,-59.5937538146973,-58.2604192097982,-73.2395871480306,1.60858928958779,1.48797842999395,1.82278078938727,-89.4375076293945,-73.0082244873047,"Pvalb-IRES-Cre",88.6614618301391,54.6981025950636
"14",0.00800751915747272,42.8673913043478,0.325524472485627,1.101295,1.77569666666667,1.0258825,-67.40625,-66.5937525431315,-67.8020846048991,318.735008,0.0132300000000001,1.09906,1.77360333333333,1.02384166666667,39.375,49.8333346048991,50.8385423024495,358.35337638855,0.123362198472023,1.05412416666667,-68.546875,20,18.7916663487752,200,1.09838,1.772935,1.02326666666667,-48.09375,-44.5416692097982,-46.0885423024495,1.10159,1.77590166666667,1.05412416666667,-67.65625,-66.7916692097982,-68.546875,2.35001740631423,2.14212110641046,2.26252501083553,-100.1875,-66.2410736083984,"Sst-IRES-Cre",118.640626907349,23.3277549571479
"30",0.134182159010335,28.2175,0.0338008415147265,1.149425,2.77798,1.024485,-59.3750038146973,-56.8125,-60.5750015258789,278.821728,0.0246150000000001,1.14831,2.776795,1.023344,27.3750019073486,28.6875012715658,27.8812507629395,343.125075101852,0.0152803426608443,1.740821,-70.7875045776367,40,43.9166666666667,410,1.14791,2.776385,1.022985,-46.2187538146973,-43.3229166666667,-47.9,1.14951,2.77804333333333,1.740821,-59.5312538146973,-56.9270858764648,-70.7875045776367,2.01047351750228,2.06237763879744,2.03684305990347,-101.093757629395,-70.1568450927734,"Sst-IRES-Cre",88.4562522888184,35.4390006201825
"50",0.00680395272305974,16.5130508474576,0.834196332837647,1.056225,8.50692166666667,1.02425,-56.71875,-51.5416704813639,-58.8697954813639,238.507488,0.012335,1.055135,8.50547833333333,1.02334666666667,16.9687519073486,7.46875055631002,25.0260429382324,136.406257748604,0.0212017614394426,1.57356083333333,-79.7708358764648,140,187.125,520,1.05476,8.50501166666667,1.02303833333333,-36.5000038146973,-27.1458346048991,-45.817710240682,1.056485,8.50796333333333,1.57356083333333,-56.9375038146973,-52.2395871480306,-79.7708358764648,1.51400652653294,1.12385979067463,1.65729675534852,-94.3750076293945,-79.3803024291992,"Pvalb-IRES-Cre",83.8958384195963,60.5581614952735
"74",0.0287648842882554,49.6315789473684,0.191333333333333,1.09448,3.86281,1.025196,-48.96875,-44.8437519073486,-50.9500007629395,272.130624,0.0275400000000001,1.09168,3.86047,1.023436,35.875,36.9843769073486,36.5437522888184,270.312130451202,0.0580473504960537,1.805636,-78.5000045776367,70,71,710,1.09118,3.8599,1.023,-40.5,-35.2656288146973,-44.4125015258789,1.11242,3.89221,1.805636,-53.7187538146973,-54.2187519073486,-78.5000045776367,3.49841394265568,2.99139360018043,3.32823941749732,-101.4375,-78.727424621582,"Chrna2-Cre_OE25",87.4937530517579,20.1484623541888
"117",0.00312046281185448,30.7588333333333,0.41309525744985,1.155535,6.30432666666667,1.026,-58.15625,-58.5104179382324,-67.0104192097982,220.36152,0.0489250000000001,1.1539,6.30261166666667,1.02349166666667,0.84375,4.12500015894572,0.427083333333333,181.874960660934,0.124726444482803,1.21121,-81.1145858764648,130,132.083333333333,670,1.1535,6.30219833333333,1.02318166666667,-36.46875,-34.9375,-38.9739596048991,1.15704,6.308035,1.21121,-58.6875,-59.0625025431315,-81.1145858764648,1.66391321202204,1.59407082206979,1.71511782648871,-100.53125,-79.6356353759766,"Sst-IRES-Cre",67.4375025431315,32.5109860040206
"133",0.00591471569951447,15.7613541666667,0.985833333333333,1.034245,13.6153533333333,1.024267,-60.59375,-58.0937525431315,-63.3500030517578,155.591856,0.00924500000000017,1.033355,13.6143733333333,1.023362,13.25,17.5416673024495,23.3937503814697,92.3437848687172,0.0547689869999886,1.657443,-74.9000015258789,270,314.833333333333,114,1.03303,13.61399,1.023061,-37.5937538146973,-32.5104173024495,-45.0437515258789,1.03427,13.6154233333333,1.657443,-60.75,-58.1770846048991,-74.9000015258789,1.44779023654326,1.35671305388324,1.56444239219254,-84.78125,-74.04443359375,"Pvalb-IRES-Cre",86.7437534332275,63.44632506989
"183",0.00117062146581198,21.5631818181818,0.602008955302252,1.19158,14.4204516666667,1.023832,-55.5312538146973,-55.7291692097982,-58.9250030517578,86.913328,0.03281,1.191,14.4198816666667,1.02331,11.0000009536743,17.3958339691162,20.5375011444092,63.2810592651367,0.136888489127159,1.160615,-76.2062561035156,330,334.958333333333,870,1.190745,14.4196283333333,1.023088,-32.0312538146973,-31.7291666666667,-42.6937507629395,1.191615,14.4212116666667,1.160615,-55.6875038146973,-55.9270858764648,-76.2062561035156,1.12619823915282,1.17029539539327,1.26135484163659,-92.4062576293945,-75.2600326538086,"Pvalb-IRES-Cre",79.462504196167,46.3753451801261
"186",0.251984333432392,23.65,0.383914902197257,1.06824,3.3161,1.02475333333333,-59.7812538146973,-55.8437538146973,-60.2812538146973,455.840384,0.0208000000000002,1.06706,3.31482,1.0236,25,25.7916673024495,20.9687506357829,340.624958276749,0.0928596332669258,1.58009666666667,-72.3229204813639,50,57.3333320617676,380,1.06648,3.31423333333333,1.02307,-46.75,-40.2708346048991,-46.9791704813639,1.06828,3.31622,1.58009666666667,-59.8125,-55.9791704813639,-72.3229204813639,1.6251155415448,1.58882025163197,1.55072884586425,-102.15625,-71.0309524536133,"Chrna2-Cre_OE25",81.2500044504802,42.2832980972516
