"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","adaptation","avg_isi","f_i_curve_slope","latency","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square"
"2",164.745728,147.656247019768,0.117103964090347,-82.40625,-65.503044128418,"Sst-IRES-Cre",81.2875030517579,0.048708825111257,118.397142857143,0.307589291200342,0.02369,8.44614976230121,1.06977,-45.9687538146973,1.06827,13.21875,170,1.06788,-32.0937538146973,1.069995,-46.1562538146973,2.02600014772885
"4",197.864144,149.062544107437,0.0552238002419472,-89.4375076293945,-73.0082244873047,"Pvalb-IRES-Cre",88.6614618301391,0.00255990377692692,18.2821698113208,0.656473233629847,0.01267,54.6981025950636,1.05044,-59.5,1.049235,20.9375,150,1.04882,-35.6875038146973,1.05046,-59.5937538146973,1.60858928958779
"14",318.735008,358.35337638855,0.123362198472023,-100.1875,-66.2410736083984,"Sst-IRES-Cre",118.640626907349,0.00800751915747272,42.8673913043478,0.325524472485627,0.0132300000000001,23.3277549571479,1.101295,-67.40625,1.09906,39.375,20,1.09838,-48.09375,1.10159,-67.65625,2.35001740631423
"30",278.821728,343.125075101852,0.0152803426608443,-101.093757629395,-70.1568450927734,"Sst-IRES-Cre",88.4562522888184,0.134182159010335,28.2175,0.0338008415147265,0.0246150000000001,35.4390006201825,1.149425,-59.3750038146973,1.14831,27.3750019073486,40,1.14791,-46.2187538146973,1.14951,-59.5312538146973,2.01047351750228
"50",238.507488,136.406257748604,0.0212017614394426,-94.3750076293945,-79.3803024291992,"Pvalb-IRES-Cre",83.8958384195963,0.00680395272305974,16.5130508474576,0.834196332837647,0.012335,60.5581614952735,1.056225,-56.71875,1.055135,16.9687519073486,140,1.05476,-36.5000038146973,1.056485,-56.9375038146973,1.51400652653294
"74",272.130624,270.312130451202,0.0580473504960537,-101.4375,-78.727424621582,"Chrna2-Cre_OE25",87.4937530517579,0.0287648842882554,49.6315789473684,0.191333333333333,0.0275400000000001,20.1484623541888,1.09448,-48.96875,1.09168,35.875,70,1.09118,-40.5,1.11242,-53.7187538146973,3.49841394265568
"117",220.36152,181.874960660934,0.124726444482803,-100.53125,-79.6356353759766,"Sst-IRES-Cre",67.4375025431315,0.00312046281185448,30.7588333333333,0.41309525744985,0.0489250000000001,32.5109860040206,1.155535,-58.15625,1.1539,0.84375,130,1.1535,-36.46875,1.15704,-58.6875,1.66391321202204
"133",155.591856,92.3437848687172,0.0547689869999886,-84.78125,-74.04443359375,"Pvalb-IRES-Cre",86.7437534332275,0.00591471569951447,15.7613541666667,0.985833333333333,0.00924500000000017,63.44632506989,1.034245,-60.59375,1.033355,13.25,270,1.03303,-37.5937538146973,1.03427,-60.75,1.44779023654326
"183",86.913328,63.2810592651367,0.136888489127159,-92.4062576293945,-75.2600326538086,"Pvalb-IRES-Cre",79.462504196167,0.00117062146581198,21.5631818181818,0.602008955302252,0.03281,46.3753451801261,1.19158,-55.5312538146973,1.191,11.0000009536743,330,1.190745,-32.0312538146973,1.191615,-55.6875038146973,1.12619823915282
"186",455.840384,340.624958276749,0.0928596332669258,-102.15625,-71.0309524536133,"Chrna2-Cre_OE25",81.2500044504802,0.251984333432392,23.65,0.383914902197257,0.0208000000000002,42.2832980972516,1.06824,-59.7812538146973,1.06706,25,50,1.06648,-46.75,1.06828,-59.8125,1.6251155415448
"187",332.401536,214.687585830688,0.110406376421452,-99.2187576293945,-75.1252746582031,"Htr3a-Cre_NO152",98.9739608764649,0.00857216662437464,33.8940740740741,0.319642857142857,0.029625,29.5036824966671,1.135145,-49.4687538146973,1.133745,37.90625,50,1.133375,-37.2812538146973,1.135235,-49.5937538146973,2.80944136489596
"188",154.334944,156.874999403954,0.0633858293294907,-99.96875,-70.5464935302734,"Pvalb-IRES-Cre",85.2916723887126,0.000218586486882157,14.223768115942,0.8020833478592,0.0106600000000001,70.3048581675906,1.03245,-64.03125,1.03167,22.125,150,1.031345,-41.15625,1.03254,-64.21875,1.40168865713143
"216",107.314848,74.218787252903,0.106675691902637,-82.3750076293945,-74.0772018432617,"Pvalb-IRES-Cre",86.4140653610229,-0.0399376036121814,75.215,0.639058611181967,0.0950150000000001,13.2952203682776,1.188425,-61.5625038146973,1.187875,20.65625,330,1.18761,-36.46875,1.18844,-61.6875038146973,1.18366331094779
