"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"7",312.810656,257.656246424,0.0991026982665,-93.8750076294,-66.219039917,"Htr3a-Cre_NO152",19.2965341281,3.09043333333,-58.7916692098,3.08945333333,32.0312512716,51.7083333333,3.08903166667,-42.3125012716,3.09050833333,-58.9166692098,1.84110345531
"17",360.87904,337.94644475,0.177770674229,-100.031257629,-69.2231445312,"Sst-IRES-Cre",33.488566794,2.245815,-60.2187525431,2.24481333333,29.0312506358,30.625,2.24438333333,-44.3020846049,2.24586166667,-60.3229204814,1.64063540826
"44",438.913472,454.53119278,0.00303306360729,-97.125,-64.803352356,"Htr3a-Cre_NO152",13.3222718107,1.86675,-59.2291679382,1.86562,25.4479179382,21.125,1.86521166667,-48.0312512716,1.86682166667,-59.3541692098,1.9957399011
"47",146.467936,65.7813698053,0.0459909923375,-94.1562576294,-77.5109786987,"Pvalb-IRES-Cre",40.1092204927,10.923485,-54.8541692098,10.9223883333,20.2187519073,247.541641235,10.9220366667,-33.21875,10.9281616667,-56.9166692098,1.6225415344
"78",116.209488,84.3750014901,0.0581761337817,-85.1250076294,-75.4689025879,"Htr3a-Cre_NO152",14.111108699,10.91632,-53.8125025431,10.9127266667,32.9375,247.33333842,10.91234,-33.6666679382,10.9206533333,-56.895837148,4.27547002822
"79",218.646752,135.312616825,0.0169601105154,-83.96875,-68.6992721558,"Pvalb-IRES-Cre",72.1258850659,7.71638666667,-54.2604166667,7.71532166667,17.4270833333,167.375,7.71492833333,-30.1562512716,7.71648333333,-54.3541666667,1.37539434839
"80",290.759008,258.593797684,0.146825417876,-98.2812576294,-75.1858596802,"Vip-IRES-Cre",36.9028448739,3.94032,-47.0104166667,3.93876,20.8333346049,72.9583282471,3.93835333333,-36.8125,3.94102,-47.3437538147,2.66657146976
"86",267.333216,244.37507987,0.148372203112,-99.7187576294,-72.7958526611,"Sst-IRES-Cre",19.0171312657,3.612355,-56.6250025431,3.611305,30.7916679382,64.7500025431,3.61083,-35.03125,3.612415,-56.7291679382,1.42842989944
"90",81.808176,82.5000405312,0.0312513895333,-86.0625076294,-69.6435470581,"Pvalb-IRES-Cre",69.9343225493,15.75947,-50.0729204814,15.7576,3.79166698456,368.416666667,15.7571916667,-26.1354179382,15.7609983333,-51.270837148,1.12830995678
"104",161.001792,105.156250298,0.0280808564276,-100.468757629,-74.0991973877,"Pvalb-IRES-Cre",120.469026075,12.5787966667,-57.1875038147,12.5780283333,14.2187503179,288.958333333,12.577645,-29.447918574,12.5788466667,-57.2708358765,1.10585177552
"130",152.78832,122.187457979,0.0110582625493,-99.59375,-75.7397460938,"Pvalb-IRES-Cre",3.03044077761,10.6196233333,-62.2708346049,10.6187833333,17.84375,239.958333333,10.6184116667,-34.71875,10.6197033333,-62.4583333333,1.21147214175
"145",262.940592,197.968780994,0.121957555413,-100.90625,-72.2550735474,"Pvalb-IRES-Cre",145.81392523,8.84465333333,-54.1354166667,8.843625,0.999999990066,195.583333333,8.84322166667,-28.3750012716,8.844685,-54.1875,0.970260422398
"148",332.561728,217.187389731,0.0512986890972,-96.9375076294,-72.9392852783,"Vip-IRES-Cre",16.5679493021,3.64323333333,-48.5729204814,3.6411,34.75,65.5,3.64052,-40.0520846049,3.64354,-48.7812525431,2.72675643976
"149",138.222464,90.468749404,0.0623507685959,-89,-78.6321334839,"Htr3a-Cre_NO152",14.8325510928,10.039045,-56.9375025431,10.0352316667,35.65625,225.374989827,10.034915,-34.9895833333,10.042925,-59.7604192098,3.79808314675
"150",338.230464,214.843794703,0.0324125289917,-88.3437576294,-65.2329788208,"Htr3a-Cre_NO152",30.3228336165,4.59096,-52.0625038147,4.58795166667,27.9270846049,89.1666641235,4.58738666667,-32.8750012716,4.59320333333,-53.0833346049,2.49505567584
"187",332.401536,214.687585831,0.110406376421,-99.2187576294,-75.1252746582,"Htr3a-Cre_NO152",29.5036824967,3.11643375,-48.0546913147,3.11495375,38.3671884537,52.3749980927,3.11456,-36.1640644073,3.11659625,-48.187502861,2.80848892985
"204",217.243296,194.375008345,0.0493998341262,-90.125,-68.5249328613,"Nkx2-1-CreERT2",21.8059704747,4.45879333333,-50.7291666667,4.45732,35.0104192098,85.9166641235,4.45692666667,-31.5,4.4661,-54.9895858765,2.38481206112
"207",178.153936,150.625005364,0.020873464644,-90.1562576294,-73.6513824463,"Nkx2-1-CreERT2",17.8280358598,6.24154,-51.1979192098,6.23770666667,16.5104166667,130.416666667,6.23717333333,-35.4687512716,6.24780666667,-54.833337148,3.08689870657
"225",123.666592,93.3592766523,0.042190734297,-84.09375,-75.77318573,"Pvalb-IRES-Cre",78.4434099009,15.8707716667,-56.3229166667,15.8700666667,9.48958333333,371.25,15.86973,-32.2500006358,15.8708083333,-56.4062525431,1.08705929444
