"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","firing_rate","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square"
"7",312.810656,257.656246424,0.0991026982665,-93.8750076294,-66.219039917,"Htr3a-Cre_NO152",19.2965341281,1.024461,-62.4625022888,1.023541,37.5062515259,1.547561,-66.625,0,1.023197,-47.5000022888,1.547561,-66.625,2.04058208684
"17",360.87904,337.94644475,0.177770674229,-100.031257629,-69.2231445312,"Sst-IRES-Cre",33.488566794,1.02442,-61.859377861,1.0234275,25.3750014305,1.31154125,-69.7109394073,350,1.02304375,-46.7500009537,1.31154125,-69.7109394073,1.67994706493
"44",438.913472,454.53119278,0.00303306360729,-97.125,-64.803352356,"Htr3a-Cre_NO152",13.3222718107,1.02415625,-62.500002861,1.02304625,22.9531259537,1.78035875,-65.8281269073,160,1.022685,-49.3671894073,1.78035875,-65.8281269073,1.95410241905
"47",146.467936,65.7813698053,0.0459909923375,-94.1562576294,-77.5109786987,"Pvalb-IRES-Cre",40.1092204927,1.024238,-58.4875007629,1.023351,32.2625019073,1.542911,-77.6187530518,0,1.023046,-41.0125007629,1.542911,-77.6187530518,1.68827146941
"78",116.209488,84.3750014901,0.0581761337817,-85.1250076294,-75.4689025879,"Htr3a-Cre_NO152",14.111108699,1.02778,-63.4609384537,1.023425,33.445315361,1.152265,-75.8203144073,840,1.02309,-39.2421894073,1.152265,-75.8203144073,2.56839546686
"79",218.646752,135.312616825,0.0169601105154,-83.96875,-68.6992721558,"Pvalb-IRES-Cre",72.1258850659,1.02428,-58.9427108765,1.02338,21.2395836512,1.243265,-68.7447929382,0,1.02309583333,-41.5520839691,1.243265,-68.7447929382,1.59308404621
"80",290.759008,258.593797684,0.146825417876,-98.2812576294,-75.1858596802,"Vip-IRES-Cre",36.9028448739,1.02573,-53.8750019073,1.02376,15.828125,1.43405,-75.8906326294,290,1.02341,-47.2343769073,1.43405,-75.8906326294,2.51657007382
"86",267.333216,244.37507987,0.148372203112,-99.7187576294,-72.7958526611,"Sst-IRES-Cre",19.0171312657,1.024772,-58.9000015259,1.023582,23.0000015259,1.471306,-73.0875030518,0,1.023139,-41.1750022888,1.471306,-73.0875045776,1.5383414444
"90",81.808176,82.5000405312,0.0312513895333,-86.0625076294,-69.6435470581,"Pvalb-IRES-Cre",69.9343225493,1.0248925,-56.380212148,1.02328916667,17.6302089691,1.32689666667,-69.9375025431,820,1.02302333333,-43.4479192098,1.32689666667,-69.9375025431,1.5989405595
"104",161.001792,105.156250298,0.0280808564276,-100.468757629,-74.0991973877,"Pvalb-IRES-Cre",120.469026075,1.0242,-62.781252861,1.02343375,16.2890629768,1.698995,-75.1718769073,0,1.02316125,-41.6015663147,1.698995,-75.1718769073,1.3465538054
"130",152.78832,122.187457979,0.0110582625493,-99.59375,-75.7397460938,"Pvalb-IRES-Cre",3.03044077761,1.02414166667,-69.4791666667,1.0234375,31.6093756358,1.55817,-75.7552108765,370,1.02311916667,-51.2552102407,1.55817,-75.7552108765,1.34666814065
"145",262.940592,197.968780994,0.121957555413,-100.90625,-72.2550735474,"Pvalb-IRES-Cre",145.81392523,1.02441166667,-60.9895846049,1.02339833333,4.73958333333,1.52568333333,-72.1666666667,0,1.023135,-45.8750012716,1.52568333333,-72.1666666667,1.49448179527
"148",332.561728,217.187389731,0.0512986890972,-96.9375076294,-72.9392852783,"Vip-IRES-Cre",16.5679493021,1.02605333333,-55.6041692098,1.02364666667,34.5625012716,1.66969333333,-72.9479192098,300,1.02313333333,-47.5416692098,1.66969333333,-72.9479217529,2.83531082658
"149",138.222464,90.468749404,0.0623507685959,-89,-78.6321334839,"Htr3a-Cre_NO152",14.8325510928,1.02817,-68.1375045776,1.023142,34.3875015259,1.15079,-79.8437561035,830,1.022886,-40.2187515259,1.15079,-79.8437561035,2.76110003568
"150",338.230464,214.843794703,0.0324125289917,-88.3437576294,-65.2329788208,"Htr3a-Cre_NO152",30.3228336165,1.02671,-57.5062522888,1.023252,35.9250022888,1.042814,-66.7750015259,360,1.02287,-38.1000022888,1.042814,-66.7750015259,2.63125434754
