"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","height","firing_rate"
"1",0.0643841749363,76.2833333333,0.195246801797,1.10266,4.00524666667,1.02487333333,-48.71875,-49.8750012716,-51.5000038147,134.67648,0.03188,1.10088,4.00354,1.0233,56.5000038147,56.1770858765,53.5312538147,109.776884317,0.244704991579,1.34491333333,-67.4166692098,110,74.5833333333,670,1.10046,4.00312,1.02291333333,-44.2187538147,-45.833337148,-47.8645833333,1.1028,4.00545333333,1.34491333333,-48.8437538147,-50.0937525431,-67.4166692098,4.23133516098,4.29953475742,3.93908255087,-78.59375,-66.085067749,"Chrna2-Cre_OE25",105.031257629,13.1090233778
"2",0.0487088251113,118.397142857,0.3075892912,1.06977,7.203945,1.024593,-45.9687538147,-49.0937538147,-53.8000022888,164.745728,0.02369,1.06827,7.20288666667,1.02348,13.21875,30.0937512716,27.4875007629,147.65624702,0.11710396409,1.233473,-66.3187530518,170,154.583333333,730,1.06788,7.20249166667,1.023159,-32.0937538147,-33.0416679382,-33.9437515259,1.069995,7.204045,1.233473,-46.1562538147,-49.2187525431,-66.3187530518,2.02600014773,1.8275715128,1.81815777903,-82.40625,-65.5030441284,"Sst-IRES-Cre",81.2875030518,8.4461497623
"4",0.00255990377693,18.2821698113,0.65647323363,1.05044,7.520155,1.02466583333,-59.5,-58.1250038147,-61.6093775431,197.864144,0.01267,1.049235,7.51885833333,1.02350833333,20.9375,18.4687506358,27.052084287,149.062544107,0.0552238002419,1.49557166667,-73.239587148,150,162.5,460,1.04882,7.51839666667,1.02313,-35.6875038147,-33.645837148,-44.8906275431,1.05046,7.52031166667,1.49557166667,-59.5937538147,-58.2604192098,-73.239587148,1.60858928959,1.48797842999,1.82278078939,-89.4375076294,-73.0082244873,"Pvalb-IRES-Cre",88.6614618301,54.6981025951
"6",0.0552294483625,65.1996428571,0.290424431927,1.194985,2.613015,1.025615,-47.21875,-48.5937525431,-52.8750022888,317.859968,0.031455,1.19302,2.61134666667,1.023597,6.87500047684,16.4166679382,7.51250047684,392.499923706,0.123851075768,1.473574,-64.5187522888,30.0000019073,39.75,340,1.192355,2.61062666667,1.022979,-38.21875,-36.802087148,-37.825,1.232745,2.61313666667,1.473574,-47.9062538147,-48.7083358765,-64.5187522888,1.56066485487,1.42796947494,1.42983832857,-98.75,-63.3182563782,"Htr3a-Cre_NO152",60.3875027657,15.3375073264
"7",0.0114506456739,51.8227777778,0.164467013793,1.0379,3.09043333333,1.024461,-60.5000038147,-58.7916692098,-62.4625022888,312.810656,0.005875,1.03698,3.08945333333,1.023541,32.7500038147,32.0312512716,37.5062515259,257.656246424,0.0991026982665,1.547561,-66.625,90,51.7083333333,0,1.036595,3.08903166667,1.023197,-41.5625,-42.3125012716,-47.5000022888,1.037995,3.09050833333,1.547561,-60.6562538147,-58.9166692098,-66.625,1.93457044399,1.84110345531,2.04058208684,-93.8750076294,-66.219039917,"Htr3a-Cre_NO152",99.9687538147,19.2965341281
"8",0.0347760085194,30.73375,0.631220715271,1.53444,17.0385683333,1.024103,-57.6875038147,-56.6250012716,-59.8312522888,105.196152,0.126335,1.53362,17.0374733333,1.023311,13.5,14.5833339691,25.0187511444,64.5312517881,0.0449956208467,1.456287,-77.8812530518,350,400.416676839,900,1.5333,17.0371366667,1.023032,-34.9062538147,-31.4375025431,-44.8625015259,1.53463,17.0396683333,1.456287,-57.8437538147,-57.5208358765,-77.8812530518,1.2045470956,1.26777826495,1.37752586262,-92.5,-76.9548568726,"Pvalb-IRES-Cre",84.8500034332,32.5375198276
"13",0.0479778872438,50.6313888889,0.291294653445,1.078045,4.11961333333,1.02419583333,-62.3437538147,-59.4375012716,-63.0104198456,254.30064,0.02136,1.07737,4.11890666667,1.02350833333,27.9375019073,28.6458346049,28.0208349228,188.749924302,0.0210860185325,1.39762166667,-77.2135454814,90,77.5,71.6666717529,1.07699,4.11852833333,1.02315,-49.78125,-48.5416692098,-50.6250019073,1.07807,4.11968166667,1.39762166667,-62.4375038147,-59.5625025431,-77.2135467529,1.51451050494,1.61299789158,1.50889352275,-97.53125,-76.1265106201,"Sst-IRES-Cre",91.0312547684,19.7505938894
"14",0.00800751915747,42.8673913043,0.325524472486,1.101295,1.77569666667,1.0258825,-67.40625,-66.5937525431,-67.8020846049,318.735008,0.01323,1.09906,1.77360333333,1.02384166667,39.375,49.8333346049,50.8385423024,358.353376389,0.123362198472,1.05412416667,-68.546875,20,18.7916663488,200,1.09838,1.772935,1.02326666667,-48.09375,-44.5416692098,-46.0885423024,1.10159,1.77590166667,1.05412416667,-67.65625,-66.7916692098,-68.546875,2.35001740631,2.14212110641,2.26252501084,-100.1875,-66.2410736084,"Sst-IRES-Cre",118.640626907,23.3277549571
"15",0.000606499008423,6.28686708861,2.50925139275,1.032065,9.04288833333,1.023625,-65.84375,-55.895837148,-66.2000030518,175.237632,0.00598,1.031545,9.04214666667,1.02314,6.68750047684,2.38541698456,19.3875011444,114.843562245,0.047112159431,1.693986,-77.7812530518,230,200.54166158,352,1.031285,9.041805,1.022917,-37.71875,-28.479168574,-51.6312522888,1.03208,9.04296166667,1.693986,-65.9375076294,-56.0312512716,-77.7812530518,0.986617100732,0.814803526504,1.19344644818,-101.250007629,-77.1630325317,"Pvalb-IRES-Cre",85.5875041962,159.061737095
"17",0.0239068846174,29.8609375,0.558357990282,1.18942,2.245815,1.02442,-61.3750038147,-60.2187525431,-61.859377861,360.87904,0.021375,1.18842,2.24481333333,1.0234275,23.6250019073,29.0312506358,25.3750014305,337.94644475,0.177770674229,1.31154125,-69.7109394073,20,30.625,350,1.18802,2.24438333333,1.02304375,-45.1250038147,-44.3020846049,-46.7500009537,1.189505,2.24586166667,1.31154125,-61.4687538147,-60.3229204814,-69.7109394073,1.64852353062,1.64063540826,1.67994706493,-100.031257629,-69.2231445312,"Sst-IRES-Cre",87.2343792915,33.488566794
