"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp"
"1",134.67648,109.776884317398,0.244704991579056,-78.59375,-66.0850677490234,"Chrna2-Cre_OE25",105.031257629395,4.00524666666667,-49.8750012715658,4.00354,56.1770858764648,74.5833333333333,4.00312,-45.8333371480306,4.00545333333333,-50.0937525431315,4.29953475742399
"6",317.859968,392.499923706055,0.123851075768471,-98.75,-63.3182563781738,"Htr3a-Cre_NO152",60.3875027656556,2.613015,-48.5937525431315,2.61134666666667,16.4166679382324,39.75,2.61062666666667,-36.8020871480306,2.61313666666667,-48.7083358764648,1.42796947493655
"7",312.810656,257.656246423721,0.0991026982665062,-93.8750076293945,-66.2190399169922,"Htr3a-Cre_NO152",99.9687538146973,3.09043333333333,-58.7916692097982,3.08945333333333,32.0312512715658,51.7083333333333,3.08903166666667,-42.3125012715658,3.09050833333333,-58.9166692097982,1.84110345530758
"8",105.196152,64.5312517881393,0.0449956208467484,-92.5,-76.9548568725586,"Pvalb-IRES-Cre",84.8500034332276,17.0385683333333,-56.6250012715658,17.0374733333333,14.5833339691162,400.416676839193,17.0371366666667,-31.4375025431315,17.0396683333333,-57.5208358764648,1.26777826495465
"13",254.30064,188.749924302101,0.0210860185325146,-97.53125,-76.1265106201172,"Sst-IRES-Cre",91.0312547683716,4.11961333333333,-59.4375012715658,4.11890666666667,28.6458346048991,77.5,4.11852833333333,-48.5416692097982,4.11968166666667,-59.5625025431315,1.61299789157978
"15",175.237632,114.843562245369,0.0471121594309807,-101.250007629395,-77.1630325317383,"Pvalb-IRES-Cre",85.587504196167,9.04288833333334,-55.8958371480306,9.04214666666667,2.38541698455811,200.541661580404,9.041805,-28.4791685740153,9.04296166666667,-56.0312512715658,0.814803526503812
"17",360.87904,337.946444749832,0.177770674228668,-100.031257629395,-69.22314453125,"Sst-IRES-Cre",87.2343792915344,2.245815,-60.2187525431315,2.24481333333333,29.0312506357829,30.625,2.24438333333333,-44.3020846048991,2.24586166666667,-60.3229204813639,1.64063540825812
"18",504.248832,402.764409780502,0.154761508107185,-104.968757629395,-73.0341339111328,"Chrna2-Cre_OE25",92.9895871480306,2.25046666666667,-46.5937512715658,2.24792666666667,45.9687512715658,30.7083326975505,2.24742,-35.2812512715658,2.29513333333333,-55.9583371480306,3.35407549737599
"19",203.879312,264.68750834465,0.0848891288042068,-94.8750076293945,-65.8635711669922,"Sst-IRES-Cre",102.83594417572,3.00639833333333,-62.1562525431315,3.00560833333333,37.9583346048991,49.625,3.00526,-43.2604192097982,3.00643333333333,-62.2708346048991,1.69277806227914
"22",277.678944,238.28125,0.0131897740066051,-92.0000076293945,-66.5560607910156,"Sst-IRES-Cre",82.9187534332276,3.117295,-55.1458358764648,3.116345,24.6041679382324,52.4166666666667,3.11600333333333,-44.4791692097982,3.11739,-55.2916704813639,1.9615790797264
