"","input_resistance_mohm","ri","sag","vm_for_sag","vrest","transgenic_line","height","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square"
"1",134.67648,109.776884317398,0.244704991579056,-78.59375,-66.0850677490234,"Chrna2-Cre_OE25",105.031257629395,1.02487333333333,-51.5000038146973,1.0233,53.5312538146973,1.34491333333333,-67.4166692097982,670,1.02291333333333,-47.8645833333333,1.34491333333333,-67.4166692097982,3.93908255087266
"6",317.859968,392.499923706055,0.123851075768471,-98.75,-63.3182563781738,"Htr3a-Cre_NO152",60.3875027656556,1.025615,-52.8750022888184,1.023597,7.51250047683716,1.473574,-64.5187522888184,340,1.022979,-37.825,1.473574,-64.5187522888184,1.42983832856955
"7",312.810656,257.656246423721,0.0991026982665062,-93.8750076293945,-66.2190399169922,"Htr3a-Cre_NO152",99.9687538146973,1.024461,-62.4625022888184,1.023541,37.5062515258789,1.547561,-66.625,0,1.023197,-47.5000022888184,1.547561,-66.625,2.04058208683675
"8",105.196152,64.5312517881393,0.0449956208467484,-92.5,-76.9548568725586,"Pvalb-IRES-Cre",84.8500034332276,1.024103,-59.8312522888184,1.023311,25.0187511444092,1.456287,-77.8812530517578,900,1.023032,-44.8625015258789,1.456287,-77.8812530517578,1.37752586261736
"13",254.30064,188.749924302101,0.0210860185325146,-97.53125,-76.1265106201172,"Sst-IRES-Cre",91.0312547683716,1.02419583333333,-63.0104198455811,1.02350833333333,28.0208349227905,1.39762166666667,-77.2135454813639,71.6666717529297,1.02315,-50.6250019073486,1.39762166666667,-77.2135467529297,1.50889352274576
"15",175.237632,114.843562245369,0.0471121594309807,-101.250007629395,-77.1630325317383,"Pvalb-IRES-Cre",85.587504196167,1.023625,-66.2000030517578,1.02314,19.3875011444092,1.693986,-77.7812530517578,352,1.022917,-51.6312522888184,1.693986,-77.7812530517578,1.19344644818485
"17",360.87904,337.946444749832,0.177770674228668,-100.031257629395,-69.22314453125,"Sst-IRES-Cre",87.2343792915344,1.02442,-61.8593778610229,1.0234275,25.3750014305115,1.31154125,-69.7109394073486,350,1.02304375,-46.7500009536743,1.31154125,-69.7109394073486,1.67994706492572
"18",504.248832,402.764409780502,0.154761508107185,-104.968757629395,-73.0341339111328,"Chrna2-Cre_OE25",92.9895871480306,1.02484666666667,-48.8541679382324,1.02316,44.1354192097982,1.83182666666667,-74.6458384195964,660,1.02274666666667,-43.1041692097982,1.83182666666667,-74.6458384195964,3.38282987251483
"19",203.879312,264.68750834465,0.0848891288042068,-94.8750076293945,-65.8635711669922,"Sst-IRES-Cre",102.83594417572,1.02418,-64.6718788146973,1.02331875,38.1640653610229,1.25033375,-66.8203125,210,1.0230025,-44.9375019073486,1.25033375,-66.8203125,1.83484713115001
"22",277.678944,238.28125,0.0131897740066051,-92.0000076293945,-66.5560607910156,"Sst-IRES-Cre",82.9187534332276,1.024358,-58.0375022888184,1.023432,24.8812511444092,1.415886,-67.5812530517578,0,1.023123,-47.6687538146973,1.415886,-67.5812530517578,2.03471580048334
