"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","binary_neuron","tau","firing_rate","height_short","height_long","height_ramp"
"2",0.0487088251,118.397142857,0.3075892912,49.77,6.183945,4.593,-45.9687538147,-49.0937538147,-53.8000022888,0.02369,48.27,6.1828866667,3.48,13.21875,30.0937512716,27.4875007629,147.65624702,0.1171039641,170,154.583333333,730,47.88,6.1824916667,3.159,-32.0937538147,-33.0416679382,-33.9437515259,49.995,6.184045,213.473,-46.1562538147,-49.2187525431,-66.3187530518,2.0260001477,1.8275715128,1.818157779,-65.5030441284,"Inhibitory",13.7579577113,8.4461497623,81.2875030517,59.1875038147,79.1875050863
"3",0.0422146009,81.3945454545,0.1627293749,69.75,1.3164266667,7.302,-48.90625,-51.0833346049,-55.8000022888,0.027555,66.395,1.3132283333,3.475,33.28125,38.8229179382,29.0875011444,266.406327486,0.0415404625,110,32.8333333333,469.999969482,65.825,1.312735,3.001,-38.1562538147,-40.1666692098,-46.1250007629,79.575,1.3417783333,671.744,-52.09375,-57.6145858765,-73.3375,4.2084853999,4.2741508224,4.0963716292,-72.1746749878,"Excitatory",21.9450109341,12.2858355485,84.8875034332,82.1875,89.9062525431
"8",0.0347760085,30.73375,0.6312207153,514.44,16.0185683333,4.103,-57.6875038147,-56.6250012716,-59.8312522888,0.126335,513.62,16.0174733333,3.311,13.5,14.5833339691,25.0187511444,64.5312517881,0.0449956208,350,400.416676839,900,513.3,16.0171366667,3.032,-34.9062538147,-31.4375025431,-44.8625015259,514.63,16.0196683333,436.287,-57.8437538147,-57.5208358765,-77.8812530518,1.2045470956,1.267778265,1.3775258626,-76.9548568726,"Inhibitory",4.99634536181,32.5375198276,84.8500034332,71.1875038147,71.2083352407
"9",0.0259499525,79.6,0.1640540541,163.34,3.2930333333,4.87,-47.4375038147,-49.3854192098,-50.7812519073,0.04384,161.42,3.2912933333,3.39,43,44.5104166667,44.21875,153.749927878,0.1038112193,70,82.25,0,161,3.29088,3.01,-33.1250038147,-33.5104192098,-48.2812519073,200.7,3.3191666667,489.35,-56.5625038147,-55.9791692098,-68.9218788147,3.3893320895,3.2384560859,3.6690064788,-68.5057373047,"Excitatory",20.4216258325,12.5628140704,95.0000019073,90.4375038147,93.8958358765
"32",0.0311050608,62.4966666667,0.2859043901,249.505,1.3980525,5.11,-52.09375,-51.4375038147,-54.0437530518,0.041805,247.385,1.395935,3.375,39.6875038147,42.390625,38.1875022888,339.620679617,0.026388593,30.0000019073,34.8749990463,450,246.9,1.3954475,2.96,-42.8125038147,-42.1718769073,-48.4062507629,285.3,1.42975,699.038,-57.5,-55.9687519073,-74.9750045776,3.701594925,3.8797589127,3.6777654423,-72.08177948,"Excitatory",35.1773729723,16.0008533788,92.2312553406,91.7812538147,93.8281288147
"34",0.4103743748,24.8866666667,0.053163074,179.04,10.0009266667,4.4333333,-54.5937538147,-50.6354179382,-56.7500038147,0.02222,178.12,9.9996266667,3.48,32.84375,18.9791676203,35.3541692098,287.343800068,0.1550024748,40,250,300,177.72,9.9990333333,3.1,-40.0000038147,-38.71875,-47.4583333333,723.74,10.0010866667,910.8266667,-57.1875,-50.7916679382,-70.1562550863,1.7839550343,1.5811534012,1.8611079257,-69.8161087036,"Inhibitory",20.2264349204,40.1821591213,92.1041730245,87.4375038147,69.6145855585
"35",1,1000,0.0459984166,27.94,9.9144666667,4.36,-53.4687538147,-45.1458346049,-55.2187522888,0.01672,27,9.9128533333,3.432,23.0000019073,15.583334287,29.9750011444,141.093716025,0.103318736,140,247.91666158,509.999969482,26.68,9.9124266667,3.144,-39.65625,-34.9375,-45.1625022888,27.96,9.9183066667,584.424,-53.53125,-46.0312538147,-73.8562515259,2.0757909451,2.3803840063,2.1651751688,-73.7110214233,"Inhibitory",10.1983166376,1,85.1937534332,76.468755722,60.7291688919
"38",0.0141153754,34.3007142857,0.4464864865,69.295,2.8176133333,4.60125,-53.75,-53.1458346049,-58.773440361,0.02504,68.2,2.8164416667,3.28875,12.8125,14.8333336512,10.8984382153,249.330356717,0.1250998527,70,70.375,440,67.8,2.8160233333,2.935,-39.625,-35.9375,-42.0859375,69.365,2.8176666667,316.69875,-53.84375,-53.2291666667,-65.5078144073,1.6605080463,1.5579662122,1.6310524952,-65.5227432251,"Inhibitory",22.9317307203,29.1539118303,69.6718785763,66.5625,67.9791682561
"39",0.0091525921,55.5352941176,0.2783333333,199.02,2.0175333333,6.32,-51.5000038147,-50.3750012716,-51.7395858765,0.02666,195.4,2.0143,3.5933333,42.5625038147,46.4583346049,41.1458346049,150.156363845,0.0869927704,50,50.3333333333,300,194.86,2.0137533333,3.1333333,-46.0000038147,-45.4687525431,-47.0208346049,221.9,2.0552466667,820.5666667,-55.84375,-54.2916692098,-66.3125025431,4.0431381903,4.3652231808,4.1387199243,-66.0966186523,"Excitatory",10.1986055903,18.006567101,92.8854204814,94.0625076294,96.8333358765
"44",0.1096904344,75.0622727273,0.1130379755,73.75,0.84675,4.15625,-61,-59.2291679382,-62.500002861,0.007175,72.48,0.84562,3.04625,13.5625,25.4479179382,22.9531259537,454.531192779,0.0030330636,20,21.125,160,71.985,0.8452116667,2.685,-51.2500038147,-48.0312512716,-49.3671894073,73.93,0.8468216667,760.35875,-61.2187538147,-59.3541692098,-65.8281269073,1.8078949924,1.9957399011,1.954102419,-64.803352356,"Inhibitory",25.4442457099,13.3222718107,85.4531288147,74.5625,84.6770858764
"47",0.0031186783,24.9319230769,0.4841121495,60.37,9.903485,4.238,-56,-54.8541692098,-58.4875007629,0.022895,59.485,9.9023883333,3.351,24.6875,20.2187519073,32.2625019073,65.7813698053,0.0459909923,260,247.541641235,0,59.175,9.9020366667,3.046,-32.15625,-33.21875,-41.0125007629,60.445,9.9081616667,522.911,-56.15625,-56.9166692098,-77.6187530518,1.5153342978,1.6225415344,1.6882714694,-77.5109786987,"Inhibitory",6.50461213789,40.1092204928,90.7500026702,80.6875,75.0729211171
"50",0.0068039527,16.5130508475,0.8341963328,36.225,7.4869216667,4.25,-56.71875,-51.5416704814,-58.8697954814,0.012335,35.135,7.4854783333,3.3466667,16.9687519073,7.4687505563,25.0260429382,136.406257749,0.0212017614,140,187.125,520,34.76,7.4850116667,3.0383333,-36.5000038147,-27.1458346049,-45.8177102407,36.485,7.4879633333,553.5608333,-56.9375038147,-52.239587148,-79.7708358765,1.5140065265,1.1238597907,1.6572967553,-79.3803024292,"Inhibitory",7.04963806288,60.5581614951,83.8958384196,73.6875019073,59.0104210377
"52",1,1000,0.0237227589,79.94,4.5817,5.244,-46.1250038147,-43.9479166667,-51.9875015259,0.04512,76.7,4.5798866667,3.54,29.2812519073,30.8854173024,38.0375022888,173.59367013,0.0820133761,150,114.458333333,939.999938965,76.12,4.5792733333,3.084,-32.0937538147,-29.4687519073,-48.2312530518,113.36,4.6096,507.872,-51.84375,-52.7083346049,-76.8500015259,2.4615950708,2.1631889429,2.9663139099,-75.2498779297,"Excitatory",25.5547534197,1,90.0250038147,75.406255722,74.8333339691
"61",0.0763599331,116.445,0.1541666753,119.98,4.0128466667,5.515,-46.6250038147,-48.5208358765,-52.1375038147,0.047445,117.32,4.01032,3.38,38.1562538147,40.3333358765,38.2437522888,136.87504828,0.2040595114,70,100.25,780,116.845,4.0098566667,2.979,-43.7500038147,-43.4687512716,-49.8625022888,192.86,4.073455,90.434,-56.78125,-56.5312538147,-69.3875061035,3.8862715922,4.175687352,3.9722071505,-68.0052108765,"Excitatory",18.6989093448,8.58774528747,90.3812561035,84.7812576294,88.854171753
"62",0.1188551549,67.3333333333,0.1449567893,139.87,4.088525,4.8575,-53.6562538147,-52.2812538147,-57.5781269073,0.034855,137.765,4.0866725,3.105,40.0625038147,43.9062519073,38.3437519073,158.593788743,0.0306478515,110,102.1875,720,137.325,4.0862325,2.7175,-40.7812538147,-38.890625,-54.1406269073,160.555,4.1140425,638.8925,-58.2812538147,-56.90625,-82.1406288147,3.3289569855,3.4958255136,3.8665216991,-81.6837158203,"Excitatory",17.8633370572,14.8514851485,95.9218788146,93.7187576294,96.187505722
"72",0.0527321787,78.8357142857,0.1568181875,82.505,4.258715,4.327,-47.9062538147,-49.1354204814,-51.2937530518,0.05146,80.78,4.2569216667,3.163,41.78125,44.8854192098,42.5937522888,153.437390924,0.0158438869,130,106.416666667,939.999938965,80.455,4.256585,2.875,-36.4062538147,-35.7916679382,-47.3062515259,909.355,4.2769616667,517.228,-50.7500038147,-53.8229204814,-78.9375030518,3.6315394591,3.398342305,3.6922526397,-78.2422027588,"Excitatory",20.0088757787,12.6846063242,93.8875053406,89.6875038147,94.0208396912
