"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","binary_neuron"
"2",6.183945,-49.0937538147,6.1828866667,30.0937512716,154.583333333,6.1824916667,-33.0416679382,6.184045,-49.2187525431,1.8275715128,79.1875050863,"Inhibitory"
"3",1.3164266667,-51.0833346049,1.3132283333,38.8229179382,32.8333333333,1.312735,-40.1666692098,1.3417783333,-57.6145858765,4.2741508224,89.9062525431,"Excitatory"
"8",16.0185683333,-56.6250012716,16.0174733333,14.5833339691,400.416676839,16.0171366667,-31.4375025431,16.0196683333,-57.5208358765,1.267778265,71.2083352407,"Inhibitory"
"9",3.2930333333,-49.3854192098,3.2912933333,44.5104166667,82.25,3.29088,-33.5104192098,3.3191666667,-55.9791692098,3.2384560859,93.8958358765,"Excitatory"
"32",1.3980525,-51.4375038147,1.395935,42.390625,34.8749990463,1.3954475,-42.1718769073,1.42975,-55.9687519073,3.8797589127,93.8281288147,"Excitatory"
"34",10.0009266667,-50.6354179382,9.9996266667,18.9791676203,250,9.9990333333,-38.71875,10.0010866667,-50.7916679382,1.5811534012,69.6145855585,"Inhibitory"
"35",9.9144666667,-45.1458346049,9.9128533333,15.583334287,247.91666158,9.9124266667,-34.9375,9.9183066667,-46.0312538147,2.3803840063,60.7291688919,"Inhibitory"
"38",2.8176133333,-53.1458346049,2.8164416667,14.8333336512,70.375,2.8160233333,-35.9375,2.8176666667,-53.2291666667,1.5579662122,67.9791682561,"Inhibitory"
"39",2.0175333333,-50.3750012716,2.0143,46.4583346049,50.3333333333,2.0137533333,-45.4687525431,2.0552466667,-54.2916692098,4.3652231808,96.8333358765,"Excitatory"
"44",0.84675,-59.2291679382,0.84562,25.4479179382,21.125,0.8452116667,-48.0312512716,0.8468216667,-59.3541692098,1.9957399011,84.6770858764,"Inhibitory"
"47",9.903485,-54.8541692098,9.9023883333,20.2187519073,247.541641235,9.9020366667,-33.21875,9.9081616667,-56.9166692098,1.6225415344,75.0729211171,"Inhibitory"
"50",7.4869216667,-51.5416704814,7.4854783333,7.4687505563,187.125,7.4850116667,-27.1458346049,7.4879633333,-52.239587148,1.1238597907,59.0104210377,"Inhibitory"
"52",4.5817,-43.9479166667,4.5798866667,30.8854173024,114.458333333,4.5792733333,-29.4687519073,4.6096,-52.7083346049,2.1631889429,74.8333339691,"Excitatory"
"61",4.0128466667,-48.5208358765,4.01032,40.3333358765,100.25,4.0098566667,-43.4687512716,4.073455,-56.5312538147,4.175687352,88.854171753,"Excitatory"
"62",4.088525,-52.2812538147,4.0866725,43.9062519073,102.1875,4.0862325,-38.890625,4.1140425,-56.90625,3.4958255136,96.187505722,"Excitatory"
"72",4.258715,-49.1354204814,4.2569216667,44.8854192098,106.416666667,4.256585,-35.7916679382,4.2769616667,-53.8229204814,3.398342305,94.0208396912,"Excitatory"
"73",4.27267,-65.09375,4.27197,13.2656259537,106.75,4.27164,-41.4687519073,4.27272,-65.1875019073,1.2854071248,78.3593759537,"Inhibitory"
"76",3.57284,-44.7395833333,3.5700866667,38.7291666667,89.25,3.5695866667,-32.4479198456,3.6033,-54.4166704814,3.7955504783,83.46875,"Excitatory"
"79",6.6963866667,-54.2604166667,6.6953216667,17.4270833333,167.375,6.6949283333,-30.1562512716,6.6964833333,-54.3541666667,1.3753943484,71.6875,"Inhibitory"
"81",1.17852,-52.1145858765,1.1770733333,18.3958346049,29.4166673024,1.1766333333,-43.1666679382,1.2101933333,-54.5000025431,2.5993054027,70.5104204814,"Inhibitory"
"83",13.0831516667,-60.6666679382,13.0822583333,17.3854173024,327.041666667,13.08191,-32.5625,13.0832066667,-60.8333358765,1.2959735445,78.0520852406,"Inhibitory"
"88",2.44798,-48.65625,2.44545,37.53125,61.125,2.44498,-33.6875038147,2.47128,-55,3.0306799947,86.1875,"Excitatory"
"94",4.8708866667,-44.8541666667,4.8692533333,31.0416673024,121.66666158,4.8686533333,-32.1770846049,4.89192,-53.958337148,1.8692291679,75.8958339691,"Excitatory"
"95",4.78178,-47.2916704814,4.7801866667,50.1562538147,119.499992371,4.7798,-39.2916679382,4.8251033333,-54.1250025431,3.8413954768,97.4479242961,"Excitatory"
"107",1.8032866667,-51.302087148,1.80024,40.3645858765,45,1.7998,-41.864587148,1.8394133333,-58.4270846049,4.4179228874,91.6666730245,"Excitatory"
"110",11.2590783333,-61.7812525431,11.2583,15.0625009537,281.458333333,11.2580133333,-32.7291692098,11.2591366667,-61.9166704814,1.2199565626,76.8437534968,"Inhibitory"
"111",1.4559375,-47.203125,1.4535425,34.03125,36.3125,1.453055,-34.921875,1.488675,-54.5625,2.8669443365,81.234375,"Excitatory"
"122",9.0732683333,-53.6979192098,9.06838,17.4375,226.708328247,9.0679066667,-34.9479192098,9.077475,-55.8229204814,3.2069634757,71.1354192098,"Inhibitory"
"128",10.04312,-55.3333358765,10.0419866667,23.9375012716,251,10.04156,-33.5729192098,10.0432,-55.4062525431,1.6759465027,79.2708371481,"Inhibitory"
"133",12.5953533333,-58.0937525431,12.5943733333,17.5416673024,314.833333333,12.59399,-32.5104173024,12.5954233333,-58.1770846049,1.3567130539,75.6354198455,"Inhibitory"
"134",10.9916266667,-46.6041692098,10.98966,31.8958352407,274.708333333,10.9890466667,-32.7604198456,11.0112666667,-50.2812525431,2.0981962343,78.5000044505,"Excitatory"
"136",4.0842333333,-53.3854192098,4.08269,47.6458346049,102.041664123,4.0822033333,-45.4375025431,4.119565,-56.4791704814,2.6994918978,101.031253815,"Excitatory"
"151",9.400175,-47.6562525431,9.3987666667,33.2395852407,234.958323161,9.3982416667,-32.1875025431,9.4136416667,-53.239587148,1.8575177708,80.8958377838,"Excitatory"
"174",14.6699275,-50.8281269073,14.6691425,5.9375002384,366.75,14.6687825,-27.2500009537,14.669965,-50.9218769073,0.9554650342,56.7656271457,"Inhibitory"
"175",2.21129,-52.0625038147,2.20909,46.6562538147,55.1875,2.20869,-37.8593769073,2.2331,-59.4375038147,4.1014939556,98.7187576294,"Excitatory"
"179",6.5548383333,-51.1666704814,6.55237,41.8333346049,163.791666667,6.5518683333,-40.0625025431,6.6061416667,-57.0208358765,3.3476937506,93.0000050863,"Excitatory"
"181",3.24101,-49.9687512716,3.2384716667,47.2291692098,80.9583307902,3.2380233333,-41.6250012716,3.293415,-58.7812525431,4.6265673789,97.1979204814,"Excitatory"
"186",2.2961,-55.8437538147,2.29482,25.7916673024,57.3333320618,2.2942333333,-40.2708346049,2.29622,-55.9791704814,1.5888202516,81.6354211171,"Inhibitory"
"190",5.7213533333,-45.6875012716,5.7192083333,47.71875,142.958328247,5.7188333333,-40.8958346049,5.7901166667,-53.6979204814,4.2980526995,93.4062512716,"Excitatory"
"192",4.2015333333,-61.7812538147,4.2007,37.3333358765,105,4.2003333333,-46.6041692098,4.20156,-61.8125,1.7599099007,99.1145896912,"Inhibitory"
"195",3.84926,-48.7395858765,3.84726,40.2708346049,96.1666666667,3.8468533333,-34.1250038147,3.8739666667,-55.7916704814,3.5790734756,89.0104204814,"Excitatory"
