"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","binary_neuron"
"2",4.593,-53.8000022888,3.48,27.4875007629,730,3.159,-33.9437515259,213.473,-66.3187530518,1.818157779,81.2875030517,"Inhibitory"
"3",7.302,-55.8000022888,3.475,29.0875011444,469.999969482,3.001,-46.1250007629,671.744,-73.3375,4.0963716292,84.8875034332,"Excitatory"
"8",4.103,-59.8312522888,3.311,25.0187511444,900,3.032,-44.8625015259,436.287,-77.8812530518,1.3775258626,84.8500034332,"Inhibitory"
"9",4.87,-50.7812519073,3.39,44.21875,0,3.01,-48.2812519073,489.35,-68.9218788147,3.6690064788,95.0000019073,"Excitatory"
"32",5.11,-54.0437530518,3.375,38.1875022888,450,2.96,-48.4062507629,699.038,-74.9750045776,3.6777654423,92.2312553406,"Excitatory"
"34",4.4333333,-56.7500038147,3.48,35.3541692098,300,3.1,-47.4583333333,910.8266667,-70.1562550863,1.8611079257,92.1041730245,"Inhibitory"
"35",4.36,-55.2187522888,3.432,29.9750011444,509.999969482,3.144,-45.1625022888,584.424,-73.8562515259,2.1651751688,85.1937534332,"Inhibitory"
"38",4.60125,-58.773440361,3.28875,10.8984382153,440,2.935,-42.0859375,316.69875,-65.5078144073,1.6310524952,69.6718785763,"Inhibitory"
"39",6.32,-51.7395858765,3.5933333,41.1458346049,300,3.1333333,-47.0208346049,820.5666667,-66.3125025431,4.1387199243,92.8854204814,"Excitatory"
"44",4.15625,-62.500002861,3.04625,22.9531259537,160,2.685,-49.3671894073,760.35875,-65.8281269073,1.954102419,85.4531288147,"Inhibitory"
"47",4.238,-58.4875007629,3.351,32.2625019073,0,3.046,-41.0125007629,522.911,-77.6187530518,1.6882714694,90.7500026702,"Inhibitory"
"50",4.25,-58.8697954814,3.3466667,25.0260429382,520,3.0383333,-45.8177102407,553.5608333,-79.7708358765,1.6572967553,83.8958384196,"Inhibitory"
"52",5.244,-51.9875015259,3.54,38.0375022888,939.999938965,3.084,-48.2312530518,507.872,-76.8500015259,2.9663139099,90.0250038147,"Excitatory"
"61",5.515,-52.1375038147,3.38,38.2437522888,780,2.979,-49.8625022888,90.434,-69.3875061035,3.9722071505,90.3812561035,"Excitatory"
"62",4.8575,-57.5781269073,3.105,38.3437519073,720,2.7175,-54.1406269073,638.8925,-82.1406288147,3.8665216991,95.9218788146,"Excitatory"
"72",4.327,-51.2937530518,3.163,42.5937522888,939.999938965,2.875,-47.3062515259,517.228,-78.9375030518,3.6922526397,93.8875053406,"Excitatory"
"73",3.784,-64.2562530518,3.24,21.3187507629,336,2.984,-48.3437515259,157.052,-76.2125061035,1.3318430976,85.5750038147,"Inhibitory"
"76",5.6,-54.0625038147,3.25,40.5156288147,800,2.87,-47.0156288147,502.88,-78.0781288147,4.1365961772,94.5781326294,"Excitatory"
"79",4.28,-58.9427108765,3.38,21.2395836512,0,3.0958333,-41.5520839691,223.265,-68.7447929382,1.5930840462,80.1822945277,"Inhibitory"
"81",5.3,-54.9062538147,4.12,14.1875009537,340,3.72,-49.4375,890.14,-66.28125,2.1583793473,69.0937547684,"Inhibitory"
"83",4.2366667,-67.9531262716,3.3316667,17.5000003179,226.666666667,3.05,-45.6145852407,655.8608333,-82.5989634196,1.4823086662,85.4531265895,"Inhibitory"
