"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","binary_neuron"
"1",0.0643841749,76.2833333333,0.1952468018,0.03188,109.776884317,0.2447049916,12.1499615827,-66.085067749,13.1090233778,82.66,-48.71875,80.88,56.5000038147,110,80.46,-44.2187538147,82.8,-48.8437538147,4.231335161,105.218753815,"Inhibitory"
"4",0.0025599038,18.2821698113,0.6564732336,0.01267,149.062544107,0.0552238002,8.35511306192,-73.0082244873,54.6981025951,30.44,-59.5,29.235,20.9375,150,28.82,-35.6875038147,30.46,-59.5937538147,1.6085892896,80.4375,"Inhibitory"
"5",0.5423579673,307.1,0.1553466075,0.03378,136.562421918,0.1326381862,14.1818948651,-80.0506210327,3.25626831651,65.16,-47,62.98,40.7812538147,210,62.44,-33.96875,66.12,-47.8750038147,2.7189014122,87.7812538147,"Excitatory"
"6",0.0552294484,65.1996428571,0.2904244319,0.031455,392.499923706,0.1238510758,29.7855539635,-63.3182563782,15.3375073264,174.985,-47.21875,173.02,6.8750004768,30.0000019073,172.355,-38.21875,212.745,-47.9062538147,1.5606648549,54.0937504768,"Inhibitory"
"7",0.0114506457,51.8227777778,0.1644670138,0.005875,257.656246424,0.0991026983,14.5592839187,-66.219039917,19.2965341281,17.9,-60.5000038147,16.98,32.7500038147,90,16.595,-41.5625,17.995,-60.6562538147,1.934570444,93.2500076294,"Inhibitory"
"10",0.0092892927,60.1843333333,0.2173949196,0.06071,151.562616229,0.149849534,14.6088103604,-76.2948379517,16.6156197903,448.86,-49.53125,446.59,25.5312519073,120.000007629,446.065,-39.5312538147,474.74,-55.0937538147,2.4319977954,75.0625019073,"Excitatory"
"11",0.2518298676,70.105,0.0900793674,0.029535,170.625045896,0.0146091292,21.4795225923,-75.3428726196,14.264317809,63.07,-50.3125038147,59.695,25.7500019073,150,59.065,-43.3125,719.33,-55.7812538147,2.8422846469,76.062505722,"Excitatory"
"13",0.0479778872,50.6313888889,0.2912946534,0.02136,188.749924302,0.0210860185,16.7264549613,-76.1265106201,19.7505938894,58.045,-62.3437538147,57.37,27.9375019073,90,56.99,-49.78125,58.07,-62.4375038147,1.5145105049,90.281255722,"Inhibitory"
"14",0.0080075192,42.8673913043,0.3255244725,0.01323,358.353376389,0.1233621985,23.5896544304,-66.2410736084,23.3277549572,81.295,-67.40625,79.06,39.375,20,78.38,-48.09375,81.59,-67.65625,2.3500174063,106.78125,"Inhibitory"
"15",0.000606499,6.2868670886,2.5092513928,0.00598,114.843562245,0.0471121594,6.78485877938,-77.1630325317,159.061737095,12.065,-65.84375,11.545,6.6875004768,230,11.285,-37.71875,12.08,-65.9375076294,0.9866171007,72.5312504768,"Inhibitory"
"16",0.0476945778,62.894,0.1594697074,0.04292,210.468634963,0.0526439473,24.6336885047,-75.3036117554,15.8997678634,98.395,-45.6875,96.36,37.71875,70,95.85,-37.7812538147,119.235,-48.25,3.2371678674,83.40625,"Excitatory"
"17",0.0239068846,29.8609375,0.5583579903,0.021375,337.94644475,0.1777706742,25.7562151138,-69.2231445313,33.488566794,169.42,-61.3750038147,168.42,23.6250019073,20,168.02,-45.1250038147,169.505,-61.4687538147,1.6485235306,85.000005722,"Inhibitory"
"18",0.0528032087,92.848,0.1847740668,0.03838,402.764409781,0.1547615081,33.0468695413,-73.0341339111,10.7702912287,148.54,-46.8125,145.62,43.6875038147,50,145.12,-35.3125,189.82,-55.6875038147,3.4306170271,90.5000038147,"Inhibitory"
"19",0.0140817883,51.6847222222,0.3299107143,0.02328,264.687508345,0.0848891288,25.4514594377,-65.863571167,19.3480772848,169.23,-63.0625038147,168.445,36.5000038147,50,168.12,-42.0625038147,169.26,-63.1562538147,1.7492095804,99.5625076294,"Inhibitory"
"20",1,61.145,0.0877221248,0.028495,121.63464725,0.0059941025,25.790011613,-68.0202865601,16.3545670128,69.335,-48.5312538147,66.18,23.5000019073,200,65.565,-36.59375,82.57,-52.5312538147,2.4462161428,72.031255722,"Excitatory"
"21",1,1000,0.0054491508,0.00999,192.053586245,0.0073593408,23.1352112096,-66.3029708862,1,22.855,-52.2187538147,20.985,29.0000019073,140,20.515,-39.6875038147,23.05,-52.5000038147,2.4746264682,81.218755722,"Excitatory"
"22",0.0872583041,67.7532142857,0.2162946429,0.01694,238.28125,0.013189774,23.9373695145,-66.556060791,14.7594473641,56.39,-57.6875038147,55.405,24.9375019073,50,55.07,-46.8437538147,56.42,-57.75,2.0673130842,82.625005722,"Inhibitory"
"23",0.03617383,39.7744736842,0.2721446733,0.023255,476.562440395,0.0150903426,38.7466495977,-66.9524688721,25.1417531742,69.75,-56.0625,68.39,24.1875019073,30.0000019073,67.92,-44.7187538147,69.815,-56.2500038147,2.0876312447,80.2500019073,"Inhibitory"
"24",0.0154623127,71.5476923077,0.1412744527,0.05996,123.906247318,0.069372654,20.8559733957,-77.8588638306,13.9766911796,219.48,-48.5312538147,216.38,32,100,215.94,-38.21875,254.96,-59.2500038147,3.8240729838,80.5312538147,"Excitatory"
"25",1,225.13,0.1203583075,0.12062,198.593750596,0.0686916411,28.2190427436,-74.0220184326,4.44187802603,150.07,-46.0625,145.69,20.5625,70,144.965,-35.8125,188.565,-51.9375,3.302888924,66.625,"Excitatory"
"26",0.0238049459,64.0257142857,0.192937237,0.05254,133.437380195,0.048348248,17.5430625077,-80.5925750732,15.6187246196,136.94,-47.84375,135.28,45.3437538147,110,134.86,-37.40625,161.86,-52.4375038147,3.569341884,93.1875038147,"Excitatory"
"27",1,1000,0.2039999989,0.052085,148.437306285,0.0371574648,15.557695003,-80.2609176636,1,57.23,-52.5312538147,55.745,40.8125038147,170,55.355,-44.5312538147,950.905,-53.90625,3.6852628408,93.3437576294,"Excitatory"
"29",0.0260136954,84.2527272727,0.1746212138,0.04248,160.156279802,0.1646226496,14.9630881567,-76.3359832764,11.8690519865,180,-46.90625,177.5,33.3750038147,170,176.84,-33.65625,202.54,-48.03125,2.4592183831,80.2812538147,"Excitatory"
"30",0.134182159,28.2175,0.0338008415,0.024615,343.125075102,0.0152803427,36.1506600727,-70.1568450928,35.4390006202,129.425,-59.3750038147,128.31,27.3750019073,40,127.91,-46.2187538147,129.51,-59.5312538147,2.0104735175,86.750005722,"Inhibitory"
"31",0.0423226332,83.7481818182,0.1900442562,0.054805,187.343835831,0.0894831419,20.6980678321,-78.4394836426,11.9405577326,186.21,-44.28125,182.2,18.78125,90,181.635,-36.46875,231.33,-55.7812538147,2.6789959347,63.0625,"Excitatory"
"33",1,315.8,0.2418936446,0.139925,214.999929071,0.1055687144,28.2906596791,-68.580871582,3.16656111463,214.845,-49.8125038147,212.6,45.5937538147,40,212.13,-41.0312538147,273.445,-57.7812538147,3.8059332009,95.4062576294,"Excitatory"
"36",1,1000,0,0.0092,247.500106692,0.038181331,22.0690161542,-68.6338882446,1,20.8,-51.28125,19.16,32.15625,90,18.74,-43,20.94,-51.3437538147,3.1808620782,83.4375,"Inhibitory"
"37",0.1635187579,39.7716666667,0.065997437,0.02923,143.74999702,0.0830477774,17.6747848717,-70.9986572266,25.1435276369,72.85,-55.5,72.02,18.75,90,71.61,-43.6562538147,72.93,-55.65625,1.3965250593,74.25,"Inhibitory"
"41",0.0549845832,26.0741666667,0.0354910738,0.01764,263.750106096,0.0334620662,19.04898813,-66.1558990479,38.3521365336,70.215,-45.9062538147,69.095,36.625,70,68.76,-34.9062538147,77.415,-46.59375,2.3473805659,82.5312538147,"Inhibitory"
"42",0.0399574818,103.737777778,0.1358940397,0.05102,184.843823314,0.1374426186,22.9521681877,-76.536239624,9.6396898162,159.24,-52.4687538147,156.66,37.875,70,156.22,-41.46875,201.68,-63.3125,4.0391183387,90.3437538147,"Excitatory"
"43",0.174034525,124.386666667,0.1119047657,0.044125,169.999882579,0.0129319085,21.0301888631,-78.5291442871,8.03944688605,92.2,-50.3125,89.215,38.53125,130,88.82,-36.21875,104.02,-54.53125,4.1473791549,88.84375,"Excitatory"
"46",1,1000,0.0330699791,0.006925,252.187520266,0.0531118363,17.2831047292,-60.1882820129,1,37.805,-54.8437538147,36.855,28.6250019073,70,36.515,-43.15625,37.925,-55.0000038147,2.0165933483,83.468755722,"Inhibitory"
