"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","binary_neuron"
"1",2.9852466667,-49.8750012716,2.98354,56.1770858765,74.5833333333,2.98312,-45.833337148,2.9854533333,-50.0937525431,4.2995347574,106.052087148,"Inhibitory"
"4",6.500155,-58.1250038147,6.4988583333,18.4687506358,162.5,6.4983966667,-33.645837148,6.5003116667,-58.2604192098,1.48797843,76.5937544505,"Inhibitory"
"5",7.5167066667,-46.9270858765,7.5144333333,42.7291692098,187.833333333,7.5138466667,-33.7604179382,7.5339666667,-49.7291679382,2.5281373528,89.6562550863,"Excitatory"
"6",1.593015,-48.5937525431,1.5913466667,16.4166679382,39.75,1.5906266667,-36.802087148,1.5931366667,-48.7083358765,1.4279694749,65.0104204813,"Inhibitory"
"7",2.0704333333,-58.7916692098,2.0694533333,32.0312512716,51.7083333333,2.0690316667,-42.3125012716,2.0705083333,-58.9166692098,1.8411034553,90.8229204814,"Inhibitory"
"10",5.2211966667,-49.2604192098,5.2195133333,42.0104192098,130.458333333,5.2190483333,-40.4895833333,5.2519316667,-54.4479192098,2.5716143936,91.2708384196,"Excitatory"
"11",4.6397016667,-50.8229179382,4.6352066667,26.8020846049,115.875,4.6345166667,-38.6875025431,4.6603766667,-56.8125025431,2.5382313044,77.6250025431,"Excitatory"
"13",3.0996133333,-59.4375012716,3.0989066667,28.6458346049,77.5,3.0985283333,-48.5416692098,3.0996816667,-59.5625025431,1.6129978916,88.0833358765,"Inhibitory"
"14",0.7556966667,-66.5937525431,0.7536033333,49.8333346049,18.7916663488,0.752935,-44.5416692098,0.7559016667,-66.7916692098,2.1421211064,116.427087148,"Inhibitory"
"15",8.0228883333,-55.895837148,8.0221466667,2.3854169846,200.54166158,8.021805,-28.479168574,8.0229616667,-56.0312512716,0.8148035265,58.2812541326,"Inhibitory"
"16",3.15376,-46.9583358765,3.1517083333,40.0833339691,78.7916666667,3.1512016667,-35.3750025431,3.1898583333,-53.0833358765,3.0344421751,87.0416698456,"Excitatory"
"17",1.225815,-60.2187525431,1.2248133333,29.0312506358,30.625,1.2243833333,-44.3020846049,1.2258616667,-60.3229204814,1.6406354083,89.2500031789,"Inhibitory"
"18",1.2304666667,-46.5937512716,1.2279266667,45.9687512716,30.7083326976,1.22742,-35.2812512716,1.2751333333,-55.958337148,3.3540754974,92.5625025432,"Inhibitory"
"19",1.9863983333,-62.1562525431,1.9856083333,37.9583346049,49.625,1.98526,-43.2604192098,1.9864333333,-62.2708346049,1.6927780623,100.114587148,"Inhibitory"
"20",7.95773,-48.1458358765,7.9539216667,20.3645846049,198.833328247,7.9531833333,-32.3750012716,7.97274,-52.5625025431,1.9241111542,68.5104204814,"Excitatory"
"21",5.6534733333,-45.2187525431,5.65166,28.447918574,141.291666667,5.65096,-31.1666679382,5.6719333333,-50.0208358765,1.7580552119,73.6666711171,"Excitatory"
"22",2.097295,-55.1458358765,2.096345,24.6041679382,52.4166666667,2.0960033333,-44.4791692098,2.09739,-55.2916704814,1.9615790797,79.7500038147,"Inhibitory"
"23",0.67307,-54.8593769073,0.671635,26.203125,16.7500004768,0.6711675,-43.5625019073,0.6819875,-55.0468769073,2.2053316648,81.0625019073,"Inhibitory"
"24",4.7213533333,-46.1770833333,4.7188533333,38.9791666667,117.708328247,4.7184266667,-35.6354166667,4.7622066667,-55.6458333333,3.9976222416,85.15625,"Excitatory"
"25",3.269245,-46.7604166667,3.2650866667,24.96875,81.625,3.2643783333,-35.875,3.312895,-53.7812512716,3.3261024368,71.7291666667,"Excitatory"
"26",3.23414,-49.3437525431,3.2324266667,44.7812512716,80.7916666667,3.2319733333,-36.4270846049,3.27098,-53.7812525431,3.4268663155,94.1250038147,"Excitatory"
"27",3.326615,-51.5312519073,3.324885,42.0000019073,83.125,3.3244825,-40.671875,3.36288,-59.0781269073,3.5499880524,93.5312538146,"Excitatory"
"29",7.5237933333,-46.9166679382,7.5213133333,37.34375,188,7.5206333333,-32.0625006358,7.5522266667,-49.7083346049,2.3792733951,84.2604179382,"Excitatory"
"30",1.75798,-56.8125,1.756795,28.6875012716,43.9166666667,1.756385,-43.3229166667,1.7580433333,-56.9270858765,2.0623776388,85.5000012716,"Inhibitory"
"31",4.4107816667,-42.7500038147,4.4089666667,32.5104179382,110.208333333,4.4084683333,-34.0520833333,4.4494116667,-53.239587148,2.7594340109,75.2604217529,"Excitatory"
"33",2.1229016667,-45.364587148,2.120345,40.9687512716,52.9999987284,2.1198266667,-36.4583358765,2.175075,-54.0104204814,3.5857822672,86.3333384196,"Excitatory"
"36",5.37712,-42.5,5.37482,18.5,134.375,5.3737,-30.5312519073,5.3781,-42.7812538147,1.4977561897,61,"Inhibitory"
"37",5.858055,-53.90625,5.85723,22.0104179382,146.416666667,5.8567616667,-37.4583333333,5.8580916667,-54.0312512716,1.2020338978,75.9166679382,"Inhibitory"
"41",2.3711766667,-42.8750025431,2.3698633333,32.7291692098,59.25,2.3694583333,-32.4479179382,2.386125,-46.0000025431,2.0692994029,75.6041717529,"Inhibitory"
"42",3.1791333333,-52.1666704814,3.1764,34.5833333333,79.375,3.1758666667,-40.1250025431,3.2171933333,-60.1666704814,3.5062108851,86.7500038147,"Excitatory"
"43",3.0196533333,-49.7083333333,3.0174233333,42.8333333333,75.4166666667,3.017025,-36.6354179382,3.0419166667,-57.0833346049,3.8816394559,92.5416666666,"Excitatory"
"46",2.62268,-53.1718788147,2.6216475,26.2812519073,65.5,2.621255,-40.84375,2.6227575,-53.3125019073,1.9337860581,79.453130722,"Inhibitory"
"48",1.6474416667,-43.2500025431,1.6451466667,37.8333358765,41.125,1.64464,-32.5937512716,1.6755633333,-52.9479166667,3.195395876,81.0833384196,"Excitatory"
"49",4.0738466667,-47.9166692098,4.0718333333,38.2916692098,101.791666667,4.0713666667,-36.6041666667,4.1005133333,-55.3125012716,3.6035451629,86.2083384196,"Excitatory"
"51",2.3869383333,-45.6770846049,2.3851166667,33.3437506358,59.5833333333,2.384635,-42.1562512716,2.42091,-48.7604192098,3.0438174153,79.0208352407,"Excitatory"
"53",8.6316933333,-53.8125025431,8.6277866667,26.9791679382,215.708333333,8.6273683333,-35.6458346049,8.6373316667,-56.489587148,3.4432682918,80.7916704813,"Inhibitory"
"55",3.3087283333,-51.1562525431,3.3070366667,42.020837148,82.6666666667,3.3066166667,-35.5729166667,3.330725,-55.6562512716,2.9832091976,93.1770896911,"Excitatory"
"56",1.2953866667,-48.3645858765,1.293565,39.5,32.3333333333,1.29306,-37.6250025431,1.3356316667,-54.5416692098,2.8922414862,87.8645858765,"Excitatory"
"57",2.6729616667,-45.8437525431,2.67031,37.8958358765,66.75,2.669865,-32.3958339691,2.7108966667,-57.1666679382,3.38663802,83.7395884196,"Excitatory"
"58",4.2866366667,-45.4062525431,4.2844083333,34.5833333333,107.083333333,4.2839033333,-36.3541666667,4.3361516667,-52.5729179382,3.3662233421,79.9895858764,"Excitatory"
"59",3.47471,-45.4895858765,3.4721383333,43.7916666667,86.7916666667,3.471695,-33.4583346049,3.5027983333,-50.677087148,3.6455874465,89.2812525432,"Excitatory"
"60",4.989055,-44.2916679382,4.9863066667,32.8229166667,124.625,4.9858883333,-34.9270833333,5.0276933333,-56.0208333333,3.0476494712,77.1145846049,"Excitatory"
"63",5.7699666667,-42.2812525431,5.76766,42.1666679382,144.208333333,5.7671466667,-32.5208333333,5.80152,-49.9479179382,3.5977578755,84.4479204813,"Excitatory"
"64",1.86732,-44.2083346049,1.86524,31.6875006358,46.6666666667,1.8646333333,-30.9895846049,1.8858466667,-52.5104192098,2.2152280436,75.8958352407,"Inhibitory"
"65",0.578535,-53.6979179382,0.577305,14.614584287,14.4583330154,0.576895,-44.052087148,0.59139,-56.0104204814,1.798190938,68.3125022252,"Inhibitory"
"66",1.0056883333,-49.7604204814,1.0019983333,9.0312506358,25.0416666667,1.001205,-46.2187525431,1.035805,-52.3854179382,3.2843303473,58.7916711172,"Inhibitory"
"67",3.80059,-42.1354192098,3.7969733333,33.0000031789,94.9166692098,3.7965166667,-26.7291673024,3.8261833333,-50.6979192098,3.1022655796,75.1354223887,"Excitatory"
"68",4.4786966667,-65.3125050863,4.47777,33.8541692098,111.958333333,4.4774033333,-44.3229204814,4.4788016667,-65.4479166667,1.6934609688,99.1666742961,"Inhibitory"
"69",2.24562,-49.6250025431,2.2427866667,36.1458358765,56.0833320618,2.24232,-37.9791679382,2.2811266667,-56.1041679382,3.7212710578,85.7708384196,"Excitatory"
"70",5.0158266667,-54.4583346049,5.01404,47.8333358765,125.33333079,5.0135666667,-36.4270858765,5.02588,-55.9270846049,2.7116600364,102.291670481,"Excitatory"
"71",3.3364066667,-53.114587148,3.3335466667,26.4479173024,83.3333333333,3.3330666667,-35.2708346049,3.3413533333,-55.1562538147,3.2931319956,79.5625044504,"Inhibitory"
"74",2.84281,-44.8437519073,2.84047,36.9843769073,71,2.8399,-35.2656288147,2.87221,-54.2187519073,2.9913936002,81.8281288146,"Inhibitory"
"75",2.48182,-50.0833333333,2.4783566667,47.3750038147,61.9166666667,2.477945,-36.4375012716,2.5179783333,-57.239587148,4.6850489606,97.458337148,"Excitatory"
"77",3.6402683333,-47.9583346049,3.63592,33.8541692098,90.875,3.6353916667,-35.7916679382,3.6757766667,-55.020837148,3.998154499,81.8125038147,"Excitatory"
"78",9.89632,-53.8125025431,9.8927266667,32.9375,247.33333842,9.89234,-33.6666679382,9.9006533333,-56.895837148,4.2754700282,86.7500025431,"Inhibitory"
"80",2.92032,-47.0104166667,2.91876,20.8333346049,72.9583282471,2.9183533333,-36.8125,2.92102,-47.3437538147,2.6665714698,67.8437512716,"Inhibitory"
"82",4.4487516667,-54.1875012716,4.4476983333,26.9062512716,111.166664123,4.4472983333,-35.3958346049,4.44884,-54.3750025431,1.5604233823,81.0937525432,"Inhibitory"
"84",3.6798416667,-51.6562512716,3.6755466667,38.78125,91.9166666667,3.6750566667,-41.0625,3.715435,-59.1666666667,4.556972773,90.4375012716,"Excitatory"
"85",7.9977666667,-40.6041679382,7.9959466667,32.8125,199.916666667,7.99526,-28.6666679382,8.01752,-45.8750012716,2.0307934004,73.4166679382,"Excitatory"
"86",2.592355,-56.6250025431,2.591305,30.7916679382,64.7500025431,2.59083,-35.03125,2.592415,-56.7291679382,1.4284298994,87.4166704813,"Inhibitory"
"87",2.34348,-47.0208346049,2.3399666667,40.3958346049,58.5,2.3394283333,-37.4166679382,2.3837166667,-55.458337148,3.9828134155,87.4166692098,"Excitatory"
"89",4.2767183333,-49.9062525431,4.2748983333,44.1666692098,106.916671753,4.27447,-37.1145833333,4.3158516667,-56.6354192098,3.3374489963,94.0729217529,"Excitatory"
"90",14.73947,-50.0729204814,14.7376,3.7916669846,368.416666667,14.7371916667,-26.1354179382,14.7409983333,-51.270837148,1.1283099568,53.864587466,"Inhibitory"
"91",7.741275,-46.2916679382,7.7392533333,26.9687519073,193.41666158,7.7385966667,-34.2604179382,7.755585,-47.895837148,1.99134582,73.2604198455,"Excitatory"
"92",6.132035,-58.5104179382,6.12704,25.2187512716,153.166666667,6.1266833333,-36.28125,6.13906,-62.1562525431,3.5167722427,83.7291692098,"Inhibitory"
"93",2.2078466667,-47.2291692098,2.2055733333,47.7812525431,55.125,2.2050966667,-37.7916679382,2.2528216667,-56.145837148,3.513540135,95.0104217529,"Excitatory"
"96",3.37875,-51.3593769073,3.3770425,41.875,84.375,3.376665,-42.7187519073,3.415555,-58.3906288147,3.2268222561,93.2343769073,"Excitatory"
"97",3.33376,-51.8437525431,3.3306933333,35.3750012716,83.25,3.3301133333,-40.2083333333,3.3786666667,-56.9479192098,3.6073560039,87.2187538147,"Excitatory"
"98",3.5237666667,-45.78125,3.5213916667,37.8854192098,88.0416666667,3.520735,-36.5520846049,3.5520966667,-50.5104192098,2.6133343996,83.6666692098,"Excitatory"
"99",1.96699,-49.0937512716,1.9649716667,45.3229179382,49.125,1.9645383333,-36.3854179382,2.0046166667,-52.4062512716,3.7882966343,94.4166692098,"Excitatory"
"100",6.6229266667,-46.3958358765,6.6199,23.3125006358,165.5,6.6194066667,-33.03125,6.6270266667,-48.1041679382,3.0894304586,69.7083365123,"Inhibitory"
"101",2.7646833333,-43.5729192098,2.76313,41.9270858765,69.0833333333,2.76272,-41.0000025431,2.7647566667,-43.7083346049,3.3462739757,85.5000050863,"Excitatory"
"104",11.5587966667,-57.1875038147,11.5580283333,14.2187503179,288.958333333,11.557645,-29.447918574,11.5588466667,-57.2708358765,1.1058517755,71.4062541326,"Inhibitory"
"105",3.2865866667,-41.6041692098,3.28418,32.90625,82.0416666667,3.2834466667,-30.2291679382,3.3125466667,-49.7916679382,2.2666372838,74.5104192098,"Inhibitory"
"106",7.653895,-43.6770858765,7.6497116667,41.4166704814,191.25,7.64929,-38.7604192098,7.697475,-52.4687538147,4.1849655377,85.0937563579,"Excitatory"
"108",2.7140683333,-47.5625025431,2.7103883333,37.5208346049,67.7916666667,2.7099066667,-36.1979192098,2.7415533333,-56.4687512716,3.6373400179,85.083337148,"Excitatory"
