"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","binary_neuron"
"1",4.8733333,-51.5000038147,3.3,53.5312538147,670,2.9133333,-47.8645833333,324.9133333,-67.4166692098,3.9390825509,105.031257629,"Inhibitory"
"4",4.6658333,-61.6093775431,3.5083333,27.052084287,460,3.13,-44.8906275431,475.5716667,-73.239587148,1.8227807894,88.6614618301,"Inhibitory"
"5",5.4266667,-55.0937525431,3.56,42.3229179382,860,3.12,-46.9375025431,110.5,-81.2500050863,3.0607072471,97.4166704813,"Excitatory"
"6",5.615,-52.8750022888,3.597,7.5125004768,340,2.979,-37.825,453.574,-64.5187522888,1.4298383286,60.3875027656,"Inhibitory"
"7",4.461,-62.4625022888,3.541,37.5062515259,0,3.197,-47.5000022888,527.561,-66.625,2.0405820868,99.9687538147,"Inhibitory"
"10",5.506,-56.5875038147,3.57,26.5125011444,0,3.142,-46.8125022888,231.151,-77.4000030518,2.3827811392,83.1000049591,"Excitatory"
"11",5.854,-54.6375030518,3.478,26.3000015259,780,2.943,-49.9000030518,557.57,-75.2062545776,2.9199902984,80.9375045777,"Excitatory"
"13",4.1958333,-63.0104198456,3.5083333,28.0208349228,71.6666717529,3.15,-50.6250019073,377.6216667,-77.2135467529,1.5088935227,91.0312547684,"Inhibitory"
"14",5.8825,-67.8020846049,3.8416667,50.8385423024,200,3.2666667,-46.0885423024,34.1241667,-68.546875,2.2625250108,118.640626907,"Inhibitory"
"15",3.625,-66.2000030518,3.14,19.3875011444,352,2.917,-51.6312522888,673.986,-77.7812530518,1.1934464482,85.5875041962,"Inhibitory"
"16",5.411,-47.7625022888,3.462,40.4937507629,780,2.979,-44.6812515259,391.247,-77.4375061035,3.6075116359,88.2562530517,"Excitatory"
"17",4.42,-61.859377861,3.4275,25.3750014305,350,3.04375,-46.7500009537,291.54125,-69.7109394073,1.6799470649,87.2343792915,"Inhibitory"
"18",4.8466667,-48.8541679382,3.16,44.1354192098,660,2.7466667,-43.1041692098,811.8266667,-74.6458384196,3.3828298725,92.989587148,"Inhibitory"
"19",4.18,-64.6718788147,3.31875,38.164065361,210,3.0025,-44.9375019073,230.33375,-66.8203125,1.8348471312,102.835944176,"Inhibitory"
"20",5.553,-53.7437522888,3.58,25.9437511444,830,3.103,-47.6625015259,426.244,-68.3312515259,2.8722062142,79.6875034332,"Excitatory"
"21",5.011,-55.7875030518,3.336,35.7625007629,450,2.946,-48.1375022888,592.528,-67.3937530518,2.9362278808,91.5500038147,"Excitatory"
"22",4.358,-58.0375022888,3.432,24.8812511444,0,3.123,-47.6687538147,395.886,-67.5812530518,2.0347158005,82.9187534332,"Inhibitory"
"23",4.4716667,-57.6145858765,3.2566667,24.1354179382,380,2.8566667,-45.6354192098,810.2316667,-70.1250050863,2.036319901,81.7500038147,"Inhibitory"
"24",5.428,-51.8750022888,3.46,36.8625022888,1080,3.104,-45.3062515259,585.676,-78.3750045776,3.8306504713,88.7375045776,"Excitatory"
"25",7.009,-51.2312515259,3.657,25.4312507629,0,3.137,-27.8875003815,505.379,-74.7875015259,2.8671467598,76.6625022888,"Excitatory"
"26",4.895,-50.8593769073,3.525,45.3359394073,0,3.155,-47.9765644073,518.51,-81.1953125,4.0180260213,96.1953163146,"Excitatory"
"27",4.625,-52.6250038147,3.32,43.4375038147,810.000061035,2.97,-51.8750038147,835.71,-81.8437576294,4.0290870033,96.0625076294,"Excitatory"
"29",5.74,-53.8250015259,3.672,35.9000022888,0,3.168,-46.5312515259,97.364,-76.8000045776,2.8872585327,89.7250038147,"Excitatory"
"30",4.485,-60.5750015259,3.344,27.8812507629,410,2.985,-47.9,720.821,-70.7875045776,2.0368430599,88.4562522888,"Inhibitory"
"31",5.1316667,-50.9895846049,3.3966667,21.3697926203,758.333384196,2.9425,-41.8593775431,513.8708333,-79.255212148,2.6773210472,72.3593772252,"Excitatory"
"33",5.4583333,-49.3958358765,3.555,46.8333358765,550,3.125,-43.8958346049,199.73,-69.0833358765,4.0439766439,96.229171753,"Excitatory"
