"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"9",0.0259499525,79.6,0.1640540541,163.34,3.2930333333,4.87,-47.4375038147,-49.3854192098,-50.7812519073,0.04384,161.42,3.2912933333,3.39,43,44.5104166667,44.21875,153.749927878,0.1038112193,70,82.25,0,161,3.29088,3.01,-33.1250038147,-33.5104192098,-48.2812519073,200.7,3.3191666667,489.35,-56.5625038147,-55.9791692098,-68.9218788147,3.3893320895,3.2384560859,3.6690064788,-68.5057373047,"Nr5a1_Scnn1a",20.4216258325,12.5628140704,95.0000019073,90.4375038147,93.8958358765
"25",1,225.13,0.1203583075,150.07,3.269245,7.009,-46.0625,-46.7604166667,-51.2312515259,0.12062,145.69,3.2650866667,3.657,20.5625,24.96875,25.4312507629,198.593750596,0.0686916411,70,81.625,0,144.965,3.2643783333,3.137,-35.8125,-35.875,-27.8875003815,188.565,3.312895,505.379,-51.9375,-53.7812512716,-74.7875015259,3.302888924,3.3261024368,2.8671467598,-74.0220184326,"Nr5a1_Scnn1a",28.2190427436,4.44187802603,76.6625022888,66.625,71.7291666667
"33",1,315.8,0.2418936446,214.845,2.1229016667,5.4583333,-49.8125038147,-45.364587148,-49.3958358765,0.139925,212.6,2.120345,3.555,45.5937538147,40.9687512716,46.8333358765,214.999929071,0.1055687144,40,52.9999987284,550,212.13,2.1198266667,3.125,-41.0312538147,-36.4583358765,-43.8958346049,273.445,2.175075,199.73,-57.7812538147,-54.0104204814,-69.0833358765,3.8059332009,3.5857822672,4.0439766439,-68.580871582,"Cux_Slc17",28.2906596791,3.16656111463,96.229171753,95.4062576294,86.3333384196
"39",0.0091525921,55.5352941176,0.2783333333,199.02,2.0175333333,6.32,-51.5000038147,-50.3750012716,-51.7395858765,0.02666,195.4,2.0143,3.5933333,42.5625038147,46.4583346049,41.1458346049,150.156363845,0.0869927704,50,50.3333333333,300,194.86,2.0137533333,3.1333333,-46.0000038147,-45.4687525431,-47.0208346049,221.9,2.0552466667,820.5666667,-55.84375,-54.2916692098,-66.3125025431,4.0431381903,4.3652231808,4.1387199243,-66.0966186523,"Ctgf-T2A-dgCre",10.1986055903,18.006567101,92.8854204814,94.0625076294,96.8333358765
"49",1,1000,0.1222165554,157.08,4.0738466667,5.132,-48.25,-47.9166692098,-49.3375022888,0.1058,154.84,4.0718333333,3.408,36.2500038147,38.2916692098,32.9500007629,153.437465429,0.0041912519,110,101.791666667,1100,154.38,4.0713666667,2.976,-38.6875,-36.6041666667,-42.5187515259,184.86,4.1005133333,693.212,-56.2187538147,-55.3125012716,-75.9625061035,3.7715877618,3.6035451629,3.4926943242,-75.4887542725,"Cux_Slc17",27.5812462127,1,82.2875030517,84.5000038147,86.2083384196
"56",0.0182063106,52.8905555556,0.1994126394,90.7,1.2953866667,5.009,-47.0000038147,-48.3645858765,-52.5312522888,0.03879,88.67,1.293565,3.27,24.25,39.5,33.1625003815,342.343896627,0.0631874278,50,32.3333333333,419.999969482,88.095,1.29306,2.845,-37.40625,-37.6250025431,-43.4062522888,113.555,1.3356316667,578.273,-51.1562538147,-54.5416692098,-71.6875045776,2.6471854084,2.8922414862,2.8999130758,-71.8004760742,"Rorb-IRES2-Cre",29.6373642885,18.9069672174,85.6937526703,71.2500038147,87.8645858765
"57",0.0200593683,61.381,0.1996212208,98.42,2.6729616667,5.69125,-48.34375,-45.8437525431,-51.7734384537,0.044355,95.56,2.67031,3.49375,33.8125,37.8958358765,36.0937519073,178.28117311,0.0534816235,90,66.75,820,95.1,2.669865,3.105,-34.9687538147,-32.3958339691,-42.8437519073,119.46,2.7108966667,606.94375,-54.40625,-57.1666679382,-79.8984394073,3.3345517426,3.38663802,3.6195365115,-79.4305877686,"Rbp4-Cre_KL100",18.6733564981,16.2916863525,87.867190361,82.15625,83.7395884196
"58",0.1004902901,80.4504545455,0.2221446793,106.865,4.2866366667,5.46375,-43.6562538147,-45.4062525431,-46.843752861,0.049,104.815,4.2844083333,3.5475,26.1875019073,34.5833333333,25.0078129768,197.812542319,0.0240997374,90,107.083333333,920,104.285,4.2839033333,3.11625,-39.1875038147,-36.3541666667,-34.1250014305,117.835,4.3361516667,609.0325,-44.28125,-52.5729179382,-82.2890644073,3.2999292534,3.3662233421,2.8606385869,-81.9204101563,"Rorb-IRES2-Cre",22.8412526885,12.4300105655,71.8515658378,69.843755722,79.9895858764
"62",0.1188551549,67.3333333333,0.1449567893,139.87,4.088525,4.8575,-53.6562538147,-52.2812538147,-57.5781269073,0.034855,137.765,4.0866725,3.105,40.0625038147,43.9062519073,38.3437519073,158.593788743,0.0306478515,110,102.1875,720,137.325,4.0862325,2.7175,-40.7812538147,-38.890625,-54.1406269073,160.555,4.1140425,638.8925,-58.2812538147,-56.90625,-82.1406288147,3.3289569855,3.4958255136,3.8665216991,-81.6837158203,"Cux_Slc17",17.8633370572,14.8514851485,95.9218788146,93.7187576294,96.187505722
"75",0.0970336485,106.3575,0.0353070147,89.405,2.48182,5.81,-49.0312538147,-50.0833333333,-51.1562519073,0.058835,85.395,2.4783566667,3.365,46.2812538147,47.3750038147,49.296877861,189.374998212,0.1132833511,130,61.9166666667,700,84.985,2.477945,3.01,-36.03125,-36.4375012716,-46.445315361,110.87,2.5179783333,300.48875,-53.6250038147,-57.239587148,-72.2734451294,4.957589516,4.6850489606,4.53861343,-72.2372360229,"Rorb-IRES2-Cre",21.2956678418,9.40225183932,100.453129768,95.3125076294,97.458337148
