"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"9",0.0259499525,79.6,0.1640540541,0.04384,153.749927878,0.1038112193,20.4216258325,-68.5057373047,12.5628140704,163.34,-47.4375038147,161.42,43,70,161,-33.1250038147,200.7,-56.5625038147,3.3893320895,90.4375038147,"Nr5a1_Scnn1a"
"25",1,225.13,0.1203583075,0.12062,198.593750596,0.0686916411,28.2190427436,-74.0220184326,4.44187802603,150.07,-46.0625,145.69,20.5625,70,144.965,-35.8125,188.565,-51.9375,3.302888924,66.625,"Nr5a1_Scnn1a"
"33",1,315.8,0.2418936446,0.139925,214.999929071,0.1055687144,28.2906596791,-68.580871582,3.16656111463,214.845,-49.8125038147,212.6,45.5937538147,40,212.13,-41.0312538147,273.445,-57.7812538147,3.8059332009,95.4062576294,"Cux_Slc17"
"39",0.0091525921,55.5352941176,0.2783333333,0.02666,150.156363845,0.0869927704,10.1986055903,-66.0966186523,18.006567101,199.02,-51.5000038147,195.4,42.5625038147,50,194.86,-46.0000038147,221.9,-55.84375,4.0431381903,94.0625076294,"Ctgf-T2A-dgCre"
"49",1,1000,0.1222165554,0.1058,153.437465429,0.0041912519,27.5812462127,-75.4887542725,1,157.08,-48.25,154.84,36.2500038147,110,154.38,-38.6875,184.86,-56.2187538147,3.7715877618,84.5000038147,"Cux_Slc17"
"56",0.0182063106,52.8905555556,0.1994126394,0.03879,342.343896627,0.0631874278,29.6373642885,-71.8004760742,18.9069672174,90.7,-47.0000038147,88.67,24.25,50,88.095,-37.40625,113.555,-51.1562538147,2.6471854084,71.2500038147,"Rorb-IRES2-Cre"
"57",0.0200593683,61.381,0.1996212208,0.044355,178.28117311,0.0534816235,18.6733564981,-79.4305877686,16.2916863525,98.42,-48.34375,95.56,33.8125,90,95.1,-34.9687538147,119.46,-54.40625,3.3345517426,82.15625,"Rbp4-Cre_KL100"
"58",0.1004902901,80.4504545455,0.2221446793,0.049,197.812542319,0.0240997374,22.8412526885,-81.9204101563,12.4300105655,106.865,-43.6562538147,104.815,26.1875019073,90,104.285,-39.1875038147,117.835,-44.28125,3.2999292534,69.843755722,"Rorb-IRES2-Cre"
"62",0.1188551549,67.3333333333,0.1449567893,0.034855,158.593788743,0.0306478515,17.8633370572,-81.6837158203,14.8514851485,139.87,-53.6562538147,137.765,40.0625038147,110,137.325,-40.7812538147,160.555,-58.2812538147,3.3289569855,93.7187576294,"Cux_Slc17"
"75",0.0970336485,106.3575,0.0353070147,0.058835,189.374998212,0.1132833511,21.2956678418,-72.2372360229,9.40225183932,89.405,-49.0312538147,85.395,46.2812538147,130,84.985,-36.03125,110.87,-53.6250038147,4.957589516,95.3125076294,"Rorb-IRES2-Cre"
"85",1,1000,0.01461039,0.02006,194.218784571,0.1414680332,17.9649075208,-77.8036346436,1,44.94,-43.40625,42.88,28.1875019073,190,42.26,-29.2187519073,797.86,-46.65625,2.1574245857,71.5937519073,"Ntsr1-Cre_GN220"
"96",0.0083711584,138.005,0.1679961244,0.05319,85.9374776483,0.1082189828,10.9784275589,-70.4233016968,7.24611427122,87.815,-50.34375,85.79,37.7812538147,130,85.39,-42.03125,119.105,-58.21875,3.5580965198,88.1250038147,"Rbp4-Cre_KL100"
"107",0.0202565352,53.3344444444,0.2278089888,0.0383,215.000107884,0.0680718347,19.4838621165,-72.8924713135,18.7496093832,261.44,-49.6562538147,258.22,38.3125038147,40,257.78,-40.53125,296.86,-57.9375038147,4.5901261618,87.9687576294,"Ctgf-T2A-dgCre"
"108",0.0506358445,94.6985,0.1945093458,0.03979,183.750033379,0.0408375636,19.4523683516,-78.2534942627,10.5598293532,98.24,-46.46875,95.335,35.4375038147,70,94.88,-36.7187538147,127.44,-56.8125038147,3.7967368985,81.9062538147,"Nr5a1_Scnn1a"
"116",0.0127354028,46.165,0.2849806132,0.05064,189.107134938,0.0259323791,22.8357900394,-77.3416595459,21.6614318206,206.32,-48.5,204.51,31.6875019073,59.9999961853,204.04,-39.4375038147,243.295,-55.15625,2.937839269,80.1875019073,"Nr5a1_Scnn1a"
