"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"9",3.2930333333,-49.3854192098,3.2912933333,44.5104166667,82.25,3.29088,-33.5104192098,3.3191666667,-55.9791692098,3.2384560859,93.8958358765,"Nr5a1_Scnn1a"
"25",3.269245,-46.7604166667,3.2650866667,24.96875,81.625,3.2643783333,-35.875,3.312895,-53.7812512716,3.3261024368,71.7291666667,"Nr5a1_Scnn1a"
"33",2.1229016667,-45.364587148,2.120345,40.9687512716,52.9999987284,2.1198266667,-36.4583358765,2.175075,-54.0104204814,3.5857822672,86.3333384196,"Cux_Slc17"
"39",2.0175333333,-50.3750012716,2.0143,46.4583346049,50.3333333333,2.0137533333,-45.4687525431,2.0552466667,-54.2916692098,4.3652231808,96.8333358765,"Ctgf-T2A-dgCre"
"49",4.0738466667,-47.9166692098,4.0718333333,38.2916692098,101.791666667,4.0713666667,-36.6041666667,4.1005133333,-55.3125012716,3.6035451629,86.2083384196,"Cux_Slc17"
"56",1.2953866667,-48.3645858765,1.293565,39.5,32.3333333333,1.29306,-37.6250025431,1.3356316667,-54.5416692098,2.8922414862,87.8645858765,"Rorb-IRES2-Cre"
"57",2.6729616667,-45.8437525431,2.67031,37.8958358765,66.75,2.669865,-32.3958339691,2.7108966667,-57.1666679382,3.38663802,83.7395884196,"Rbp4-Cre_KL100"
"58",4.2866366667,-45.4062525431,4.2844083333,34.5833333333,107.083333333,4.2839033333,-36.3541666667,4.3361516667,-52.5729179382,3.3662233421,79.9895858764,"Rorb-IRES2-Cre"
"62",4.088525,-52.2812538147,4.0866725,43.9062519073,102.1875,4.0862325,-38.890625,4.1140425,-56.90625,3.4958255136,96.187505722,"Cux_Slc17"
"75",2.48182,-50.0833333333,2.4783566667,47.3750038147,61.9166666667,2.477945,-36.4375012716,2.5179783333,-57.239587148,4.6850489606,97.458337148,"Rorb-IRES2-Cre"
"85",7.9977666667,-40.6041679382,7.9959466667,32.8125,199.916666667,7.99526,-28.6666679382,8.01752,-45.8750012716,2.0307934004,73.4166679382,"Ntsr1-Cre_GN220"
"96",3.37875,-51.3593769073,3.3770425,41.875,84.375,3.376665,-42.7187519073,3.415555,-58.3906288147,3.2268222561,93.2343769073,"Rbp4-Cre_KL100"
"107",1.8032866667,-51.302087148,1.80024,40.3645858765,45,1.7998,-41.864587148,1.8394133333,-58.4270846049,4.4179228874,91.6666730245,"Ctgf-T2A-dgCre"
"108",2.7140683333,-47.5625025431,2.7103883333,37.5208346049,67.7916666667,2.7099066667,-36.1979192098,2.7415533333,-56.4687512716,3.6373400179,85.083337148,"Nr5a1_Scnn1a"
"116",2.3242283333,-47.8854179382,2.3222283333,30.322918574,58.0416666667,2.3217566667,-36.53125,2.355925,-53.4479166667,2.7680449577,78.2083365122,"Nr5a1_Scnn1a"
