"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"9",4.87,-50.7812519073,3.39,44.21875,0,3.01,-48.2812519073,489.35,-68.9218788147,3.6690064788,95.0000019073,"Nr5a1_Scnn1a"
"25",7.009,-51.2312515259,3.657,25.4312507629,0,3.137,-27.8875003815,505.379,-74.7875015259,2.8671467598,76.6625022888,"Nr5a1_Scnn1a"
"33",5.4583333,-49.3958358765,3.555,46.8333358765,550,3.125,-43.8958346049,199.73,-69.0833358765,4.0439766439,96.229171753,"Cux_Slc17"
"39",6.32,-51.7395858765,3.5933333,41.1458346049,300,3.1333333,-47.0208346049,820.5666667,-66.3125025431,4.1387199243,92.8854204814,"Ctgf-T2A-dgCre"
"49",5.132,-49.3375022888,3.408,32.9500007629,1100,2.976,-42.5187515259,693.212,-75.9625061035,3.4926943242,82.2875030517,"Cux_Slc17"
"56",5.009,-52.5312522888,3.27,33.1625003815,419.999969482,2.845,-43.4062522888,578.273,-71.6875045776,2.8999130758,85.6937526703,"Rorb-IRES2-Cre"
"57",5.69125,-51.7734384537,3.49375,36.0937519073,820,3.105,-42.8437519073,606.94375,-79.8984394073,3.6195365115,87.867190361,"Rbp4-Cre_KL100"
"58",5.46375,-46.843752861,3.5475,25.0078129768,920,3.11625,-34.1250014305,609.0325,-82.2890644073,2.8606385869,71.8515658378,"Rorb-IRES2-Cre"
"62",4.8575,-57.5781269073,3.105,38.3437519073,720,2.7175,-54.1406269073,638.8925,-82.1406288147,3.8665216991,95.9218788146,"Cux_Slc17"
"75",5.81,-51.1562519073,3.365,49.296877861,700,3.01,-46.445315361,300.48875,-72.2734451294,4.53861343,100.453129768,"Rorb-IRES2-Cre"
"85",5.31,-54.125,3.47,32.2656269073,690,3.01,-46.5312538147,605.2,-78.0937576294,3.0121027887,86.3906269073,"Ntsr1-Cre_GN220"
"96",4.8233333,-53.7187531789,3.2933333,39.5468762716,920,2.9666667,-48.9583346049,189.0991667,-70.9062525431,3.6303314586,93.2656294505,"Rbp4-Cre_KL100"
"107",6.236,-54.3562522888,3.512,40.1562515259,479.999969482,3.132,-45.3687522888,500.652,-73.3500045776,4.3090883,94.5125038147,"Ctgf-T2A-dgCre"
"108",5.36125,-47.515625,3.5225,31.1328129768,860,3.09875,-42.5234375,563.89,-79.5234394073,3.4866314143,78.6484379768,"Nr5a1_Scnn1a"
"116",5.06,-51.9437515259,3.37,33.9937507629,608,2.989,-41.4125007629,488.234,-78.3937530518,2.9673172673,85.9375022888,"Nr5a1_Scnn1a"
"123",4.9066667,-50.6875038147,3.3616667,33.9791692098,690,3.0083333,-44.1979179382,770.3016667,-75.9791692098,3.2360009211,84.6666730245,"Cux_Slc17"
"124",4.631,-53.7062530518,3.265,40.5125015259,378,2.924,-46.3312522888,784.775,-75.0187515259,2.8539876664,94.2187545777,"Rorb-IRES2-Cre"
"126",7.921,-53.3000030518,3.456,29.1500015259,852,3.021,-40.8875030518,735.804,-77.8250030518,3.7094576554,82.4500045777,"Cux_Slc17"
"140",4.84,-51.4166666667,3.465,44.46875,900,3.1016667,-47.1770833333,511.2883333,-79.2604192098,3.2485834109,95.8854166667,"Nr5a1_Scnn1a"
"152",4.6133333,-50.9010454814,3.2708333,42.2187519073,575,2.955,-45.2031275431,426.1258333,-73.4531300863,3.4502545596,93.1197973887,"Cux_Slc17"
"170",4.816,-55.6437515259,3.297,38.7062522888,610,2.929,-45.6750007629,462.336,-75.7062576294,2.9461253113,94.3500038147,"Rorb-IRES2-Cre"
"191",6.608,-54.2937515259,3.364,38.2375030518,840,2.944,-48.2250030518,551.06,-75.0062530518,4.5212569131,92.5312545777,"Ctgf-T2A-dgCre"
"193",4.48,-46.8312515259,3.342,37.8125015259,1030,3.05,-45.3937522888,216.623,-75.2937545776,3.3067701909,84.6437530518,"Nr5a1_Scnn1a"
"198",5.052,-51.7000022888,3.368,45.9250015259,720,3.028,-45.3062515259,85.444,-70.5375015259,4.0172443246,97.6250038147,"Rorb-IRES2-Cre"
