"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","transgenic_line","tau","firing_rate","height_short","height_long","height_ramp"
"3",0.0422146009,81.3945454545,0.1627293749,69.75,1.3164266667,7.302,-48.90625,-51.0833346049,-55.8000022888,0.027555,66.395,1.3132283333,3.475,33.28125,38.8229179382,29.0875011444,266.406327486,0.0415404625,110,32.8333333333,469.999969482,65.825,1.312735,3.001,-38.1562538147,-40.1666692098,-46.1250007629,79.575,1.3417783333,671.744,-52.09375,-57.6145858765,-73.3375,4.2084853999,4.2741508224,4.0963716292,-72.1746749878,"Cux_Slc17",21.9450109341,12.2858355485,84.8875034332,82.1875,89.9062525431
"5",0.5423579673,307.1,0.1553466075,65.16,7.5167066667,5.4266667,-47,-46.9270858765,-55.0937525431,0.03378,62.98,7.5144333333,3.56,40.7812538147,42.7291692098,42.3229179382,136.562421918,0.1326381862,210,187.833333333,860,62.44,7.5138466667,3.12,-33.96875,-33.7604179382,-46.9375025431,66.12,7.5339666667,110.5,-47.8750038147,-49.7291679382,-81.2500050863,2.7189014122,2.5281373528,3.0607072471,-80.0506210327,"Ntsr1-Cre_GN220",14.1818948651,3.25626831651,97.4166704813,87.7812538147,89.6562550863
"10",0.0092892927,60.1843333333,0.2173949196,448.86,5.2211966667,5.506,-49.53125,-49.2604192098,-56.5875038147,0.06071,446.59,5.2195133333,3.57,25.5312519073,42.0104192098,26.5125011444,151.562616229,0.149849534,120.000007629,130.458333333,0,446.065,5.2190483333,3.142,-39.5312538147,-40.4895833333,-46.8125022888,474.74,5.2519316667,231.151,-55.0937538147,-54.4479192098,-77.4000030518,2.4319977954,2.5716143936,2.3827811392,-76.2948379517,"Ntsr1-Cre_GN220",14.6088103604,16.6156197903,83.1000049591,75.0625019073,91.2708384196
"11",0.2518298676,70.105,0.0900793674,63.07,4.6397016667,5.854,-50.3125038147,-50.8229179382,-54.6375030518,0.029535,59.695,4.6352066667,3.478,25.7500019073,26.8020846049,26.3000015259,170.625045896,0.0146091292,150,115.875,780,59.065,4.6345166667,2.943,-43.3125,-38.6875025431,-49.9000030518,719.33,4.6603766667,557.57,-55.7812538147,-56.8125025431,-75.2062545776,2.8422846469,2.5382313044,2.9199902984,-75.3428726196,"Rbp4-Cre_KL100",21.4795225923,14.264317809,80.9375045777,76.062505722,77.6250025431
"16",0.0476945778,62.894,0.1594697074,98.395,3.15376,5.411,-45.6875,-46.9583358765,-47.7625022888,0.04292,96.36,3.1517083333,3.462,37.71875,40.0833339691,40.4937507629,210.468634963,0.0526439473,70,78.7916666667,780,95.85,3.1512016667,2.979,-37.7812538147,-35.3750025431,-44.6812515259,119.235,3.1898583333,391.247,-48.25,-53.0833358765,-77.4375061035,3.2371678674,3.0344421751,3.6075116359,-75.3036117554,"Nr5a1_Scnn1a",24.6336885047,15.8997678634,88.2562530517,83.40625,87.0416698456
"20",1,61.145,0.0877221248,69.335,7.95773,5.553,-48.5312538147,-48.1458358765,-53.7437522888,0.028495,66.18,7.9539216667,3.58,23.5000019073,20.3645846049,25.9437511444,121.63464725,0.0059941025,200,198.833328247,830,65.565,7.9531833333,3.103,-36.59375,-32.3750012716,-47.6625015259,82.57,7.97274,426.244,-52.5312538147,-52.5625025431,-68.3312515259,2.4462161428,1.9241111542,2.8722062142,-68.0202865601,"Rbp4-Cre_KL100",25.790011613,16.3545670128,79.6875034332,72.031255722,68.5104204814
"21",1,1000,0.0054491508,22.855,5.6534733333,5.011,-52.2187538147,-45.2187525431,-55.7875030518,0.00999,20.985,5.65166,3.336,29.0000019073,28.447918574,35.7625007629,192.053586245,0.0073593408,140,141.291666667,450,20.515,5.65096,2.946,-39.6875038147,-31.1666679382,-48.1375022888,23.05,5.6719333333,592.528,-52.5000038147,-50.0208358765,-67.3937530518,2.4746264682,1.7580552119,2.9362278808,-66.3029708862,"Ntsr1-Cre_GN220",23.1352112096,1,91.5500038147,81.218755722,73.6666711171
"24",0.0154623127,71.5476923077,0.1412744527,219.48,4.7213533333,5.428,-48.5312538147,-46.1770833333,-51.8750022888,0.05996,216.38,4.7188533333,3.46,32,38.9791666667,36.8625022888,123.906247318,0.069372654,100,117.708328247,1080,215.94,4.7184266667,3.104,-38.21875,-35.6354166667,-45.3062515259,254.96,4.7622066667,585.676,-59.2500038147,-55.6458333333,-78.3750045776,3.8240729838,3.9976222416,3.8306504713,-77.8588638306,"Nr5a1_Scnn1a",20.8559733957,13.9766911796,88.7375045776,80.5312538147,85.15625
"26",0.0238049459,64.0257142857,0.192937237,136.94,3.23414,4.895,-47.84375,-49.3437525431,-50.8593769073,0.05254,135.28,3.2324266667,3.525,45.3437538147,44.7812512716,45.3359394073,133.437380195,0.048348248,110,80.7916666667,0,134.86,3.2319733333,3.155,-37.40625,-36.4270846049,-47.9765644073,161.86,3.27098,518.51,-52.4375038147,-53.7812525431,-81.1953125,3.569341884,3.4268663155,4.0180260213,-80.5925750732,"Nr5a1_Scnn1a",17.5430625077,15.6187246196,96.1953163146,93.1875038147,94.1250038147
"27",1,1000,0.2039999989,57.23,3.326615,4.625,-52.5312538147,-51.5312519073,-52.6250038147,0.052085,55.745,3.324885,3.32,40.8125038147,42.0000019073,43.4375038147,148.437306285,0.0371574648,170,83.125,810.000061035,55.355,3.3244825,2.97,-44.5312538147,-40.671875,-51.8750038147,950.905,3.36288,835.71,-53.90625,-59.0781269073,-81.8437576294,3.6852628408,3.5499880524,4.0290870033,-80.2609176636,"Nr5a1_Scnn1a",15.557695003,1,96.0625076294,93.3437576294,93.5312538146
