"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"8",0.0347760085,30.73375,0.6312207153,0.126335,64.5312517881,0.0449956208,4.99634536181,-76.9548568726,32.5375198276,514.44,-57.6875038147,513.62,13.5,350,513.3,-34.9062538147,514.63,-57.8437538147,1.2045470956,71.1875038147,"Pvalb-IRES-Cre"
"13",0.0479778872,50.6313888889,0.2912946534,0.02136,188.749924302,0.0210860185,16.7264549613,-76.1265106201,19.7505938894,58.045,-62.3437538147,57.37,27.9375019073,90,56.99,-49.78125,58.07,-62.4375038147,1.5145105049,90.281255722,"Sst-IRES-Cre"
"41",0.0549845832,26.0741666667,0.0354910738,0.01764,263.750106096,0.0334620662,19.04898813,-66.1558990479,38.3521365336,70.215,-45.9062538147,69.095,36.625,70,68.76,-34.9062538147,77.415,-46.59375,2.3473805659,82.5312538147,"Htr3a-Cre_NO152"
"53",-0.0453611792,83.9513636364,0.2767352379,0.063285,96.2498858571,0.1156082377,5.9953477945,-73.3089828491,11.9116588068,666.8,-50.6875038147,663.24,21.375,230,662.775,-34.59375,670.635,-52.71875,2.948517225,72.0625038147,"Htr3a-Cre_NO152"
"78",-0.0099461747,70.8661538462,0.1915019763,0.04966,84.3750014901,0.0581761338,5.87087504062,-75.4689025879,14.1111086989,838.68,-54.40625,834.28,28.3437519073,290,833.88,-32.9687538147,841.7,-55.8750038147,4.3216035135,82.7500019073,"Htr3a-Cre_NO152"
"82",1,21.405,0.0382275144,0.019825,233.816966415,0.0327632576,19.1087142287,-69.3228683472,46.7180565288,64.25,-58.625,63.315,32.15625,90,62.975,-41.9375,64.285,-58.6875038147,1.7674112725,90.78125,"Htr3a-Cre_NO152"
"135",0.0472376081,11.16875,1.4433650123,0.006105,81.2499970198,0.0091514885,22.5837160764,-74.6396560669,89.5355344152,9.68,-65.3125076294,9.03,16.5,290,8.75,-46.90625,9.69,-65.375,1.405709013,81.8125076294,"Pvalb-IRES-Cre"
"144",0.0094423485,29.113030303,0.0059782628,0.01362,491.874992847,0.0494608358,49.0479311567,-58.3895721436,34.3488805388,46.93,-55.28125,45.435,12.6875009537,29.9999980927,44.945,-40.84375,47.175,-55.5,1.6628376235,67.9687509537,"Sst-IRES-Cre"
"162",0.0370010449,35.725,0.3073412818,0.010725,148.750036955,0.1296005845,6.9117681747,-71.991607666,27.9916025192,29.31,-55.6875038147,28.275,32.46875,90,27.985,-46.1875,29.48,-55.7812538147,2.8320348418,88.1562538147,"Htr3a-Cre_NO152"
"165",0.0168134899,117.521428571,0.1753639921,0.06977,72.1874982119,0.0210853275,6.30289795597,-76.1771469116,8.50908648879,256.875,-51.53125,252.995,23.125,310,252.535,-34.71875,263.38,-54.9687538147,3.3881581162,74.65625,"Htr3a-Cre_NO152"
"171",0.002980858,18.0475925926,0.7398147915,0.015155,113.749966025,0.0562722646,7.02288885393,-79.1717681885,55.4090521974,30.525,-58.2812538147,29.58,11.0000009537,190,29.255,-35.3750038147,30.585,-58.4375038147,1.4693357914,69.2812547684,"Pvalb-IRES-Cre"
"183",0.0011706215,21.5631818182,0.6020089553,0.03281,63.2810592651,0.1368884891,5.42826097305,-75.2600326538,46.3753451801,171.58,-55.5312538147,171,11.0000009537,330,170.745,-32.0312538147,171.615,-55.6875038147,1.1261982392,66.5312547684,"Pvalb-IRES-Cre"
"187",0.0085721666,33.8940740741,0.3196428571,0.029625,214.687585831,0.1104063764,15.2825638403,-75.1252746582,29.5036824966,115.145,-49.4687538147,113.745,37.90625,50,113.375,-37.2812538147,115.235,-49.5937538147,2.8094413649,87.3750038147,"Htr3a-Cre_NO152"
"192",0.2510615424,140.15,0.1743303571,0.01648,153.281241655,0.0320168957,10.4043408288,-70.6198348999,7.13521227257,55.16,-60.5625038147,54.14,18.1875,90,53.8,-47.7187538147,55.32,-60.7187538147,1.9411185053,78.7500038147,"Sst-IRES-Cre"
"196",-0.0176142753,36.248,1.1470588235,0.08348,121.87499553,0.0165599696,6.2928525163,-73.5458374023,27.5877289782,149.72,-57.1562538147,149.08,12.71875,270,148.78,-38.78125,149.74,-57.2187538147,1.2891489916,69.8750038147,"Pvalb-IRES-Cre"
"212",-0.0094155469,72.2433333333,0.1604975781,0.12866,202.723219991,0.0289534666,13.2754597851,-71.8275680542,13.8421076916,671.3,-52.71875,666.98,16.15625,110,666.46,-28.0937519073,678.84,-56.3437538147,2.6341096557,68.875,"Nkx2-1-CreERT2"
