"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"8",16.0185683333,-56.6250012716,16.0174733333,14.5833339691,400.416676839,16.0171366667,-31.4375025431,16.0196683333,-57.5208358765,1.267778265,71.2083352407,"Pvalb-IRES-Cre"
"13",3.0996133333,-59.4375012716,3.0989066667,28.6458346049,77.5,3.0985283333,-48.5416692098,3.0996816667,-59.5625025431,1.6129978916,88.0833358765,"Sst-IRES-Cre"
"41",2.3711766667,-42.8750025431,2.3698633333,32.7291692098,59.25,2.3694583333,-32.4479179382,2.386125,-46.0000025431,2.0692994029,75.6041717529,"Htr3a-Cre_NO152"
"53",8.6316933333,-53.8125025431,8.6277866667,26.9791679382,215.708333333,8.6273683333,-35.6458346049,8.6373316667,-56.489587148,3.4432682918,80.7916704813,"Htr3a-Cre_NO152"
"78",9.89632,-53.8125025431,9.8927266667,32.9375,247.33333842,9.89234,-33.6666679382,9.9006533333,-56.895837148,4.2754700282,86.7500025431,"Htr3a-Cre_NO152"
"82",4.4487516667,-54.1875012716,4.4476983333,26.9062512716,111.166664123,4.4472983333,-35.3958346049,4.44884,-54.3750025431,1.5604233823,81.0937525432,"Htr3a-Cre_NO152"
"135",15.58688,-61.2812538147,15.58613,14.75,389.625,15.585785,-32.9687538147,15.586875,-61.2812538147,1.144005714,76.0312538147,"Pvalb-IRES-Cre"
"144",0.752655,-53.7812512716,0.7512583333,16.6875,18.75,0.7507333333,-38.7604166667,0.7577383333,-54.0833333333,1.5732012018,70.4687512716,"Sst-IRES-Cre"
"162",5.6783233333,-50.833337148,5.6768016667,28.3437519073,141.91666158,5.6764133333,-36.8229179382,5.6803583333,-51.208337148,2.8774647961,79.1770890553,"Htr3a-Cre_NO152"
"165",13.470275,-52.3125038147,13.46495,28.3958346049,336.625,13.4645016667,-34.7916666667,13.4751933333,-54.6770858765,4.089688043,80.7083384196,"Htr3a-Cre_NO152"
"171",7.9186166667,-54.1145846049,7.9174716667,9.4062506358,197.958333333,7.9170483333,-30.0625006358,7.9189,-54.3854179382,1.337012958,63.5208352407,"Pvalb-IRES-Cre"
"183",13.4004516667,-55.7291692098,13.3998816667,17.3958339691,334.958333333,13.3996283333,-31.7291666667,13.4012116667,-55.9270858765,1.1702953954,73.1250031789,"Pvalb-IRES-Cre"
"187",2.09643375,-48.0546913147,2.09495375,38.3671884537,52.3749980927,2.09456,-36.1640644073,2.09659625,-48.187502861,2.8084889299,86.4218797684,"Htr3a-Cre_NO152"
"192",4.2015333333,-61.7812538147,4.2007,37.3333358765,105,4.2003333333,-46.6041692098,4.20156,-61.8125,1.7599099007,99.1145896912,"Sst-IRES-Cre"
"196",8.71396,-54.4843769073,8.71326,12.5937509537,217.8125,8.71294,-35.015625,8.71403,-54.5625038147,1.2931437726,67.078127861,"Pvalb-IRES-Cre"
"212",4.0438466667,-52.7916704814,4.0397866667,21.7708339691,100.958333333,4.0393133333,-30.7083352407,4.0519333333,-57.7500025431,2.7386604244,74.5625044505,"Nkx2-1-CreERT2"
"214",21.7058783333,-57.6250025431,21.7049833333,12.0729173024,542.625,21.704655,-32.5625012716,21.7060116667,-57.8229192098,1.2453195808,69.6979198455,"Pvalb-IRES-Cre"
"220",6.7703983333,-55.8750025431,6.76959,28.8750012716,169.25,6.769245,-30.2500006358,6.7704083333,-55.9479192098,1.3707452745,84.7500038147,"Pvalb-IRES-Cre"
"228",15.288985,-56.7916704814,15.28838,26.2500019073,382.208333333,15.2881033333,-33.1354204814,15.28904,-56.8854204814,1.3409997502,83.0416723887,"Htr3a-Cre_NO152"
"242",7.4633733333,-42.2708358765,7.4615733333,34.65625,186.5,7.4609733333,-36.0833346049,7.4811666667,-44.0729179382,2.592667526,76.9270858765,"Vip"
"246",4.3152816667,-60.6666704814,4.3143033333,26.3437512716,107.83333079,4.3139483333,-44.9791692098,4.315415,-60.8437512716,1.7892661009,87.010421753,"Sst-IRES-Cre"
"259",7.1394866667,-51.9895858765,7.13638,28.8229179382,178.333333333,7.1359533333,-36.6562512716,7.1458933333,-54.7500012716,4.1372714002,80.8125038147,"Ndnf-IRES2-dgCre"
"274",5.1876266667,-61.0729179382,5.1860583333,15.59375,129.624997457,5.185535,-27.40625,5.1878533333,-61.302087148,1.1400686735,76.6666679382,"Sst-IRES-Cre"
"277",1.1137325,-51.6250038147,1.1121575,29.8750009537,27.75,1.11166,-35.7812519073,1.14965,-52.9375,2.5519149186,81.5000047684,"Gad2-IRES-Cre"
"286",1.48259,-60.4843788147,1.48162,33.7031288147,36.9999990463,1.48117,-51.1562519073,1.48268,-60.5937519073,1.991970474,94.1875076294,"Chrna2-Cre_OE25"
"304",3.64291,-46.0625,3.64072,40.2968769073,91.0624961853,3.64012,-33.328125,3.67366,-53.7500019073,2.7977287138,86.3593769073,"Chrna2-Cre_OE25"
"328",1.6212733333,-58.3750038147,1.6201666667,32.1041666667,40.5,1.61964,-39.3958333333,1.6213,-58.4166679382,1.4780456159,90.4791704814,"Sst-IRES-Cre"
"331",1.3877933333,-60.9583346049,1.3871466667,37.9375025431,34.625,1.386845,-48.6145846049,1.3878133333,-61.0520858765,1.5537261896,98.895837148,"Sst-IRES-Cre"
"343",3.9817933333,-49.3229192098,3.98022,39.7812512716,99.5,3.9797533333,-41.7708358765,3.98196,-49.5104166667,3.0575043063,89.1041704814,"Vip"
"349",3.5523133333,-46.9166692098,3.5506266667,26.8020846049,88.75,3.55012,-36.8854166667,3.56758,-48.2187525431,2.6271524345,73.7187538147,"Vip"
"377",11.1717225,-59.0468788147,11.1702575,-1.8281249404,279.25,11.16965,-31.21875,11.171865,-59.1562519073,0.777962546,57.2187538743,"Sst-IRES-Cre"
"396",2.67538,-51.9791679382,2.6732666667,36.4583346049,66.7916666667,2.6728866667,-32.2083358765,2.68458,-57.5104192098,3.2084583374,88.4375025431,"Nkx2-1-CreERT2"
"402",2.406875,-62.6979179382,2.405805,38.2812512716,60.1250012716,2.4053833333,-37.6875012716,2.4069366667,-62.8541679382,1.7141695911,100.97916921,"Sst-IRES-Cre"
