"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"8",4.103,-59.8312522888,3.311,25.0187511444,900,3.032,-44.8625015259,436.287,-77.8812530518,1.3775258626,84.8500034332,"Pvalb-IRES-Cre"
"13",4.1958333,-63.0104198456,3.5083333,28.0208349228,71.6666717529,3.15,-50.6250019073,377.6216667,-77.2135467529,1.5088935227,91.0312547684,"Sst-IRES-Cre"
"41",4.2708333,-52.7500019073,3.2466667,40.791668574,350,2.97,-41.6979192098,596.6958333,-67.2447954814,2.3896023447,93.5416704813,"Htr3a-Cre_NO152"
"53",8.391,-60.8375030518,3.523,29.3875015259,760,3.144,-42.9187515259,119.618,-74.2937561035,2.4746186884,90.2250045777,"Htr3a-Cre_NO152"
"78",7.78,-63.4609384537,3.425,33.445315361,840,3.09,-39.2421894073,132.265,-75.8203144073,2.5683954669,96.9062538147,"Htr3a-Cre_NO152"
"82",4.205,-59.1953125,3.2975,32.4140639305,450,2.98125,-45.195315361,795.085,-70.117193222,1.7677309963,91.6093764305,"Htr3a-Cre_NO152"
"135",4.076,-66.6125030518,3.409,23.3875007629,530,3.139,-50.11875,204.035,-75.7250015259,1.3972365615,90.0000038147,"Pvalb-IRES-Cre"
"144",4.946,-57.9750007629,3.571,16.1000001907,47.9999969482,3.144,-41.4000015259,539.341,-60.8437507629,1.6364464655,74.0750009536,"Sst-IRES-Cre"
"162",4.261,-57.0000022888,3.257,36.3437530518,300,3.002,-48.4375022888,388.845,-72.7125015259,2.9179089171,93.3437553406,"Htr3a-Cre_NO152"
"165",9.535,-66.5125045776,3.371,28.7312507629,1060,3.016,-40.4437530518,365.703,-77.5375030518,2.6635729426,95.2437553405,"Htr3a-Cre_NO152"
"171",4.40125,-59.2578144073,3.36875,15.6484379768,0,3.08375,-44.5859413147,688.28625,-79.648443222,1.662329402,74.9062523841,"Pvalb-IRES-Cre"
"183",3.832,-58.9250030518,3.31,20.5375011444,870,3.088,-42.6937507629,140.615,-76.2062561035,1.2613548416,79.4625041962,"Pvalb-IRES-Cre"
"187",4.9666667,-58.8072942098,3.46,40.1666666667,350,3.1658333,-45.1666679382,525.3025,-75.9739596049,2.9803402309,98.9739608765,"Htr3a-Cre_NO152"
"192",4.228,-64.2562515259,3.384,35.6875015259,340,3.064,-49.7875030518,217.532,-71.3500045776,1.8892988359,99.9437530518,"Sst-IRES-Cre"
"196",3.995,-60.960940361,3.375,19.5312509537,0,3.09,-46.8515663147,548.86,-75.148443222,1.3291828931,80.4921913147,"Pvalb-IRES-Cre"
"212",7.488,-58.3812515259,3.452,22.0375015259,590,3.108,-35.0000007629,375.62,-71.9812530518,2.4093136964,80.4187530518,"Nkx2-1-CreERT2"
"214",4.253,-62.6875053406,3.218,12.8250003815,1010.00006104,2.938,-44.4687522888,313.116,-77.2750030518,1.453792063,75.5125057221,"Pvalb-IRES-Cre"
"220",4.185,-58.859377861,3.46,33.8437519073,0,3.16,-42.4375019073,403.9975,-68.8750076294,1.5285837514,92.7031297683,"Pvalb-IRES-Cre"
"228",3.809,-60.4437530518,3.232,30.1312511444,516.000036621,2.999,-42.7562515259,399.797,-75.2000045776,1.4346522375,90.5750041962,"Htr3a-Cre_NO152"
"242",4.575,-50.796877861,3.06,36.8203144073,450,2.64,-46.960940361,550.485,-71.1718788147,3.4686904497,87.6171922683,"Vip"
"246",4.48875,-64.187502861,3.3875,23.1015634537,430.000030518,3.05375,-49.117190361,390.12625,-77.0156326294,1.8291749198,87.2890663147,"Sst-IRES-Cre"
"259",7.3366667,-60.0364615122,3.4333333,29.8125009537,750,3.0666667,-41.8333346049,354.46,-76.6562525431,2.5753322441,89.8489624659,"Ndnf-IRES2-dgCre"
"274",4.527,-66.0750015259,3.303,29.6875,400,2.957,-41.79375,336.476,-75.8125015259,1.8010997643,95.7625015259,"Sst-IRES-Cre"
"277",5.207,-57.6187522888,3.241,21.0437503815,312,2.816,-36.0937515259,46.175,-61.0812507629,2.2982044247,78.6625026703,"Gad2-IRES-Cre"
"286",4.2133333,-59.895837148,3.3,33.8125025431,499.999969482,2.9666667,-42.8645846049,545.66,-72.4791692098,2.032039695,93.7083396911,"Chrna2-Cre_OE25"
"304",5.43,-51.9270865122,3.58,39.9427102407,850,3.11,-44.1145846049,738.29,-77.0104204814,3.0714128111,91.8697967529,"Chrna2-Cre_OE25"
"328",4.64,-59.6979179382,3.6333333,28.9895846049,0,3.1266667,-46.1875025431,4.6866667,-59.7812538147,1.4655609127,88.6875025431,"Sst-IRES-Cre"
"331",4.39,-63.2812538147,3.775,33.90625,0,3.495,-56,875.235,-76.375,1.5111116856,97.1875038147,"Sst-IRES-Cre"
"343",5.204,-56.4062538147,3.532,38.1250015259,249.999984741,3.14,-48.3062515259,603.268,-70.89375,3.103612626,94.5312553406,"Vip"
"349",4.964,-53.8875022888,3.276,29.5562511444,320,2.908,-46.8312515259,347.728,-72.3312545776,3.3139818348,83.4437534332,"Vip"
"377",4.558,-70.9125015259,3.535,21.3437503815,390,3.174,-49.5312515259,4.678,-71.06875,1.5139737471,92.2562519074,"Sst-IRES-Cre"
"396",4.648,-52.7062522888,3.364,40.0437522888,520,3.04,-39.5812522888,315.744,-73.0187545776,2.7321231042,92.7500045776,"Nkx2-1-CreERT2"
