"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","transgenic_line"
"1",2.9852466667,-49.8750012716,2.98354,56.1770858765,74.5833333333,2.98312,-45.833337148,2.9854533333,-50.0937525431,4.2995347574,106.052087148,"Chrna2-Cre_OE25"
"2",6.183945,-49.0937538147,6.1828866667,30.0937512716,154.583333333,6.1824916667,-33.0416679382,6.184045,-49.2187525431,1.8275715128,79.1875050863,"Sst-IRES-Cre"
"4",6.500155,-58.1250038147,6.4988583333,18.4687506358,162.5,6.4983966667,-33.645837148,6.5003116667,-58.2604192098,1.48797843,76.5937544505,"Pvalb-IRES-Cre"
"6",1.593015,-48.5937525431,1.5913466667,16.4166679382,39.75,1.5906266667,-36.802087148,1.5931366667,-48.7083358765,1.4279694749,65.0104204813,"Htr3a-Cre_NO152"
"7",2.0704333333,-58.7916692098,2.0694533333,32.0312512716,51.7083333333,2.0690316667,-42.3125012716,2.0705083333,-58.9166692098,1.8411034553,90.8229204814,"Htr3a-Cre_NO152"
"14",0.7556966667,-66.5937525431,0.7536033333,49.8333346049,18.7916663488,0.752935,-44.5416692098,0.7559016667,-66.7916692098,2.1421211064,116.427087148,"Sst-IRES-Cre"
"15",8.0228883333,-55.895837148,8.0221466667,2.3854169846,200.54166158,8.021805,-28.479168574,8.0229616667,-56.0312512716,0.8148035265,58.2812541326,"Pvalb-IRES-Cre"
"17",1.225815,-60.2187525431,1.2248133333,29.0312506358,30.625,1.2243833333,-44.3020846049,1.2258616667,-60.3229204814,1.6406354083,89.2500031789,"Sst-IRES-Cre"
"18",1.2304666667,-46.5937512716,1.2279266667,45.9687512716,30.7083326976,1.22742,-35.2812512716,1.2751333333,-55.958337148,3.3540754974,92.5625025432,"Chrna2-Cre_OE25"
"19",1.9863983333,-62.1562525431,1.9856083333,37.9583346049,49.625,1.98526,-43.2604192098,1.9864333333,-62.2708346049,1.6927780623,100.114587148,"Sst-IRES-Cre"
"22",2.097295,-55.1458358765,2.096345,24.6041679382,52.4166666667,2.0960033333,-44.4791692098,2.09739,-55.2916704814,1.9615790797,79.7500038147,"Sst-IRES-Cre"
"23",0.67307,-54.8593769073,0.671635,26.203125,16.7500004768,0.6711675,-43.5625019073,0.6819875,-55.0468769073,2.2053316648,81.0625019073,"Sst-IRES-Cre"
"30",1.75798,-56.8125,1.756795,28.6875012716,43.9166666667,1.756385,-43.3229166667,1.7580433333,-56.9270858765,2.0623776388,85.5000012716,"Sst-IRES-Cre"
"34",10.0009266667,-50.6354179382,9.9996266667,18.9791676203,250,9.9990333333,-38.71875,10.0010866667,-50.7916679382,1.5811534012,69.6145855585,"Vip"
"35",9.9144666667,-45.1458346049,9.9128533333,15.583334287,247.91666158,9.9124266667,-34.9375,9.9183066667,-46.0312538147,2.3803840063,60.7291688919,"Htr3a-Cre_NO152"
"36",5.37712,-42.5,5.37482,18.5,134.375,5.3737,-30.5312519073,5.3781,-42.7812538147,1.4977561897,61,"Vip"
"37",5.858055,-53.90625,5.85723,22.0104179382,146.416666667,5.8567616667,-37.4583333333,5.8580916667,-54.0312512716,1.2020338978,75.9166679382,"Sst-IRES-Cre"
"38",2.8176133333,-53.1458346049,2.8164416667,14.8333336512,70.375,2.8160233333,-35.9375,2.8176666667,-53.2291666667,1.5579662122,67.9791682561,"Sst-IRES-Cre"
"44",0.84675,-59.2291679382,0.84562,25.4479179382,21.125,0.8452116667,-48.0312512716,0.8468216667,-59.3541692098,1.9957399011,84.6770858764,"Htr3a-Cre_NO152"
"46",2.62268,-53.1718788147,2.6216475,26.2812519073,65.5,2.621255,-40.84375,2.6227575,-53.3125019073,1.9337860581,79.453130722,"Htr3a-Cre_NO152"
"47",9.903485,-54.8541692098,9.9023883333,20.2187519073,247.541641235,9.9020366667,-33.21875,9.9081616667,-56.9166692098,1.6225415344,75.0729211171,"Pvalb-IRES-Cre"
"50",7.4869216667,-51.5416704814,7.4854783333,7.4687505563,187.125,7.4850116667,-27.1458346049,7.4879633333,-52.239587148,1.1238597907,59.0104210377,"Pvalb-IRES-Cre"
"64",1.86732,-44.2083346049,1.86524,31.6875006358,46.6666666667,1.8646333333,-30.9895846049,1.8858466667,-52.5104192098,2.2152280436,75.8958352407,"Chrna2-Cre_OE25"
"65",0.578535,-53.6979179382,0.577305,14.614584287,14.4583330154,0.576895,-44.052087148,0.59139,-56.0104204814,1.798190938,68.3125022252,"Htr3a-Cre_NO152"
"66",1.0056883333,-49.7604204814,1.0019983333,9.0312506358,25.0416666667,1.001205,-46.2187525431,1.035805,-52.3854179382,3.2843303473,58.7916711172,"Htr3a-Cre_NO152"
"68",4.4786966667,-65.3125050863,4.47777,33.8541692098,111.958333333,4.4774033333,-44.3229204814,4.4788016667,-65.4479166667,1.6934609688,99.1666742961,"Sst-IRES-Cre"
"71",3.3364066667,-53.114587148,3.3335466667,26.4479173024,83.3333333333,3.3330666667,-35.2708346049,3.3413533333,-55.1562538147,3.2931319956,79.5625044504,"Ndnf-IRES2-dgCre"
"73",4.27267,-65.09375,4.27197,13.2656259537,106.75,4.27164,-41.4687519073,4.27272,-65.1875019073,1.2854071248,78.3593759537,"Pvalb-IRES-Cre"
"74",2.84281,-44.8437519073,2.84047,36.9843769073,71,2.8399,-35.2656288147,2.87221,-54.2187519073,2.9913936002,81.8281288146,"Chrna2-Cre_OE25"
"79",6.6963866667,-54.2604166667,6.6953216667,17.4270833333,167.375,6.6949283333,-30.1562512716,6.6964833333,-54.3541666667,1.3753943484,71.6875,"Pvalb-IRES-Cre"
"80",2.92032,-47.0104166667,2.91876,20.8333346049,72.9583282471,2.9183533333,-36.8125,2.92102,-47.3437538147,2.6665714698,67.8437512716,"Vip"
"81",1.17852,-52.1145858765,1.1770733333,18.3958346049,29.4166673024,1.1766333333,-43.1666679382,1.2101933333,-54.5000025431,2.5993054027,70.5104204814,"Htr3a-Cre_NO152"
"83",13.0831516667,-60.6666679382,13.0822583333,17.3854173024,327.041666667,13.08191,-32.5625,13.0832066667,-60.8333358765,1.2959735445,78.0520852406,"Pvalb-IRES-Cre"
"86",2.592355,-56.6250025431,2.591305,30.7916679382,64.7500025431,2.59083,-35.03125,2.592415,-56.7291679382,1.4284298994,87.4166704813,"Sst-IRES-Cre"
"90",14.73947,-50.0729204814,14.7376,3.7916669846,368.416666667,14.7371916667,-26.1354179382,14.7409983333,-51.270837148,1.1283099568,53.864587466,"Pvalb-IRES-Cre"
