"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vrest","tau","firing_rate","height_short","height_long","height_ramp","L_tg"
"6",0.1303708929,74.37,0.0313543563,75.52,4.1064533333,4.8666667,-47.78125,-49.4166692098,-51.6718775431,0.04106,73.5,4.1044933333,3.35,40.28125,44.3854179382,45.8958346049,134.687542915,0.0297235642,150,102.5,850,73.1,4.1040933333,3.02,-36.1562538147,-35.1145858765,-46.5729192098,85.26,4.1269466667,567.54,-51.0312538147,-54.5937512716,-81.8697967529,3.6315118977,3.5144191329,4.3004140358,-81.1610488892,15.4000760796,13.446282103,97.567712148,88.0625,93.802087148,"L2tg"
"12",0.0828730521,113.543571429,0.1732612056,136.355,3.5385075,5.144,-48.34375,-45.7031288147,-51.7062530518,0.05755,134.675,3.53687,3.316,43.40625,36.8281269073,43.8687507629,196.406245232,0.008573316,70,88.375,760,134.215,3.5363075,2.922,-40.21875,-35.3281269073,-48.7625007629,183.015,3.5777025,726.3,-56.5937538147,-54.2656269073,-80.7687530518,3.842614265,2.825120853,4.4339271843,-80.7700653076,24.1878296564,8.80719170111,95.5750038147,91.75,82.531255722,"L2tg"
"22",0.0110782776,31.9805,0.32,75.435,2.19213,4.44,-47.0625,-45.9687519073,-54.3593788147,0.01688,73.835,2.190665,3.265,39.1250038147,39.9531269073,41.2187519073,299.196541309,0.0677318797,70,54.7500019073,190,73.46,2.19026,2.9575,-35.8437538147,-34.5937519073,-45.8281288147,90.32,2.22029,331.7775,-51.9687538147,-53.15625,-73.875,2.9319891564,2.8127105091,3.0780477411,-72.3506011963,20.9766155697,31.2690545801,95.578130722,86.1875038147,85.9218788146,"L2tg"
"24",0.0151029032,50.3936842105,0.2903225787,234.52,1.5047533333,4.952,-53.125,-52.114587148,-53.5000038147,0.03358,232.44,1.5028733333,3.46,42.1562538147,42.3645846049,40.1750015259,353.749871254,0.0400684588,29.9999980927,37.5833333333,380,231.98,1.5024333333,3.092,-38.5625038147,-37.6875038147,-44.0687522888,249.62,1.5209866667,763.352,-58.5937538147,-56.7187538147,-71.8062515259,3.2747147897,3.262995793,3.4140915405,-69.7652435303,25.8046260965,19.8437565276,93.6750053406,95.2812538147,94.4791717529,"L2tg"
"48",0.0557216459,99.9033333333,0.1570340607,171.825,3.4041216667,4.84,-47.75,-47.28125,-51.4166666667,0.05736,169.375,3.4023916667,3.465,40.25,44.2291679382,44.46875,170.312494039,0.0473887436,110,85.0416666667,900,168.97,3.4019916667,3.1016667,-34.4062538147,-34.8125,-47.1770833333,199.855,3.4296983333,511.2883333,-54.9062538147,-54.9375,-79.2604192098,2.8745506029,2.9842956052,3.2485834109,-78.7213439941,23.0778482023,10.0096760202,95.8854166667,88,91.5104179382,"L4tg"
"61",0.02226991,59.8203333333,0.2130719055,116.89,2.8486416667,4.975,-49.2500038147,-50.5416704814,-51.9250030518,0.05286,115.005,2.846825,3.232,36.3125,38.2187512716,37.6125022888,181.718721986,0.0295567587,90,71.1249974569,910.000061035,114.625,2.84646,2.883,-38.9375,-36.9166679382,-46.2562522888,133.48,2.8879183333,592.56,-54.5625,-57.4062525431,-82.0750015259,3.406229534,3.388868911,3.8717045389,-80.5188903809,23.4027815803,16.7167239679,89.5375053406,85.5625038147,88.760421753,"L4tg"
"66",0.0394658867,86.26,0.1623222749,91.83,0.7699666667,6.05,-48.4375038147,-48.9270858765,-52.7062522888,0.043375,87.34,0.76655,3.487,34.0937538147,38.5520833333,33.1375007629,214.84375,0.038029734,50,19.1666666667,208,86.85,0.76609,3.063,-33.5,-34.4479166667,-38.7000007629,113.87,0.810165,72.234,-55.34375,-59.6562512716,-65.66875,3.9207614192,3.8004989787,3.3868766248,-62.6768341064,32.8031513337,11.592858799,85.8437530517,82.5312576294,87.4791692098,"L4tg"
"68",0.0235217355,65.4935714286,0.2198780488,186.67,1.643435,5.3033333,-49.9375,-50.96875,-53.1822929382,0.05602,184.295,1.6409266667,3.4616667,42.5,44.3645858765,44.7656262716,196.874961257,0.0152577311,50,41,650,183.895,1.6405233333,3.1108333,-37.5937538147,-36.9479166667,-46.1458333333,210.51,1.6647866667,432.7333333,-56.5000038147,-56.28125,-73.8958346049,4.1352029801,4.3998514134,4.4205262197,-73.4410629272,27.682354871,15.2686741338,97.9479192098,92.4375,95.3333358765,"L4tg"
"69",1,1000,0.1469961347,200.1,3.5315883333,4.8825,-49.78125,-49.5312512716,-52.46875,0.081195,198.1,3.5297666667,3.42,39.5937538147,43.25,40.8125,169.687539339,0.0485379249,110,88.25,890,197.685,3.529365,3.0541667,-39.28125,-38.5625012716,-50.2864596049,231.05,3.56141,589.0766667,-56.03125,-55.4479179382,-82.3072942098,3.2542227679,3.3814930799,3.4469744644,-81.5740814209,21.1852333172,1,93.28125,89.3750038147,92.7812512716,"L4tg"
"71",0.0846362769,81.065,0.1998666646,91.025,3.3115516667,4.668,-49.7187538147,-50.375,-50.7500022888,0.03991,89.24,3.3100516667,3.317,45,47.1979179382,48.9562515259,163.28124702,0.0542853847,90,82.7083333333,750,88.9,3.3097016667,3.01,-38.09375,-37.9479179382,-49.19375,117.72,3.3318266667,398.655,-53.84375,-54.59375,-79.0000030518,3.6602782705,3.592296106,4.2541368565,-78.5653686523,17.5390899557,12.3357799297,99.7062538147,94.7187538147,97.5729179382,"L4tg"
"79",0.0404934153,47.7113888889,0.3182812777,76.64,2.2695983333,4.645,-50.4687538147,-48.8750012716,-51.8671913147,0.02121,75.07,2.26803,3.39,37,42.770837148,43.3359375,240.624904633,0.0472334884,110,56.7083307902,670,74.71,2.26767,3.0875,-34.875,-33.2083358765,-45.2968759537,93.255,2.2922333333,744.76875,-55.7812538147,-54.9895858765,-82.0312538147,2.8647845862,2.9281581955,3.4504710406,-81.4488296509,16.5874680757,20.9593563149,95.2031288147,87.4687538147,91.6458384196,"L4tg"
"82",0.0120808067,56.1767647059,0.3151515243,334.1,1.9036175,4.8316667,-53.90625,-52.8593788147,-55.4375012716,0.04458,332.535,1.9020125,3.4516667,47.9062538147,51.2343769073,48.25,215.468749404,0.0110207871,50,47.5624980927,0,332.175,1.90166,3.1416667,-44.34375,-41.859375,-48.625,365.405,1.9322175,752.7033333,-56.4062538147,-54.8281288147,-70.46875,3.5514756365,3.9688018999,3.8166125966,-69.870262146,28.0103153747,17.8009539217,103.687501272,101.812503815,104.093755722,"L4tg"
"83",1,1000,0.0968749869,70.175,8.1021283333,4.95,-45.9687538147,-47.4895858765,-49.2437515259,0.050055,68.1,8.100255,3.29,36.59375,38.875,40.4375030518,69.3750008941,0.1039638519,290,202.500005086,1500,67.76,8.09991,2.989,-47.1562538147,-44.2916666667,-51.7312522888,101.445,8.1512716667,58.412,-59.2812538147,-58.3958346049,-74.5062576294,4.1464390347,3.7606497314,4.2903579616,-73.9276123047,8.66689780796,1,89.6812545777,82.5625038147,86.3645858765,"L4tg"
"84",0.1297247895,38.3125,0.1136160702,48.21,3.8878883333,4.89125,-48.3125038147,-47.4062525431,-53.0312519073,0.02713,45.685,3.8854583333,3.29875,40.5625038147,39.3020858765,46.1796894073,144.53125,0.0176777113,190,97.1250025431,192.5,45.345,3.8850883333,3.03,-34,-30.166668574,-44.5937509537,962.3,3.9025016667,610.81625,-50.96875,-53.9375025431,-76.1953201294,3.5471908782,2.7951151069,3.6047422865,-75.2367324829,22.1557888882,26.101141925,99.2109413146,88.8750076294,86.7083384196,"L4tg"
"86",0.0607535815,86.076,0.2370575265,231.505,2.0308533333,4.10625,-41.78125,-43.9895858765,-48.5546894073,0.061395,230.055,2.02944,3.00125,43,43.6770846049,44.3203144073,163.671776652,0.0431517996,50,50.7083320618,580,229.71,2.0291033333,2.725,-30.0625019073,-31.541668574,-43.101565361,272.135,2.0601083333,547.78625,-51.6250038147,-51.0208346049,-65.6562538147,2.6390771885,2.7297023183,3.381707107,-64.7870788574,25.1373961283,11.6176402249,92.8750038146,84.78125,87.6666704814,"L4tg"
