"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","L_tg"
"6",0.1303708929,74.37,0.0313543563,0.04106,134.687542915,0.0297235642,15.4000760796,-81.1610488892,13.446282103,75.52,-47.78125,73.5,40.28125,150,73.1,-36.1562538147,85.26,-51.0312538147,3.6315118977,88.0625,"L2tg"
"12",0.0828730521,113.543571429,0.1732612056,0.05755,196.406245232,0.008573316,24.1878296564,-80.7700653076,8.80719170111,136.355,-48.34375,134.675,43.40625,70,134.215,-40.21875,183.015,-56.5937538147,3.842614265,91.75,"L2tg"
"22",0.0110782776,31.9805,0.32,0.01688,299.196541309,0.0677318797,20.9766155697,-72.3506011963,31.2690545801,75.435,-47.0625,73.835,39.1250038147,70,73.46,-35.8437538147,90.32,-51.9687538147,2.9319891564,86.1875038147,"L2tg"
"24",0.0151029032,50.3936842105,0.2903225787,0.03358,353.749871254,0.0400684588,25.8046260965,-69.7652435303,19.8437565276,234.52,-53.125,232.44,42.1562538147,29.9999980927,231.98,-38.5625038147,249.62,-58.5937538147,3.2747147897,95.2812538147,"L2tg"
"48",0.0557216459,99.9033333333,0.1570340607,0.05736,170.312494039,0.0473887436,23.0778482023,-78.7213439941,10.0096760202,171.825,-47.75,169.375,40.25,110,168.97,-34.4062538147,199.855,-54.9062538147,2.8745506029,88,"L4tg"
"61",0.02226991,59.8203333333,0.2130719055,0.05286,181.718721986,0.0295567587,23.4027815803,-80.5188903809,16.7167239679,116.89,-49.2500038147,115.005,36.3125,90,114.625,-38.9375,133.48,-54.5625,3.406229534,85.5625038147,"L4tg"
"66",0.0394658867,86.26,0.1623222749,0.043375,214.84375,0.038029734,32.8031513337,-62.6768341064,11.592858799,91.83,-48.4375038147,87.34,34.0937538147,50,86.85,-33.5,113.87,-55.34375,3.9207614192,82.5312576294,"L4tg"
"68",0.0235217355,65.4935714286,0.2198780488,0.05602,196.874961257,0.0152577311,27.682354871,-73.4410629272,15.2686741338,186.67,-49.9375,184.295,42.5,50,183.895,-37.5937538147,210.51,-56.5000038147,4.1352029801,92.4375,"L4tg"
"69",1,1000,0.1469961347,0.081195,169.687539339,0.0485379249,21.1852333172,-81.5740814209,1,200.1,-49.78125,198.1,39.5937538147,110,197.685,-39.28125,231.05,-56.03125,3.2542227679,89.3750038147,"L4tg"
"71",0.0846362769,81.065,0.1998666646,0.03991,163.28124702,0.0542853847,17.5390899557,-78.5653686523,12.3357799297,91.025,-49.7187538147,89.24,45,90,88.9,-38.09375,117.72,-53.84375,3.6602782705,94.7187538147,"L4tg"
"79",0.0404934153,47.7113888889,0.3182812777,0.02121,240.624904633,0.0472334884,16.5874680757,-81.4488296509,20.9593563149,76.64,-50.4687538147,75.07,37,110,74.71,-34.875,93.255,-55.7812538147,2.8647845862,87.4687538147,"L4tg"
"82",0.0120808067,56.1767647059,0.3151515243,0.04458,215.468749404,0.0110207871,28.0103153747,-69.870262146,17.8009539217,334.1,-53.90625,332.535,47.9062538147,50,332.175,-44.34375,365.405,-56.4062538147,3.5514756365,101.812503815,"L4tg"
"83",1,1000,0.0968749869,0.050055,69.3750008941,0.1039638519,8.66689780796,-73.9276123047,1,70.175,-45.9687538147,68.1,36.59375,290,67.76,-47.1562538147,101.445,-59.2812538147,4.1464390347,82.5625038147,"L4tg"
"84",0.1297247895,38.3125,0.1136160702,0.02713,144.53125,0.0176777113,22.1557888882,-75.2367324829,26.101141925,48.21,-48.3125038147,45.685,40.5625038147,190,45.345,-34,962.3,-50.96875,3.5471908782,88.8750076294,"L4tg"
