"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","L_tg"
"6",4.1064533333,-49.4166692098,4.1044933333,44.3854179382,102.5,4.1040933333,-35.1145858765,4.1269466667,-54.5937512716,3.5144191329,93.802087148,"L2tg"
"12",3.5385075,-45.7031288147,3.53687,36.8281269073,88.375,3.5363075,-35.3281269073,3.5777025,-54.2656269073,2.825120853,82.531255722,"L2tg"
"22",2.19213,-45.9687519073,2.190665,39.9531269073,54.7500019073,2.19026,-34.5937519073,2.22029,-53.15625,2.8127105091,85.9218788146,"L2tg"
"24",1.5047533333,-52.114587148,1.5028733333,42.3645846049,37.5833333333,1.5024333333,-37.6875038147,1.5209866667,-56.7187538147,3.262995793,94.4791717529,"L2tg"
"48",3.4041216667,-47.28125,3.4023916667,44.2291679382,85.0416666667,3.4019916667,-34.8125,3.4296983333,-54.9375,2.9842956052,91.5104179382,"L4tg"
"61",2.8486416667,-50.5416704814,2.846825,38.2187512716,71.1249974569,2.84646,-36.9166679382,2.8879183333,-57.4062525431,3.388868911,88.760421753,"L4tg"
"66",0.7699666667,-48.9270858765,0.76655,38.5520833333,19.1666666667,0.76609,-34.4479166667,0.810165,-59.6562512716,3.8004989787,87.4791692098,"L4tg"
"68",1.643435,-50.96875,1.6409266667,44.3645858765,41,1.6405233333,-36.9479166667,1.6647866667,-56.28125,4.3998514134,95.3333358765,"L4tg"
"69",3.5315883333,-49.5312512716,3.5297666667,43.25,88.25,3.529365,-38.5625012716,3.56141,-55.4479179382,3.3814930799,92.7812512716,"L4tg"
"71",3.3115516667,-50.375,3.3100516667,47.1979179382,82.7083333333,3.3097016667,-37.9479179382,3.3318266667,-54.59375,3.592296106,97.5729179382,"L4tg"
"79",2.2695983333,-48.8750012716,2.26803,42.770837148,56.7083307902,2.26767,-33.2083358765,2.2922333333,-54.9895858765,2.9281581955,91.6458384196,"L4tg"
"82",1.9036175,-52.8593788147,1.9020125,51.2343769073,47.5624980927,1.90166,-41.859375,1.9322175,-54.8281288147,3.9688018999,104.093755722,"L4tg"
"83",8.1021283333,-47.4895858765,8.100255,38.875,202.500005086,8.09991,-44.2916666667,8.1512716667,-58.3958346049,3.7606497314,86.3645858765,"L4tg"
"84",3.8878883333,-47.4062525431,3.8854583333,39.3020858765,97.1250025431,3.8850883333,-30.166668574,3.9025016667,-53.9375025431,2.7951151069,86.7083384196,"L4tg"
"86",2.0308533333,-43.9895858765,2.02944,43.6770846049,50.7083320618,2.0291033333,-31.541668574,2.0601083333,-51.0208346049,2.7297023183,87.6666704814,"L4tg"
"88",4.1276266667,-49.7500012716,4.1255533333,37.4166704814,103.125,4.12502,-36,4.1503733333,-56.0312512716,3.1223476667,87.166671753,"L4tg"
"97",2.7154783333,-47.3541692098,2.7127316667,52.4583358765,67.7916653951,2.7122716667,-36.6354166667,2.76376,-57.1562512716,4.3598391843,99.8125050863,"L4tg"
"100",4.9545316667,-48.6354179382,4.9528616667,42.6354192098,123.833333333,4.9524366667,-40.9270846049,5.005045,-57.3854204814,3.2372212626,91.270837148,"L4tg"
"103",3.79056,-49.2291692098,3.7881666667,40.1875,94.7083333333,3.78772,-34.1562512716,3.81388,-55.9166679382,3.7443345228,89.4166692098,"L4tg"
