"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","L_tg"
"6",4.8666667,-51.6718775431,3.35,45.8958346049,850,3.02,-46.5729192098,567.54,-81.8697967529,4.3004140358,97.567712148,"L2tg"
"12",5.144,-51.7062530518,3.316,43.8687507629,760,2.922,-48.7625007629,726.3,-80.7687530518,4.4339271843,95.5750038147,"L2tg"
"22",4.44,-54.3593788147,3.265,41.2187519073,190,2.9575,-45.8281288147,331.7775,-73.875,3.0780477411,95.578130722,"L2tg"
"24",4.952,-53.5000038147,3.46,40.1750015259,380,3.092,-44.0687522888,763.352,-71.8062515259,3.4140915405,93.6750053406,"L2tg"
"48",4.84,-51.4166666667,3.465,44.46875,900,3.1016667,-47.1770833333,511.2883333,-79.2604192098,3.2485834109,95.8854166667,"L4tg"
"61",4.975,-51.9250030518,3.232,37.6125022888,910.000061035,2.883,-46.2562522888,592.56,-82.0750015259,3.8717045389,89.5375053406,"L4tg"
"66",6.05,-52.7062522888,3.487,33.1375007629,208,3.063,-38.7000007629,72.234,-65.66875,3.3868766248,85.8437530517,"L4tg"
"68",5.3033333,-53.1822929382,3.4616667,44.7656262716,650,3.1108333,-46.1458333333,432.7333333,-73.8958346049,4.4205262197,97.9479192098,"L4tg"
"69",4.8825,-52.46875,3.42,40.8125,890,3.0541667,-50.2864596049,589.0766667,-82.3072942098,3.4469744644,93.28125,"L4tg"
"71",4.668,-50.7500022888,3.317,48.9562515259,750,3.01,-49.19375,398.655,-79.0000030518,4.2541368565,99.7062538147,"L4tg"
"79",4.645,-51.8671913147,3.39,43.3359375,670,3.0875,-45.2968759537,744.76875,-82.0312538147,3.4504710406,95.2031288147,"L4tg"
"82",4.8316667,-55.4375012716,3.4516667,48.25,0,3.1416667,-48.625,752.7033333,-70.46875,3.8166125966,103.687501272,"L4tg"
"83",4.95,-49.2437515259,3.29,40.4375030518,1500,2.989,-51.7312522888,58.412,-74.5062576294,4.2903579616,89.6812545777,"L4tg"
"84",4.89125,-53.0312519073,3.29875,46.1796894073,192.5,3.03,-44.5937509537,610.81625,-76.1953201294,3.6047422865,99.2109413146,"L4tg"
"86",4.10625,-48.5546894073,3.00125,44.3203144073,580,2.725,-43.101565361,547.78625,-65.6562538147,3.381707107,92.8750038146,"L4tg"
"88",5.088,-52.0062530518,3.352,38.4875030518,528,2.932,-48.0312522888,802.308,-78.8687530518,3.9297544236,90.4937561036,"L4tg"
"97",5.6625,-48.578125,3.415,53.5312519073,999.999938965,3.0025,-44.9687519073,988.5225,-72.4843826294,4.2380197995,102.109376907,"L4tg"
"100",4.872,-51.5750015259,3.363,37.3562522888,969.999938965,2.972,-44.5000015259,418.612,-71.8687530518,3.0370149013,88.9312538147,"L4tg"
"103",5.52,-53.226565361,3.385,40.4140634537,1040,2.995,-46.3125019073,740.275,-78.4531269073,4.0271855926,93.6406288147,"L4tg"
"107",4.074,-48.8562522888,2.867,44.9250015259,580,2.596,-42.6062522888,423.48,-63.8375045776,3.6282227545,93.7812538147,"L4tg"
"111",5.845,-59.007815361,3.395,34.1171894073,390,2.9775,-51.5468788147,546.54875,-83.976568222,4.2220604568,93.1250047683,"L4tg"
"120",5.685,-57.195315361,3.595,34.7812519073,370,3.13,-45.593752861,628.18,-76.2421913147,3.1797087312,91.9765672683,"L4tg"
