"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","L_tg"
"1",0.0311050608,62.4966666667,0.2859043901,0.041805,339.620679617,0.026388593,35.1773729723,-72.08177948,16.0008533788,249.505,-52.09375,247.385,39.6875038147,30.0000019073,246.9,-42.8125038147,285.3,-57.5,3.701594925,91.7812538147,"L2tg"
"2",1,1000,0.1222165554,0.1058,153.437465429,0.0041912519,27.5812462127,-75.4887542725,1,157.08,-48.25,154.84,36.2500038147,110,154.38,-38.6875,184.86,-56.2187538147,3.7715877618,84.5000038147,"L2tg"
"3",0.0180185396,46.556,0.2642649763,0.035175,212.031289935,0.0468316674,26.5532295727,-73.9191589355,21.4795085488,210.72,-47.5937538147,208.6,38.4687538147,70,208.2,-36.0937538147,233.81,-55.4687538147,3.0987129734,86.0625076294,"L2tg"
"4",0.0614919916,92.6515,0.2028846244,0.055515,197.343707085,0.071781531,34.8281314838,-72.4250030518,10.7931334085,437.27,-42.9375038147,435.19,40.6250038147,90,434.805,-33.1875,464.96,-54.15625,2.9676890485,83.5625076294,"L2tg"
"5",0.1527855517,146.2475,0.2623127319,0.062435,182.031333447,0.0285894461,24.556073344,-74.3327331543,6.83772372177,194.08,-45.1875038147,192.065,42.125,90,191.685,-32.625,219.075,-53.6250038147,2.9803720653,87.3125038147,"L2tg"
"7",1,65.62,0.2240020881,0.04954,269.374966621,0.0405708998,14.2527423087,-76.3499221802,15.2392563243,164.165,-49.7187538147,161.995,26.5312519073,70,161.475,-38.1562538147,863.505,-57.90625,2.7706464728,76.250005722,"L2tg"
"8",1,268.975,0.2268947465,0.0914,145.892828703,0.2085304558,13.2366997581,-75.6057662964,3.71781764104,179.855,-49.3437538147,178.525,45.1250038147,90,178.19,-39.0312538147,217.945,-57.0000038147,3.7189740068,94.4687576294,"L2tg"
"9",0.0473092917,138.083333333,0.0230841105,0.08198,74.9998837709,0.0403347202,20.6521335795,-78.1814880371,7.242003621,254.1,-47.1562538147,249.56,40.6562538147,190,249,-38.1562538147,292.92,-55.3125038147,4.7183407512,87.8125076294,"L2tg"
"10",0.0290599191,67.4334615385,0.219167873,0.03169,126.718744636,0.0246091373,15.7814397386,-76.2288208008,14.8294330023,92.56,-52.1875038147,90.72,33.5312538147,110,90.285,-44.7812538147,112.755,-57.9375038147,3.4604709322,85.7187576294,"L2tg"
"11",0.0273124145,102.0725,0.1174999998,0.07214,76.4062851667,0.0527104288,12.7815539149,-79.4310836792,9.79695804453,171.22,-46.8437538147,168.92,49.7187538147,210,168.48,-38.78125,196.96,-54.15625,3.9403996277,96.5625076294,"L2tg"
"13",0.0192024244,112.095,0.1212053575,0.09148,87.187461555,0.047224056,19.2962646777,-79.1463012695,8.92100450511,308,-46.34375,305.24,33.5625,190,304.72,-38.9687538147,341.54,-56.1250038147,3.669870142,79.90625,"L2tg"
"14",0.0249703832,65.9067857143,0.2181329109,0.03656,159.531101584,0.043673683,18.7328027823,-75.1710586548,15.1729444724,67.045,-44.65625,64.125,23.5937519073,190,63.39,-32.9062538147,79.135,-48.8437538147,2.5794692031,68.2500019073,"L2tg"
"15",0.0148977871,90.02,0.1631578975,0.08728,76.8750756979,0.0046334364,13.2395486379,-83.517868042,11.1086425239,460.54,-47.7187538147,458.24,36.6875,150,457.72,-39.0312538147,498.7,-55.6562538147,3.7030478968,84.4062538147,"L2tg"
"16",0.0207695335,58.775,0.2821969697,0.03318,183.281138539,0.0208022743,27.120667223,-74.2386169434,17.0140365802,225.14,-50.9062538147,222.06,32,90,221.52,-35.5,239.04,-57.5,3.1201105957,82.9062538147,"L2tg"
"17",1,1000,0.0408005121,0.022655,115.625187755,0.026608685,11.4966748723,-70.9210128784,1,34.105,-49.375,32.525,41.3437538147,249.999984741,32.13,-39.46875,814.695,-50.1250038147,3.3821239244,90.7187538147,"L2tg"
"18",0.0363294894,85.2254545455,0.189999999,0.0233,118.281327188,0.0042600171,12.5836496076,-72.6110458374,11.7335836498,100.78,-46.5312538147,98.24,42.28125,210,97.68,-43.625,114.04,-51.7500038147,3.4800220978,88.8125038147,"L2tg"
