"","fast_trough_t_ramp","fast_trough_v_ramp","peak_t_ramp","peak_v_ramp","threshold_i_ramp","threshold_t_ramp","threshold_v_ramp","trough_t_ramp","trough_v_ramp","upstroke_downstroke_ratio_ramp","height_ramp","L_tg"
"1",1.3980525,-51.4375038147,1.395935,42.390625,34.8749990463,1.3954475,-42.1718769073,1.42975,-55.9687519073,3.8797589127,93.8281288147,"L2tg"
"2",4.0738466667,-47.9166692098,4.0718333333,38.2916692098,101.791666667,4.0713666667,-36.6041666667,4.1005133333,-55.3125012716,3.6035451629,86.2083384196,"L2tg"
"3",2.138835,-47.90625,2.1367025,36.125,53.3749980927,2.1363,-36.3125019073,2.1606825,-54.4687538147,3.0956400061,84.03125,"L2tg"
"4",2.750245,-43.4687538147,2.74856,42.7656269073,68.7500019073,2.7481725,-35.0312519073,2.788815,-52.6718769073,3.1107647576,86.234380722,"L2tg"
"5",3.2212066667,-44.5312525431,3.2194416667,41.0937512716,80.4583333333,3.2190616667,-32.8333346049,3.2441016667,-51.9583358765,2.9897993001,85.6250038147,"L2tg"
"7",1.8399783333,-50.364587148,1.8381633333,31.5104179382,45.9583333333,1.8376833333,-38.645837148,1.869705,-56.1354192098,2.9297766418,81.8750050862,"L2tg"
"8",3.4261066667,-47.7291704814,3.42466,38.9166679382,85.5833307902,3.4242766667,-37.5000025431,3.46025,-54.3125038147,3.3118086996,86.6458384196,"L2tg"
"9",6.43446,-46.2395833333,6.4301533333,44.1666692098,160.708333333,6.4295866667,-38.1562525431,6.4745333333,-52.8437538147,5.0020923274,90.4062525431,"L2tg"
"10",3.9269116667,-49.5104192098,3.9248966667,44.0000038147,98.125,3.9244683333,-39.6666692098,3.965775,-55.5104204814,3.6958263822,93.5104230245,"L2tg"
"11",6.6249,-49.3020846049,6.6229,51.8020858765,165.583333333,6.62242,-41.4479192098,6.65852,-53.9375012716,4.116552681,101.104170481,"L2tg"
"13",7.6676533333,-45.927087148,7.6651066667,36.8645846049,191.625,7.6646,-37.8541679382,7.7020266667,-54.0104192098,3.523345978,82.7916717529,"L2tg"
"14",5.4564866667,-41.0833358765,5.4533983333,19.8854173024,136.291666667,5.4526116667,-29.7395846049,5.4840433333,-49.9583358765,2.2246677053,60.9687531789,"L2tg"
"15",6.2468133333,-49.302087148,6.24474,42.3437525431,156.125,6.24426,-39.1562525431,6.2784533333,-54.3437525431,3.9123076985,91.6458396911,"L2tg"
"16",3.32714,-50.5781269073,3.32462,34.21875,83.125,3.3241,-36.046875,3.34631,-57.6875038147,3.034932799,84.7968769073,"L2tg"
"17",2.99089,-47.5156269073,2.9891875,46.0781269073,74.6875,2.988765,-35.2343769073,3.0068125,-51.9531288147,3.1578523741,93.5937538146,"L2tg"
"18",6.22186,-44.5208358765,6.21828,49.3750012716,155.416666667,6.2177466667,-41.4583346049,6.2471533333,-51.9687538147,4.0243836904,93.8958371481,"L2tg"
"19",3.82312,-49.2916692098,3.82132,32.4583346049,95.5416666667,3.8208,-36.1354192098,3.84668,-55.1875012716,2.5534037615,81.7500038147,"L2tg"
"20",10.27304,-41.71875,10.27091,48.7812538147,256.749992371,10.2705325,-33.7968769073,10.3088975,-51.5781269073,3.8654396008,90.5000038147,"L2tg"
"21",10.65442,-46.8645858765,10.6510866667,41.2187538147,266.25,10.6506133333,-36.6145833333,10.6731266667,-53.7187512716,3.7667464322,88.0833396912,"L2tg"
"23",5.3263416667,-47.114587148,5.3231533333,34.8437512716,133.041666667,5.3227283333,-35.2812525431,5.3745433333,-57.0625025431,3.7095965409,81.9583384196,"L2tg"
