"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","L_tg"
"1",5.11,-54.0437530518,3.375,38.1875022888,450,2.96,-48.4062507629,699.038,-74.9750045776,3.6777654423,92.2312553406,"L2tg"
"2",5.132,-49.3375022888,3.408,32.9500007629,1100,2.976,-42.5187515259,693.212,-75.9625061035,3.4926943242,82.2875030517,"L2tg"
"3",4.9066667,-50.6875038147,3.3616667,33.9791692098,690,3.0083333,-44.1979179382,770.3016667,-75.9791692098,3.2360009211,84.6666730245,"L2tg"
"4",4.6133333,-50.9010454814,3.2708333,42.2187519073,575,2.955,-45.2031275431,426.1258333,-73.4531300863,3.4502545596,93.1197973887,"L2tg"
"5",4.465,-46.5000030518,3.173,43.0500022888,820,2.869,-46.8187530518,781.213,-75.1250045776,3.7423886449,89.5500053406,"L2tg"
"7",4.9175,-54.8359384537,3.4975,27.3515639305,410,3.1025,-49.0468759537,614.7375,-76.4375,3.0507754647,82.1875023842,"L2tg"
"8",4.19625,-53.093752861,3.09875,39.1640644073,680,2.7925,-47.1015644073,524.5525,-75.40625,3.4565230896,92.2578172683,"L2tg"
"9",7.352,-51.6187507629,3.456,43.0937530518,1550,2.988,-49.4687530518,644.192,-79.0000030518,5.0621338223,94.7125038147,"L2tg"
"10",5.2608333,-56.3697942098,3.3583333,37.432293574,590,2.9916667,-43.9166698456,519.76,-76.8437525431,3.2936403928,93.8020877838,"L2tg"
"11",5.3533333,-51.4166704814,3.5866667,50.2604179382,1190,3.14,-48.4895858765,426.9466667,-79.6562576294,3.9278055827,101.67708842,"L2tg"
"13",5.776,-50.6312515259,3.576,36.2562507629,1730,3.132,-47.1562530518,670.548,-79.3812530518,3.8162059802,86.8875022888,"L2tg"
"14",5.2966667,-53.552087148,3.5025,35.4427108765,690,3.11,-48.2187525431,563.2758333,-75.0260480245,3.568559831,88.9947980245,"L2tg"
"15",5.34,-52.6250038147,3.48,39.9062538147,0,3.06,-45.0312538147,298.54,-83.25,3.943836469,92.5312576294,"L2tg"
"16",5.1,-55.7187522888,3.308,39.7312522888,600,2.936,-49.7125030518,673.576,-74.9375030518,4.2021530485,95.4500045776,"L2tg"
"17",4.726,-51.6375022888,3.196,44.2250015259,560,2.856,-47.1062515259,370.964,-72.5500045776,3.7417664389,95.8625038147,"L2tg"
"18",6.85,-51.3489608765,3.4766667,43.4062531789,700,3.01,-45.4635448456,447.4033333,-73.0781288147,3.7104175381,94.7552140554,"L2tg"
"19",5.052,-49.4375022888,3.476,30.5187515259,180,3.016,-40.6000030518,625.736,-80.0875061035,2.6067542765,79.9562538147,"L2tg"
"20",5.2583333,-48.3229179382,3.4983333,45.7083358765,1829.99975586,3.0633333,-50.5729192098,713.4866667,-79.1145909627,3.1357484076,94.0312538147,"L2tg"
"21",5.52,-54.0312538147,3.532,46.3437522888,0,3.144,-50.7000038147,384.024,-78.0812561035,4.5221714355,100.375006103,"L2tg"
"23",6.227,-51.6125022888,3.427,36.5500030518,260,3.057,-45.8062538147,534.734,-80.3625045776,4.2710107644,88.1625053406,"L2tg"
"25",4.87,-50.7812519073,3.39,44.21875,0,3.01,-48.2812519073,489.35,-68.9218788147,3.6690064788,95.0000019073,"L4tg"
"26",5.411,-47.7625022888,3.462,40.4937507629,780,2.979,-44.6812515259,391.247,-77.4375061035,3.6075116359,88.2562530517,"L4tg"
"27",5.428,-51.8750022888,3.46,36.8625022888,1080,3.104,-45.3062515259,585.676,-78.3750045776,3.8306504713,88.7375045776,"L4tg"
"28",7.009,-51.2312515259,3.657,25.4312507629,0,3.137,-27.8875003815,505.379,-74.7875015259,2.8671467598,76.6625022888,"L4tg"
"29",4.895,-50.8593769073,3.525,45.3359394073,0,3.155,-47.9765644073,518.51,-81.1953125,4.0180260213,96.1953163146,"L4tg"
"30",5.1316667,-50.9895846049,3.3966667,21.3697926203,758.333384196,2.9425,-41.8593775431,513.8708333,-79.255212148,2.6773210472,72.3593772252,"L4tg"
"31",5.13875,-52.671875,3.4075,42.3359375,880,3.05125,-48.0390644073,616.30625,-79.0546894073,4.296803327,95.0078125,"L4tg"
"32",5.244,-51.9875015259,3.54,38.0375022888,939.999938965,3.084,-48.2312530518,507.872,-76.8500015259,2.9663139099,90.0250038147,"L4tg"
"33",4.913,-50.4437538147,3.43,41.8062530518,142,3.076,-46.8437538147,575.207,-76.0312515259,3.5467651713,92.2500068665,"L4tg"
"34",5.009,-52.5312522888,3.27,33.1625003815,419.999969482,2.845,-43.4062522888,578.273,-71.6875045776,2.8999130758,85.6937526703,"L4tg"
"35",5.396,-50.0187522888,3.474,45.5500030518,930,3.092,-45.6375015259,791.77,-81.8125061035,4.0161468932,95.5687553406,"L4tg"
"36",5.23375,-47.5546875,3.51375,28.6484379768,0,3.1525,-41.6796884537,493.15625,-74.078125,2.9989667068,76.2031254768,"L4tg"
"37",5.8183333,-48.2656281789,3.2808333,39.7760423024,960.000061035,2.9816667,-41.7864602407,472.5041667,-71.8333384196,3.9133132655,88.0416704813,"L4tg"
"38",5.81,-51.1562519073,3.365,49.296877861,700,3.01,-46.445315361,300.48875,-72.2734451294,4.53861343,100.453129768,"L4tg"
"39",6.725,-56.21875,3.5875,38.4531259537,959.999938965,3.11375,-54.6250009537,727.1675,-80.3515625,4.678072735,94.6718759537,"L4tg"
"40",5.33125,-50.6171894073,3.50375,37.296875,830,3.09125,-43.09375,802.48375,-74.8984394073,3.4011178458,87.9140644073,"L4tg"
"41",5.5125,-52.932293574,3.4708333,34.2708339691,260,3.0283333,-46.4427102407,29.555,-59.4322948456,3.0003606778,87.2031275431,"L4tg"
"42",5.206,-49.1562522888,3.385,45.0875022888,800,2.991,-44.7500022888,548.509,-74.4437561035,3.9519837346,94.2437545776,"L4tg"
"43",5.3316667,-53.5000012716,3.495,30.0729173024,410,3.0866667,-46.9270846049,250.2566667,-73.71875,2.8628917349,83.572918574,"L4tg"
"44",10.045,-54.5625,3.51,43.21875,0,3.04,-42.5,65.43,-64.53125,5.9495754457,97.78125,"L4tg"
