"","adaptation","avg_isi","f_i_curve_slope","latency","ri","sag","tau","vrest","firing_rate","fast_trough_t_long_square","fast_trough_v_long_square","peak_t_long_square","peak_v_long_square","threshold_i_long_square","threshold_t_long_square","threshold_v_long_square","trough_t_long_square","trough_v_long_square","upstroke_downstroke_ratio_long_square","height_long","transgenic_line"
"8",0.0347760085,30.73375,0.6312207153,0.126335,64.5312517881,0.0449956208,4.99634536181,-76.9548568726,32.5375198276,514.44,-57.6875038147,513.62,13.5,350,513.3,-34.9062538147,514.63,-57.8437538147,1.2045470956,71.1875038147,"Pvalb-IRES-Cre"
"23",0.03617383,39.7744736842,0.2721446733,0.023255,476.562440395,0.0150903426,38.7466495977,-66.9524688721,25.1417531742,69.75,-56.0625,68.39,24.1875019073,30.0000019073,67.92,-44.7187538147,69.815,-56.2500038147,2.0876312447,80.2500019073,"Sst-IRES-Cre"
"35",1,1000,0.0459984166,0.01672,141.093716025,0.103318736,10.1983166376,-73.7110214233,1,27.94,-53.4687538147,27,23.0000019073,140,26.68,-39.65625,27.96,-53.53125,2.0757909451,76.468755722,"Htr3a-Cre_NO152"
"37",0.1635187579,39.7716666667,0.065997437,0.02923,143.74999702,0.0830477774,17.6747848717,-70.9986572266,25.1435276369,72.85,-55.5,72.02,18.75,90,71.61,-43.6562538147,72.93,-55.65625,1.3965250593,74.25,"Sst-IRES-Cre"
"41",0.0549845832,26.0741666667,0.0354910738,0.01764,263.750106096,0.0334620662,19.04898813,-66.1558990479,38.3521365336,70.215,-45.9062538147,69.095,36.625,70,68.76,-34.9062538147,77.415,-46.59375,2.3473805659,82.5312538147,"Htr3a-Cre_NO152"
"81",0.0333492133,50.6811111111,-0.0202702671,0.03194,338.593661785,0.0336970799,36.3642601831,-65.1880950928,19.7312169776,234.62,-51.28125,233.08,14.2812509537,29.9999980927,232.64,-42.1562538147,265.9,-54.25,2.5968482548,65.5625009537,"Htr3a-Cre_NO152"
"86",0.0143715438,52.5841666667,0.4410714286,0.04234,244.37507987,0.1483722031,22.7164448129,-72.7958526611,19.0171312657,114.075,-53.4062538147,112.825,17,70,112.38,-35.5,114.235,-53.59375,1.5819948547,70.4062538147,"Sst-IRES-Cre"
"92",0.0043030781,76.96625,0.1209645684,0.031065,106.25000298,0.0707838535,5.70490916622,-73.8230819702,12.9927078427,105.92,-58.0937538147,100.345,17,160,99.98,-34.875,110.915,-60.5937538147,3.3410425561,75.0937538147,"Htr3a-Cre_NO152"
"105",0.1333969544,101.475,0.1331168831,0.03402,312.187582254,0.0285992902,42.0455727007,-61.9263076782,9.85464400099,99.84,-45.53125,97.16,33.5,50,96.58,-34.53125,122.44,-53.1562538147,2.4494800266,79.03125,"Chrna2-Cre_OE25"
"109",0.0306957107,71.0076923077,0.3006976744,0.036845,211.874991655,0.2592666149,23.5101665142,-70.3972854614,14.0829812588,127.94,-50.71875,126.86,36.59375,90,126.51,-42.4687538147,155.04,-54.15625,2.2056403643,87.3125,"Sst-IRES-Cre"
