"","fast_trough_t_short_square","fast_trough_v_short_square","peak_t_short_square","peak_v_short_square","threshold_i_short_square","threshold_t_short_square","threshold_v_short_square","trough_t_short_square","trough_v_short_square","upstroke_downstroke_ratio_short_square","height_short","transgenic_line"
"8",4.103,-59.8312522888,3.311,25.0187511444,900,3.032,-44.8625015259,436.287,-77.8812530518,1.3775258626,84.8500034332,"Pvalb-IRES-Cre"
"23",4.4716667,-57.6145858765,3.2566667,24.1354179382,380,2.8566667,-45.6354192098,810.2316667,-70.1250050863,2.036319901,81.7500038147,"Sst-IRES-Cre"
"35",4.36,-55.2187522888,3.432,29.9750011444,509.999969482,3.144,-45.1625022888,584.424,-73.8562515259,2.1651751688,85.1937534332,"Htr3a-Cre_NO152"
"37",4.2358333,-59.9270839691,3.4216667,25.6927086512,550,2.9966667,-47.6406256358,379.3441667,-71.5052083333,1.3385040586,85.6197926203,"Sst-IRES-Cre"
"41",4.2708333,-52.7500019073,3.2466667,40.791668574,350,2.97,-41.6979192098,596.6958333,-67.2447954814,2.3896023447,93.5416704813,"Htr3a-Cre_NO152"
"81",5.3,-54.9062538147,4.12,14.1875009537,340,3.72,-49.4375,890.14,-66.28125,2.1583793473,69.0937547684,"Htr3a-Cre_NO152"
"86",4.772,-58.9000015259,3.582,23.0000015259,0,3.139,-41.1750022888,451.306,-73.0875045776,1.5383414444,81.9000030518,"Sst-IRES-Cre"
"92",9.002,-64.3312515259,3.125,21.8187503815,740,2.826,-42.6312522888,455.093,-74.7562545776,2.7387084612,86.1500019074,"Htr3a-Cre_NO152"
"105",5.47,-50.4843759537,3.61,36.3515634537,479.999969482,3.115,-43.359375,332.735,-62.882815361,2.747995101,86.8359394074,"Chrna2-Cre_OE25"
"109",4.3808333,-52.2656256358,3.4,38.9583346049,720,3.0758333,-45.421875,343.4375,-71.3437512716,2.1526203703,91.2239602407,"Sst-IRES-Cre"
"117",6,-67.0104192098,3.4916667,0.4270833333,670,3.1816667,-38.9739596049,191.21,-81.1145858765,1.7151178265,67.4375025431,"Sst-IRES-Cre"
"128",4.252,-58.3437530518,3.216,25.6125011444,900,2.88,-46.7812515259,564.416,-74.2062545776,1.967410558,83.9562541962,"Sst-IRES-Cre"
"133",4.267,-63.3500030518,3.362,23.3937503815,114,3.061,-45.0437515259,637.443,-74.9000015259,1.5644423922,86.7437534333,"Pvalb-IRES-Cre"
"157",5.1466667,-51.161462148,3.41,41.135418574,750,3.0233333,-45.354168574,640.9133333,-76.4531300863,3.7751103465,92.296880722,"Chrna2-Cre_OE25"
"160",4.368,-60.3687515259,3.239,7.9250003815,570,2.903,-40.3562507629,734.065,-76.1562530518,1.5000986445,68.2937519074,"Gad2-IRES-Cre"
"163",4.314,-61.3500030518,3.433,28.7125015259,690,3.146,-43.5687515259,355.837,-73.1812515259,1.7141476027,90.0625045777,"Sst-IRES-Cre"
"169",5.2266667,-53.770837148,3.4833333,32.1145846049,560,3.1,-48.119793574,337.2133333,-71.9791679382,3.4417168032,85.8854217529,"Vip-IRES-Cre"
"186",4.7533333,-60.2812538147,3.6,20.9687506358,380,3.07,-46.9791704814,560.0966667,-72.3229204814,1.5507288459,81.2500044505,"Chrna2-Cre_OE25"
"196",3.995,-60.960940361,3.375,19.5312509537,0,3.09,-46.8515663147,548.86,-75.148443222,1.3291828931,80.4921913147,"Pvalb-IRES-Cre"
