specimen_id,adaptation,avg_isi,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,input_resistance_mohm,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest,transgenic_line,reporter_status,height,binary_neuron
569653118,0.0643841749,76.2833333333,0.1952468018,1.10266,4.0052466667,1.0248733333,-48.71875,-49.8750012716,-51.5000038147,134.67648,0.03188,1.10088,4.00354,1.0233,56.5000038147,56.1770858765,53.5312538147,109.7768843174,0.2447049916,,,1.3449133333,,,-67.4166692098,110,74.5833333333,670,1.10046,4.00312,1.0229133333,-44.2187538147,-45.833337148,-47.8645833333,1.1028,4.0054533333,1.3449133333,-48.8437538147,-50.0937525431,-67.4166692098,4.231335161,4.2995347574,3.9390825509,-78.59375,-66.085067749,Chrna2-Cre_OE25,cre reporter positive,105.0312576294,Inhibitory
485466109,0.0487088251,118.3971428571,0.3075892912,1.06977,7.203945,1.024593,-45.9687538147,-49.0937538147,-53.8000022888,164.745728,0.02369,1.06827,7.2028866667,1.02348,13.21875,30.0937512716,27.4875007629,147.6562470198,0.1171039641,,7.21484,1.233473,,-47.2395858765,-66.3187530518,170,154.5833333333,730,1.06788,7.2024916667,1.023159,-32.0937538147,-33.0416679382,-33.9437515259,1.069995,7.204045,1.233473,-46.1562538147,-49.2187525431,-66.3187530518,2.0260001477,1.8275715128,1.818157779,-82.40625,-65.5030441284,Sst-IRES-Cre,cre reporter positive,81.2875030518,Inhibitory
483057325,0.0422146009,81.3945454545,0.1627293749,1.08975,2.3364266667,1.027302,-48.90625,-51.0833346049,-55.8000022888,289.12208,0.027555,1.086395,2.3332283333,1.023475,33.28125,38.8229179382,29.0875011444,266.406327486,0.0415404625,1.099575,2.3617783333,1.691744,-52.09375,-57.6145858765,-73.3375,110,32.8333333333,469.9999694824,1.085825,2.332735,1.023001,-38.1562538147,-40.1666692098,-46.1250007629,1.099575,2.3617783333,1.691744,-52.09375,-57.6145858765,-73.3375,4.2084853999,4.2741508224,4.0963716292,-99.0937576294,-72.1746749878,Cux2-CreERT2,cre reporter positive,84.8875034332,Excitatory
488440436,0.0025599038,18.2821698113,0.6564732336,1.05044,7.520155,1.0246658333,-59.5,-58.1250038147,-61.6093775431,197.864144,0.01267,1.049235,7.5188583333,1.0235083333,20.9375,18.4687506358,27.052084287,149.0625441074,0.0552238002,,,1.4955716667,,,-73.239587148,150,162.5,460,1.04882,7.5183966667,1.02313,-35.6875038147,-33.645837148,-44.8906275431,1.05046,7.5203116667,1.4955716667,-59.5937538147,-58.2604192098,-73.239587148,1.6085892896,1.48797843,1.8227807894,-89.4375076294,-73.0082244873,Pvalb-IRES-Cre,cre reporter positive,88.6614618301,Inhibitory
501566512,0.5423579673,307.1,0.1553466075,1.08516,8.5367066667,1.0254266667,-47,-46.9270858765,-55.0937525431,209.971936,0.03378,1.08298,8.5344333333,1.02356,40.7812538147,42.7291692098,42.3229179382,136.5624219179,0.1326381862,1.08612,8.5539666667,1.1305,-47.8750038147,-49.7291679382,-81.2500050863,210,187.8333333333,860,1.08244,8.5338466667,1.02312,-33.96875,-33.7604179382,-46.9375025431,1.08612,8.5539666667,1.1305,-47.8750038147,-49.7291679382,-81.2500050863,2.7189014122,2.5281373528,3.0607072471,-95.5000076294,-80.0506210327,Ntsr1-Cre_GN220,cre reporter positive,97.4166704814,Excitatory
479219923,0.0552294484,65.1996428571,0.2904244319,1.194985,2.613015,1.025615,-47.21875,-48.5937525431,-52.8750022888,317.859968,0.031455,1.19302,2.6113466667,1.023597,6.8750004768,16.4166679382,7.5125004768,392.4999237061,0.1238510758,1.232745,,1.473574,-47.9062538147,,-64.5187522888,30.0000019073,39.75,340,1.192355,2.6106266667,1.022979,-38.21875,-36.802087148,-37.825,1.232745,2.6131366667,1.473574,-47.9062538147,-48.7083358765,-64.5187522888,1.5606648549,1.4279694749,1.4298383286,-98.75,-63.3182563782,Htr3a-Cre_NO152,cre reporter positive,60.3875027657,Inhibitory
486875162,0.0114506457,51.8227777778,0.1644670138,1.0379,3.0904333333,1.024461,-60.5000038147,-58.7916692098,-62.4625022888,312.810656,0.005875,1.03698,3.0894533333,1.023541,32.7500038147,32.0312512716,37.5062515259,257.6562464237,0.0991026983,,,1.547561,,,-66.625,90,51.7083333333,0,1.036595,3.0890316667,1.023197,-41.5625,-42.3125012716,-47.5000022888,1.037995,3.0905083333,1.547561,-60.6562538147,-58.9166692098,-66.625,1.934570444,1.8411034553,2.0405820868,-93.8750076294,-66.219039917,Htr3a-Cre_NO152,cre reporter positive,99.9687538147,Inhibitory
482444444,0.0347760085,30.73375,0.6312207153,1.53444,17.0385683333,1.024103,-57.6875038147,-56.6250012716,-59.8312522888,105.196152,0.126335,1.53362,17.0374733333,1.023311,13.5,14.5833339691,25.0187511444,64.5312517881,0.0449956208,,17.0876016667,1.456287,,-51.9062525431,-77.8812530518,350,400.4166768392,900,1.5333,17.0371366667,1.023032,-34.9062538147,-31.4375025431,-44.8625015259,1.53463,17.0396683333,1.456287,-57.8437538147,-57.5208358765,-77.8812530518,1.2045470956,1.267778265,1.3775258626,-92.5,-76.9548568726,Pvalb-IRES-Cre,cre reporter positive,84.8500034332,Inhibitory
500961697,0.0259499525,79.6,0.1640540541,1.18334,4.3130333333,1.02487,-47.4375038147,-49.3854192098,-50.7812519073,148.06432,0.04384,1.18142,4.3112933333,1.02339,43,44.5104166667,44.21875,153.7499278784,0.1038112193,1.2207,4.3391666667,1.50935,-56.5625038147,-55.9791692098,-68.9218788147,70,82.25,0,1.181,4.31088,1.02301,-33.1250038147,-33.5104192098,-48.2812519073,1.2207,4.3391666667,1.50935,-56.5625038147,-55.9791692098,-68.9218788147,3.3893320895,3.2384560859,3.6690064788,-85.2187576294,-68.5057373047,Scnn1a-Tg3-Cre,cre reporter positive,95.0000019073,Excitatory
471410185,0.0092892927,60.1843333333,0.2173949196,1.46886,6.2411966667,1.025506,-49.53125,-49.2604192098,-56.5875038147,126.870208,0.06071,1.46659,6.2395133333,1.02357,25.5312519073,42.0104192098,26.5125011444,151.5626162291,0.149849534,1.49474,6.2719316667,1.251151,-55.0937538147,-54.4479192098,-77.4000030518,120.0000076294,130.4583333333,0,1.466065,6.2390483333,1.023142,-39.5312538147,-40.4895833333,-46.8125022888,1.49474,6.2719316667,1.251151,-55.0937538147,-54.4479192098,-77.4000030518,2.4319977954,2.5716143936,2.3827811392,-93.6562576294,-76.2948379517,Ntsr1-Cre_GN220,cre reporter positive,83.1000049591,Excitatory
