specimen_id,adaptation,avg_isi,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,ri,sag,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vrest,transgenic_line,binary_neuron,tau,layer_full,acronym,height_short,height_long,height_ramp,L_tg
477127614,0.0311050608,62.4966666667,0.2859043901,249.505,1.3980525,5.11,-52.09375,-51.4375038147,-54.0437530518,0.041805,247.385,1.395935,3.375,39.6875038147,42.390625,38.1875022888,339.620679617,0.026388593,30.0000019073,34.8749990463,450.0,246.9,1.3954475,2.96,-42.8125038147,-42.1718769073,-48.4062507629,285.3,1.42975,699.038,-57.5,-55.9687519073,-74.9750045776,3.701594925,3.8797589127,3.6777654423,-72.08177948,Slc17a6-IRES-Cre,Excitatory,35.1773729723,Primary visual area layer 2/3,VISp2/3,92.2312553406,91.7812538147,93.8281288147,L2tg
517319635,1.0,1000.0,0.1222165554,157.08,4.0738466667,5.132,-48.25,-47.9166692098,-49.3375022888,0.1058,154.84,4.0718333333,3.408,36.2500038147,38.2916692098,32.9500007629,153.437465429,0.0041912519,110.0,101.791666667,1100.0,154.38,4.0713666667,2.976,-38.6875,-36.6041666667,-42.5187515259,184.86,4.1005133333,693.212,-56.2187538147,-55.3125012716,-75.9625061035,3.7715877618,3.6035451629,3.4926943242,-75.4887542725,Cux2-CreERT2,Excitatory,27.5812462127,Primary visual area layer 2/3,VISp2/3,82.2875030517,84.5000038147,86.2083384196,L2tg
486175203,0.0180185396,46.556,0.2642649763,210.72,2.138835,4.9066667,-47.5937538147,-47.90625,-50.6875038147,0.035175,208.6,2.1367025,3.3616667,38.4687538147,36.125,33.9791692098,212.031289935,0.0468316674,70.0,53.3749980927,690.0,208.2,2.1363,3.0083333,-36.0937538147,-36.3125019073,-44.1979179382,233.81,2.1606825,770.3016667,-55.4687538147,-54.4687538147,-75.9791692098,3.0987129734,3.0956400061,3.2360009211,-73.9191589355,Cux2-CreERT2,Excitatory,26.5532295727,Primary visual area layer 2/3,VISp2/3,84.6666730245,86.0625076294,84.03125,L2tg
485887209,0.0614919916,92.6515,0.2028846244,437.27,2.750245,4.6133333,-42.9375038147,-43.4687538147,-50.9010454814,0.055515,435.19,2.74856,3.2708333,40.6250038147,42.7656269073,42.2187519073,197.343707085,0.071781531,90.0,68.7500019073,575.0,434.805,2.7481725,2.955,-33.1875,-35.0312519073,-45.2031275431,464.96,2.788815,426.1258333,-54.15625,-52.6718769073,-73.4531300863,2.9676890485,3.1107647576,3.4502545596,-72.4250030518,Cux2-CreERT2,Excitatory,34.8281314838,Primary visual area layer 2/3,VISp2/3,93.1197973887,83.5625076294,86.234380722,L2tg
484509440,0.1527855517,146.2475,0.2623127319,194.08,3.2212066667,4.465,-45.1875038147,-44.5312525431,-46.5000030518,0.062435,192.065,3.2194416667,3.173,42.125,41.0937512716,43.0500022888,182.031333447,0.0285894461,90.0,80.4583333333,820.0,191.685,3.2190616667,2.869,-32.625,-32.8333346049,-46.8187530518,219.075,3.2441016667,781.213,-53.6250038147,-51.9583358765,-75.1250045776,2.9803720653,2.9897993001,3.7423886449,-74.3327331543,Cux2-CreERT2,Excitatory,24.556073344,Primary visual area layer 2/3,VISp2/3,89.5500053406,87.3125038147,85.6250038147,L2tg
513593674,0.1303708929,74.37,0.0313543563,75.52,4.1064533333,4.8666667,-47.78125,-49.4166692098,-51.6718775431,0.04106,73.5,4.1044933333,3.35,40.28125,44.3854179382,45.8958346049,134.687542915,0.0297235642,150.0,102.5,850.0,73.1,4.1040933333,3.02,-36.1562538147,-35.1145858765,-46.5729192098,85.26,4.1269466667,567.54,-51.0312538147,-54.5937512716,-81.8697967529,3.6315118977,3.5144191329,4.3004140358,-81.1610488892,Cux2-CreERT2,Excitatory,15.4000760796,Primary visual area layer 2/3,VISp2/3,97.567712148,88.0625,93.802087148,L2tg
489751692,1.0,65.62,0.2240020881,164.165,1.8399783333,4.9175,-49.7187538147,-50.364587148,-54.8359384537,0.04954,161.995,1.8381633333,3.4975,26.5312519073,31.5104179382,27.3515639305,269.374966621,0.0405708998,70.0,45.9583333333,410.0,161.475,1.8376833333,3.1025,-38.1562538147,-38.645837148,-49.0468759537,863.505,1.869705,614.7375,-57.90625,-56.1354192098,-76.4375,2.7706464728,2.9297766418,3.0507754647,-76.3499221802,Cux2-CreERT2,Excitatory,14.2527423087,Primary visual area layer 2/3,VISp2/3,82.1875023842,76.250005722,81.8750050862,L2tg
490376252,1.0,268.975,0.2268947465,179.855,3.4261066667,4.19625,-49.3437538147,-47.7291704814,-53.093752861,0.0914,178.525,3.42466,3.09875,45.1250038147,38.9166679382,39.1640644073,145.892828703,0.2085304558,90.0,85.5833307902,680.0,178.19,3.4242766667,2.7925,-39.0312538147,-37.5000025431,-47.1015644073,217.945,3.46025,524.5525,-57.0000038147,-54.3125038147,-75.40625,3.7189740068,3.3118086996,3.4565230896,-75.6057662964,Cux2-CreERT2,Excitatory,13.2366997581,Primary visual area layer 2/3,VISp2/3,92.2578172683,94.4687576294,86.6458384196,L2tg
513510227,0.0473092917,138.083333333,0.0230841105,254.1,6.43446,7.352,-47.1562538147,-46.2395833333,-51.6187507629,0.08198,249.56,6.4301533333,3.456,40.6562538147,44.1666692098,43.0937530518,74.9998837709,0.0403347202,190.0,160.708333333,1550.0,249.0,6.4295866667,2.988,-38.1562538147,-38.1562525431,-49.4687530518,292.92,6.4745333333,644.192,-55.3125038147,-52.8437538147,-79.0000030518,4.7183407512,5.0020923274,5.0621338223,-78.1814880371,Cux2-CreERT2,Excitatory,20.6521335795,Primary visual area layer 2/3,VISp2/3,94.7125038147,87.8125076294,90.4062525431,L2tg
486753754,0.0290599191,67.4334615385,0.219167873,92.56,3.9269116667,5.2608333,-52.1875038147,-49.5104192098,-56.3697942098,0.03169,90.72,3.9248966667,3.3583333,33.5312538147,44.0000038147,37.432293574,126.718744636,0.0246091373,110.0,98.125,590.0,90.285,3.9244683333,2.9916667,-44.7812538147,-39.6666692098,-43.9166698456,112.755,3.965775,519.76,-57.9375038147,-55.5104204814,-76.8437525431,3.4604709322,3.6958263822,3.2936403928,-76.2288208008,Cux2-CreERT2,Excitatory,15.7814397386,Primary visual area layer 2/3,VISp2/3,93.8020877838,85.7187576294,93.5104230245,L2tg
